T[°C]	330nm [counts / mm]	S.D.
20.00044	3201.633	
20.00075	3208.952	
20.00521	3199.187	
20.00831	3200.731	
20.01973	3186.729	
20.02609	3190.599	
20.04493	3206.06	
20.05378	3201.668	
20.07992	3201.372	
20.09124	3188.779	
20.12237	3196.453	
20.13603	3199.727	
20.17265	3192.81	
20.18872	3193.735	
20.23059	3188.371	
20.24907	3187.335	
20.29761	3189.879	
20.31908	3186.774	
20.37021	3179.723	
20.39281	3185.638	
20.44963	3179.649	
20.47352	3173.599	
20.5359	3180.233	
20.56164	3174.02	
20.6268	3178.697	
20.65448	3180.01	
20.72223	3168.724	
20.75045	3169.225	
20.82217	3165.651	
20.85109	3164.049	
20.92553	3157.258	
20.95645	3151.97	
21.03274	3148.355	
21.06406	3149.603	
21.13981	3140.065	
21.17071	3144.537	
21.2485	3139.851	
21.2806	3146.104	
21.35722	3142.053	
21.38888	3140.848	
21.46899	3134.2	
21.50044	3134.816	
21.57902	3134.071	
21.60946	3134.883	
21.68576	3123.351	
21.71729	3124.166	
21.79756	3124.201	
21.82898	3115.946	
21.90611	3114.318	
21.93799	3103.686	
22.01617	3111.458	
22.04824	3110.285	
22.12712	3107.33	
22.15852	3094.674	
22.23474	3093.325	
22.26609	3091.938	
22.34394	3087.726	
22.3756	3094.627	
22.45392	3090.443	
22.48556	3091.3	
22.56333	3075.469	
22.59443	3086.728	
22.67359	3085.067	
22.70503	3081.258	
22.78274	3064.73	
22.81483	3080.95	
22.89346	3064.315	
22.92461	3073.747	
23.00139	3064.071	
23.03336	3066.124	
23.1109	3070.361	
23.14176	3061.35	
23.21786	3069.981	
23.24973	3053.058	
23.3302	3054.903	
23.36214	3061.307	
23.4415	3041.022	
23.47242	3053.687	
23.5491	3032.995	
23.581	3047.313	
23.65804	3039.163	
23.68963	3043.014	
23.76914	3030.434	
23.80079	3038.107	
23.87817	3033.471	
23.9094	3024.862	
23.98762	3017.252	
24.01957	3020.738	
24.09739	3026.897	
24.12847	3015.927	
24.2066	3015.959	
24.23894	3013.998	
24.31754	3026.003	
24.34849	3005.312	
24.42451	3004.521	
24.45647	3006.849	
24.53412	2992.014	
24.56566	3001.54	
24.64552	2994.781	
24.67693	2996.936	
24.75282	2984.215	
24.78509	2989.267	
24.86467	2979.019	
24.89596	2984.385	
24.97321	2977.436	
25.00382	2973.905	
25.08168	2984.457	
25.11424	2977.713	
25.19364	2976.084	
25.22543	2970.51	
25.30281	2975.137	
25.33437	2974.4	
25.41119	2966.901	
25.44238	2962.298	
25.52087	2954.986	
25.55251	2960.628	
25.62993	2956.809	
25.66155	2952.043	
25.7398	2947.244	
25.77113	2939.192	
25.84733	2936.913	
25.87872	2947.256	
25.95869	2937.303	
25.99239	2935.504	
26.0687	2929.021	
26.1004	2940.108	
26.17624	2934.688	
26.2075	2936.837	
26.28638	2926.12	
26.31893	2927.113	
26.39769	2918.735	
26.42831	2921.73	
26.505	2915.298	
26.5364	2917.515	
26.61508	2913.594	
26.64702	2914.285	
26.72745	2914.336	
26.7589	2913.564	
26.8325	2911.262	
26.86377	2910.955	
26.94424	2899.702	
26.97612	2894.333	
27.05429	2901.666	
27.08573	2898.942	
27.16314	2903.545	
27.1958	2896.833	
27.27259	2894.138	
27.304	2890.013	
27.38245	2887.708	
27.41408	2887.8	
27.49125	2878.98	
27.52318	2879.831	
27.60009	2869.435	
27.63103	2876.495	
27.71042	2865.745	
27.74181	2878.159	
27.81823	2870.937	
27.84967	2858.7	
27.92912	2861.614	
27.96066	2857.678	
28.03741	2846.718	
28.07016	2856.936	
28.15051	2840.413	
28.18139	2833.998	
28.25658	2846.634	
28.28775	2847.107	
28.36646	2849.191	
28.39816	2837.444	
28.47732	2837.305	
28.50927	2835.627	
