T[°C]	Ratio 350nm / 330nm	S.D.
20.00044	0.8770822	
20.00075	0.8746704	
20.00521	0.8779415	
20.00831	0.8786719	
20.01973	0.8837317	
20.02609	0.8794895	
20.04493	0.8783038	
20.05378	0.8786929	
20.07992	0.8776574	
20.09124	0.8793966	
20.12237	0.8781033	
20.13603	0.8781798	
20.17265	0.8774455	
20.18872	0.8790519	
20.23059	0.8771763	
20.24907	0.8790123	
20.29761	0.8761491	
20.31908	0.8787702	
20.37021	0.8776301	
20.39281	0.8770797	
20.44963	0.8772178	
20.47352	0.8788795	
20.5359	0.8787309	
20.56164	0.8780597	
20.6268	0.8792742	
20.65448	0.8757119	
20.72223	0.8763611	
20.75045	0.8788027	
20.82217	0.8786716	
20.85109	0.8778687	
20.92553	0.8790787	
20.95645	0.8787593	
21.03274	0.8778549	
21.06406	0.8754739	
21.13981	0.8793809	
21.17071	0.8798152	
21.2485	0.879514	
21.2806	0.8780096	
21.35722	0.874892	
21.38888	0.8797028	
21.46899	0.8787346	
21.50044	0.876377	
21.57902	0.8769379	
21.60946	0.8770326	
21.68576	0.8776353	
21.71729	0.8755532	
21.79756	0.8770459	
21.82898	0.879187	
21.90611	0.8771881	
21.93799	0.8796718	
22.01617	0.8795629	
22.04824	0.875446	
22.12712	0.8765571	
22.15852	0.8764734	
22.23474	0.8786256	
22.26609	0.8780732	
22.34394	0.877449	
22.3756	0.8759403	
22.45392	0.879382	
22.48556	0.8758649	
22.56333	0.8813815	
22.59443	0.8732111	
22.67359	0.8757697	
22.70503	0.8787147	
22.78274	0.8810115	
22.81483	0.8726934	
22.89346	0.876413	
22.92461	0.8774179	
23.00139	0.8784378	
23.03336	0.8775668	
23.1109	0.8748501	
23.14176	0.8797393	
23.21786	0.8751689	
23.24973	0.8757229	
23.3302	0.8768218	
23.36214	0.8731251	
23.4415	0.8769357	
23.47242	0.8774073	
23.5491	0.8768568	
23.581	0.8766729	
23.65804	0.8747582	
23.68963	0.8782481	
23.76914	0.8785368	
23.80079	0.8742329	
23.87817	0.875191	
23.9094	0.8764476	
23.98762	0.8795323	
24.01957	0.8759683	
24.09739	0.8764559	
24.12847	0.8776812	
24.2066	0.8773919	
24.23894	0.8763838	
24.31754	0.8715008	
24.34849	0.8767669	
24.42451	0.8764625	
24.45647	0.8765586	
24.53412	0.8783556	
24.56566	0.8776267	
24.64552	0.8772629	
24.67693	0.87489	
24.75282	0.8774871	
24.78509	0.8760456	
24.86467	0.8788816	
24.89596	0.8765543	
24.97321	0.8795245	
25.00382	0.8780124	
25.08168	0.874317	
25.11424	0.8756678	
25.19364	0.8754076	
25.22543	0.8776487	
25.30281	0.8735282	
25.33437	0.8738453	
25.41119	0.8746309	
25.44238	0.8764563	
25.52087	0.8759608	
25.55251	0.8741615	
25.62993	0.876798	
25.66155	0.8755888	
25.7398	0.8752085	
25.77113	0.8783156	
25.84733	0.8745397	
25.87872	0.8734186	
25.95869	0.8759764	
25.99239	0.8754443	
26.0687	0.876295	
26.1004	0.8751518	
26.17624	0.8759577	
26.2075	0.8752164	
26.28638	0.8757083	
26.31893	0.87631	
26.39769	0.8762388	
26.42831	0.8777639	
26.505	0.8753006	
26.5364	0.873642	
26.61508	0.8760651	
26.64702	0.8730464	
26.72745	0.8763504	
26.7589	0.8727853	
26.8325	0.87095	
26.86377	0.874027	
26.94424	0.8749714	
26.97612	0.8779069	
27.05429	0.874602	
27.08573	0.8755502	
27.16314	0.8704868	
27.1958	0.8732142	
27.27259	0.8725755	
27.304	0.8724291	
27.38245	0.8741741	
27.41408	0.8735161	
27.49125	0.8763834	
27.52318	0.8734856	
27.60009	0.8732526	
27.63103	0.8720923	
27.71042	0.874893	
27.74181	0.8709963	
27.81823	0.8729512	
27.84967	0.8740768	
27.92912	0.8745961	
27.96066	0.8739316	
28.03741	0.8763483	
28.07016	0.8739802	
28.15051	0.8778669	
28.18139	0.8758306	
28.25658	0.8748731	
28.28775	0.8724691	
28.36646	0.8724679	
28.39816	0.8747872	
28.47732	0.8736247	
28.50927	0.8744454	
28.58681	0.8740289	
28.61825	0.8727592	
28.69492	0.871628	
28.72593	0.8740892	
28.805	0.8765194	
28.83751	0.873721	
28.91463	0.8754386	
28.94539	0.8761073	
29.02402	0.873547	
29.05653	0.8733683	
29.13465	0.873347	
29.1661	0.8731189	
29.2434	0.8704069	
29.27483	0.8765389	
29.35111	0.8743051	
29.38363	0.876036	
29.46195	0.8723354	
29.49378	0.8707196	
29.57066	0.8696804	
29.60193	0.8697649	
29.68027	0.8766392	
29.71244	0.8721214	
29.78991	0.869565	
29.82106	0.871085	
29.90013	0.8730573	
29.93167	0.8728953	
30.00884	0.8759615	
30.04041	0.8720821	
30.11819	0.8752201	
30.14978	0.8706132	
30.22655	0.8720282	
30.25731	0.8696606	
30.33609	0.873625	
30.37024	0.8707705	
30.44702	0.8719512	
30.47931	0.871122	
30.55616	0.8715388	
30.58712	0.8726441	
30.66642	0.8739336	
30.69842	0.8724037	
30.7762	0.8714529	
30.80717	0.8726345	
30.88566	0.8727943	
30.91749	0.8711973	
30.99326	0.8761576	
31.0258	0.874308	
31.10298	0.8721337	
31.13408	0.8714803	
31.21372	0.871522	
31.24581	0.8730835	
31.32245	0.8712057	
31.35467	0.8719271	
31.43236	0.8717284	
31.46382	0.8719098	
31.54058	0.8677129	
31.57203	0.8737065	
31.65152	0.8724511	
31.68348	0.8709627	
31.75947	0.8712804	
31.79193	0.8697438	
31.86976	0.8679734	
