T[°C]	350nm [counts / mm]	S.D.	First derivative	S.D. of first derivative
20.00045	2815.757		-40.1949	
20.0544	2813.462		-40.15802	
20.10835	2811.16		-40.12206	
20.1623	2808.851		-40.08704	
20.21625	2806.536		-40.053	
20.2702	2804.217		-40.01995	
20.32414	2801.895		-39.98792	
20.37809	2799.57		-39.95691	
20.43204	2797.245		-39.92695	
20.48599	2794.918		-39.89805	
20.53994	2792.592		-39.87021	
20.59389	2790.266		-39.84343	
20.64784	2787.941		-39.81773	
20.70179	2785.618		-39.79308	
20.75574	2783.297		-39.76949	
20.80969	2780.975		-39.74694	
20.86364	2778.646		-39.72541	
20.91759	2776.292		-39.70488	
20.97153	2773.892		-39.68532	
21.02548	2771.56		-39.66669	
21.07943	2769.256		-39.64897	
21.13338	2766.988		-39.63209	
21.18733	2764.76		-39.61601	
21.24128	2762.576		-39.60066	
21.29523	2760.436		-39.58598	
21.34918	2758.341		-39.57191	
21.40313	2756.295		-39.55835	
21.45708	2754.302		-39.54524	
21.51102	2752.365		-39.53249	
21.56497	2750.483		-39.52001	
21.61892	2748.652		-39.50771	
21.67287	2746.862		-39.49549	
21.72682	2745.093		-39.48325	
21.78077	2743.323		-39.47088	
21.83472	2741.54		-39.45828	
21.88867	2739.731		-39.44532	
21.94262	2737.89		-39.43188	
21.99657	2736.013		-39.41787	
22.05052	2734.097		-39.40316	
22.10447	2732.147		-39.38766	
22.15841	2730.169		-39.37131	
22.21236	2728.173		-39.35406	
22.26631	2726.164		-39.33599	
22.32026	2724.143		-39.31727	
22.37421	2722.107		-39.2983	
22.42816	2720.047		-39.27981	
22.48211	2717.953		-39.26298	
22.53606	2715.816		-39.2495	
22.59001	2713.635		-39.24139	
22.64396	2711.418		-39.25873	
22.6979	2709.171		-39.27843	
22.75185	2706.892		-39.3004	
22.8058	2704.586		-39.32449	
22.85975	2702.266		-39.35051	
22.9137	2699.951		-39.3782	
22.96765	2697.655		-39.40725	
23.0216	2695.385		-39.43732	
23.07555	2693.144		-39.46801	
23.1295	2690.934		-39.49896	
23.18345	2688.753		-39.52976	
23.2374	2686.596		-39.56005	
23.29135	2684.453		-39.58947	
23.34529	2682.315		-39.61766	
23.39924	2680.174		-39.64425	
23.45319	2678.027		-39.66886	
23.50714	2675.87		-39.69107	
23.56109	2673.703		-39.71048	
23.61504	2671.527		-39.72668	
23.66899	2669.337		-39.73928	
23.72294	2667.13		-39.74797	
23.77689	2664.908		-39.75246	
23.83084	2662.676		-39.75255	
23.88478	2660.439		-39.74809	
23.93873	2658.208		-39.73901	
23.99268	2655.991		-39.7253	
24.04663	2653.789		-39.70702	
24.10058	2651.603		-39.68434	
24.15453	2649.431		-39.65746	
24.20848	2647.272		-39.6267	
24.26243	2645.119		-39.59243	
24.31638	2642.965		-39.55507	
24.37033	2640.807		-39.51513	
24.42428	2638.639		-39.47311	
