T[°C]	Ratio 350nm / 330nm	S.D.	First derivative	S.D. of first derivative
20.00045	0.8770432		-0.0002793522	
20.0544	0.8770365		-0.0002827804	
20.10835	0.8770296		-0.0002862136	
20.1623	0.8770227		-0.0002896517	
20.21625	0.8770157		-0.0002930946	
20.2702	0.8770087		-0.0002965423	
20.32414	0.8770016		-0.0002999947	
20.37809	0.8769944		-0.0003034517	
20.43204	0.8769873		-0.000306913	
20.48599	0.8769801		-0.0003103786	
20.53994	0.876973		-0.0003138481	
20.59389	0.8769658		-0.0003173215	
20.64784	0.8769585		-0.0003207982	
20.70179	0.8769513		-0.0003242784	
20.75574	0.8769442		-0.0003277615	
20.80969	0.876937		-0.0003312474	
20.86364	0.8769298		-0.0003347357	
20.91759	0.8769226		-0.0003382261	
20.97153	0.8769155		-0.0003417183	
21.02548	0.8769082		-0.0003452119	
21.07943	0.876901		-0.0003487067	
21.13338	0.8768938		-0.0003522023	
21.18733	0.8768865		-0.0003556984	
21.24128	0.8768791		-0.0003591946	
21.29523	0.8768716		-0.0003626906	
21.34918	0.876864		-0.000366186	
21.40313	0.8768562		-0.0003696806	
21.45708	0.8768483		-0.0003731739	
21.51102	0.8768403		-0.0003766657	
21.56497	0.8768321		-0.0003801557	
21.61892	0.8768237		-0.0003836437	
21.67287	0.876815		-0.0003871293	
21.72682	0.8768061		-0.0003906122	
21.78077	0.876797		-0.0003940923	
21.83472	0.8767875		-0.0003975692	
21.88867	0.8767778		-0.0004010429	
21.94262	0.8767678		-0.0004045132	
21.99657	0.8767573		-0.0004079801	
22.05052	0.8767465		-0.0004114433	
22.10447	0.8767352		-0.000414903	
22.15841	0.8767233		-0.000418359	
22.21236	0.8767108		-0.0004218114	
22.26631	0.8766976		-0.0004252604	
22.32026	0.8766835		-0.0004287063	
22.37421	0.8766685		-0.0004321493	
22.42816	0.8766527		-0.0004355898	
22.48211	0.8766366		-0.0004390283	
22.53606	0.8766184		-0.0004424654	
22.59001	0.8765999		-0.0004459017	
22.64396	0.8765811		-0.0004493382	
22.6979	0.8765621		-0.0004527759	
22.75185	0.8765424		-0.000456216	
22.8058	0.8765221		-0.0004596596	
22.85975	0.876501		-0.0004631081	
22.9137	0.876479		-0.0004665629	
22.96765	0.8764561		-0.0004700258	
23.0216	0.8764322		-0.0004734987	
23.07555	0.8764073		-0.0004769838	
23.1295	0.8763812		-0.0004804839	
23.18345	0.8763538		-0.0004840019	
23.2374	0.876325		-0.0004875412	
23.29135	0.8762945		-0.0004911061	
23.34529	0.8762624		-0.0004947014	
23.39924	0.8762287		-0.000498333	
23.45319	0.8761933		-0.0005020077	
23.50714	0.8761564		-0.0005057339	
23.56109	0.8761181		-0.0005095203	
23.61504	0.8760786		-0.0005133763	
23.66899	0.8760381		-0.0005173102	
23.72294	0.8759971		-0.0005213267	
23.77689	0.8759559		-0.0005255235	
23.83084	0.8759146		-0.0005297521	
23.88478	0.8758737		-0.0005340091	
23.93873	0.8758334		-0.0005382903	
23.99268	0.8757938		-0.0005425917	
24.04663	0.875755		-0.0005469091	
24.10058	0.8757173		-0.0005512389	
24.15453	0.8756806		-0.0005555776	
24.20848	0.8756452		-0.0005599218	
24.26243	0.8756108		-0.000564268	
24.31638	0.8755776		-0.0005686135	
24.37033	0.8755453		-0.0005729551	
24.42428	0.8755139		-0.0005772902	
24.47823	0.8754832		-0.0005816161	
24.53218	0.8754531		-0.0005859305	
24.58612	0.8754236		-0.0005902313	
24.64007	0.8753947		-0.0005945163	
24.69402	0.8753663		-0.0005987842	
24.74797	0.8753384		-0.0006030332	
24.80192	0.8753109		-0.0006072619	
24.85587	0.8752836		-0.0006114686	
24.90982	0.8752565		-0.0006156513	
24.96377	0.8752295		-0.000619808	
25.01772	0.8752028		-0.000623936	
25.07166	0.8751762		-0.0006280327	
25.12561	0.8751497		-0.0006320957	
25.17956	0.8751233		-0.0006361226	
25.23351	0.8750969		-0.000640111	
25.28746	0.8750703		-0.0006440592	
25.34141	0.8750435		-0.0006479651	
25.39536	0.8750162		-0.0006518278	
25.44931	0.8749886		-0.0006556461	
25.50326	0.8749603		-0.0006594196	
25.55721	0.8749313		-0.0006631482	
25.61116	0.8749015		-0.0006668319	
25.66511	0.8748707		-0.0006704711	
25.71906	0.8748388		-0.0006740658	
25.773	0.8748059		-0.0006776166	
25.82695	0.8747721		-0.0006811232	
25.8809	0.8747375		-0.0006845851	
25.93485	0.8747024		-0.0006880014	
25.9888	0.8746669		-0.0006913705	
