T[°C]	Scattering [mAU]	S.D.	First derivative	S.D. of first derivative
20.00045	90.53345		-0.2633033	
20.0544	90.5244		-0.2548414	
20.10835	90.51488		-0.2464383	
20.1623	90.50486		-0.2380973	
20.21625	90.49433		-0.2298219	
20.2702	90.48324		-0.221615	
20.32414	90.47154		-0.2134804	
20.37809	90.45921		-0.2054218	
20.43204	90.44624		-0.1974426	
20.48599	90.43263		-0.1895466	
20.53994	90.4184		-0.1817374	
20.59389	90.40363		-0.1740187	
20.64784	90.38845		-0.1663941	
20.70179	90.37304		-0.1588668	
20.75574	90.35757		-0.1514402	
20.80969	90.34205		-0.1441175	
20.86364	90.3258		-0.136902	
20.91759	90.30457		-0.1297962	
20.97153	90.28526		-0.122803	
21.02548	90.26772		-0.1159248	
21.07943	90.25092		-0.1091632	
21.13338	90.2344		-0.10252	
21.18733	90.21809		-0.09599628	
21.24128	90.202		-0.0895929	
21.29523	90.18639		-0.08331008	
21.34918	90.17175		-0.0771475	
21.40313	90.15829		-0.07110412	
21.45708	90.14636		-0.06517825	
21.51102	90.13653		-0.05936663	
21.56497	90.12947		-0.05366553	
21.61892	90.12599		-0.04806989	
21.67287	90.12675		-0.04257341	
21.72682	90.13194		-0.0371685	
21.78077	90.14156		-0.03184619	
21.83472	90.15524		-0.02659627	
21.88867	90.17279		-0.02140644	
21.94262	90.19375		-0.0162634	
21.99657	90.21703		-0.01115196	
22.05052	90.24139		-0.006055127	
22.10447	90.26536		-0.0009541279	
22.15841	90.28771		0.004171384	
22.21236	90.30767		0.009342642	
22.26631	90.32521		0.01458001	
22.32026	90.34056		0.0199006	
22.37421	90.35425		0.02531153	
22.42816	90.36674		0.03080152	
22.48211	90.37847		0.03632821	
22.53606	90.38963		0.04180691	
22.59001	90.40058		0.04711645	
22.64396	90.41177		0.0465371	
22.6979	90.42374		0.04559454	
22.75185	90.43704		0.04429672	
22.8058	90.45142		0.04265076	
22.85975	90.46606		0.04066416	
22.9137	90.48019		0.03834614	
22.96765	90.49303		0.03570899	
23.0216	90.50414		0.03276908	
23.07555	90.51379		0.0295479	
23.1295	90.52209		0.02607168	
23.18345	90.52885		0.0223717	
23.2374	90.53398		0.01848393	
23.29135	90.5375		0.0144496	
23.34529	90.53951		0.01031474	
23.39924	90.54017		0.006129772	
23.45319	90.53973		0.001948301	
23.50714	90.53861		-0.002175956	
23.56109	90.53706		-0.00619036	
23.61504	90.53513		-0.01004592	
23.66899	90.53259		-0.01369877	
23.72294	90.52908		-0.01711059	
23.77689	90.52459		-0.02024774	
23.83084	90.51895		-0.02308092	
23.88478	90.51201		-0.02558546	
23.93873	90.50352		-0.02774063	
23.99268	90.49319		-0.02953148	
24.04663	90.48122		-0.03094933	
24.10058	90.46805		-0.03199198	
24.15453	90.45374		-0.03266366	
24.20848	90.43832		-0.03297402	
24.26243	90.42168		-0.03293691	
24.31638	90.40357		-0.03256924	
24.37033	90.38396		-0.03189082	
24.42428	90.36297		-0.03092408	
24.47823	90.34113		-0.02969426	
24.53218	90.31927		-0.02822782	
24.58612	90.29836		-0.02655145	
24.64007	90.27914		-0.02469113	
24.69402	90.26215		-0.02267117	
24.74797	90.24718		-0.02051415	
24.80192	90.23357		-0.01824046	
24.85587	90.22084		-0.0158685	
24.90982	90.2085		-0.01341551	
24.96377	90.19627		-0.01089919	
25.01772	90.18466		-0.008338777	
25.07166	90.17443		-0.005755248	
25.12561	90.16621		-0.003170376	
25.17956	90.16016		-0.0006061973	
25.23351	90.15635		0.001917077	
25.28746	90.15488		0.004381413	
25.34141	90.1562		0.0067708	
25.39536	90.16076		0.00907144	
25.44931	90.16895		0.01127074	
25.50326	90.18121		0.01335749	
25.55721	90.19748		0.01532162	
25.61116	90.2173		0.01715508	
25.66511	90.24003		0.01885157	
25.71906	90.2642		0.02040546	
25.773	90.28804		0.02180993	
25.82695	90.31038		0.02305524	
25.8809	90.33069		0.02412783	
25.93485	90.34937		0.02500964	
25.9888	90.36752		0.02567739	
26.04275	90.38615		0.02610282	
26.0967	90.40585		0.02625446	
26.15065	90.42646		0.02609939	
26.2046	90.44754		0.02560493	
26.25854	90.46843		0.02474021	
26.31249	90.48834		0.02347797	
26.36644	90.50644		0.02179735	
26.42039	90.52228		0.01968605	
26.47434	90.53571		0.01714197	
26.52829	90.54634		0.014174	
26.58224	90.55383		0.0108017	
26.63619	90.55811		0.007054502	
26.69014	90.5592		0.002970897	
26.74409	90.55727		-0.001404674	
26.79804	90.55268		-0.006023397	
26.85199	90.54621		-0.01083475	
26.90594	90.53886		-0.01578897	
26.95988	90.53151		-0.02083868	
27.01383	90.52442		-0.02593989	
27.06778	90.51727		-0.03105223	
27.12173	90.50973		-0.0361399	
27.17568	90.50174		-0.04117001	
27.22963	90.4933		-0.04611216	
27.28358	90.4843		-0.05093624	
27.33753	90.47469		-0.05561092	
27.39148	90.46487		-0.06010249	
27.44543	90.45537		-0.0643741	
27.49937	90.44639		-0.0683861	
27.55332	90.43749		-0.07209773	
27.60727	90.42806		-0.07546768	
27.66122	90.4177		-0.07845608	
27.71517	90.40625		-0.08102576	
27.76912	90.39391		-0.08314428	
27.82307	90.38103		-0.08478642	
27.87702	90.36758		-0.08593576	
27.93097	90.3532		-0.08658596	
27.98492	90.33741		-0.08674081	
28.03887	90.31974		-0.08641364	
28.09282	90.30021		-0.08562627	
28.14676	90.27938		-0.08440711	
28.20071	90.25845		-0.08278906	
28.25466	90.23834		-0.08080658	
28.30861	90.21924		-0.07849369	
28.36256	90.20107		-0.07588317	
28.41651	90.18346		-0.07300582	
