T[°C]	Scattering [mAU]	S.D.
20.00046	90.68991	
20.00085	90.50984	
20.00483	90.50365	
20.00875	90.66829	
20.01901	90.28219	
20.02705	90.78449	
20.04386	90.83854	
20.05507	90.99016	
20.07842	90.83338	
20.09276	90.86022	
20.12053	90.92378	
20.13784	90.89741	
20.1705	90.93978	
20.19082	91.51363	
20.22817	90.8211	
20.25157	91.17646	
20.29487	90.53898	
20.32174	90.66633	
20.36735	90.73147	
20.39586	90.78987	
20.44655	90.45956	
20.47675	90.16837	
20.53242	90.03124	
20.56508	90.43163	
20.6232	90.06577	
20.65818	90.32572	
20.71861	90.73556	
20.75436	90.6386	
20.81835	90.77737	
20.85498	90.76998	
20.92135	90.56121	
20.96044	90.54907	
21.02849	90.93736	
21.06809	90.65309	
21.13565	90.74124	
21.1748	90.84043	
21.24414	90.81483	
21.28482	90.68578	
21.35318	90.7963	
21.39328	90.5373	
21.46479	90.9275	
21.50462	90.41753	
21.57499	90.91239	
21.61353	90.79408	
21.68159	90.87337	
21.7216	91.15237	
21.79319	90.3225	
21.83307	91.84393	
21.90186	90.93828	
21.94217	91.21611	
22.01188	90.97743	
22.0525	91.12788	
22.12286	90.76408	
22.16263	90.63496	
22.23067	90.39124	
22.27037	90.41223	
22.3398	90.59634	
22.3799	90.3616	
22.44998	90.216	
22.49003	90.63725	
22.55939	90.46164	
22.59871	90.71687	
22.6693	90.84269	
22.70913	91.19292	
22.77847	90.62247	
22.81912	90.71722	
22.88931	90.83227	
22.92868	90.77374	
22.99716	90.85482	
23.03759	90.7406	
23.10678	90.92924	
23.14587	90.99991	
23.21374	90.96709	
23.2541	90.92556	
23.32587	90.62916	
23.3664	90.53331	
23.43721	90.49113	
23.47646	90.4604	
23.54484	90.9001	
23.58518	90.5972	
23.65396	90.92709	
23.69397	91.06641	
23.76497	90.53053	
23.80498	90.46386	
23.874	90.54308	
23.91356	90.5471	
23.98334	90.77175	
24.02382	90.12534	
24.09325	90.55084	
24.13261	90.22835	
24.20231	90.15749	
24.24326	90.19378	
24.31339	90.41553	
24.35245	90.66293	
24.42029	90.58862	
24.46069	90.81667	
24.52996	90.47749	
24.5699	90.51256	
24.64113	90.74574	
24.68098	91.34944	
