T[°C]	330nm [counts / mm]	S.D.	First derivative	S.D. of first derivative
20.00043	3270.925	86.6444	-46.47218	2.360771
20.05438	3268.397	86.55705	-46.42292	2.302799
20.10833	3265.871	86.47092	-46.37375	2.245606
20.16228	3263.347	86.38602	-46.32465	2.189247
20.21623	3260.823	86.30242	-46.27564	2.133777
20.27018	3258.301	86.21998	-46.22672	2.079257
20.32413	3255.78	86.1389	-46.17789	2.02575
20.37808	3253.26	86.05903	-46.12915	1.973322
20.43203	3250.742	85.98022	-46.08051	1.922043
20.48598	3248.225	85.90239	-46.03196	1.871987
20.53993	3245.708	85.82422	-45.9835	1.823226
20.59388	3243.194	85.74544	-45.93513	1.775838
20.64783	3240.68	85.66478	-45.88686	1.729904
20.70178	3238.167	85.58183	-45.83868	1.685505
20.75573	3235.655	85.49598	-45.79059	1.642722
20.80968	3233.143	85.40775	-45.74257	1.601639
20.86363	3230.632	85.31793	-45.69463	1.562339
20.91758	3228.123	85.22839	-45.64675	1.524902
20.97153	3225.62	85.14223	-45.59893	1.489408
21.02548	3223.118	85.0773	-45.55115	1.455934
21.07943	3220.615	85.025	-45.5034	1.424548
21.13338	3218.118	84.98746	-45.45566	1.395316
21.18733	3215.635	84.96667	-45.40791	1.368294
21.24128	3213.172	84.96393	-45.36015	1.343535
21.29523	3210.734	84.97715	-45.31234	1.321076
21.34918	3208.321	84.99896	-45.26447	1.300948
21.40313	3205.933	85.01756	-45.21652	1.283168
21.45708	3203.567	85.02273	-45.16848	1.267733
21.51103	3201.218	85.01084	-45.12032	1.254632
21.56498	3198.878	84.98462	-45.07203	1.243829
21.61893	3196.535	84.94978	-45.02358	1.235286
21.67288	3194.176	84.913	-44.97497	1.228947
21.72683	3191.795	84.88216	-44.92616	1.224741
21.78078	3189.396	84.86159	-44.87716	1.222594
21.83473	3186.985	84.85162	-44.82792	1.222418
21.88868	3184.571	84.84808	-44.77843	1.224124
21.94263	3182.162	84.84702	-44.72868	1.22762
21.99658	3179.765	84.84892	-44.67863	1.232817
22.05053	3177.385	84.85365	-44.6283	1.239629
22.10448	3175.026	84.85635	-44.57766	1.247983
22.15843	3172.684	84.85368	-44.52671	1.257835
22.21238	3170.351	84.84394	-44.47545	1.269166
22.26632	3168.023	84.82475	-44.4239	1.282004
22.32027	3165.692	84.79375	-44.37209	1.296449
22.37423	3163.348	84.74941	-44.32006	1.312706
22.42817	3160.981	84.69738	-44.26793	1.331093
22.48212	3158.585	84.64392	-44.21583	1.352071
22.53607	3156.157	84.59368	-44.16399	1.376198
22.59002	3153.697	84.54733	-44.11274	1.403984
22.64397	3151.213	84.49987	-44.06175	1.430913
22.69792	3148.714	84.4418	-44.01176	1.45694
22.75187	3146.214	84.36513	-43.96289	1.481862
22.80582	3143.723	84.27061	-43.91528	1.505507
22.85977	3141.251	84.16537	-43.86901	1.527736
22.91372	3138.807	84.05513	-43.82415	1.548439
22.96767	3136.39	83.94384	-43.78077	1.567546
23.02162	3133.997	83.83362	-43.73888	1.585025
