T[°C]	350nm [counts / mm]	S.D.
20.00043	2863.339	75.59702
20.05438	2859.732	77.16964
20.10833	2859.372	70.80711
20.16228	2861.227	74.37827
20.21623	2855.223	72.61822
20.27018	2856.14	74.24464
20.32413	2851.918	76.59414
20.37808	2847.896	72.15951
20.43203	2846.365	73.48489
20.48598	2846.242	70.24035
20.53993	2845.422	69.04633
20.59388	2839.938	72.01681
20.64783	2838.505	75.13958
20.70178	2838.333	72.63484
20.75573	2832.7	70.25735
20.80968	2830.399	70.71179
20.86363	2829.706	72.64314
20.91758	2827.763	68.73738
20.97153	2827.061	61.48239
21.02548	2823.632	70.00922
21.07943	2822.812	72.67539
21.13338	2823.262	73.78004
21.18733	2819.501	70.3457
21.24128	2817.242	72.06202
21.29523	2809.571	72.89407
21.34918	2809.13	71.08459
21.40313	2808.29	68.74666
21.45708	2804.938	70.99129
21.51103	2802.419	69.33194
21.56498	2800.476	70.20953
21.61893	2798.171	67.58683
21.67288	2794.093	69.76679
21.72683	2792.022	74.04086
21.78078	2788.885	70.90746
21.83473	2788.175	73.45584
21.88868	2787.951	74.31615
21.94263	2788.342	70.89531
21.99658	2781.316	70.72414
22.05053	2784.375	76.64352
22.10448	2780.557	70.69334
22.15843	2778.567	68.44982
22.21238	2774.777	71.94264
22.26632	2774.684	69.17942
22.32027	2771.137	67.6792
22.37423	2771.136	74.09222
22.42817	2765.988	71.13078
22.48212	2765.994	70.2173
22.53607	2763.37	72.79389
22.59002	2760.961	73.64906
22.64397	2757.795	75.08035
22.69792	2755.1	73.37305
22.75187	2756.144	72.0406
22.80582	2751.549	66.48216
22.85977	2749.234	66.96629
22.91372	2750.654	71.87962
22.96767	2745.371	72.77646
23.02162	2741.381	73.38681
23.07557	2736.315	72.1897
23.12952	2735.331	73.34137
23.18347	2735.432	71.92019
23.23742	2732.636	69.42148
23.29137	2730.382	71.92311
23.34532	2729.24	72.76057
23.39927	2726.019	69.09399
23.45322	2720.823	66.61536
23.50717	2718.844	65.80789
23.56112	2719.504	68.73355
23.61507	2717.993	70.49655
23.66902	2714.74	66.96127
23.72297	2716.643	70.72285
23.77692	2718.906	72.55946
23.83087	2712.512	72.23036
23.88482	2713.151	74.12107
23.93877	2707.519	67.11003
23.99272	2707.514	68.57626
24.04667	2706.784	67.21745
24.10062	2703.883	66.76668
24.15457	2698.345	68.49903
24.20852	2699.661	69.26537
24.26247	2693.225	66.30699
24.31642	2691.43	61.81477
24.37037	2688.726	63.72434
24.42432	2684.915	61.57788
24.47827	2684.519	68.00202
24.53222	2683.252	67.87802
24.58617	2682.68	68.03475
24.64012	2679.607	69.23743
24.69407	2675.693	70.95363
24.74802	2675.497	70.50168
24.80197	2670.973	66.79249
24.85592	2669.76	69.76753
24.90987	2667.387	70.3203
24.96382	2665.315	71.12074
25.01777	2663.151	67.77833
25.07172	2662.523	65.98285
25.12567	2657.704	63.24511
25.17962	2657.992	66.41425
25.23357	2660.313	65.9692
25.28752	2655.717	64.06809
25.34146	2648.045	67.4766
25.39541	2647.378	65.41074
25.44937	2645.223	67.62755
25.50331	2642.804	66.71092
25.55726	2639.227	65.88041
25.61121	2639.176	67.20309
25.66516	2640.35	69.91835
25.71911	2636.472	69.30444
25.77306	2636.17	66.52737
25.82701	2632.868	65.35175
25.88096	2627.586	67.46412
25.93491	2623.623	66.13369
25.98886	2626.902	67.06111
26.04281	2621.797	65.08358
26.09676	2622.1	68.5029
26.15071	2619.805	66.90797
26.20466	2619.179	66.57716
26.25861	2618.061	68.24182
26.31256	2608.919	68.55688
26.36651	2608.959	67.87727
26.42046	2609.483	64.21632
26.47441	2609.649	64.25375
26.52836	2602.074	67.77414
26.58231	2600.715	66.81265
26.63626	2599.436	67.11086
26.69021	2596.411	68.01624
26.74416	2595.13	67.93647
26.79811	2594.081	65.79807
26.85206	2592.992	65.32883
26.90601	2590.429	64.48306
26.95996	2587.104	66.54487
27.01391	2585.031	69.02563
27.06786	2582.349	66.16581
27.12181	2579.795	65.12862
27.17576	2577.649	66.05305
27.22971	2575.503	62.36536
27.28366	2577.354	60.92547
27.33761	2574.948	62.37055
27.39156	2571.49	63.74861
27.44551	2569.734	65.62537
27.49946	2564.405	64.12382
27.55341	2561.054	65.90717
