T[°C]	Ratio 350nm / 330nm	S.D.	First derivative	S.D. of first derivative
20.00043	0.8761613	0.001084601	-0.0003406071	7.907768E-05
20.05438	0.8761441	0.001086096	-0.0003438327	7.857832E-05
20.10833	0.8761269	0.001087528	-0.0003470685	7.807506E-05
20.16228	0.8761095	0.001088894	-0.0003503146	7.756787E-05
20.21623	0.8760921	0.001090156	-0.0003535711	7.705671E-05
20.27018	0.8760747	0.001091357	-0.000356838	7.654155E-05
20.32413	0.8760571	0.001092461	-0.0003601154	7.60224E-05
20.37808	0.8760396	0.001093527	-0.0003634032	7.549925E-05
20.43203	0.8760219	0.001094492	-0.0003667013	7.497212E-05
20.48598	0.8760043	0.001095447	-0.0003700097	7.444105E-05
20.53993	0.8759866	0.001096274	-0.0003733283	7.390607E-05
20.59388	0.8759688	0.001097059	-0.0003766569	7.336723E-05
20.64783	0.8759511	0.001097835	-0.0003799953	7.282463E-05
20.70178	0.8759333	0.00109851	-0.0003833434	7.227832E-05
20.75573	0.8759156	0.00109917	-0.000386701	7.172841E-05
20.80968	0.8758978	0.00109982	-0.0003900677	7.1175E-05
20.86363	0.8758801	0.001100397	-0.0003934434	7.061821E-05
20.91758	0.8758624	0.001101017	-0.0003968279	7.005819E-05
20.97153	0.8758447	0.001101647	-0.0004002207	6.949512E-05
21.02548	0.875827	0.001102261	-0.0004036216	6.892908E-05
21.07943	0.8758094	0.001102892	-0.0004070303	6.836034E-05
21.13338	0.8757918	0.001103524	-0.0004104463	6.778904E-05
21.18733	0.8757743	0.001104192	-0.0004138695	6.721545E-05
21.24128	0.8757568	0.001104816	-0.0004172994	6.663975E-05
21.29523	0.8757394	0.001105466	-0.0004207355	6.60622E-05
21.34918	0.875722	0.001106141	-0.0004241776	6.548309E-05
21.40313	0.8757046	0.001106781	-0.0004276253	6.490263E-05
21.45708	0.8756874	0.001107461	-0.000431078	6.432118E-05
21.51103	0.8756701	0.001108064	-0.0004345355	6.373905E-05
21.56498	0.8756527	0.001108688	-0.0004379972	6.315656E-05
21.61893	0.8756354	0.001109309	-0.0004414628	6.257404E-05
21.67288	0.8756182	0.001109916	-0.0004449319	6.199189E-05
21.72683	0.8756009	0.001110483	-0.000448404	6.141046E-05
21.78078	0.8755835	0.001111036	-0.0004518787	6.08302E-05
21.83473	0.8755661	0.001111515	-0.0004553556	6.02515E-05
21.88868	0.8755486	0.001111919	-0.0004588343	5.967485E-05
21.94263	0.875531	0.001112257	-0.0004623143	5.910069E-05
21.99658	0.8755133	0.001112552	-0.0004657953	5.852947E-05
