T[°C]	Scattering [mAU]	S.D.	First derivative	S.D. of first derivative
20.00043	90.63625	0.2031038	-0.08661277	0.214805
20.05438	90.63454	0.2038974	-0.08502555	0.2091723
20.10833	90.63277	0.2060359	-0.08344962	0.2035338
20.16228	90.63094	0.2094947	-0.08188542	0.1978901
20.21623	90.62903	0.214222	-0.08033343	0.192242
20.27018	90.62701	0.2201583	-0.07879412	0.1865907
20.32413	90.62482	0.2272193	-0.07726794	0.1809376
20.37808	90.62247	0.2352941	-0.07575533	0.1752844
20.43203	90.61993	0.2442774	-0.07425673	0.1696332
20.48598	90.61718	0.2540428	-0.07277253	0.1639863
20.53993	90.61419	0.2644842	-0.07130313	0.1583464
20.59388	90.61094	0.2754669	-0.06984885	0.1527166
20.64783	90.60744	0.2868656	-0.06841002	0.1471003
20.70178	90.60376	0.2985521	-0.0669869	0.1415014
20.75573	90.6	0.3105105	-0.0655797	0.1359241
20.80968	90.59634	0.3229793	-0.06418857	0.1303732
20.86363	90.59261	0.3374595	-0.06281362	0.1248542
20.91758	90.5877	0.3477159	-0.0614549	0.1193731
20.97153	90.58284	0.3560585	-0.06011234	0.1139364
21.02548	90.57797	0.3628322	-0.0587858	0.1085518
21.07943	90.57316	0.3684738	-0.05747504	0.1032277
21.13338	90.56857	0.3733715	-0.05617978	0.09797383
21.18733	90.56443	0.378053	-0.0548997	0.09280099
21.24128	90.56071	0.3831521	-0.05363445	0.08772164
21.29523	90.55727	0.3892136	-0.05238368	0.08274986
21.34918	90.55386	0.3965369	-0.05114701	0.07790166
21.40313	90.55035	0.4052354	-0.04992403	0.07319538
21.45708	90.54672	0.4150669	-0.04871425	0.06865215
21.51103	90.54333	0.4258032	-0.04751711	0.06429649
21.56498	90.54054	0.4370548	-0.0463319	0.06015702
21.61893	90.53867	0.4481612	-0.04515774	0.05626721
21.67288	90.53766	0.4585665	-0.04399351	0.052666
21.72683	90.53737	0.4681238	-0.04283785	0.04939809
21.78078	90.53767	0.4767161	-0.04168917	0.04651327
21.83473	90.53842	0.4843609	-0.04054563	0.04406447
21.88868	90.53942	0.4912273	-0.03940517	0.04210393
21.94263	90.54057	0.4980041	-0.03826548	0.04067748
21.99658	90.54193	0.5053535	-0.03712403	0.03981745
22.05053	90.54372	0.5134258	-0.03597813	0.03953632
22.10448	90.54591	0.5220534	-0.03482497	0.03982339
22.15843	90.54825	0.5308008	-0.03366173	0.040646
22.21238	90.5505	0.5391405	-0.03248582	0.04195483
22.26632	90.55239	0.5465434	-0.0312952	0.04369122
22.32027	90.55385	0.5522923	-0.03008902	0.04579394
22.37423	90.55487	0.5558012	-0.02886872	0.04820349
22.42817	90.55547	0.5566473	-0.02763945	0.05086326
22.48212	90.55569	0.5543961	-0.02641205	0.05371871
22.53607	90.55556	0.548717	-0.02520427	0.05671744
22.59002	90.55524	0.5394531	-0.02403895	0.05981657
22.64397	90.55502	0.5267575	-0.0233038	0.05901309
22.69792	90.55494	0.5112351	-0.02258222	0.05804681
22.75187	90.55497	0.4933985	-0.02187696	0.05693247
22.80582	90.55501	0.4735304	-0.02119172	0.05568273
22.85977	90.55497	0.4516289	-0.02053121	0.05430784
22.91372	90.55475	0.4277924	-0.01990133	0.05281506
22.96767	90.55424	0.4024675	-0.01930922	0.05120861
23.02162	90.55348	0.3763166	-0.01876311	0.04948975
23.07557	90.55263	0.3499974	-0.01827182	0.04765728
23.12952	90.55173	0.3241894	-0.01784377	0.04570859
23.18347	90.55064	0.2995259	-0.01748639	0.04364074
23.23742	90.54919	0.2767485	-0.01720589	0.04145116
23.29137	90.54708	0.2563997	-0.01700724	0.03913828
23.34532	90.54424	0.2387276	-0.01689403	0.03670133
23.39927	90.54062	0.223458	-0.0168681	0.0341397
23.45322	90.53636	0.2103014	-0.01692903	0.03145259
23.50717	90.53175	0.1989663	-0.01707368	0.02863911
23.56112	90.5271	0.1891778	-0.01729626	0.02569906
23.61507	90.52257	0.1807231	-0.01758881	0.02263393
23.66902	90.51825	0.1739457	-0.01794154	0.01944918
23.72297	90.51404	0.1694691	-0.01834323	0.01615803
23.77692	90.50992	0.1675879	-0.01878168	0.01278934
23.83087	90.50597	0.1681172	-0.01924407	0.009409506
23.88482	90.50227	0.1703893	-0.01971738	0.006212246
23.93877	90.49888	0.1738901	-0.02018853	0.00398934
23.99272	90.49583	0.1783939	-0.02064407	0.00469875
24.04667	90.49324	0.1839542	-0.02107065	0.007605776
24.10062	90.49105	0.1907161	-0.02145538	0.01109246
24.15457	90.48923	0.1989279	-0.02178601	0.01471249
24.20852	90.48785	0.2089043	-0.02205192	0.01832569
24.26247	90.48702	0.2207998	-0.02224464	0.02185927
24.31642	90.48692	0.2342711	-0.02235812	0.02525967
24.37037	90.48766	0.2486058	-0.02238867	0.0284801
24.42432	90.48935	0.2631672	-0.02233487	0.03147677
24.47827	90.49197	0.2774346	-0.02219734	0.03420837
24.53222	90.49522	0.2909152	-0.02197885	0.03663691
24.58617	90.49854	0.3032842	-0.02168402	0.03872906
24.64012	90.50148	0.3143466	-0.02131896	0.04045685
24.69407	90.50384	0.3242948	-0.02089078	0.04179726
24.74802	90.50556	0.3334413	-0.02040721	0.04273222
24.80197	90.50692	0.3422247	-0.01987648	0.04324922
24.85592	90.50806	0.3510652	-0.01930709	0.04334188
24.90987	90.5091	0.3603172	-0.01870782	0.04301129
24.96382	90.51006	0.3703904	-0.01808788	0.04226736
25.01777	90.51076	0.3814922	-0.01745711	0.04112944
25.07172	90.51097	0.3936428	-0.01682583	0.03962595
25.12567	90.5104	0.40677	-0.01620456	0.03779316
25.17962	90.50885	0.4208433	-0.01560365	0.0356743
25.23357	90.50633	0.4359	-0.01503306	0.03331873
25.28752	90.50306	0.4519294	-0.01450205	0.03078197
25.34146	90.49912	0.4687371	-0.01401977	0.02812612
25.39541	90.49463	0.4856496	-0.01359529	0.02541991
25.44937	90.48976	0.5018768	-0.01323714	0.02274002
25.50331	90.48465	0.5166597	-0.01295269	0.02017432
25.55726	90.47942	0.5297808	-0.01274767	0.01782811
25.61121	90.47426	0.541217	-0.01262569	0.0158307
25.66516	90.4696	0.5509807	-0.01258798	0.01433404
25.71911	90.4658	0.5592945	-0.01263336	0.01348653
25.77306	90.46301	0.5665913	-0.01275873	0.0133729
25.82701	90.46123	0.5728869	-0.01295923	0.01395898
25.88096	90.46028	0.5777138	-0.01322855	0.01510547
25.93491	90.46	0.5803391	-0.01355896	0.01663709
25.98886	90.4602	0.5799707	-0.01394145	0.01839986
26.04281	90.46082	0.5759925	-0.0143661	0.02027966
26.09676	90.46181	0.5680612	-0.01482233	0.02219875
26.15071	90.4632	0.5561519	-0.01529932	0.02410701
26.20466	90.465	0.5404245	-0.01578657	0.02597539
26.25861	90.4674	0.5212974	-0.0162747	0.0277911
26.31256	90.47038	0.4993732	-0.01675597	0.02955405
26.36651	90.47388	0.4753536	-0.01722442	0.03127349
26.42046	90.47775	0.450052	-0.01767498	0.03296465
26.47441	90.48164	0.424008	-0.01810274	0.03464468
26.52836	90.48518	0.3977133	-0.01850266	0.03632816
26.58231	90.48792	0.3717374	-0.0188699	0.0380231
26.63626	90.48972	0.3465212	-0.01920038	0.03972819
26.69021	90.4907	0.3224553	-0.01949091	0.0414314
26.74416	90.49122	0.3000469	-0.01973904	0.04311007
26.79811	90.49159	0.2797451	-0.01994308	0.04473197
26.85206	90.49194	0.2617396	-0.0201019	0.04625684
26.90601	90.49214	0.2459864	-0.02021505	0.04763852
26.95996	90.49181	0.2322683	-0.02028304	0.04882822
27.01391	90.49058	0.2202261	-0.02030696	0.04977803
27.06786	90.48817	0.2098745	-0.02028861	0.0504441
27.12181	90.48457	0.2011897	-0.02023058	0.0507894
27.17576	90.48005	0.1942753	-0.02013623	0.05078558
27.22971	90.47514	0.1890668	-0.02001012	0.05041456
27.28366	90.47027	0.1857126	-0.01985808	0.04966959
27.33761	90.46559	0.1845725	-0.01968725	0.04855578
27.39156	90.46115	0.1856147	-0.01950571	0.04709017
27.44551	90.45707	0.1882491	-0.01932171	0.04530125
27.49946	90.45345	0.1919929	-0.0191432	0.04322862
27.55341	90.45031	0.1963803	-0.01897705	0.04092291
27.60736	90.44768	0.201235	-0.01882864	0.03844538
27.66131	90.44555	0.2067326	-0.01870164	0.03586756
27.71526	90.44373	0.2131784	-0.01859801	0.03327044
27.76921	90.44199	0.2207098	-0.01851825	0.03074362
27.82316	90.44025	0.2295953	-0.01846121	0.0283838
27.87711	90.43836	0.2402607	-0.01842389	0.02629219
27.93106	90.43641	0.2529711	-0.01840092	0.02456781
27.98501	90.4346	0.2674488	-0.01838539	0.02329424
28.03896	90.4331	0.2830424	-0.01836971	0.02252025
28.09291	90.43183	0.2991557	-0.01834653	0.02224296
28.14686	90.43065	0.3153804	-0.01830945	0.02240299
28.20081	90.42953	0.3313048	-0.01825343	0.02289654
28.25476	90.42853	0.3463859	-0.01817492	0.02359793
28.3087	90.42767	0.3603389	-0.01807149	0.02437964
28.36266	90.42692	0.3729986	-0.01794166	0.02512509
28.4166	90.42611	0.3844055	-0.01778519	0.02573431
28.47055	90.42499	0.3946616	-0.01760337	0.02612467
28.5245	90.42322	0.404068	-0.01739953	0.02623094
28.57845	90.42068	0.4128847	-0.0171792	0.02600522
28.6324	90.41763	0.421466	-0.01694931	0.02541772
28.68635	90.41463	0.4301289	-0.01671761	0.02445838
28.7403	90.41241	0.4387841	-0.01649147	0.02313933
28.79425	90.41143	0.4474564	-0.01627679	0.02150081
28.8482	90.41156	0.4559636	-0.01607775	0.01962195
28.90215	90.41227	0.4642006	-0.0158972	0.01763934
28.9561	90.41301	0.4720579	-0.01573737	0.01577651
29.01005	90.41348	0.4792005	-0.01560019	0.01437233
29.064	90.41376	0.4854925	-0.01548761	0.01384694
29.11795	90.41412	0.4908505	-0.01540183	0.01451241
29.1719	90.41456	0.4949653	-0.01534524	0.01635173
29.22585	90.41508	0.4974945	-0.01532066	0.01907489
29.2798	90.41564	0.4979832	-0.01533143	0.02234469
29.33375	90.41606	0.4964533	-0.01538163	0.02589356
29.3877	90.41637	0.4931831	-0.01547614	0.02953054
29.44165	90.41673	0.4886621	-0.01562037	0.03311993
29.4956	90.41721	0.4832769	-0.0158195	0.0365629
29.54955	90.41808	0.4772155	-0.01607797	0.03978638
29.6035	90.41941	0.4708439	-0.01639904	0.04273638
29.65745	90.42113	0.4646211	-0.0167841	0.04537389
29.7114	90.42299	0.4587943	-0.01723322	0.04767102
29.76535	90.42484	0.453236	-0.01774564	0.0496081
29.8193	90.42653	0.4474864	-0.01831965	0.05117154
29.87325	90.42794	0.4409259	-0.0189533	0.05235282
29.9272	90.42898	0.4330724	-0.01964404	0.05314675
29.98115	90.42954	0.4235873	-0.02038762	0.05355093
30.0351	90.42951	0.4122552	-0.02117946	0.05356542
30.08905	90.42888	0.3989386	-0.0220137	0.05319253
30.143	90.42766	0.383653	-0.02288434	0.05243525
30.19695	90.42612	0.3664579	-0.02378491	0.05129764
30.2509	90.42467	0.3476461	-0.02470924	0.04978563
30.30485	90.42361	0.3276595	-0.02565233	0.04790699
30.3588	90.4231	0.3071136	-0.02661037	0.04567461
30.41275	90.4231	0.2866963	-0.02758033	0.0431061
30.4667	90.42356	0.2667221	-0.02855942	0.04022508
30.52065	90.42429	0.2474217	-0.02954473	0.03706075
30.5746	90.4249	0.2286607	-0.03053323	0.03364727
30.62855	90.42483	0.2101303	-0.03152156	0.03002323
