T[°C]	Scattering [mAU]	S.D.
20.00042	90.30746	
20.00061	89.97624	
20.00579	90.5546	
20.00765	90.7037	
20.02081	90.51012	
20.02464	90.35712	
20.04654	90.28212	
20.05186	90.29422	
20.08217	90.32852	
20.08897	90.36459	
20.12511	90.59479	
20.13332	90.28843	
20.17586	90.63805	
20.18556	89.90136	
20.23422	90.33667	
20.24531	90.12185	
20.30172	90.21357	
20.31509	90.42947	
20.37451	90.38142	
20.38822	90.57372	
20.45426	90.44493	
20.46867	90.34376	
20.54113	90.35047	
20.55648	90.22987	
20.63221	90.43498	
20.64891	90.59074	
20.72764	90.40109	
20.74459	90.62083	
20.82789	90.61731	
20.84525	90.18821	
20.9318	90.55159	
20.95046	89.9331	
21.03912	90.43973	
21.05801	90.31965	
21.14604	90.01669	
21.16458	90.24298	
21.25502	90.01289	
21.27428	89.79483	
21.36327	90.4164	
21.38228	90.07034	
21.47529	90.25616	
21.49418	90.44722	
21.58507	90.07144	
21.60333	90.09505	
21.69202	90.13769	
21.71084	89.91328	
21.80412	90.64977	
21.82285	90.18092	
21.91247	90.29592	
21.93172	89.70369	
22.02261	89.64371	
22.04185	89.67336	
22.13353	89.83062	
22.15236	89.67464	
22.24084	90.00024	
22.25968	89.93786	
22.35015	90.12875	
22.36915	90.15799	
22.45984	90.06345	
22.47885	89.66045	
22.56924	90.10519	
22.58802	89.98035	
22.68001	90.14679	
22.69887	89.77969	
22.78913	90.12098	
22.8084	90.38527	
22.89969	89.68684	
22.9185	89.76242	
23.00772	89.75156	
23.02702	89.8545	
23.11709	90.46044	
23.1356	89.81445	
23.22404	90.45912	
23.24318	90.05466	
23.3367	90.34972	
23.35574	90.5884	
23.44793	90.46961	
23.46636	90.56492	
23.55547	90.75003	
23.57471	90.59823	
23.66415	90.60971	
23.68313	90.48345	
23.7754	90.23633	
23.7945	90.44051	
23.88444	90.17662	
23.90318	90.37446	
23.99402	90.02999	
24.0132	90.10593	
24.10359	89.99612	
24.12225	89.81248	
24.21305	90.19639	
24.23246	90.2219	
24.32376	90.47488	
24.34254	90.299	
24.43085	90.35306	
24.45013	90.16994	
24.54037	90.24476	
24.55931	90.05949	
24.65211	90.55904	
24.67084	90.42852	
24.759	90.34948	
24.77837	90.41975	
24.87085	90.0017	
24.88962	89.98154	
24.97935	89.69505	
24.99772	89.79529	
25.08821	90.04685	
25.10785	90.224	
25.20011	90.10661	
25.21929	90.09721	
25.30922	90.14491	
25.32825	89.90695	
25.41757	90.25966	
25.43628	89.92982	
25.52748	90.32211	
25.54635	90.14218	
25.63632	89.98093	
25.65529	90.08562	
25.74623	89.60439	
25.76491	89.61331	
25.85347	89.41157	
25.8722	89.53275	
25.96514	89.42659	
25.98664	89.50838	
26.07531	89.67106	
26.09432	89.38151	
26.18249	89.97265	
26.20133	89.67997	
26.29254	90.27577	
26.31221	89.66875	
26.4037	90.37469	
26.42208	90.52933	
26.51121	90.03305	
26.53006	89.66873	
26.6215	90.31438	
26.64067	89.95908	
26.734	90.63116	
26.75287	90.30367	
26.83845	90.76842	
26.85722	90.17249	
26.95074	90.12653	
26.96988	90.17579	
27.06071	89.89381	
27.07946	90.18597	
27.16938	90.15797	
27.18958	90.15267	
27.27881	90.60114	
27.29766	90.14948	
27.38887	90.3237	
27.40784	90.42258	
27.49756	90.26892	
27.51674	90.36642	
27.60611	90.41377	
27.62458	90.578	
27.71684	90.24197	
27.73567	90.443	
27.82452	89.95303	
27.84338	90.23138	
27.93566	89.9763	
27.95458	90.09896	
28.04377	90.22469	
28.06354	89.85897	
28.15692	89.82216	
28.17533	90.01715	
28.26277	89.79967	
28.28146	89.95485	
28.37289	90.33316	
28.3918	90.60908	
28.4837	90.26671	
28.503	90.62719	
28.59315	90.25679	
28.61211	90.0024	
28.701	90.28862	
28.71963	90.26809	
28.81152	90.36082	
28.83114	89.73108	
28.92063	89.81956	
28.93911	89.70345	
29.03049	89.70981	
29.05011	89.63941	
29.14094	89.93418	
29.1598	89.48534	
29.2496	89.84726	
29.26846	89.62518	
29.35711	89.68698	
29.37745	89.81712	
29.46842	89.97102	
29.48752	90.49606	
29.57686	89.76389	
29.59562	90.12867	
29.68671	89.92456	
29.70602	89.99442	
29.79606	89.95631	
29.81464	89.94539	
29.90643	89.97142	
29.92548	89.69892	
30.01515	90.02797	
30.0341	90.1906	
30.12446	89.40201	
30.14342	89.69068	
30.23263	89.70321	
30.25109	89.55572	
30.34268	90.2952	
30.36416	89.90642	
30.4533	90.258	
30.47312	89.93385	
30.56243	90.19508	
30.58101	90.58176	
30.67269	90.46299	
