T[°C]	330nm [counts / mm]	S.D.
20.00043	3297.584	
20.00066	3293.301	
20.0056	3303.851	
20.00787	3302.781	
20.02045	3289.196	
20.02512	3294.898	
20.046	3296.746	
20.0525	3296.482	
20.08142	3297.742	
20.08973	3301.275	
20.1242	3292.229	
20.13422	3302.402	
20.17479	3296.614	
20.18661	3293.42	
20.23302	3289.42	
20.24656	3296.641	
20.30035	3294.201	
20.31642	3282.674	
20.37307	3292.614	
20.38975	3293.981	
20.45271	3279.557	
20.47029	3278.264	
20.53938	3275.476	
20.5582	3274.346	
20.63041	3266.797	
20.65077	3265.848	
20.72584	3270.464	
20.74654	3264.334	
20.82598	3260.365	
20.8472	3266.267	
20.92971	3258.967	
20.95245	3250.798	
21.03699	3253.858	
21.06003	3253.75	
21.14396	3248.684	
21.16663	3246.378	
21.25284	3246.138	
21.27639	3247.998	
21.36125	3237.787	
21.38448	3240.543	
21.47319	3231.021	
21.49627	3231.743	
21.58305	3234.09	
21.60537	3222.38	
21.68993	3226.877	
21.71299	3219.209	
21.80193	3230.327	
21.82489	3221.654	
21.91035	3214.974	
21.93381	3223.558	
22.02047	3208.037	
22.04398	3215.951	
22.13139	3204.802	
22.15441	3207.84	
22.23881	3204.02	
22.26182	3205.066	
22.34808	3205.227	
22.3713	3192.125	
22.45787	3177.39	
22.48109	3176.827	
22.56727	3177.277	
22.59016	3182.364	
22.67787	3179.954	
22.70092	3186.638	
22.787	3171.994	
22.81054	3178.832	
22.89761	3166.788	
22.92054	3168.306	
23.00561	3154.108	
23.02913	3161.629	
23.11503	3163.235	
23.13766	3160.42	
23.22198	3151.645	
23.24536	3151.051	
23.33453	3154.513	
23.35788	3146.208	
23.44579	3138.308	
23.46838	3141.805	
23.55334	3137.383	
23.57681	3140.975	
23.66212	3138.62	
23.6853	3136.637	
23.77332	3134.002	
23.7966	3124.373	
23.88235	3127.859	
23.90525	3130.696	
23.99189	3137.402	
24.01533	3118.139	
24.10152	3118.085	
24.12432	3122.66	
24.2109	3106.412	
24.23462	3119.612	
24.32168	3102.337	
24.34452	3096.438	
24.42874	3096.674	
24.45224	3095.177	
24.53829	3099.412	
24.56143	3098.236	
24.64992	3094.752	
24.67287	3085.803	
24.75694	3093.285	
24.78061	3090.771	
24.86879	3074.957	
24.89173	3078.997	
24.9773	3083.89	
24.99976	3077.879	
25.08603	3081.057	
25.10998	3068.595	
25.19795	3073.627	
25.22133	3071.459	
25.30708	3071.001	
25.33029	3066.26	
25.41544	3060.755	
25.43831	3059.528	
25.52528	3055.514	
25.5484	3053.217	
25.63419	3042.263	
25.65738	3055.629	
