T[°C]	330nm [counts / mm]	S.D.	First derivative	S.D. of first derivative
20.00043	3173.104		-46.42071	
20.05438	3170.667		-46.34336	
20.10833	3168.23		-46.26579	
20.16228	3165.793		-46.18801	
20.21623	3163.355		-46.11	
20.27018	3160.917		-46.03177	
20.32413	3158.478		-45.95333	
20.37808	3156.038		-45.87468	
20.43203	3153.597		-45.79581	
20.48598	3151.155		-45.71674	
20.53993	3148.714		-45.63747	
20.59388	3146.275		-45.558	
20.64783	3143.839		-45.47835	
20.70178	3141.407		-45.39852	
20.75573	3138.981		-45.31851	
20.80968	3136.559		-45.23834	
20.86363	3134.144		-45.15801	
20.91758	3131.735		-45.07753	
20.97153	3129.336		-44.9969	
21.02547	3126.895		-44.91613	
21.07942	3124.431		-44.83523	
21.13337	3121.948		-44.7542	
21.18732	3119.454		-44.67303	
21.24127	3116.956		-44.59175	
21.29522	3114.462		-44.51035	
21.34917	3111.985		-44.42883	
21.40312	3109.537		-44.34719	
21.45707	3107.127		-44.26545	
21.51102	3104.758		-44.1836	
21.56497	3102.419		-44.10165	
21.61892	3100.094		-44.01959	
21.67287	3097.763		-43.93742	
21.72682	3095.412		-43.85514	
21.78077	3093.04		-43.77274	
21.83472	3090.652		-43.69022	
21.88867	3088.259		-43.60756	
21.94262	3085.872		-43.52476	
21.99657	3083.497		-43.44179	
22.05052	3081.138		-43.35865	
22.10447	3078.806		-43.27532	
22.15842	3076.501		-43.19176	
22.21237	3074.217		-43.10794	
22.26632	3071.952		-43.02379	
22.32026	3069.7		-42.93922	
22.37421	3067.452		-42.85408	
22.42816	3065.191		-42.76815	
22.48211	3062.902		-42.68113	
22.53606	3060.577		-42.5927	
22.59001	3058.216		-42.50261	
22.64396	3055.828		-42.41775	
22.69791	3053.433		-42.33545	
22.75186	3051.051		-42.25602	
22.80581	3048.691		-42.17975	
22.85976	3046.356		-42.10681	
22.91371	3044.046		-42.03734	
22.96766	3041.757		-41.97142	
23.02161	3039.485		-41.90905	
23.07556	3037.22		-41.85019	
23.12951	3034.956		-41.79473	
23.18346	3032.688		-41.74253	
23.23741	3030.416		-41.69342	
23.29136	3028.134		-41.64722	
23.34531	3025.846		-41.60377	
23.39926	3023.566		-41.56289	
23.45321	3021.308		-41.5244	
23.50716	3019.085		-41.48814	
23.56111	3016.906		-41.45397	
23.61506	3014.776		-41.42178	
23.669	3012.697		-41.39151	
23.72295	3010.663		-41.36312	
23.7769	3008.658		-41.33659	
23.83085	3006.666		-41.31188	
23.8848	3004.666		-41.28896	
23.93875	3002.646		-41.26778	
23.9927	3000.601		-41.24832	
24.04665	2998.531		-41.23053	
24.1006	2996.44		-41.2144	
24.15455	2994.33		-41.19989	
24.2085	2992.198		-41.18698	
24.26245	2990.047		-41.1757	
24.3164	2987.883		-41.16609	
24.37035	2985.712		-41.15823	
24.4243	2983.535		-41.15221	
24.47825	2981.351		-41.14811	
24.5322	2979.159		-41.14599	
24.58615	2976.951		-41.14592	
24.6401	2974.721		-41.14795	
24.69405	2972.473		-41.1521	
24.748	2970.207		-41.15833	
24.80194	2967.922		-41.16656	
24.8559	2965.616		-41.17664	
24.90985	2963.288		-41.18839	
24.96379	2960.936		-41.2016	
25.01774	2958.567		-41.21603	
25.07169	2956.188		-41.23143	
25.12564	2953.812		-41.24752	
25.17959	2951.45		-41.26403	
25.23354	2949.101		-41.28063	
25.28749	2946.766		-41.29699	
25.34144	2944.453		-41.31278	
25.39539	2942.173		-41.32765	
25.44934	2939.929		-41.3413	
25.50329	2937.715		-41.35346	
25.55724	2935.527		-41.36389	
25.61119	2933.363		-41.37239	
25.66514	2931.219		-41.37886	
25.71909	2929.09		-41.38321	
25.77304	2926.967		-41.38543	
25.82699	2924.83		-41.38551	
25.88094	2922.66		-41.38352	
25.93489	2920.445		-41.37956	
25.98884	2918.19		-41.37377	
26.04279	2915.907		-41.36629	
26.09674	2913.611		-41.35728	
26.15068	2911.308		-41.34687	
26.20463	2909		-41.33519	
26.25858	2906.693		-41.32234	
26.31253	2904.395		-41.30844	
26.36648	2902.107		-41.29358	
26.42043	2899.829		-41.27788	
26.47438	2897.559		-41.26147	
26.52833	2895.293		-41.24451	
26.58228	2893.021		-41.2271	
26.63623	2890.737		-41.20934	
26.69018	2888.441		-41.19128	
26.74413	2886.139		-41.17295	
26.79808	2883.834		-41.15433	
26.85203	2881.533		-41.13542	
26.90598	2879.24		-41.11623	
26.95993	2876.962		-41.09673	
27.01388	2874.707		-41.07691	
27.06783	2872.484		-41.05676	
27.12178	2870.305		-41.03626	
27.17573	2868.169		-41.01541	
27.22968	2866.069		-40.99424	
27.28363	2863.996		-40.97277	
27.33758	2861.945		-40.95102	
27.39153	2859.907		-40.92902	
27.44547	2857.872		-40.90681	
27.49942	2855.829		-40.88441	
27.55337	2853.766		-40.86185	
27.60732	2851.679		-40.83918	
27.66127	2849.569		-40.81644	
27.71522	2847.439		-40.79374	
27.76917	2845.299		-40.77115	
27.82312	2843.151		-40.74883	
27.87707	2840.993		-40.72694	
27.93102	2838.82		-40.70564	
27.98497	2836.629		-40.6851	
28.03892	2834.418		-40.66543	
28.09287	2832.19		-40.64674	
28.14682	2829.946		-40.6291	
28.20077	2827.681		-40.61253	
28.25472	2825.392		-40.59698	
28.30867	2823.086		-40.58235	
28.36262	2820.771		-40.56848	
28.41657	2818.453		-40.55513	
28.47052	2816.14		-40.54207	
28.52447	2813.835		-40.52902	
28.57842	2811.539		-40.51569	
28.63237	2809.254		-40.50174	
28.68632	2806.988		-40.48677	
