T[°C]	350nm [counts / mm]	S.D.
20.00115	3073.511	21.28091
20.0551	3067.602	22.80661
20.10905	3067.422	21.19938
20.16299	3063.928	21.85556
20.21694	3061.17	19.66364
20.27089	3057.427	24.55319
20.32484	3058.088	23.28668
20.37879	3053.444	25.9223
20.43274	3044.842	20.93797
20.48668	3048.766	24.45287
20.54063	3048.058	21.93149
20.59458	3045.281	21.8883
20.64853	3040.447	25.01931
20.70248	3040.93	27.03999
20.75643	3032.937	21.42318
20.81037	3031.846	17.7162
20.86432	3027.129	21.10974
20.91827	3025.836	21.24926
20.97222	3024.226	18.05752
21.02617	3024.627	23.12028
21.08011	3020.351	25.81017
21.13406	3017.302	25.13449
21.18801	3014.604	23.24402
21.24196	3011.748	19.18352
21.29591	3011.619	22.65174
21.34986	3010.117	25.79798
21.4038	3007.156	23.8577
21.45775	3003.573	23.8383
21.5117	3000.151	26.15336
21.56565	3000.028	20.89139
21.6196	2996.542	24.65225
21.67354	2994.395	25.33978
21.72749	2990.798	24.00105
21.78144	2987.968	23.07569
21.83539	2984.973	22.18735
21.88934	2983.614	21.91687
21.94328	2985.311	23.95573
21.99723	2981.862	24.49769
22.05118	2978.198	18.35335
22.10513	2978.034	23.04903
22.15908	2975.158	23.29519
22.21303	2971.929	25.33574
22.26698	2968.365	22.05103
22.32092	2966.604	20.89125
22.37487	2964.301	18.22396
22.42882	2963.594	21.23538
22.48277	2962.833	19.93771
22.53672	2957.807	26.46397
22.59066	2954.282	23.25535
22.64461	2947.463	23.51309
22.69856	2948.24	25.37537
22.75251	2949.263	27.61134
22.80646	2947.802	26.41695
22.8604	2945.895	23.75469
22.91435	2940.774	21.92766
22.9683	2939.78	19.21324
23.02225	2936.056	21.76617
23.0762	2931.822	24.90891
23.13015	2930.627	22.75254
23.18409	2930.523	21.75751
23.23804	2926.426	22.51195
23.29199	2921.482	19.9784
23.34594	2918.99	20.14675
23.39989	2920.396	20.50292
23.45383	2919.986	20.53779
23.50778	2915.555	20.48414
23.56173	2913.383	18.71981
23.61568	2911.292	20.08593
23.66963	2907.52	21.82133
23.72358	2907.048	21.11378
23.77752	2903.204	24.03762
23.83147	2898.409	24.72307
23.88542	2898.587	23.59796
23.93937	2895.921	23.8668
23.99332	2890.691	19.88198
24.04727	2885.938	20.39942
24.10121	2889.079	19.56864
24.15516	2883.147	16.35368
24.20911	2882.302	18.17203
24.26306	2881.613	17.11237
24.31701	2881.176	17.73625
24.37095	2875.308	19.78137
24.4249	2876.801	20.10369
24.47885	2872.675	21.32634
24.5328	2873.533	18.38712
24.58675	2871.222	22.37834
24.6407	2868.678	16.30555
24.69464	2867.624	21.48856
24.74859	2862.171	20.12806
24.80254	2863.225	21.23047
24.85649	2858.74	20.66132
24.91044	2855.732	24.33984
