T[°C]	330nm [counts / mm]	S.D.	First derivative	S.D. of first derivative
20.00112	3455.108		-51.51106	
20.05506	3452.152		-51.44482	
20.10901	3449.201		-51.37916	
20.16296	3446.255		-51.31411	
20.21691	3443.314		-51.24967	
20.27086	3440.38		-51.18587	
20.32481	3437.452		-51.12271	
20.37875	3434.532		-51.0602	
20.4327	3431.618		-50.99835	
20.48665	3428.711		-50.93717	
20.5406	3425.812		-50.87665	
20.59455	3422.918		-50.81679	
20.6485	3420.031		-50.7576	
20.70244	3417.148		-50.69905	
20.75639	3414.266		-50.64115	
20.81034	3411.382		-50.58387	
20.86429	3408.492		-50.52719	
20.91824	3405.593		-50.4711	
20.97219	3402.69		-50.41555	
21.02613	3399.908		-50.36053	
21.08008	3397.147		-50.30597	
21.13403	3394.415		-50.25185	
21.18798	3391.72		-50.19811	
21.24193	3389.069		-50.1447	
21.29588	3386.465		-50.09156	
21.34982	3383.902		-50.03864	
21.40377	3381.37		-49.98586	
21.45772	3378.863		-49.93318	
21.51167	3376.369		-49.88052	
21.56562	3373.871		-49.82781	
21.61957	3371.358		-49.77499	
21.67352	3368.834		-49.72197	
21.72746	3366.307		-49.66869	
21.78141	3363.78		-49.61507	
21.83536	3361.251		-49.56106	
21.88931	3358.713		-49.50658	
21.94326	3356.164		-49.45156	
21.99721	3353.612		-49.39597	
22.05116	3351.055		-49.33975	
22.1051	3348.489		-49.28286	
22.15905	3345.91		-49.22528	
22.213	3343.315		-49.16702	
22.26695	3340.701		-49.10812	
22.3209	3338.068		-49.04876	
22.37485	3335.421		-48.98919	
22.42879	3332.765		-48.92992	
22.48274	3330.104		-48.87172	
22.53669	3327.435		-48.81572	
22.59064	3324.76		-48.76324	
22.64459	3322.084		-48.70765	
22.69854	3319.412		-48.65086	
22.75248	3316.741		-48.59296	
22.80643	3314.072		-48.53407	
22.86038	3311.407		-48.47435	
22.91433	3308.757		-48.41403	
22.96828	3306.121		-48.35335	
23.02223	3303.489		-48.29256	
23.07617	3300.854		-48.23193	
23.13012	3298.209		-48.1717	
23.18407	3295.553		-48.11211	
23.23802	3292.878		-48.05337	
23.29197	3290.182		-47.99564	
23.34592	3287.466		-47.93904	
23.39986	3284.738		-47.88364	
23.45381	3282.01		-47.82947	
23.50776	3279.286		-47.77647	
23.56171	3276.563		-47.72456	
23.61566	3273.842		-47.67357	
23.66961	3271.131		-47.62336	
23.72355	3268.434		-47.57375	
23.7775	3265.752		-47.52457	
23.83145	3263.084		-47.4757	
23.8854	3260.428		-47.42698	
23.93935	3257.784		-47.37831	
23.9933	3255.149		-47.32957	
24.04725	3252.519		-47.28069	
24.10119	3249.897		-47.23163	
24.15514	3247.293		-47.18238	
24.20909	3244.713		-47.13304	
24.26304	3242.161		-47.08372	
24.31699	3239.64		-47.03451	
24.37094	3237.156		-46.98551	
