T[°C]	Scattering [mAU]	S.D.	First derivative	S.D. of first derivative
20.0012	90.43902	1.221259	-0.1119968	0.1109281
20.05515	90.4399	1.24888	-0.1103372	0.1071743
20.1091	90.4407	1.276164	-0.1086757	0.1034451
20.16305	90.44147	1.302961	-0.1070125	0.0997412
20.21699	90.44225	1.329101	-0.1053481	0.09606335
20.27094	90.44305	1.354358	-0.1036828	0.09241254
20.32489	90.44388	1.378558	-0.1020172	0.0887899
20.37884	90.44473	1.401586	-0.1003518	0.08519671
20.43279	90.44558	1.423423	-0.09868743	0.08163445
20.48673	90.44636	1.444123	-0.09702465	0.07810483
20.54068	90.44701	1.463805	-0.09536428	0.07460977
20.59463	90.44743	1.482703	-0.09370716	0.07115149
20.64857	90.4475	1.501251	-0.09205415	0.0677325
20.70252	90.44698	1.520278	-0.0904062	0.06435567
20.75647	90.44548	1.541086	-0.08876429	0.06102427
20.81042	90.44724	1.558206	-0.08712944	0.05774204
20.86437	90.44254	1.562158	-0.08550271	0.05451322
20.91831	90.43685	1.563918	-0.08388522	0.05134269
20.97226	90.43009	1.562975	-0.08227798	0.04823584
21.02621	90.42223	1.559022	-0.08068196	0.04519875
21.08016	90.41342	1.552814	-0.07909799	0.04223824
21.1341	90.40411	1.545533	-0.07752681	0.03936217
21.18805	90.39476	1.538083	-0.07596909	0.03657959
21.242	90.3857	1.530603	-0.07442544	0.03390113
21.29595	90.37687	1.522729	-0.07289636	0.03133923
21.34989	90.36842	1.514339	-0.07138228	0.0289086
21.40384	90.36069	1.506213	-0.06988351	0.02662657
21.45779	90.35405	1.499237	-0.06840035	0.02451352
21.51174	90.34876	1.494038	-0.06693304	0.02259304
21.56569	90.34468	1.490496	-0.06548173	0.02089162
21.61963	90.3414	1.4877	-0.06404652	0.01943759
21.67358	90.33881	1.484362	-0.06262735	0.01825859
21.72753	90.33675	1.479555	-0.06122398	0.01737753
21.78148	90.33511	1.472765	-0.05983593	0.01680745
21.83542	90.33369	1.463792	-0.05846232	0.0165471
21.88937	90.33222	1.452439	-0.05710189	0.01657936
21.94332	90.33086	1.438723	-0.05575291	0.0168737
21.99727	90.32993	1.422879	-0.05441317	0.01739204
22.05121	90.32976	1.405268	-0.05308	0.01809563
22.10516	90.33041	1.386782	-0.05175015	0.01895104
22.15911	90.33115	1.368248	-0.05041959	0.0199344
22.21306	90.33105	1.350313	-0.04908324	0.02103403
22.267	90.32941	1.33379	-0.04773475	0.02225222
22.32095	90.32595	1.319243	-0.04636636	0.02360637
22.3749	90.32098	1.307295	-0.04496893	0.02512954
22.42885	90.3152	1.29888	-0.04353236	0.02686969
22.48279	90.30918	1.294626	-0.04204676	0.02888609
22.53674	90.30364	1.294893	-0.04050462	0.03124129
22.59069	90.29919	1.299532	-0.03890443	0.03398555
22.64464	90.2963	1.307625	-0.0380732	0.03431369
22.69859	90.29525	1.318022	-0.03728735	0.03444258
22.75253	90.29601	1.329688	-0.03655105	0.03437587
22.80648	90.29855	1.341769	-0.03586946	0.03411989
22.86043	90.30275	1.353428	-0.03524791	0.03368346
22.91438	90.30807	1.363664	-0.03469108	0.0330774
22.96832	90.31395	1.371668	-0.03420229	0.03231382
23.02227	90.31972	1.377038	-0.03378342	0.0314059
23.07622	90.32465	1.379908	-0.0334357	0.030367
23.13017	90.32832	1.381239	-0.03316037	0.02920955
23.18411	90.3307	1.382498	-0.03295833	0.02794466
23.23806	90.33189	1.385159	-0.03282978	0.02658222
23.29201	90.33223	1.390318	-0.03277345	0.02513125
23.34596	90.33205	1.398546	-0.03278578	0.02360061
23.3999	90.33134	1.40973	-0.03286067	0.02199962
23.45385	90.32994	1.423367	-0.03298952	0.02033868
23.5078	90.3275	1.438518	-0.03316153	0.01862929
23.56175	90.32384	1.454522	-0.03336527	0.01688246
23.6157	90.31905	1.471403	-0.03358981	0.01510798
23.66964	90.31355	1.489722	-0.03382532	0.01331518
23.72359	90.30802	1.510589	-0.03406314	0.01151477
23.77754	90.30311	1.534489	-0.03429536	0.00972076
23.83149	90.29902	1.560919	-0.03451467	0.007952333
23.88543	90.2957	1.588763	-0.03471484	0.0062377
23.93938	90.29295	1.616279	-0.03489074	0.004627793
23.99333	90.29059	1.641508	-0.03503787	0.003243441
24.04728	90.28846	1.662732	-0.03515163	0.002414098
24.10122	90.28655	1.6783	-0.03522697	0.002606966
24.15517	90.28477	1.686934	-0.03525811	0.00356693
24.20912	90.2832	1.688103	-0.0352394	0.004770796
24.26307	90.28223	1.682055	-0.03516587	0.005995239
24.31701	90.28202	1.669752	-0.03503413	0.007157463
24.37096	90.28244	1.652544	-0.0348435	0.008218735
24.42491	90.28306	1.632116	-0.03459687	0.009156642
24.47886	90.28302	1.609937	-0.03430048	0.009956824
24.5328	90.28158	1.587208	-0.03396234	0.0106103
24.58675	90.27819	1.565025	-0.0335905	0.01111265
24.6407	90.27289	1.544091	-0.0331918	0.01146432
24.69465	90.26642	1.524746	-0.03277166	0.01167166
24.7486	90.25956	1.507	-0.03233553	0.01174901
24.80254	90.25276	1.490507	-0.0318899	0.01171993
24.85649	90.24635	1.47495	-0.0314418	0.0116172
24.91044	90.24043	1.45999	-0.03099827	0.01148151
