T[°C]	Ratio 350nm / 330nm	S.D.	First derivative	S.D. of first derivative
20.0012	0.8831026		-0.0003702788	
20.05515	0.8830725		-0.000369695	
20.1091	0.8830425		-0.0003691171	
20.16305	0.8830125		-0.0003685453	
20.21699	0.8829827		-0.0003679797	
20.27094	0.8829529		-0.0003674207	
20.32489	0.8829232		-0.0003668684	
20.37884	0.8828936		-0.000366323	
20.43278	0.882864		-0.0003657848	
20.48673	0.8828346		-0.0003652541	
20.54068	0.8828052		-0.0003647309	
20.59463	0.882776		-0.0003642157	
20.64857	0.882747		-0.0003637085	
20.70252	0.8827181		-0.0003632097	
20.75647	0.8826893		-0.0003627195	
20.81042	0.8826607		-0.000362238	
20.86436	0.8826323		-0.0003617656	
20.91831	0.8826041		-0.0003613025	
20.97226	0.8825761		-0.0003608488	
21.02621	0.8825482		-0.0003604049	
21.08015	0.8825206		-0.0003599708	
21.1341	0.882493		-0.0003595469	
21.18805	0.8824657		-0.0003591334	
21.24199	0.8824385		-0.0003587304	
21.29594	0.8824115		-0.0003583382	
21.34989	0.8823846		-0.0003579569	
21.40384	0.8823578		-0.0003575867	
21.45778	0.8823311		-0.0003572279	
21.51173	0.8823044		-0.0003568805	
21.56568	0.8822778		-0.0003565447	
21.61963	0.8822513		-0.0003562208	
21.67357	0.8822246		-0.0003559087	
21.72752	0.8821979		-0.0003556087	
21.78147	0.8821712		-0.0003553208	
21.83542	0.8821442		-0.0003550451	
21.88936	0.882117		-0.0003547817	
21.94331	0.8820896		-0.0003545308	
21.99726	0.8820618		-0.0003542921	
22.05121	0.8820337		-0.0003540659	
22.10515	0.8820053		-0.000353852	
22.1591	0.8819764		-0.0003536504	
22.21305	0.8819548		-0.0003534609	
22.267	0.8819339		-0.0003532836	
22.32094	0.8819138		-0.0003531181	
22.37489	0.8818948		-0.0003529643	
22.42884	0.8818771		-0.0003528219	
22.48279	0.8818605		-0.0003526907	
22.53673	0.8818452		-0.0003525705	
22.59068	0.8818312		-0.0003524609	
22.64463	0.8818185		-0.0003523616	
22.69858	0.8818069		-0.0003522722	
22.75252	0.8817962		-0.0003521924	
22.80647	0.8817861		-0.0003521216	
22.86042	0.8817763		-0.0003520591	
22.91437	0.8817664		-0.0003520043	
22.96831	0.8817561		-0.0003519561	
23.02226	0.8817452		-0.0003519133	
23.07621	0.8817337		-0.0003518749	
23.13016	0.8817216		-0.0003518392	
23.1841	0.8817089		-0.000351805	
23.23805	0.8816958		-0.0003517708	
23.292	0.8816821		-0.0003517355	
23.34595	0.881668		-0.0003516982	
23.39989	0.8816534		-0.0003516587	
23.45384	0.8816384		-0.0003516178	
23.50779	0.881623		-0.0003515776	
23.56174	0.8816074		-0.0003515423	
23.61568	0.8815914		-0.000351518	
23.66963	0.881575		-0.0003515125	
23.72358	0.8815581		-0.0003515345	
23.77752	0.8815408		-0.000352405	
23.83147	0.881523		-0.0003533149	
23.88542	0.8815049		-0.0003542662	
23.93937	0.8814865		-0.0003552611	
23.99331	0.8814681		-0.0003563018	
24.04726	0.8814498		-0.0003573904	
24.10121	0.8814313		-0.0003585285	
24.15516	0.8814126		-0.0003597176	
24.2091	0.8813937		-0.0003609582	
24.26305	0.8813747		-0.0003622505	
24.317	0.8813556		-0.0003635936	
24.37095	0.8813367		-0.0003649864	
24.42489	0.8813183		-0.0003664275	
24.47884	0.8813002		-0.0003679155	
24.53279	0.8812824		-0.000369449	
24.58674	0.8812647		-0.000371027	
24.64068	0.881247		-0.0003726485	
24.69463	0.8812293		-0.0003743127	
24.74858	0.8812113		-0.0003760192	
24.80253	0.8811932		-0.0003777679	
24.85647	0.8811746		-0.000379559	
24.91042	0.8811555		-0.0003813933	
24.96437	0.8811361		-0.0003832724	
25.01832	0.8811164		-0.0003851985	
25.07226	0.8810965		-0.000387174	
25.12621	0.8810765		-0.0003892012	
25.18016	0.8810567		-0.0003912827	
25.23411	0.8810368		-0.0003934205	
25.28805	0.8810168		-0.0003956165	
25.342	0.8809965		-0.0003978718	
25.39595	0.8809757		-0.0004001868	
25.4499	0.8809541		-0.0004025612	
25.50384	0.8809317		-0.0004049939	
