T[°C]	Scattering [mAU]	S.D.	First derivative	S.D. of first derivative
20.00119	90.1608		-0.2395466	
20.05513	90.15804		-0.2336333	
20.10908	90.15543		-0.2277353	
20.16303	90.15315		-0.2218545	
20.21698	90.15135		-0.215993	
20.27092	90.15014		-0.2101534	
20.32487	90.14954		-0.204338	
20.37882	90.14949		-0.19855	
20.43277	90.14986		-0.1927924	
20.48672	90.15041		-0.1870684	
20.54066	90.15085		-0.1813813	
20.59461	90.15076		-0.1757346	
20.64856	90.14956		-0.1701322	
20.70251	90.14636		-0.1645778	
20.75645	90.13986		-0.1590753	
20.8104	90.12971		-0.1536288	
20.86435	90.12276		-0.1482423	
20.9183	90.11516		-0.1429202	
20.97224	90.10617		-0.1376665	
21.02619	90.095		-0.1324846	
21.08014	90.08149		-0.127378	
21.13409	90.06596		-0.1223496	
21.18803	90.04861		-0.1174021	
21.24198	90.02962		-0.112538	
21.29593	90.00887		-0.1077593	
21.34988	89.98656		-0.1030678	
21.40383	89.96357		-0.09846438	
21.45777	89.94131		-0.09395026	
21.51172	89.92104		-0.08952548	
21.56567	89.90349		-0.08518972	
21.61962	89.88927		-0.08094195	
21.67356	89.87899		-0.07678041	
21.72751	89.87257		-0.07270238	
21.78146	89.86966		-0.06870397	
21.83541	89.8698		-0.06477991	
21.88935	89.8726		-0.06092334	
21.9433	89.87785		-0.05712547	
21.99725	89.8856		-0.05337527	
22.0512	89.89593		-0.04965964	
22.10514	89.90848		-0.0459622	
22.15909	89.92234		-0.04226334	
22.21304	89.93652		-0.03853977	
22.26699	89.9501		-0.03476455	
22.32093	89.96258		-0.03090781	
22.37488	89.97367		-0.02693862	
22.42883	89.98358		-0.02282903	
22.48278	89.99269		-0.01856107	
22.53673	90.00161		-0.0141359	
22.59067	90.01079		-0.009580702	
22.64462	90.01995		-0.009055662	
22.69857	90.02895		-0.008698622	
22.75252	90.03798		-0.008498716	
22.80646	90.04771		-0.008445931	
22.86041	90.0591		-0.008531274	
22.91436	90.07251		-0.008746745	
22.96831	90.08772		-0.009085538	
23.02225	90.1041		-0.009541655	
23.0762	90.12053		-0.01011023	
23.13015	90.13534		-0.01078819	
23.1841	90.147		-0.01157321	
23.23804	90.15447		-0.01246265	
23.29199	90.15771		-0.01345226	
23.34594	90.15739		-0.01453544	
23.39989	90.15414		-0.01570309	
23.45383	90.1487		-0.01694389	
23.50778	90.14186		-0.01824478	
23.56173	90.13423		-0.01959417	
23.61568	90.12613		-0.02098355	
23.66963	90.11783		-0.02240702	
23.72357	90.10947		-0.02385942	
23.77752	90.10098		-0.02533472	
23.83147	90.09184		-0.02682518	
23.88542	90.08154		-0.02832194	
23.93936	90.07064		-0.02981518	
23.99331	90.05983		-0.0312934	
24.04726	90.04933		-0.03274206	
24.10121	90.03944		-0.03414301	
24.15515	90.03017		-0.03547487	
24.2091	90.02166		-0.03671464	
24.26305	90.01423		-0.03783829	
24.317	90.0078		-0.03882213	
24.37094	90.00166		-0.03964404	
24.42489	89.99443		-0.0402841	
24.47884	89.98411		-0.04072526	
24.53279	89.96909		-0.04095345	
24.58673	89.94901		-0.04095764	
24.64068	89.92535		-0.04073094	
24.69463	89.90082		-0.04027184	
24.74858	89.87775		-0.03958638	
24.80253	89.85725		-0.03868831	
24.85647	89.83986		-0.03759671	
24.91042	89.826		-0.03633318	
24.96437	89.8163		-0.03492029	
25.01832	89.81125		-0.03338101	
25.07226	89.8108		-0.03173954	
25.12621	89.81423		-0.03002205	
25.18016	89.82056		-0.02825705	
25.23411	89.829		-0.02647552	
25.28805	89.839		-0.02470964	
25.342	89.85017		-0.02299106	
25.39595	89.8623		-0.02134968	
25.4499	89.87523		-0.01981231	
25.50385	89.88846		-0.01840318	
25.55779	89.90161		-0.01714329	
25.61174	89.91473		-0.01604889	
25.66569	89.92715		-0.01513022	
25.71964	89.9379		-0.01439105	
25.77358	89.94626		-0.01382963	
25.82753	89.95174		-0.01344027	
25.88148	89.95441		-0.01321507	
25.93543	89.95474		-0.01314438	
25.98937	89.95336		-0.01321714	
26.04332	89.95126		-0.01342085	
26.09727	89.94937		-0.01374129	
26.15122	89.9483		-0.01416282	
26.20516	89.94838		-0.0146691	
26.25911	89.94969		-0.0152436	
26.31306	89.9525		-0.01587101	
26.36701	89.95753		-0.0165372	
26.42095	89.96489		-0.01722975	
26.4749	89.97446		-0.01793864	
26.52885	89.9861		-0.01865462	
26.5828	89.9994		-0.01936798	
26.63675	90.01371		-0.02006899	
26.69069	90.02812		-0.02074821	
26.74464	90.04143		-0.02139756	
26.79859	90.05215		-0.0220106	
26.85254	90.05961		-0.02258237	
26.90648	90.06348		-0.02310944	
26.96043	90.06396		-0.0235895	
27.01438	90.06143		-0.02402204	
27.06833	90.05612		-0.02440943	
27.12227	90.04855		-0.02475752	
27.17622	90.03949		-0.02507568	
27.23017	90.02949		-0.02537447	
27.28412	90.01869		-0.02566276	
27.33806	90.00635		-0.02594643	
27.39201	89.99154		-0.02622947	
27.44596	89.9744		-0.02651587	
27.49991	89.95599		-0.02681085	
27.55385	89.93758		-0.02712132	
27.6078	89.92013		-0.02745482	
27.66175	89.90344		-0.0278179	
27.7157	89.88689		-0.02821537	
27.76965	89.86942		-0.02864958	
27.82359	89.85048		-0.02912033	
27.87754	89.83063		-0.02962606	
27.93149	89.81094		-0.03016463	
27.98544	89.7925		-0.03073434	
28.03938	89.77589		-0.03133335	
28.09333	89.76082		-0.0319587	
28.14728	89.74737		-0.03260658	
28.20123	89.73635		-0.03327193	
28.25517	89.72888		-0.03394927	
28.30912	89.72591		-0.03463435	
28.36307	89.72801		-0.03532481	
28.41702	89.73484		-0.03602006	
28.47096	89.74559		-0.03672021	
28.52491	89.75906		-0.03742432	
28.57886	89.77425		-0.0381296	
28.63281	89.79054		-0.03883177	
28.68676	89.80727		-0.0395264	
28.7407	89.82372		-0.04020994	
28.79465	89.83961		-0.04088046	
28.8486	89.85474		-0.0415369	
28.90255	89.86922		-0.04217719	
28.95649	89.88329		-0.04279698	
29.01044	89.8965		-0.04339029	
29.06439	89.90788		-0.04395137	
29.11834	89.91667		-0.04447618	
29.17228	89.92237		-0.04496307	
29.22623	89.92513		-0.0454129	
29.28018	89.92538		-0.04582855	
29.33413	89.92389		-0.04621378	
29.38807	89.92126		-0.04657364	
29.44202	89.91768		-0.04691487	
29.49597	89.91337		-0.04724599	
29.54992	89.90881		-0.0475772	
29.60386	89.90444		-0.04791987	
29.65781	89.90111		-0.04828532	
29.71176	89.89936		-0.04868304	
29.76571	89.89938		-0.04911894	
29.81966	89.90135		-0.04959509	
29.8736	89.90528		-0.05010986	
29.92755	89.91054		-0.05065898	
29.9815	89.91605		-0.0512368	
30.03545	89.92046		-0.0518363	
30.08939	89.92236		-0.05244748	
30.14334	89.92045		-0.05305634	
30.19729	89.91405		-0.05364433	
30.25124	89.90336		-0.05418935	
30.30518	89.88923		-0.05466766	
30.35913	89.873		-0.05505661	
30.41308	89.85598		-0.05533424	
30.46703	89.83914		-0.05548085	
30.52098	89.82257		-0.05547777	
30.57492	89.80604		-0.05530721	
30.62887	89.78967		-0.05495353	
30.68282	89.77354		-0.05440588	
30.73676	89.75777		-0.05365947	
30.79071	89.74253		-0.05271497	
30.84466	89.72787		-0.05157727	
30.89861	89.71375		-0.05025398	
30.95256	89.69955		-0.04875424	
31.0065	89.68475		-0.04708806	
31.06045	89.66928		-0.04526646	
31.1144	89.65383		-0.04330268	
31.16835	89.63972		-0.04121308	
31.22229	89.62772		-0.0390169	
31.27624	89.61771		-0.03673519	
31.33019	89.60922		-0.0343891	
31.38414	89.60129		-0.03199955	
31.43808	89.5938		-0.02958731	
31.49203	89.58777		-0.02717481	
31.54598	89.5845		-0.02478735	
31.59993	89.58492		-0.02245326	
31.65388	89.58919		-0.0202046	
31.70782	89.59711		-0.01807588	
31.76177	89.60809		-0.01610086	
31.81572	89.62125		-0.01430987	
31.86967	89.63595		-0.01272774	
31.92361	89.65179		-0.01137431	
31.97756	89.66837		-0.01026469	
32.03151	89.68504		-0.00940928	
32.08546	89.70112		-0.008813206	
32.1394	89.71606		-0.008474424	
32.19335	89.7293		-0.008383623	
32.2473	89.7408		-0.008524994	
32.30125	89.75069		-0.008878264	
32.35519	89.75875		-0.00942148	
32.40914	89.76476		-0.01013262	
32.46309	89.76859		-0.01099073	
32.51704	89.77074		-0.01197493	
32.57098	89.77167		-0.01306497	
32.62493	89.77177		-0.01423974	
32.67888	89.77164		-0.01547912	
32.73283	89.77165		-0.01676341	
32.78677	89.77238		-0.01807426	
32.84072	89.77443		-0.01939485	
32.89467	89.77842		-0.02071018	
32.94862	89.78516		-0.02200587	
33.00257	89.79488		-0.02326816	
33.05651	89.80741		-0.02448328	
33.11046	89.82225		-0.02563883	
33.16441	89.83865		-0.02672488	
33.21836	89.85506		-0.02773406	
33.2723	89.86951		-0.02866113	
33.32625	89.88026		-0.02950284	
33.3802	89.8861		-0.03025769	
33.43415	89.8863		-0.03092472	
33.48809	89.88058		-0.03150235	
33.54204	89.86938		-0.03198899	
33.59599	89.85388		-0.03238436	
33.64994	89.83554		-0.0326913	
33.70388	89.81544		-0.03291565	
33.75783	89.79427		-0.03306322	
33.81178	89.77197		-0.03313908	
33.86573	89.74867		-0.03314769	
33.91967	89.72507		-0.03309389	
33.97362	89.70163		-0.03298413	
34.02757	89.67879		-0.03282699	
34.08152	89.65667		-0.0326329	
34.13547	89.63524		-0.03241265	
34.18941	89.61433		-0.03217686	
34.24336	89.59351		-0.03193383	
34.29731	89.57276		-0.0316885	
34.35126	89.55298		-0.03144177	
34.4052	89.53581		-0.03119121	
34.45915	89.5224		-0.03093239	
34.5131	89.51267		-0.030659	
34.56705	89.50559		-0.03036323	
34.62099	89.49985		-0.03003638	
34.67494	89.49474		-0.02966927	
34.72889	89.49061		-0.02925363	
34.78284	89.48841		-0.02878392	
34.83678	89.48907		-0.02825844	
34.89073	89.49308		-0.02767915	
34.94468	89.50037		-0.02705154	
34.99863	89.51021		-0.02638314	
35.05257	89.52168		-0.0256826	
35.10652	89.53455		-0.0249587	
35.16047	89.54907		-0.02421972	
35.21442	89.56573		-0.02347451	
35.26837	89.58519		-0.02273275	
35.32232	89.6077		-0.02200515	
35.37626	89.63297		-0.02130175	
35.43021	89.65955		-0.02063041	
35.48416	89.68513		-0.01999536	
35.53811	89.7076		-0.01939868	
35.59205	89.72543		-0.01883994	
35.646	89.73792		-0.01831872	
35.69995	89.74507		-0.01783499	
35.75389	89.74761		-0.01738908	
35.80784	89.7467		-0.01698218	
35.86179	89.74351		-0.01661696	
35.91574	89.73862		-0.01629763	
35.96968	89.73231		-0.0160283	
36.02363	89.72545		-0.01581382	
36.07758	89.7195		-0.0156585	
36.13153	89.71564		-0.01556684	
36.18547	89.714		-0.01554301	
36.23943	89.71373		-0.01559054	
36.29337	89.71413		-0.0157125	
36.34732	89.7149		-0.01591126	
36.40127	89.71604		-0.01618882	
36.45522	89.71769		-0.0165471	
36.50916	89.72001		-0.01698704	
36.56311	89.72327		-0.01750794	
36.61706	89.72717		-0.018107	
36.67101	89.73061		-0.0187776	
36.72495	89.73213		-0.01951016	
36.7789	89.73057		-0.02029246	
36.83285	89.72542		-0.02111176	
36.8868	89.71676		-0.02195715	
36.94074	89.70502		-0.02281998	
36.99469	89.69075		-0.02369257	
37.04864	89.67409		-0.02456625	
37.10258	89.65519		-0.02543215	
37.15653	89.63445		-0.02628105	
37.21048	89.6125		-0.02710586	
37.26443	89.59057		-0.02790213	
37.31837	89.56947		-0.02866712	
37.37233	89.54945		-0.02939852	
37.42627	89.53042		-0.03009279	
37.48022	89.51196		-0.03074521	
37.53417	89.49407		-0.03135043	
37.58812	89.47726		-0.03190384	
37.64206	89.46233		-0.03240282	
37.69601	89.45031		-0.03284708	
37.74996	89.44204		-0.03323838	
37.80391	89.43759		-0.03357975	
37.85785	89.43624		-0.03387431	
37.9118	89.43743		-0.03412495	
37.96575	89.44081		-0.03433473	
38.0197	89.4466		-0.03450767	
38.07364	89.4551		-0.03465082	
38.12759	89.46628		-0.03477503	
38.18154	89.47978		-0.0348936	
38.23549	89.49512		-0.03502167	
38.28943	89.51195		-0.0351743	
38.34338	89.52972		-0.03536515	
38.39733	89.54756		-0.03560623	
38.45127	89.56453		-0.0359079	
38.50523	89.58008		-0.03627976	
38.55917	89.59452		-0.03673165	
38.61312	89.60895		-0.03727355	
38.66707	89.62425		-0.03791343	
38.72102	89.64058		-0.0386552	
38.77496	89.65698		-0.03949889	
38.82891	89.67123		-0.04044173	
38.88286	89.68131		-0.04148041	
38.93681	89.68616		-0.04261017	
38.99075	89.6857		-0.04382501	
39.0447	89.68062		-0.04511671	
39.09865	89.67178		-0.04647383	
39.1526	89.65987		-0.04788121	
39.20654	89.64592		-0.04932029	
39.26049	89.63136		-0.05077048	
39.31444	89.61768		-0.05221165	
39.36839	89.60622		-0.05362638	
39.42233	89.59763		-0.0549998	
39.47628	89.59159		-0.05631932	
39.53023	89.5873		-0.05757308	
39.58418	89.58393		-0.05874898	
39.63813	89.58126		-0.05983473	
39.69207	89.57929		-0.06081782	
39.74602	89.57791		-0.06168744	
39.79997	89.57657		-0.06243474	
39.85392	89.57494		-0.06305205	
39.90786	89.57281		-0.06353183	
39.96181	89.57014		-0.06386639	
40.01576	89.56712		-0.06404661	
40.06971	89.5634		-0.06406488	
40.12365	89.5582		-0.06391513	
40.1776	89.55059		-0.06359337	
40.23155	89.53955		-0.06309771	
40.2855	89.52464		-0.06242786	
40.33944	89.50599		-0.06158475	
40.39339	89.48435		-0.06057042	
40.44734	89.46099		-0.05939041	
40.50129	89.4371		-0.05805361	
40.55523	89.4138		-0.05657341	
40.60918	89.39195		-0.05496692	
40.66313	89.37153		-0.05325302	
40.71708	89.35221		-0.05145073	
40.77103	89.33366		-0.04957865	
40.82497	89.31573		-0.04765299	
40.87892	89.29898		-0.0456876	
40.93287	89.28426		-0.04369382	
40.98682	89.27245		-0.04168159	
41.04076	89.26414		-0.03966051	
41.09471	89.2593		-0.03763963	
41.14866	89.25732		-0.03562711	
41.20261	89.25732		-0.0336295	
41.25655	89.25906		-0.03165109	
41.3105	89.26299		-0.02969483	
41.36445	89.26971		-0.02776391	
41.4184	89.27943		-0.02586349	
41.47234	89.29196		-0.02400183	
41.52629	89.30668		-0.02218993	
41.58024	89.32278		-0.02043996	
41.63419	89.33968		-0.01876579	
41.68813	89.35722		-0.0171823	
41.74208	89.37546		-0.0157061	
41.79603	89.3949		-0.01435562	
41.84998	89.41616		-0.01315022	
41.90393	89.43916		-0.01210971	
41.95787	89.4631		-0.01125176	
42.01182	89.48643		-0.01059146	
42.06577	89.50744		-0.01014148	
42.11972	89.52449		-0.009912839	
42.17366	89.53668		-0.009915417	
42.22761	89.54427		-0.01015701	
42.28156	89.54771		-0.01064367	
42.33551	89.54734		-0.01137703	
42.38945	89.54337		-0.012355	
42.4434	89.53606		-0.01357182	
42.49735	89.52611		-0.01501834	
42.5513	89.51465		-0.01668234	
42.60524	89.50278		-0.01854872	
42.65919	89.49119		-0.02059863	
42.71314	89.48029		-0.02281069	
42.76709	89.47045		-0.02516008	
42.82103	89.46185		-0.02761894	
42.87498	89.45488		-0.03015671	
42.92893	89.44991		-0.03274071	
42.98288	89.44714		-0.03533705	
43.03683	89.44679		-0.03791057	
43.09077	89.44846		-0.04042668	
43.14472	89.45153		-0.042851	
43.19867	89.45526		-0.04514958	
43.25262	89.45883		-0.04728972	
43.30656	89.46135		-0.04924127	
43.36051	89.46183		-0.05097662	
43.41446	89.45966		-0.05247318	
43.46841	89.45499		-0.05371287	
43.52235	89.44789		-0.05468219	
43.5763	89.43841		-0.05537216	
43.63025	89.42683		-0.0557777	
43.6842	89.41355		-0.05589733	
43.73814	89.3989		-0.05573339	
43.79209	89.38307		-0.05529475	
43.84604	89.36644		-0.05459499	
43.89999	89.34944		-0.05365298	
43.95393	89.332		-0.05249205	
44.00788	89.31406		-0.05113918	
44.06183	89.29554		-0.04962461	
44.11578	89.27672		-0.04798126	
44.16973	89.25832		-0.04624495	
44.22367	89.24128		-0.04445301	
44.27762	89.22642		-0.04264319	
44.33157	89.21429		-0.04085245	
44.38552	89.20492		-0.03911519	
44.43946	89.19766		-0.03746099	
44.49341	89.1915		-0.03591361	
44.54736	89.18586		-0.03449037	
44.60131	89.18069		-0.0332031	
44.65525	89.17635		-0.03205957	
44.7092	89.17307		-0.03106442	
44.76315	89.17135		-0.03022004	
44.8171	89.17162		-0.02952622	
44.87104	89.17426		-0.02897986	
44.92499	89.1795		-0.02857486	
44.97894	89.18739		-0.02830332	
45.03289	89.19794		-0.02815573	
45.08683	89.21114		-0.02812183	
45.14078	89.22691		-0.02819134	
45.19473	89.24521		-0.02835469	
45.24868	89.26583		-0.02860249	
45.30263	89.28848		-0.0289254	
45.35658	89.3125		-0.02931318	
45.41052	89.33664		-0.02975353	
45.46447	89.35967		-0.03023234	
45.51842	89.38046		-0.03073446	
45.57236	89.39785		-0.0312444	
45.62631	89.41106		-0.03174787	
45.68026	89.41956		-0.032231	
45.73421	89.42341		-0.03268212	
45.78815	89.4231		-0.03309266	
45.8421	89.4194		-0.0334581	
45.89605	89.4133		-0.03377883	
45.95	89.40563		-0.03406048	
46.00394	89.39715		-0.03431378	
46.05789	89.3884		-0.03455247	
46.11184	89.37946		-0.03479177	
46.16579	89.3707		-0.03504701	
46.21973	89.36289		-0.03533241	
46.27368	89.3569		-0.03566045	
46.32763	89.35327		-0.03604177	
46.38158	89.3516		-0.03648467	
46.43553	89.35123		-0.03699473	
46.48948	89.35095		-0.03757384	
46.54342	89.3494		-0.03822008	
46.59737	89.34583		-0.03892756	
46.65132	89.34005		-0.03968654	
46.70527	89.33224		-0.0404841	
46.75921	89.32247		-0.04130395	
46.81316	89.31082		-0.04212882	
46.86711	89.29725		-0.04294121	
46.92105	89.28125		-0.04372399	
46.975	89.26263		-0.04446139	
47.02895	89.24171		-0.04513944	
47.0829	89.21941		-0.04574589	
47.13684	89.19705		-0.04627097	
47.19079	89.17561		-0.04670618	
47.24474	89.1556		-0.04704567	
47.29869	89.13696		-0.04728593	
47.35263	89.11927		-0.04742561	
47.40658	89.10235		-0.0474649	
47.46053	89.08632		-0.04740519	
47.51448	89.07221		-0.04724851	
47.56843	89.06152		-0.04699764	
47.62238	89.05574		-0.04665626	
47.67632	89.05533		-0.04622876	
47.73027	89.05957		-0.0457204	
47.78422	89.06676		-0.04513692	
47.83817	89.07525		-0.04448537	
47.89211	89.08385		-0.04377436	
47.94606	89.09237		-0.0430137	
48.00001	89.1013		-0.04221477	
48.05396	89.11116		-0.04139037	
48.1079	89.12188		-0.0405545	
48.16185	89.13289		-0.03972218	
48.2158	89.14366		-0.03890971	
48.26974	89.15383		-0.03813433	
48.32369	89.16328		-0.03741502	
48.37764	89.17187		-0.03677148	
48.43159	89.17973		-0.03622347	
48.48553	89.18733		-0.0357902	
48.53948	89.19493		-0.0354899	
48.59343	89.20286		-0.03533932	
48.64738	89.21138		-0.03535406	
48.70133	89.22039		-0.03554836	
48.75528	89.22968		-0.03593452	
48.80922	89.23878		-0.03652154	
