T[°C]	350nm [counts / mm]	S.D.	First derivative	S.D. of first derivative
20.00117	3054.833		-41.30617	
20.05512	3052.516		-41.36376	
20.10906	3050.205		-41.4209	
20.16301	3047.901		-41.47756	
20.21696	3045.601		-41.53371	
20.27091	3043.306		-41.58934	
20.32486	3041.017		-41.64442	
20.3788	3038.731		-41.69893	
20.43275	3036.45		-41.75283	
20.4867	3034.172		-41.80611	
20.54065	3031.897		-41.85874	
20.59459	3029.625		-41.9107	
20.64854	3027.356		-41.96197	
20.70249	3025.092		-42.01252	
20.75644	3022.833		-42.06233	
20.81039	3020.583		-42.11138	
20.86433	3018.345		-42.15966	
20.91828	3016.134		-42.20715	
20.97223	3013.969		-42.25383	
21.02618	3011.894		-42.29969	
21.08013	3009.81		-42.34473	
21.13407	3007.707		-42.38893	
21.18802	3005.575		-42.43229	
21.24197	3003.409		-42.47482	
21.29592	3001.201		-42.51652	
21.34986	2998.95		-42.5574	
21.40381	2996.659		-42.59747	
21.45776	2994.341		-42.63675	
21.51171	2992.006		-42.67527	
21.56566	2989.658		-42.71305	
21.6196	2987.301		-42.75012	
21.67355	2984.931		-42.78654	
21.7275	2982.546		-42.82235	
21.78145	2980.146		-42.8576	
21.8354	2977.73		-42.89235	
21.88934	2975.3		-42.92669	
21.94329	2972.851		-42.96069	
21.99724	2970.381		-42.99445	
22.05119	2967.895		-43.02808	
22.10513	2965.404		-43.06172	
22.15908	2962.914		-43.0955	
22.21303	2960.429		-43.12957	
22.26698	2957.955		-43.16406	
22.32093	2955.499		-43.19909	
22.37487	2953.063		-43.23468	
22.42882	2950.643		-43.27073	
22.48277	2948.236		-43.30685	
22.53672	2945.843		-43.34237	
22.59066	2943.459		-43.37635	
22.64461	2941.08		-43.3728	
22.69856	2938.699		-43.36732	
22.75251	2936.318		-43.35996	
22.80646	2933.935		-43.35072	
22.8604	2931.548		-43.33962	
22.91435	2929.156		-43.32665	
22.9683	2926.765		-43.31181	
23.02225	2924.377		-43.29507	
23.07619	2921.997		-43.27645	
23.13014	2919.629		-43.25596	
23.18409	2917.271		-43.23362	
23.23804	2914.92		-43.20949	
23.29199	2912.568		-43.18364	
23.34593	2910.206		-43.15615	
23.39988	2907.828		-43.12719	
23.45383	2905.439		-43.09692	
23.50778	2903.051		-43.06555	
23.56173	2900.677		-43.03328	
23.61567	2898.327		-43.00029	
23.66962	2896.003		-42.9668	
23.72357	2893.706		-42.93298	
23.77752	2891.436		-42.89897	
23.83146	2889.194		-42.86492	
23.88541	2886.98		-42.83097	
23.93936	2884.784		-42.79729	
23.99331	2882.596		-42.76403	
24.04726	2880.412		-42.73136	
24.1012	2878.229		-42.69941	
24.15515	2876.052		-42.66835	
24.2091	2873.878		-42.63828	
24.26305	2871.713		-42.60934	
24.317	2869.561		-42.58162	
24.37094	2867.42		-42.5552	
24.42489	2865.281		-42.53016	
24.47884	2863.134		-42.5065	
24.53279	2860.971		-42.48423	
24.58673	2858.78		-42.46329	
24.64068	2856.55		-42.44359	
24.69463	2854.277		-42.42497	
24.74858	2851.972		-42.40722	
24.80253	2849.644		-42.39007	
24.85647	2847.302		-42.37323	
24.91042	2844.949		-42.35636	
24.96437	2842.588		-42.33907	
25.01832	2840.217		-42.32101	
25.07227	2837.839		-42.30183	
25.12621	2835.459		-42.28125	
25.18016	2833.084		-42.25901	
25.23411	2830.72		-42.23493	
25.28806	2828.369		-42.20889	
25.342	2826.029		-42.18081	
25.39595	2823.696		-42.1507	
25.4499	2821.371		-42.11859	
25.50385	2819.054		-42.08455	
25.55779	2816.748		-42.0487	
25.61174	2814.45		-42.0112	
25.66569	2812.158		-41.97223	
25.71964	2809.875		-41.93199	
25.77359	2807.607		-41.89067	
25.82753	2805.361		-41.84848	
25.88148	2803.136		-41.80563	
25.93543	2800.925		-41.76234	
25.98938	2798.716		-41.71883	
26.04333	2796.493		-41.67532	
26.09727	2794.249		-41.63201	
26.15122	2791.977		-41.58911	
26.20517	2789.675		-41.54682	
26.25912	2787.34		-41.50533	
26.31306	2784.979		-41.46482	
26.36701	2782.595		-41.42545	
26.42096	2780.193		-41.38735	
26.47491	2777.779		-41.35062	
26.52886	2775.362		-41.31533	
26.5828	2772.952		-41.28156	
26.63675	2770.554		-41.24935	
26.6907	2768.171		-41.21877	
26.74465	2765.806		-41.18985	
26.7986	2763.465		-41.16259	
26.85254	2761.159		-41.13698	
26.90649	2758.899		-41.11293	
26.96044	2756.69		-41.09032	
27.01439	2754.535		-41.06901	
27.06833	2752.437		-41.04883	
27.12228	2750.392		-41.02961	
27.17623	2748.395		-41.01115	
27.23018	2746.438		-40.99331	
27.28413	2744.508		-40.97594	
27.33807	2742.591		-40.95891	
27.39202	2740.679		-40.9421	
27.44597	2738.767		-40.9254	
27.49992	2736.851		-40.90871	
27.55387	2734.921		-40.89196	
27.60781	2732.969		-40.87513	
27.66176	2730.987		-40.85824	
27.71571	2728.972		-40.8413	
27.76966	2726.924		-40.82434	
27.8236	2724.844		-40.80745	
27.87755	2722.732		-40.7907	
27.9315	2720.588		-40.7742	
27.98545	2718.415		-40.75805	
28.03939	2716.211		-40.74241	
28.09334	2713.977		-40.72739	
28.14729	2711.71		-40.71315	
28.20124	2709.408		-40.69983	
28.25519	2707.076		-40.68759	
28.30913	2704.725		-40.67655	
28.36308	2702.361		-40.66685	
28.41703	2699.991		-40.65857	
28.47098	2697.62		-40.65174	
28.52493	2695.254		-40.64633	
28.57887	2692.899		-40.64234	
28.63282	2690.56		-40.63974	
28.68677	2688.238		-40.63852	
28.74072	2685.925		-40.63868	
28.79466	2683.617		-40.64017	
28.84861	2681.32		-40.64297	
28.90256	2679.036		-40.64701	
28.95651	2676.769		-40.6522	
29.01046	2674.522		-40.6584	
29.0644	2672.296		-40.66546	
29.11835	2670.093		-40.67319	
29.1723	2667.91		-40.6814	
29.22625	2665.739		-40.68989	
29.2802	2663.569		-40.69843	
29.33414	2661.389		-40.70684	
29.38809	2659.197		-40.71491	
29.44204	2656.992		-40.72243	
29.49599	2654.777		-40.7292	
29.54993	2652.552		-40.73499	
29.60388	2650.32		-40.73958	
29.65783	2648.081		-40.7428	
29.71178	2645.841		-40.74446	
29.76573	2643.602		-40.74445	
29.81967	2641.368		-40.74266	
29.87362	2639.138		-40.73906	
29.92757	2636.918		-40.73367	
29.98152	2634.716		-40.72654	
30.03547	2632.54		-40.71777	
30.08941	2630.389		-40.70748	
30.14336	2628.258		-40.69579	
30.19731	2626.146		-40.68287	
30.25126	2624.049		-40.66893	
30.3052	2621.963		-40.65419	
30.35915	2619.882		-40.6389	
30.4131	2617.8		-40.62333	
30.46705	2615.714		-40.60772	
30.521	2613.627		-40.59231	
30.57494	2611.546		-40.57734	
30.62889	2609.479		-40.56302	
30.68284	2607.427		-40.54952	
30.73679	2605.386		-40.53697	
30.79074	2603.345		-40.52546	
30.84468	2601.298		-40.51506	
30.89863	2599.232		-40.50578	
30.95258	2597.143		-40.49765	
31.00653	2595.029		-40.49063	
31.06047	2592.89		-40.4847	
31.11442	2590.732		-40.47982	
31.16837	2588.552		-40.47594	
31.22232	2586.346		-40.47298	
31.27626	2584.108		-40.47087	
31.33021	2581.835		-40.46951	
31.38416	2579.526		-40.46883	
31.43811	2577.182		-40.46873	
31.49206	2574.809		-40.46906	
31.546	2572.417		-40.46965	
31.59995	2570.021		-40.47032	
31.6539	2567.633		-40.47083	
31.70785	2565.264		-40.47091	
31.7618	2562.922		-40.47025	
31.81574	2560.611		-40.46852	
31.86969	2558.333		-40.46537	
31.92364	2556.087		-40.46044	
31.97759	2553.872		-40.45341	
32.03154	2551.685		-40.44393	
32.08548	2549.523		-40.43172	
32.13943	2547.382		-40.41648	
32.19338	2545.257		-40.39799	
32.24733	2543.145		-40.37604	
32.30127	2541.039		-40.35051	
32.35522	2538.933		-40.32132	
32.40917	2536.823		-40.28849	
32.46312	2534.702		-40.25208	
32.51706	2532.568		-40.21226	
32.57101	2530.424		-40.16921	
32.62496	2528.275		-40.12318	
32.67891	2526.127		-40.07444	
32.73286	2523.983		-40.02327	
32.7868	2521.844		-39.96999	
32.84075	2519.698		-39.91492	
32.8947	2517.535		-39.85835	
32.94865	2515.345		-39.80056	
33.00259	2513.127		-39.74186	
33.05654	2510.881		-39.68257	
33.11049	2508.606		-39.623	
33.16444	2506.31		-39.5635	
33.21839	2504.009		-39.50436	
33.27234	2501.722		-39.44594	
33.32628	2499.467		-39.38859	
33.38023	2497.251		-39.33271	
33.43418	2495.078		-39.27867	
33.48812	2492.943		-39.2269	
33.54207	2490.843		-39.17778	
33.59602	2488.766		-39.13167	
33.64997	2486.705		-39.08889	
33.70392	2484.655		-39.04967	
33.75787	2482.612		-39.01416	
33.81181	2480.573		-38.98241	
33.86576	2478.535		-38.95438	
33.91971	2476.496		-38.92991	
33.97366	2474.458		-38.90877	
34.0276	2472.427		-38.89063	
34.08155	2470.41		-38.87515	
34.1355	2468.412		-38.86201	
34.18945	2466.435		-38.85085	
34.2434	2464.476		-38.84137	
34.29734	2462.532		-38.83325	
34.35129	2460.603		-38.82623	
34.40524	2458.681		-38.82006	
34.45919	2456.757		-38.81455	
34.51313	2454.817		-38.80954	
34.56708	2452.851		-38.8049	
34.62103	2450.85		-38.80053	
34.67498	2448.811		-38.79634	
34.72893	2446.738		-38.79231	
34.78288	2444.638		-38.7884	
34.83682	2442.525		-38.78461	
34.89077	2440.409		-38.7809	
34.94472	2438.304		-38.77725	
34.99866	2436.218		-38.77361	
35.05261	2434.149		-38.76997	
35.10656	2432.094		-38.76628	
35.16051	2430.046		-38.76251	
35.21445	2427.996		-38.75864	
35.2684	2425.931		-38.75465	
35.32235	2423.841		-38.75056	
35.3763	2421.723		-38.74641	
35.43025	2419.584		-38.74229	
35.4842	2417.435		-38.73833	
35.53814	2415.282		-38.73468	
35.59209	2413.126		-38.73152	
35.64604	2410.969		-38.72904	
35.69999	2408.813		-38.72742	
35.75393	2406.662		-38.72688	
35.80788	2404.513		-38.72759	
35.86183	2402.36		-38.72969	
35.91578	2400.195		-38.73324	
35.96973	2398.016		-38.7382	
36.02367	2395.822		-38.74446	
36.07762	2393.615		-38.75183	
36.13157	2391.395		-38.76011	
36.18552	2389.163		-38.76907	
36.23946	2386.918		-38.77845	
36.29341	2384.669		-38.78799	
36.34736	2382.423		-38.79739	
36.40131	2380.187		-38.80637	
36.45526	2377.976		-38.81472	
36.5092	2375.805		-38.82221	
36.56315	2373.687		-38.82872	
