T[°C]	330nm [counts / mm]	S.D.	First derivative	S.D. of first derivative
20.00084	3329.14	14.10366	-48.63466	2.202442
20.05479	3326.496	14.33451	-48.55957	2.136109
20.10874	3323.852	14.56924	-48.48455	2.070397
20.16269	3321.209	14.80756	-48.4096	2.005332
20.21665	3318.568	15.04919	-48.33473	1.940931
20.2706	3315.929	15.2934	-48.25995	1.877217
20.32455	3313.292	15.53987	-48.18528	1.814212
20.3785	3310.657	15.78801	-48.11073	1.751934
20.43245	3308.026	16.03739	-48.03632	1.690407
20.4864	3305.397	16.28807	-47.96205	1.629654
20.54036	3302.772	16.5402	-47.88795	1.569693
20.59431	3300.149	16.79392	-47.81402	1.510546
20.64826	3297.529	17.04927	-47.74028	1.452238
20.70221	3294.91	17.30636	-47.66676	1.394786
20.75616	3292.291	17.56592	-47.59346	1.338212
20.81011	3289.671	17.82882	-47.52039	1.28254
20.86407	3287.048	18.09764	-47.44757	1.227784
20.91802	3284.417	18.37893	-47.37502	1.173971
20.97197	3281.778	18.68639	-47.30274	1.12112
21.02592	3279.218	18.92535	-47.23074	1.069253
21.07987	3276.662	19.11477	-47.15905	1.018389
21.13382	3274.11	19.24902	-47.08765	0.9685518
21.18777	3271.563	19.32729	-47.01655	0.9197687
21.24173	3269.02	19.35558	-46.94577	0.8720672
21.29568	3266.48	19.34458	-46.8753	0.8254766
21.34963	3263.945	19.30809	-46.80514	0.7800315
21.40358	3261.412	19.26567	-46.73528	0.735769
21.45753	3258.88	19.23124	-46.66573	0.6927238
21.51148	3256.352	19.20828	-46.59646	0.6509505
21.56544	3253.833	19.19312	-46.52748	0.6105024
21.61939	3251.33	19.18058	-46.45877	0.5714424
21.67334	3248.854	19.16212	-46.39031	0.5338571
21.72729	3246.404	19.12587	-46.32209	0.4978466
21.78124	3243.974	19.06236	-46.25409	0.4635416
21.8352	3241.549	18.96763	-46.18629	0.4311107
21.88915	3239.118	18.84224	-46.11867	0.4007733
21.9431	3236.675	18.69424	-46.05119	0.3728053
21.99705	3234.22	18.53625	-45.98382	0.34757
22.051	3231.755	18.3766	-45.91651	0.3255165
22.10495	3229.277	18.22199	-45.8492	0.3071824
22.15891	3226.787	18.07718	-45.78184	0.29318
22.21286	3224.287	17.94699	-45.71433	0.2841149
22.26681	3221.787	17.83466	-45.6466	0.2804714
22.32076	3219.296	17.73801	-45.57853	0.282458
22.37471	3216.827	17.64734	-45.51006	0.2898535
22.42866	3214.387	17.55472	-45.44111	0.3018863
22.48261	3211.976	17.451	-45.37169	0.3171738
22.53657	3209.59	17.32493	-45.30194	0.3337758
22.59052	3207.222	17.16641	-45.23217	0.3494836
22.64447	3204.86	16.97383	-45.18653	0.341016
22.69842	3202.494	16.75068	-45.14357	0.3314332
22.75237	3200.117	16.50488	-45.10336	0.3206922
22.80632	3197.729	16.25064	-45.06596	0.3087668
22.86028	3195.334	16.00754	-45.0314	0.2956457
22.91423	3192.935	15.79341	-44.99971	0.2813647
22.96818	3190.531	15.61827	-44.97091	0.2659903
23.02213	3188.123	15.48626	-44.94496	0.2496652
23.07608	3185.712	15.39812	-44.92182	0.2325885
23.13003	3183.304	15.35417	-44.90142	0.2150487
23.18399	3180.899	15.35419	-44.88365	0.1974148
23.23794	3178.501	15.39393	-44.86837	0.1801635
23.29189	3176.115	15.46562	-44.85542	0.1638855
23.34584	3173.744	15.56261	-44.84464	0.1492953
23.39979	3171.387	15.67676	-44.83586	0.1372
23.45374	3169.041	15.80123	-44.82887	0.1283786
23.5077	3166.698	15.93232	-44.82346	0.1233759
23.56165	3164.35	16.0697	-44.81942	0.122268
23.6156	3161.998	16.21565	-44.81652	0.1245823
23.66955	3159.644	16.37458	-44.81454	0.1294375
23.7235	3157.291	16.55072	-44.81325	0.1358427
23.77745	3154.94	16.74406	-44.81246	0.1429062
23.83141	3152.585	16.94699	-44.81197	0.1499419
23.88536	3150.224	17.14907	-44.81161	0.1564823
23.93931	3147.854	17.34245	-44.8112	0.1622677
23.99326	3145.474	17.52178	-44.81062	0.1672152
24.04721	3143.082	17.68743	-44.80973	0.1713984
24.10116	3140.679	17.84237	-44.80844	0.1750268
24.15512	3138.263	17.98775	-44.80667	0.1784414
24.20907	3135.837	18.12021	-44.80433	0.1820667
24.26302	3133.401	18.2313	-44.8013	0.1863994
24.31697	3130.955	18.31468	-44.79745	0.1919479
24.37092	3128.5	18.36875	-44.79266	0.199174
24.42487	3126.04	18.3991	-44.78679	0.208453
24.47882	3123.576	18.4146	-44.77974	0.2200264
24.53278	3121.109	18.422	-44.7714	0.23399
24.58673	3118.635	18.42512	-44.76169	0.2502657
24.64068	3116.15	18.42624	-44.75053	0.2686208
24.69463	3113.656	18.42736	-44.73782	0.2886975
24.74858	3111.16	18.43175	-44.72349	0.3100516
24.80253	3108.668	18.44425	-44.70747	0.3321728
24.85649	3106.182	18.46998	-44.68972	0.3545384
24.91044	3103.702	18.5089	-44.6702	0.3766336
24.96439	3101.227	18.55635	-44.64887	0.3979775
25.01834	3098.751	18.60777	-44.62575	0.4181458
25.07229	3096.275	18.65829	-44.60085	0.4367827
25.12625	3093.798	18.70277	-44.5742	0.4536064
25.1802	3091.324	18.73413	-44.54589	0.468422
25.23415	3088.858	18.74553	-44.51601	0.4811153
25.2881	3086.403	18.7314	-44.4847	0.4916549
25.34205	3083.961	18.68875	-44.45206	0.5000912
25.396	3081.531	18.6185	-44.41825	0.5065629
25.44995	3079.112	18.52486	-44.3834	0.5112919
25.50391	3076.701	18.41031	-44.34763	0.514541
25.55786	3074.291	18.27342	-44.31104	0.5166359
25.61181	3071.882	18.11238	-44.27374	0.5179124
25.66576	3069.474	17.92842	-44.23584	0.5186838
25.71971	3067.073	17.72458	-44.19744	0.5192357
25.77366	3064.678	17.50466	-44.15863	0.5197679
25.82762	3062.285	17.2745	-44.11951	0.5203912
25.88157	3059.89	17.03995	-44.08018	0.5211285
25.93552	3057.488	16.80323	-44.04074	0.5219132
25.98947	3055.076	16.56265	-44.00128	0.5226187
26.04342	3052.659	16.31517	-43.96188	0.5230646
26.09737	3050.243	16.06078	-43.92264	0.5230472
26.15133	3047.834	15.8006	-43.88363	0.5223624
26.20528	3045.44	15.5379	-43.84495	0.5208365
26.25923	3043.062	15.28085	-43.80666	0.5183216
26.31318	3040.699	15.04138	-43.76878	0.5147282
26.36713	3038.355	14.83049	-43.73133	0.5100118
26.42108	3036.032	14.65558	-43.69431	0.5041816
26.47503	3033.733	14.51941	-43.65773	0.4972962
26.52899	3031.456	14.4214	-43.62159	0.4894371
26.58294	3029.196	14.35802	-43.5859	0.4806736
26.63689	3026.949	14.32547	-43.55063	0.4710509
26.69084	3024.71	14.32125	-43.51581	0.4605814
26.74479	3022.47	14.34591	-43.48144	0.449228
26.79875	3020.228	14.40153	-43.44754	0.4369177
