T[°C]	Ratio 350nm / 330nm	S.D.	First derivative	S.D. of first derivative
20.00084	0.9004264	0.0001840851	-7.747266E-05	0.000101581
20.05479	0.9004318	0.0001662826	-8.03697E-05	9.987442E-05
20.10874	0.9004373	0.0001491453	-8.32595E-05	9.8162E-05
20.16269	0.9004428	0.0001327695	-8.614177E-05	9.644368E-05
20.21665	0.9004483	0.0001175612	-8.90162E-05	9.471939E-05
20.2706	0.9004539	0.000103792	-9.188247E-05	9.29891E-05
20.32455	0.9004595	9.204816E-05	-9.474022E-05	9.125278E-05
20.3785	0.900465	8.310139E-05	-9.758908E-05	8.951045E-05
20.43245	0.9004706	7.771958E-05	-0.0001004287	8.776216E-05
20.4864	0.900476	7.655852E-05	-0.0001032587	8.600794E-05
20.54036	0.9004815	7.969309E-05	-0.0001060787	8.424791E-05
20.59431	0.9004869	8.654479E-05	-0.0001088882	8.248216E-05
20.64826	0.9004923	9.620158E-05	-0.000111687	8.071084E-05
20.70221	0.9004975	0.0001078868	-0.0001144746	7.893412E-05
20.75616	0.9005027	0.0001208721	-0.0001172506	7.715221E-05
20.81011	0.9005078	0.0001347268	-0.0001200146	7.536534E-05
20.86407	0.9005128	0.0001491389	-0.0001227662	7.357377E-05
20.91802	0.9005177	0.0001639441	-0.0001255051	7.177782E-05
20.97197	0.9005226	0.0001789584	-0.0001282309	6.997782E-05
21.02592	0.9005273	0.0001940814	-0.0001309431	6.817417E-05
21.07987	0.9005319	0.0002092713	-0.0001336415	6.636731E-05
21.13382	0.9005365	0.0002244362	-0.0001363258	6.45577E-05
21.18777	0.9005409	0.0002396017	-0.0001389955	6.274591E-05
21.24173	0.9005451	0.0002547246	-0.0001416505	6.093252E-05
21.29568	0.9005492	0.0002696969	-0.0001442903	5.911821E-05
21.34963	0.9005533	0.0002845887	-0.0001469148	5.730372E-05
21.40358	0.9005572	0.0002993334	-0.0001495237	5.548988E-05
21.45753	0.9005609	0.0003139221	-0.0001521169	5.36776E-05
21.51148	0.9005646	0.0003283939	-0.0001546941	5.186792E-05
21.56544	0.9005681	0.0003426706	-0.0001572552	5.0062E-05
21.61939	0.9005716	0.0003567597	-0.0001598001	4.826114E-05
21.67334	0.9005752	0.0003706483	-0.0001623288	4.646678E-05
21.72729	0.9005787	0.0003843776	-0.0001648413	4.46806E-05
21.78124	0.9005826	0.0003979063	-0.0001673375	4.290444E-05
21.8352	0.9005865	0.0004112014	-0.0001698176	4.114044E-05
21.88915	0.900591	0.0004241543	-0.0001722817	3.939105E-05
21.9431	0.900596	0.0004365345	-0.0001747301	3.765906E-05
21.99705	0.9006016	0.0004479328	-0.0001771631	3.59477E-05
22.051	0.900602	0.0004483903	-0.0001795809	3.426073E-05
22.10495	0.9006013	0.0004483254	-0.0001819841	3.260251E-05
22.15891	0.9005988	0.0004479325	-0.0001843733	3.097815E-05
22.21286	0.9005949	0.0004468219	-0.000186749	2.939363E-05
22.26681	0.9005899	0.0004450267	-0.000189112	2.7856E-05
22.32076	0.9005834	0.0004428084	-0.0001914633	2.637353E-05
22.37471	0.9005754	0.0004401392	-0.0001938036	2.495596E-05
22.42866	0.9005657	0.0004371503	-0.0001961342	2.361464E-05
22.48261	0.9005544	0.0004336749	-0.0001984562	2.236276E-05
22.53657	0.9005412	0.0004296871	-0.000200771	2.121542E-05
22.59052	0.9005262	0.0004252243	-0.0002030798	2.01894E-05
22.64447	0.9005095	0.0004202796	-0.0002053844	1.93028E-05
22.69842	0.9004912	0.0004151048	-0.0002076863	1.8574E-05
22.75237	0.9004713	0.0004098101	-0.0002099874	1.802029E-05
22.80632	0.9004499	0.0004045878	-0.0002122896	1.765598E-05
22.86028	0.900427	0.0003993509	-0.000214595	1.749056E-05
22.91423	0.9004031	0.0003941299	-0.0002169059	1.752713E-05
22.96818	0.900378	0.0003889425	-0.0002192247	1.776194E-05
23.02213	0.9003522	0.0003838116	-0.000221554	1.818485E-05
23.07608	0.9003254	0.0003787785	-0.0002238966	1.878094E-05
23.13003	0.900298	0.0003738595	-0.0002262555	1.953256E-05
23.18399	0.9002701	0.000368936	-0.0002286337	2.042137E-05
23.23794	0.900242	0.0003641013	-0.0002310343	2.143003E-05
23.29189	0.900214	0.0003593377	-0.0002334604	2.254344E-05
23.34584	0.9001863	0.0003546342	-0.0002359151	2.374965E-05
23.39979	0.9001592	0.0003501159	-0.0002384009	2.50403E-05
23.45374	0.9001328	0.0003456845	-0.0002409193	2.641113E-05
23.5077	0.9001073	0.0003414158	-0.0002434706	2.786204E-05
23.56165	0.9000829	0.0003373921	-0.0002460531	2.939705E-05
23.6156	0.9000595	0.0003337155	-0.0002486622	3.10238E-05
23.66955	0.9000372	0.000330636	-0.0002512903	3.275186E-05
23.7235	0.900016	0.0003282562	-0.0002539273	3.458946E-05
23.77745	0.899996	0.0003268133	-0.0002563644	3.636698E-05
23.83141	0.899977	0.0003262009	-0.0002588784	3.812297E-05
23.88536	0.899959	0.0003262775	-0.0002614698	3.985342E-05
23.93931	0.8999417	0.0003270349	-0.0002641383	4.155511E-05
23.99326	0.8999251	0.0003284769	-0.0002668825	4.322528E-05
24.04721	0.8999088	0.0003306936	-0.0002697009	4.486124E-05
24.10116	0.8998929	0.0003338317	-0.0002725913	4.645996E-05
24.15512	0.8998771	0.0003378616	-0.0002755511	4.801805E-05
24.20907	0.8998614	0.0003426693	-0.0002785772	4.953169E-05
24.26302	0.8998458	0.0003481177	-0.0002816661	5.099669E-05
24.31697	0.8998304	0.0003539018	-0.0002848135	5.24088E-05
24.37092	0.8998151	0.000359785	-0.0002880152	5.376361E-05
24.42487	0.8998002	0.0003653872	-0.0002912665	5.505648E-05
24.47882	0.8997857	0.0003705538	-0.0002945626	5.628283E-05
24.53278	0.8997719	0.0003750626	-0.0002978983	5.743778E-05
24.58673	0.8997591	0.0003790614	-0.0003012686	5.851647E-05
24.64068	0.8997474	0.0003826089	-0.000304668	5.951402E-05
24.69463	0.8997368	0.0003860051	-0.0003080908	6.042613E-05
24.74858	0.8997276	0.0003893127	-0.0003115316	6.124867E-05
24.80253	0.8997197	0.000392593	-0.0003149851	6.197784E-05
24.85649	0.8997128	0.0003959142	-0.0003184465	6.261052E-05
24.91044	0.899707	0.0003991829	-0.0003219111	6.314415E-05
24.96439	0.899702	0.0004025094	-0.0003253745	6.357709E-05
25.01834	0.8996977	0.0004057568	-0.0003288323	6.39084E-05
25.07229	0.8996942	0.0004088492	-0.0003322801	6.413821E-05
25.12625	0.8996913	0.0004116671	-0.0003357137	6.426714E-05
25.1802	0.8996888	0.000414125	-0.0003391289	6.429612E-05
25.23415	0.8996869	0.0004163313	-0.0003425217	6.422695E-05
25.2881	0.899685	0.0004183784	-0.0003458889	6.406186E-05
25.34205	0.8996832	0.0004204758	-0.0003492278	6.380347E-05
25.396	0.8996809	0.000422643	-0.0003525362	6.345534E-05
25.44995	0.8996781	0.0004248537	-0.0003558124	6.30215E-05
25.50391	0.8996742	0.0004269608	-0.0003590553	6.250669E-05
25.55786	0.8996691	0.0004287118	-0.0003622646	6.191604E-05
25.61181	0.8996626	0.0004299248	-0.0003654403	6.125541E-05
25.66576	0.8996546	0.0004304018	-0.000368583	6.053052E-05
25.71971	0.899645	0.0004302125	-0.0003716936	5.97465E-05
25.77366	0.899634	0.000429309	-0.0003747732	5.890842E-05
25.82762	0.8996212	0.000427735	-0.0003778225	5.802089E-05
25.88157	0.8996067	0.0004255086	-0.0003808426	5.708843E-05
25.93552	0.8995904	0.0004227505	-0.0003838342	5.611586E-05
25.98947	0.8995723	0.0004195142	-0.0003867983	5.510782E-05
26.04342	0.8995526	0.0004158411	-0.0003897358	5.406865E-05
26.09737	0.8995314	0.0004117247	-0.0003926477	5.300232E-05
26.15133	0.8995088	0.0004072376	-0.0003955346	5.191262E-05
26.20528	0.899485	0.0004024758	-0.0003983974	5.08028E-05
26.25923	0.8994602	0.0003974567	-0.0004012369	4.967567E-05
26.31318	0.8994346	0.0003923082	-0.000404054	4.853406E-05
26.36713	0.8994085	0.0003870712	-0.00040685	4.73809E-05
26.42108	0.8993819	0.0003817093	-0.0004096266	4.621914E-05
