T[°C]	Scattering [mAU]	S.D.	First derivative	S.D. of first derivative
20.00084	92.26968	1.234282	-0.05800581	0.2934891
20.05479	92.26825	1.216385	-0.05901388	0.2850888
20.10874	92.26701	1.198843	-0.05999755	0.276794
20.16269	92.26601	1.18168	-0.06095643	0.2686082
20.21665	92.26523	1.164969	-0.06189025	0.2605345
20.2706	92.26468	1.148765	-0.06279887	0.2525761
20.32455	92.26438	1.13312	-0.06368224	0.2447357
20.3785	92.26434	1.118071	-0.06454049	0.2370163
20.43245	92.26453	1.103623	-0.06537382	0.2294202
20.4864	92.26492	1.089726	-0.06618258	0.2219497
20.54036	92.26539	1.07629	-0.06696733	0.2146066
20.59431	92.26585	1.063179	-0.06772871	0.2073925
20.64826	92.26619	1.05021	-0.06846754	0.2003087
20.70221	92.26633	1.037085	-0.06918485	0.193356
20.75616	92.26629	1.023389	-0.06988178	0.1865347
20.81011	92.2643	1.010648	-0.0705597	0.1798447
20.86407	92.26836	0.9997905	-0.07122014	0.1732854
20.91802	92.2715	0.9905693	-0.07186482	0.1668556
20.97197	92.27316	0.9842463	-0.07249567	0.1605533
21.02592	92.27319	0.9816145	-0.07311469	0.154376
21.07987	92.2718	0.9829848	-0.07372411	0.1483206
21.13382	92.26897	0.9883211	-0.0743263	0.1423832
21.18777	92.26435	0.9971434	-0.07492374	0.1365594
21.24173	92.25777	1.008474	-0.07551902	0.1308441
21.29568	92.24944	1.021495	-0.07611483	0.1252316
21.34963	92.24006	1.035182	-0.07671398	0.1197153
21.40358	92.23029	1.048409	-0.07731935	0.1142884
21.45753	92.21992	1.060403	-0.07793386	0.1089431
21.51148	92.2086	1.071084	-0.07856043	0.1036713
21.56544	92.19622	1.080966	-0.07920191	0.09846393
21.61939	92.18275	1.090785	-0.07986108	0.0933117
21.67334	92.16827	1.101367	-0.0805406	0.0882045
21.72729	92.15265	1.11359	-0.08124299	0.08313177
21.78124	92.13595	1.128042	-0.08197052	0.0780825
21.8352	92.11886	1.145056	-0.0827252	0.07304539
21.88915	92.10256	1.164467	-0.08350873	0.06800909
21.9431	92.08826	1.185212	-0.08432239	0.0629627
21.99705	92.07684	1.205495	-0.08516691	0.05789666
22.051	92.06885	1.223327	-0.08604222	0.05280426
22.10495	92.06445	1.236817	-0.08694714	0.0476843
22.15891	92.0624	1.245277	-0.08787894	0.04254579
22.21286	92.06081	1.249184	-0.08883253	0.03741648
22.26681	92.05915	1.249322	-0.08979948	0.03235839
22.32076	92.0574	1.246646	-0.09076677	0.02749678
22.37471	92.0556	1.241932	-0.09171455	0.02307269
22.42866	92.05401	1.235659	-0.09261342	0.01951818
22.48261	92.05271	1.228142	-0.09342173	0.01746521
22.53657	92.05177	1.219465	-0.09408519	0.01741816
22.59052	92.05128	1.209638	-0.09454392	0.0191968
22.64447	92.05137	1.198453	-0.09484961	0.01972988
22.69842	92.05201	1.185786	-0.0950262	0.02027198
22.75237	92.05305	1.171782	-0.09506239	0.02080063
22.80632	92.05418	1.156721	-0.09494841	0.02130339
22.86028	92.05512	1.140908	-0.09467585	0.02177626
22.91423	92.05572	1.125018	-0.09423846	0.02222166
22.96818	92.05587	1.109752	-0.0936324	0.02264631
23.02213	92.0555	1.095459	-0.09285714	0.02305936
23.07608	92.05432	1.082204	-0.0919157	0.02347024
23.13003	92.05226	1.069832	-0.09081411	0.02388612
23.18399	92.04943	1.058288	-0.08956162	0.02430991
23.23794	92.04609	1.047376	-0.08817025	0.02473875
23.29189	92.04272	1.036944	-0.08665431	0.02516301
23.34584	92.03976	1.026948	-0.08503062	0.02556785
23.39979	92.03726	1.017327	-0.08331779	0.02593461
23.45374	92.03485	1.007924	-0.08153582	0.02624339
23.5077	92.03204	0.9986585	-0.07970459	0.02647408
23.56165	92.0285	0.9896432	-0.07784408	0.02660747
23.6156	92.02399	0.9809586	-0.07597424	0.02662632
23.66955	92.01839	0.9727885	-0.07411445	0.02651554
23.7235	92.01196	0.9653686	-0.07228371	0.02626372
23.77745	92.00473	0.9588495	-0.07050132	0.02586262
23.83141	91.99689	0.9532077	-0.06878634	0.0253069
23.88536	91.98862	0.9485795	-0.06715651	0.02459394
23.93931	91.97971	0.9454075	-0.06562791	0.0237234
23.99326	91.97018	0.9441163	-0.06421366	0.02269722
24.04721	91.96024	0.9452431	-0.06292424	0.02152021
24.10116	91.95015	0.9491962	-0.0617681	0.02020107
24.15512	91.94026	0.9561028	-0.06075135	0.01875259
24.20907	91.93074	0.9655651	-0.05987708	0.01719202
24.26302	91.92165	0.9767428	-0.05914499	0.01554064
24.31697	91.91316	0.9883605	-0.05855142	0.01382266
24.37092	91.90528	0.9993002	-0.05808973	0.01206341
24.42487	91.89821	1.00892	-0.05775091	0.01028819
24.47882	91.89197	1.017029	-0.05752367	0.008521512
24.53278	91.88641	1.023955	-0.05739446	0.006786556
24.58673	91.88171	1.03041	-0.05734848	0.005105967
24.64068	91.87766	1.037001	-0.05736987	0.003502264
24.69463	91.87376	1.04411	-0.05744203	0.002003223
24.74858	91.86987	1.051777	-0.05754876	0.0007172074
24.80253	91.866	1.059925	-0.0576751	0.0009398655
24.85649	91.86218	1.068009	-0.05780727	0.002059109
24.91044	91.85869	1.075342	-0.05793085	0.003127957
24.96439	91.85583	1.081385	-0.0580311	0.004102556
25.01834	91.85392	1.085994	-0.05809355	0.00498164
25.07229	91.85342	1.08899	-0.05810446	0.005768944
25.12625	91.85464	1.090313	-0.058052	0.006467573
25.1802	91.85732	1.090279	-0.05792596	0.007078675
25.23415	91.86057	1.089566	-0.05771831	0.007600808
25.2881	91.86371	1.089271	-0.05742339	0.008030913
25.34205	91.86638	1.090636	-0.05703784	0.00836548
25.396	91.86844	1.094461	-0.05656077	0.008601333
25.44995	91.87029	1.101014	-0.05599391	0.008736352
25.50391	91.87236	1.109717	-0.05534159	0.008769476
25.55786	91.87479	1.119482	-0.05461039	0.008699993
25.61181	91.87761	1.128864	-0.05380855	0.008527731
25.66576	91.88075	1.13637	-0.05294619	0.008252809
25.71971	91.884	1.14102	-0.05203551	0.007875944
25.77366	91.88732	1.142607	-0.05109097	0.007399321
25.82762	91.89065	1.141379	-0.05012862	0.006828512
25.88157	91.89378	1.138008	-0.04916492	0.006175919
25.93552	91.89639	1.132956	-0.04821584	0.005464278
25.98947	91.89803	1.126372	-0.04729615	0.004732982
26.04342	91.89854	1.118411	-0.04641976	0.00404894
26.09737	91.89786	1.109255	-0.04560043	0.003522288
26.15133	91.89593	1.099379	-0.0448514	0.003304373
26.20528	91.89283	1.08939	-0.04418554	0.00350511
26.25923	91.88858	1.079432	-0.04361452	0.00408778
26.31318	91.88309	1.069516	-0.0431484	0.004921874
26.36713	91.87646	1.059765	-0.04279497	0.0058895
26.42108	91.86895	1.050343	-0.04255929	0.006911493
26.47503	91.86084	1.041258	-0.04244355	0.007936231
26.52899	91.85235	1.03261	-0.04244679	0.008927395
26.58294	91.8436	1.024599	-0.04256504	0.009857118
26.63689	91.83437	1.017171	-0.04279163	0.01070257
26.69084	91.82452	1.010017	-0.04311764	0.01144464
26.74479	91.8145	1.002692	-0.04353254	0.01206823
26.79875	91.80491	0.9948083	-0.04402455	0.01256256
26.8527	91.79619	0.9861478	-0.04458104	0.01292127
26.90665	91.78876	0.9769539	-0.04518841	0.01314154
26.9606	91.7825	0.9679116	-0.04583227	0.01322369
27.01455	91.77704	0.9598846	-0.04649713	0.01317021
27.0685	91.77217	0.9536738	-0.04716698	0.01298531
27.12246	91.7677	0.9498926	-0.04782563	0.01267492
27.17641	91.7637	0.9488108	-0.04845677	0.01224766
27.23036	91.7604	0.9505218	-0.04904438	0.01171535
27.28431	91.75776	0.954704	-0.04957362	0.01109375
27.33826	91.75565	0.9606932	-0.05003185	0.01040313
27.39221	91.75412	0.967664	-0.05040927	0.009668341
27.44617	91.75347	0.9750947	-0.05069905	0.008919315
27.50012	91.75401	0.9828662	-0.05089742	0.008192253
27.55407	91.75571	0.9910345	-0.05100325	0.007530523
27.60802	91.75811	0.9997031	-0.05101794	0.006984968
27.66197	91.7605	1.008943	-0.05094508	0.006610515
27.71592	91.76239	1.018597	-0.05079029	0.006456222
27.76987	91.76367	1.028615	-0.05056086	0.006550123
27.82383	91.76431	1.039075	-0.0502662	0.006889268
27.87778	91.76432	1.050031	-0.04991798	0.007444379
27.93173	91.76383	1.061355	-0.04952933	0.008174229
27.98568	91.76277	1.072654	-0.04911413	0.009039199
28.03963	91.76099	1.083204	-0.04868694	0.0100075
28.09358	91.75842	1.091848	-0.04826245	0.01105641
28.14754	91.75524	1.097461	-0.04785474	0.01217076
28.20149	91.75191	1.099737	-0.04747692	0.01334134
28.25544	91.74876	1.099101	-0.04714148	0.01456409
28.30939	91.74572	1.096459	-0.04686005	0.01583754
28.36334	91.7427	1.092587	-0.04664337	0.01716102
28.41729	91.73951	1.087954	-0.04650163	0.01853314
28.47125	91.73607	1.082912	-0.04644403	0.01995004
28.5252	91.73264	1.077896	-0.04647908	0.02140521
28.57915	91.72932	1.073537	-0.04661447	0.0228893
28.6331	91.72614	1.070833	-0.04685669	0.02439185
28.68705	91.72318	1.070534	-0.0472103	0.02590152
28.741	91.72036	1.072979	-0.04767772	0.02740637
28.79496	91.71761	1.078108	-0.04825925	0.02889377
28.84891	91.71507	1.085236	-0.04895278	0.03035038
28.90286	91.71287	1.093101	-0.0497539	0.03176314
28.95681	91.71095	1.100505	-0.05065664	0.03311876
29.01076	91.70921	1.106399	-0.05165364	0.0344034
29.06471	91.70765	1.109973	-0.0527364	0.03560254
29.11867	91.70653	1.110548	-0.05389565	0.03670079
29.17262	91.70618	1.107936	-0.05512087	0.03768159
29.22657	91.70663	1.102474	-0.05640097	0.03852822
29.28052	91.7075	1.094887	-0.05772495	0.03922513
29.33447	91.70834	1.085833	-0.05908191	0.03975853
29.38842	91.7088	1.075895	-0.0604613	0.04011822
29.44238	91.70879	1.065401	-0.06185238	0.0402986
29.49633	91.70827	1.054342	-0.06324518	0.04029969
29.55028	91.70739	1.042358	-0.06462993	0.04012612
29.60423	91.70625	1.029028	-0.06599773	0.03978681
29.65818	91.70454	1.014303	-0.06734075	0.03929427
29.71213	91.702	0.9985628	-0.06865186	0.03866309
29.76608	91.69879	0.982193	-0.06992505	0.03791061
29.82004	91.69508	0.9655839	-0.07115407	0.03705609
29.87399	91.69108	0.9492486	-0.07233215	0.03612031
29.92794	91.68671	0.9339758	-0.07345255	0.03512558
29.98189	91.68168	0.9204243	-0.07450863	0.03409505
30.03584	91.67568	0.9090422	-0.07549445	0.03305163
30.0898	91.66873	0.8998731	-0.07640495	0.03201652
30.14375	91.66096	0.8925351	-0.07723603	0.03100807
30.1977	91.6526	0.886274	-0.07798495	0.03004103
30.25165	91.64381	0.8803592	-0.07865029	0.02912618
30.3056	91.63493	0.8742243	-0.07923191	0.02827039
30.35955	91.62623	0.8677161	-0.0797306	0.02747669
30.41351	91.61775	0.8611566	-0.08014773	0.02674489
30.46746	91.60975	0.8553427	-0.08048555	0.02607149
30.52141	91.60258	0.850999	-0.0807469	0.02545
30.57536	91.59613	0.8488624	-0.08093526	0.02487168
