T[°C]	Ratio 350nm / 330nm	S.D.	First derivative	S.D. of first derivative
20.00084	0.9002601		3.446998E-06	
20.05479	0.9002879		-8.438149E-07	
20.10874	0.9003155		-5.120787E-06	
20.16269	0.9003431		-9.383432E-06	
20.21664	0.9003704		-1.363124E-05	
20.2706	0.9003975		-1.786369E-05	
20.32455	0.9004244		-2.208039E-05	
20.3785	0.9004511		-2.628049E-05	
20.43245	0.9004775		-3.046357E-05	
20.4864	0.9005037		-3.462907E-05	
20.54035	0.9005296		-3.87764E-05	
20.59431	0.9005553		-4.290501E-05	
20.64826	0.9005806		-4.701431E-05	
20.70221	0.9006057		-5.110375E-05	
20.75616	0.9006305		-5.517276E-05	
20.81011	0.900655		-5.922079E-05	
20.86406	0.9006791		-6.324747E-05	
20.91801	0.900703		-6.725198E-05	
20.97197	0.9007265		-7.123399E-05	
21.02592	0.9007497		-7.519302E-05	
21.07987	0.9007726		-7.912863E-05	
21.13382	0.9007951		-8.30404E-05	
21.18777	0.9008173		-8.692798E-05	
21.24172	0.9008392		-9.0791E-05	
21.29567	0.9008607		-9.462919E-05	
21.34962	0.9008818		-9.844228E-05	
21.40358	0.9009026		-0.0001022301	
21.45753	0.900923		-0.0001059926	
21.51148	0.900943		-0.0001097294	
21.56543	0.9009627		-0.0001134407	
21.61938	0.9009821		-0.0001171265	
21.67333	0.9010012		-0.0001207869	
21.72729	0.9010202		-0.0001244221	
21.78124	0.9010392		-0.0001280324	
21.83519	0.9010581		-0.0001316182	
21.88914	0.9010772		-0.00013518	
21.94309	0.901096		-0.0001387184	
21.99704	0.9011144		-0.0001422342	
22.05099	0.9011149		-0.0001457282	
22.10495	0.9011134		-0.0001492013	
22.1589	0.9011098		-0.0001526549	
22.21285	0.901104		-0.0001560902	
22.2668	0.9010962		-0.0001595087	
22.32075	0.9010864		-0.0001629122	
22.3747	0.9010745		-0.0001663025	
22.42865	0.9010605		-0.0001696817	
22.4826	0.9010441		-0.0001730521	
22.53656	0.901025		-0.0001764159	
22.59051	0.9010034		-0.0001797758	
22.64446	0.9009795		-0.0001831345	
22.69841	0.9009534		-0.0001864947	
22.75236	0.9009253		-0.0001898597	
22.80631	0.9008957		-0.0001932328	
22.86027	0.9008643		-0.0001966175	
22.91422	0.9008315		-0.0002000175	
22.96817	0.9007974		-0.0002034368	
23.02212	0.9007621		-0.0002068795	
23.07607	0.9007258		-0.0002103499	
23.13002	0.9006885		-0.0002138526	
23.18398	0.9006506		-0.0002173917	
23.23793	0.9006126		-0.0002209718	
23.29188	0.9005748		-0.0002245972	
23.34583	0.9005377		-0.0002282714	
23.39978	0.9005017		-0.0002319971	
23.45373	0.9004671		-0.0002357753	
23.50768	0.9004344		-0.0002396044	
23.56163	0.9004039		-0.0002434789	
23.61559	0.9003758		-0.0002473892	
23.66954	0.9003504		-0.0002513204	
23.72349	0.9003276		-0.0002552542	
23.77744	0.9003074		-0.0002591621	
23.83139	0.9002896		-0.0002631964	
23.88534	0.9002736		-0.0002673542	
23.93929	0.900259		-0.0002716309	
23.99325	0.9002457		-0.0002760207	
24.0472	0.9002336		-0.0002805164	
24.10115	0.9002226		-0.0002851098	
24.1551	0.9002128		-0.0002897913	
24.20905	0.900204		-0.0002945501	
24.263	0.9001963		-0.0002993745	
24.31696	0.9001894		-0.0003042515	
24.37091	0.9001832		-0.0003091684	
24.42486	0.9001774		-0.0003141119	
24.47881	0.9001719		-0.0003190681	
24.53276	0.900167		-0.0003240234	
24.58671	0.9001629		-0.0003289638	
24.64066	0.9001597		-0.0003338753	
24.69461	0.9001576		-0.000338744	
24.74857	0.9001567		-0.0003435568	
24.80252	0.9001569		-0.0003483015	
24.85647	0.9001579		-0.0003529677	
24.91042	0.9001594		-0.0003575453	
24.96437	0.9001613		-0.0003620262	
25.01832	0.9001631		-0.0003664033	
25.07228	0.9001649		-0.0003706701	
25.12623	0.9001663		-0.0003748208	
25.18018	0.900167		-0.0003788504	
25.23413	0.9001673		-0.0003827545	
25.28808	0.900167		-0.0003865302	
25.34203	0.9001663		-0.000390176	
25.39598	0.9001648		-0.0003936919	
25.44994	0.9001623		-0.0003970799	
25.50389	0.9001585		-0.0004003428	
25.55784	0.9001528		-0.0004034849	
25.61179	0.9001449		-0.0004065114	
25.66574	0.9001344		-0.000409428	
25.71969	0.9001214		-0.0004122403	
25.77364	0.9001058		-0.0004149535	
25.82759	0.9000875		-0.0004175722	
25.88155	0.9000666		-0.0004201008	
25.9355	0.9000431		-0.000422543	
25.98945	0.9000173		-0.0004249027	
26.0434	0.8999892		-0.0004271831	
26.09735	0.8999592		-0.0004293872	
26.1513	0.8999274		-0.0004315176	
26.20526	0.8998942		-0.0004335763	
26.25921	0.8998597		-0.0004355656	
26.31316	0.8998244		-0.000437488	
26.36711	0.8997886		-0.0004393462	
26.42106	0.8997521		-0.0004411439	
26.47501	0.8997154		-0.0004428846	
26.52896	0.8996784		-0.0004445717	
26.58292	0.8996412		-0.0004462091	
26.63687	0.8996034		-0.0004478002	
26.69082	0.8995647		-0.0004493491	
26.74477	0.899525		-0.0004508598	
26.79872	0.8994842		-0.000452337	
26.85267	0.8994423		-0.0004537861	
26.90662	0.8993994		-0.0004552137	
26.96058	0.8993556		-0.0004566266	
27.01453	0.899311		-0.0004580322	
27.06848	0.8992655		-0.0004594382	
27.12243	0.8992194		-0.0004608525	
27.17638	0.8991727		-0.000462283	
27.23033	0.8991258		-0.000463738	
