T[°C]	Scattering [mAU]	S.D.	First derivative	S.D. of first derivative
20.00084	91.26091		0.2464198	
20.05479	91.28161		0.2366428	
20.10874	91.30221		0.2270276	
20.16269	91.32274		0.2175785	
20.21664	91.34319		0.2082993	
20.2706	91.36359		0.1991934	
20.32455	91.38396		0.1902634	
20.3785	91.40437		0.181512	
20.43245	91.42484		0.1729408	
20.4864	91.44541		0.1645508	
20.54035	91.46616		0.1563422	
20.59431	91.48716		0.1483148	
20.64826	91.50851		0.1404672	
20.70221	91.53026		0.1327976	
20.75616	91.55242		0.1253029	
20.81011	91.57537		0.1179792	
20.86406	91.60944		0.1108214	
20.91801	91.64236		0.1038241	
20.97197	91.67177		0.09697996	
21.02592	91.69587		0.09028109	
21.07987	91.71355		0.08371848	
21.13382	91.72404		0.07728221	
21.18777	91.72707		0.07096156	
21.24172	91.72348		0.06474496	
21.29567	91.71473		0.05862015	
21.34962	91.70257		0.05257416	
21.40358	91.68821		0.0465934	
21.45753	91.67127		0.04066354	
21.51148	91.65089		0.03477042	
21.56543	91.62621		0.02889877	
21.61938	91.59637		0.02303315	
21.67333	91.56052		0.01715771	
21.72729	91.51774		0.01125631	
21.78124	91.46796		0.005312551	
21.83519	91.413		-0.0006901232	
21.88914	91.35591		-0.006768362	
21.94309	91.30043		-0.01293861	
21.99704	91.25052		-0.01921683	
22.05099	91.20972		-0.02561668	
22.10495	91.17982		-0.03214949	
22.1589	91.15891		-0.03882087	
22.21285	91.14332		-0.04562691	
22.2668	91.1319		-0.05254817	
22.32075	91.12418		-0.05954044	
22.3747	91.11976		-0.06652039	
22.42865	91.11844		-0.07334591	
22.4826	91.11983		-0.079795	
22.53656	91.1235		-0.08555727	
22.59051	91.1292		-0.09027338	
22.64446	91.13655		-0.09170902	
22.69841	91.14489		-0.09274562	
22.75236	91.15359		-0.09337227	
22.80631	91.16218		-0.09358285	
22.86027	91.17048		-0.09337641	
22.91422	91.17862		-0.09275752	
22.96817	91.18697		-0.09173679	
23.02212	91.19599		-0.0903318	
23.07607	91.20567		-0.08856709	
23.13002	91.21599		-0.0864742	
