T[°C]	330nm [counts / mm]	S.D.
20.0008	3344.11	
20.001	3354.994	
20.0078	3355.753	
20.00834	3350.016	
20.02061	3349.542	
20.02195	3354.213	
20.04863	3344.048	
20.05041	3347.556	
20.08459	3348.739	
20.08696	3335.329	
20.12776	3339.126	
20.13056	3336.633	
20.17821	3342.525	
20.18145	3340.606	
20.238	3337.501	
20.24147	3331.955	
20.30539	3323.578	
20.30943	3338.328	
20.38002	3321.069	
20.38461	3328.182	
20.45823	3319.645	
20.46458	3324.31	
20.54378	3328.828	
20.54896	3310.253	
20.63464	3319.073	
20.64041	3309.243	
20.73085	3315.522	
20.73671	3312.196	
20.8322	3314.727	
20.83781	3303.237	
20.93788	3301.529	
20.94388	3297.448	
21.04154	3299.28	
21.04765	3299.907	
21.14954	3302.138	
21.1557	3294.031	
21.26102	3287.163	
21.26704	3281.828	
21.36979	3289.385	
21.37674	3286.562	
21.47992	3296.904	
21.48613	3283.759	
21.58982	3279.928	
21.59764	3281.402	
21.69991	3261.677	
21.70602	3271.437	
21.80735	3261.609	
21.81424	3245.644	
21.91625	3256.976	
21.92292	3251.981	
22.02752	3246.092	
22.03381	3257.48	
22.13627	3240.643	
22.14253	3242.902	
22.24628	3245.527	
22.25235	3243.269	
22.35764	3237.369	
22.36404	3237.527	
22.46738	3234.843	
22.47392	3233.078	
22.57495	3231.967	
22.58128	3226.025	
22.68413	3217.557	
22.69057	3216.558	
22.79331	3211.115	
22.80049	3218.95	
22.903	3218.119	
22.90964	3211.852	
23.01427	3201.958	
23.02052	3201.574	
23.12444	3196.326	
23.13075	3198.181	
23.23256	3191.589	
23.24029	3199.129	
23.34058	3191.729	
23.34685	3189.517	
23.45166	3174.347	
23.45788	3180.46	
23.56017	3182.953	
23.56661	3182.11	
23.66867	3183.312	
23.67496	3178.771	
23.78057	3178.805	
23.78689	3169.219	
23.88857	3167.732	
23.89525	3174.234	
23.99899	3165.885	
24.0062	3164.338	
24.10973	3158.73	
24.11587	3165.056	
24.21728	3158.97	
24.22414	3155.916	
24.32767	3150.533	
24.33356	3147.92	
24.43665	3142.873	
24.4448	3145.018	
24.54546	3143.761	
24.55215	3138.323	
24.65658	3139.77	
24.66286	3127.098	
24.76653	3133.622	
24.77263	3130.598	
24.87591	3116.288	
24.88213	3134.943	
24.98663	3123.288	
24.99285	3123.745	
25.09378	3116.387	
25.10035	3110.773	
25.20275	3107.096	
25.20912	3107.976	
25.31368	3103.014	
25.31997	3101.748	
25.42401	3100.568	
25.4303	3089.757	
25.53339	3097.714	
25.53967	3098.394	
25.64287	3099.637	
25.64896	3095.168	
25.75202	3082.691	
25.75843	3078.125	
25.85981	3082.483	
25.86595	3076.327	
25.97245	3078.886	
25.97877	3074.773	
26.07988	3078.906	
26.08654	3066.989	
26.18819	3056.063	
26.19465	3059.702	
26.29974	3061.803	
26.30643	3055.535	
26.40703	3056.057	
26.413	3040.91	
26.51674	3046.92	
26.52556	3048.232	
26.6262	3040.875	
26.63255	3040.34	
26.738	3035.577	
26.74404	3035.179	
26.84416	3035.631	
26.85066	3029.479	
26.95524	3028.109	
26.96283	3029.071	
27.06576	3027.351	
27.07218	3029.134	
27.17242	3022.579	
27.17886	3027.479	
27.28589	3018.006	
27.29277	3017.607	
27.39372	3012.524	
27.40275	3011.44	
27.50377	3018.133	
27.51014	3007.385	
27.61245	2999.767	
27.61907	3007.379	
27.72242	2998.384	
27.72935	2993.29	
27.83033	3003.684	
27.83649	2990.132	
27.94142	2992.705	
27.94763	2996.8	
28.05005	2986.651	
28.05671	2993.609	
28.15932	2982.065	
28.16603	2984.943	
28.26991	2976.551	
28.27632	2975.456	
28.37634	2969.342	
28.38272	2979.344	
28.4883	2968.945	
28.49466	2972.597	
28.59677	2955.879	
28.60332	2960.095	
28.70567	2959.319	
28.71178	2956.049	
28.81653	2947.733	
28.82289	2948.877	
28.9255	2939.035	
28.93192	2943.911	
29.03625	2936.73	
29.04296	2945.7	
29.14585	2937.052	
29.15198	2939.826	
29.25317	2939.792	
29.25948	2931.778	
29.36277	2931.954	
29.37119	2918.747	
29.47413	2924.847	
29.48057	2931.679	
29.58143	2919.479	
29.5879	2913.327	
29.69104	2917.739	
29.69714	2919.762	
29.80087	2911.085	
29.80697	2907.793	
29.91421	2892.435	
29.92078	2896.791	
30.01956	2901.383	
30.02558	2886.334	
30.12843	2890.892	
30.13461	2881.93	
30.23812	2891.099	
30.24439	2893.469	
30.34854	2890.168	
30.35516	2894.191	
30.45775	2885.76	
30.46413	2881.48	
30.56739	2877.775	
30.57331	2874.787	
30.67684	2863.562	
30.68318	2870.338	
30.78498	2865.151	
30.79251	2866.811	
30.89461	2861.143	
30.90095	2861.986	
31.00399	2854.18	
31.0102	2854.114	
31.11518	2856.997	
31.12393	2854.076	
31.2232	2859	
31.2295	2852.986	
31.33248	2850.265	
31.33921	2857.492	
31.44402	2837.604	
31.45135	2842.146	
31.55169	2828.111	
31.5581	2831.551	
31.66167	2834.901	
31.66819	2831.133	
31.7705	2828.945	
31.77984	2825.057	
31.88139	2815.89	
31.88779	2820.216	
31.99162	2812.872	
31.99817	2809.424	
32.09966	2810.894	
32.10591	2802.666	
32.21027	2804.884	
32.21783	2811.4	
32.3187	2802.161	
32.32536	2800.826	
32.42997	2799.998	
32.43599	2793.476	
32.5371	2795.345	
32.54587	2794.499	
32.6476	2784.551	
32.65388	2786.145	
32.75632	2787.182	
32.76279	2784.78	
32.86715	2787.195	
32.87355	2786.637	
32.97748	2769.042	
32.9836	2774.742	
33.08547	2768.325	
33.09183	2768.414	
33.19574	2768.226	
33.202	2757.604	
33.30472	2760.023	
33.31121	2763.113	
33.41337	2759.132	
33.41948	2757.988	
33.52179	2756.268	
33.52837	2757.678	
33.63301	2747.06	
33.63983	2750.579	
33.74235	2740.005	
33.74888	2744.571	
33.85226	2741.556	
33.85873	2741.916	
33.96154	2739.698	
33.96758	2741.837	
34.07137	2727.766	
34.07798	2724.553	
34.18095	2728.528	
34.18721	2726.015	
34.28846	2729.058	
34.29506	2716.438	
34.40142	2721.894	
34.40743	2731.333	
34.50886	2719.669	
34.51538	2717.713	
