T[°C]	Ratio 350nm / 330nm	S.D.
20.0008	0.902217	
20.001	0.899211	
20.0078	0.8979772	
20.00834	0.8992838	
20.02061	0.8985935	
20.02195	0.8986682	
20.04863	0.902211	
20.05041	0.9005183	
20.08459	0.8981196	
20.08696	0.902657	
20.12776	0.8999193	
20.13056	0.9014621	
20.17821	0.8997828	
20.18145	0.9002855	
20.238	0.9024324	
20.24147	0.8995544	
20.30539	0.9026673	
20.30943	0.8986195	
20.38002	0.901741	
20.38461	0.9028611	
20.45823	0.8994315	
20.46458	0.8987882	
20.54378	0.8987401	
20.54896	0.9039615	
20.63464	0.9007147	
20.64041	0.8994242	
20.73085	0.8996666	
20.73671	0.9032887	
20.8322	0.8980371	
20.83781	0.9030508	
20.93788	0.8993174	
20.94388	0.9020075	
21.04154	0.9006693	
21.04765	0.9014886	
21.14954	0.8973421	
21.1557	0.9009517	
21.26102	0.8990863	
21.26704	0.9008021	
21.36979	0.8996019	
21.37674	0.8995109	
21.47992	0.8984967	
21.48613	0.9000894	
21.58982	0.9000865	
21.59764	0.9004727	
21.69991	0.9040087	
21.70602	0.9009733	
21.80735	0.9005486	
21.81424	0.9018058	
21.91625	0.8997804	
21.92292	0.90058	
22.02752	0.9014586	
22.03381	0.9007313	
22.13627	0.9029027	
22.14253	0.9003469	
22.24628	0.8993196	
22.25235	0.8983498	
22.35764	0.8989955	
22.36404	0.8975394	
22.46738	0.8998188	
22.47392	0.8974993	
22.57495	0.9017323	
22.58128	0.9018871	
22.68413	0.9016073	
22.69057	0.9006547	
22.79331	0.9022764	
22.80049	0.8998339	
22.903	0.8994516	
22.90964	0.8994568	
23.01427	0.9013645	
23.02052	0.9003518	
23.12444	0.9031339	
23.13075	0.8994735	
23.23256	0.9028215	
23.24029	0.8998364	
23.34058	0.9019992	
23.34685	0.9011905	
23.45166	0.9008898	
23.45788	0.8994315	
23.56017	0.8974745	
23.56661	0.898212	
23.66867	0.8970577	
23.67496	0.8997377	
23.78057	0.9004405	
23.78689	0.9012305	
23.88857	0.9001918	
23.89525	0.8980162	
23.99899	0.9015658	
24.0062	0.9003642	
24.10973	0.9004813	
24.11587	0.8971767	
24.21728	0.896866	
24.22414	0.8994061	
24.32767	0.8994766	
24.33356	0.8989779	
24.43665	0.8954819	
24.4448	0.8999792	
24.54546	0.9010836	
24.55215	0.8998445	
24.65658	0.8963816	
24.66286	0.8981357	
24.76653	0.8989723	
24.77263	0.9035363	
24.87591	0.9011116	
24.88213	0.8966167	
24.98663	0.8974467	
24.99285	0.8993466	
25.09378	0.9007146	
25.10035	0.9004698	
25.20275	0.9007466	
25.20912	0.8990716	
25.31368	0.8986377	
25.31997	0.9011209	
25.42401	0.8982871	
25.4303	0.9014918	
25.53339	0.8980956	
25.53967	0.8979896	
25.64287	0.8983052	
25.64896	0.8996661	
25.75202	0.9010375	
25.75843	0.8994521	
25.85981	0.8989226	
25.86595	0.8985675	
25.97245	0.9004277	
25.97877	0.8989491	
26.07988	0.8954809	
26.08654	0.9039662	
26.18819	0.9019039	
26.19465	0.8995236	
26.29974	0.8989569	
26.30643	0.8995774	
26.40703	0.8987299	
26.413	0.9049934	
26.51674	0.8985008	
26.52556	0.8991795	
26.6262	0.8993898	
26.63255	0.8994621	
26.738	0.9001666	
26.74404	0.8984595	
26.84416	0.8980462	
26.85066	0.8969161	
26.95524	0.9009943	
26.96283	0.9003734	
27.06576	0.9011852	
27.07218	0.8987877	
27.17242	0.8999288	
27.17886	0.8982933	
27.28589	0.8955477	
27.29277	0.8984998	
27.39372	0.8997825	
27.40275	0.9003975	
27.50377	0.8968983	
27.51014	0.8991323	
27.61245	0.8988961	
27.61907	0.8981239	
27.72242	0.898258	
27.72935	0.8995813	
27.83033	0.8978815	
27.83649	0.8998306	
27.94142	0.9001091	
27.94763	0.8981884	
28.05005	0.8999435	
28.05671	0.8970438	
28.15932	0.8974782	
28.16603	0.8983238	
28.26991	0.8984179	
28.27632	0.8977004	
28.37634	0.9024922	
28.38272	0.8976313	
28.4883	0.8952489	
28.49466	0.8963877	
28.59677	0.8993803	
28.60332	0.8956579	
28.70567	0.8948518	
28.71178	0.896157	
28.81653	0.9000646	
28.82289	0.8968094	
28.9255	0.8971896	
28.93192	0.8998578	
29.03625	0.8990602	
29.04296	0.8958547	
29.14585	0.8986384	
29.15198	0.8954734	
29.25317	0.8951784	
29.25948	0.8993194	
29.36277	0.8945839	
29.37119	0.9024937	
29.47413	0.8985314	
29.48057	0.8984733	
29.58143	0.8971832	
29.5879	0.8991321	
29.69104	0.8954823	
29.69714	0.8921187	
29.80087	0.8953705	
29.80697	0.8964925	
29.91421	0.8997607	
29.92078	0.8998066	
30.01956	0.8965445	
30.02558	0.8991091	
30.12843	0.8980393	
30.13461	0.8975325	
30.23812	0.8973174	
30.24439	0.8966642	
30.34854	0.8972338	
30.35516	0.8976039	
30.45775	0.8963716	
30.46413	0.8967131	
30.56739	0.8959605	
30.57331	0.8979779	
30.67684	0.8967587	
30.68318	0.90074	
30.78498	0.8970622	
30.79251	0.8966748	
30.89461	0.8965879	
30.90095	0.8977135	
31.00399	0.8986245	
31.0102	0.8982011	
31.11518	0.8987315	
31.12393	0.8954262	
31.2232	0.8960487	
31.2295	0.8972806	
31.33248	0.8939421	
31.33921	0.893602	
31.44402	0.8990592	
31.45135	0.896713	
31.55169	0.8993471	
31.5581	0.8999478	
31.66167	0.8954015	
31.66819	0.8954238	
31.7705	0.8960347	
31.77984	0.8986321	
31.88139	0.8961263	
31.88779	0.8940428	
31.99162	0.896124	
31.99817	0.8978626	
32.09966	0.8944675	
32.10591	0.8962733	
32.21027	0.8953822	
32.21783	0.8934879	
32.3187	0.8960707	
32.32536	0.8955501	
32.42997	0.8974306	
32.43599	0.8964655	
32.5371	0.8927826	
32.54587	0.8969878	
32.6476	0.8958619	
32.65388	0.8949068	
32.75632	0.8974243	
32.76279	0.8962023	
32.86715	0.8943939	
32.87355	0.8929748	
32.97748	0.8972448	
32.9836	0.893492	
33.08547	0.8936088	
33.09183	0.895654	
33.19574	0.8936061	
33.202	0.8959311	
33.30472	0.8925756	
33.31121	0.892432	
33.41337	0.8942681	
33.41948	0.8936287	
33.52179	0.8920283	
33.52837	0.8943629	
33.63301	0.8957027	
33.63983	0.8934231	
33.74235	0.8947565	
33.74888	0.8938209	
33.85226	0.8924522	
33.85873	0.8918643	
33.96154	0.8951918	
33.96758	0.8924791	
34.07137	0.8945097	
34.07798	0.8957277	
34.18095	0.8960937	
34.18721	0.8912135	
34.28846	0.8923681	
34.29506	0.8980891	
34.40142	0.892762	
34.40743	0.890922	
34.50886	0.891957	
34.51538	0.8953787	
34.61716	0.8939793	
34.62317	0.8949104	
34.72736	0.8927112	
34.73406	0.8938109	
34.83788	0.8909212	
34.84509	0.8945026	
34.94551	0.892226	
34.95189	0.8929188	
35.05677	0.8925406	
35.06331	0.8943778	
35.16658	0.8900506	
35.17341	0.8938867	
35.2737	0.8936545	
35.28019	0.8926634	
35.38492	0.8930126	
35.39103	0.8917152	
35.4931	0.8892163	
35.49937	0.8928107	
35.60196	0.8907956	
35.60859	0.8901389	
35.71255	0.8925047	
35.71899	0.8933561	
35.82247	0.8922526	
35.8287	0.8930739	
35.9304	0.8919408	
35.93689	0.8947718	
36.03987	0.8891172	
36.04892	0.8908287	
36.15016	0.8944053	
36.15649	0.895934	
36.2589	0.8934496	
36.26555	0.8890912	
36.36952	0.892289	
36.3757	0.8911292	
36.47911	0.8933051	
36.48536	0.889044	
36.58712	0.8910462	
36.59526	0.8928574	
36.69686	0.8902695	
36.70312	0.8930516	
36.80532	0.8927385	
36.81171	0.888087	
