T[°C]	Scattering [mAU]	S.D.
20.0008	93.70556	
20.001	93.45786	
20.0078	93.43407	
20.00834	93.33732	
20.02061	93.75871	
20.02195	93.53065	
20.04863	93.50518	
20.05041	93.5016	
20.08459	93.47609	
20.08696	93.64507	
20.12776	93.80364	
20.13056	93.43762	
20.17821	93.6778	
20.18145	93.56715	
20.238	93.44491	
20.24147	93.68914	
20.30539	93.85385	
20.30943	93.75848	
20.38002	93.9581	
20.38461	93.48634	
20.45823	93.59332	
20.46458	93.20032	
20.54378	93.06602	
20.54896	93.55862	
20.63464	93.41814	
20.64041	93.14377	
20.73085	93.24611	
20.73671	93.28425	
20.8322	93.34631	
20.83781	93.43336	
20.93788	93.54243	
20.94388	93.43571	
21.04154	93.11753	
21.04765	93.4855	
21.14954	93.57193	
21.1557	93.43425	
21.26102	93.6371	
21.26704	93.61316	
21.36979	94.12539	
21.37674	93.20784	
21.47992	92.91064	
21.48613	93.12653	
21.58982	93.35546	
21.59764	93.22821	
21.69991	93.60911	
21.70602	93.28638	
21.80735	93.62656	
21.81424	93.69902	
21.91625	93.49252	
21.92292	93.33509	
22.02752	93.71886	
22.03381	93.2113	
22.13627	93.51531	
22.14253	93.39527	
22.24628	93.26923	
22.25235	93.70448	
22.35764	93.51678	
22.36404	93.68214	
22.46738	93.58286	
22.47392	93.37741	
22.57495	93.60122	
22.58128	93.61758	
22.68413	93.46658	
22.69057	93.22543	
22.79331	93.35353	
22.80049	93.4154	
22.903	93.09518	
22.90964	93.1624	
23.01427	93.62426	
23.02052	93.25086	
23.12444	93.2234	
23.13075	93.30716	
23.23256	93.02695	
23.24029	93.16219	
23.34058	93.27482	
23.34685	93.10419	
23.45166	93.4313	
23.45788	93.09855	
23.56017	93.15535	
23.56661	93.1893	
23.66867	93.39082	
23.67496	93.22043	
23.78057	92.76765	
23.78689	92.89198	
23.88857	93.26847	
23.89525	92.76206	
23.99899	93.24938	
24.0062	93.09021	
24.10973	93.06798	
24.11587	92.97886	
24.21728	92.79614	
24.22414	92.93812	
24.32767	92.84274	
24.33356	92.83344	
24.43665	93.27447	
24.4448	92.68133	
24.54546	93.23177	
24.55215	93.07438	
24.65658	93.01645	
24.66286	93.11656	
24.76653	93.39145	
24.77263	93.12835	
24.87591	93.58685	
24.88213	92.99603	
24.98663	93.09253	
24.99285	93.00367	
25.09378	92.53493	
25.10035	93.24664	
25.20275	93.09782	
25.20912	93.11491	
25.31368	93.36371	
25.31997	92.67101	
25.42401	93.12038	
25.4303	93.19202	
25.53339	93.195	
25.53967	93.00535	
25.64287	93.25553	
25.64896	93.26525	
25.75202	93.27925	
25.75843	93.2315	
25.85981	93.09686	
25.86595	93.0869	
25.97245	92.86423	
25.97877	93.50867	
26.07988	93.38531	
26.08654	93.2785	
26.18819	93.61195	
26.19465	92.94244	
26.29974	93.14344	
26.30643	93.14152	
26.40703	92.63152	
26.413	93.03632	
26.51674	93.29149	
26.52556	93.04781	
26.6262	93.18482	
26.63255	92.66029	
26.738	93.04409	
26.74404	92.9352	
26.84416	92.97682	
26.85066	93.03999	
26.95524	92.80531	
26.96283	92.74582	
27.06576	92.93635	
27.07218	93.06417	
27.17242	92.87863	
27.17886	92.90476	
27.28589	93.14065	
27.29277	92.67567	
27.39372	92.30962	
27.40275	92.6286	
27.50377	92.4538	
27.51014	92.60905	
27.61245	93.24156	
27.61907	92.80259	
27.72242	93.14749	
27.72935	92.80727	
27.83033	92.95235	
27.83649	93.0452	
27.94142	93.15861	
27.94763	93.04745	
28.05005	93.1248	
28.05671	93.00683	
28.15932	93.35837	
28.16603	92.96478	
28.26991	93.16739	
28.27632	92.93616	
28.37634	92.8069	
28.38272	92.75214	
28.4883	92.99315	
28.49466	92.7636	
28.59677	93.0469	
28.60332	93.29528	
28.70567	92.8733	
28.71178	93.04278	
28.81653	92.83724	
28.82289	92.77444	
28.9255	92.90045	
28.93192	92.83324	
29.03625	92.98229	
29.04296	92.86013	
29.14585	92.92437	
29.15198	93.08285	
29.25317	92.99287	
29.25948	92.92283	
