T[°C]	Ratio 350nm / 330nm	S.D.	First derivative	S.D. of first derivative
20.00094	0.9134944	9.083732E-05	0.0002572302	0.00027179
20.05489	0.9134988	8.370526E-05	0.0002513516	0.0002667455
20.10884	0.9135032	7.797519E-05	0.0002454648	0.0002617058
20.16279	0.9135073	7.409986E-05	0.0002395698	0.0002566714
20.21674	0.9135115	7.240682E-05	0.0002336667	0.0002516427
20.27069	0.9135156	7.308349E-05	0.0002277556	0.0002466205
20.32465	0.9135195	7.615108E-05	0.0002218365	0.0002416053
20.3786	0.9135233	8.138335E-05	0.0002159096	0.0002365979
20.43255	0.9135271	8.840859E-05	0.0002099752	0.0002315991
20.4865	0.9135308	9.696044E-05	0.0002040334	0.0002266096
20.54045	0.9135344	0.0001066045	0.0001980846	0.0002216304
20.5944	0.913538	0.0001171833	0.000192129	0.0002166622
20.64835	0.9135415	0.0001284713	0.0001861669	0.0002117061
20.7023	0.913545	0.0001403441	0.0001801987	0.000206763
20.75625	0.9135485	0.0001526724	0.0001742247	0.000201834
20.8102	0.913552	0.0001653566	0.0001682453	0.0001969201
20.86415	0.9135556	0.0001783627	0.000162261	0.0001920225
20.9181	0.9135593	0.0001915718	0.0001562721	0.0001871423
20.97205	0.913563	0.0002049448	0.000150279	0.0001822806
21.026	0.9135669	0.0002184637	0.0001442822	0.0001774388
21.07995	0.9135708	0.0002320592	0.000138282	0.000172618
21.1339	0.9135748	0.0002456815	0.000132279	0.0001678197
21.18785	0.9135789	0.0002593257	0.0001262736	0.000163045
21.2418	0.9135832	0.0002730134	0.0001202662	0.0001582954
21.29575	0.9135875	0.0002867415	0.0001142571	0.0001535724
21.3497	0.9135918	0.0003005268	0.0001082468	0.0001488774
21.40366	0.9135962	0.0003143871	0.0001022358	0.0001442119
21.45761	0.9136007	0.0003282983	9.622428E-05	0.0001395776
21.51156	0.9136052	0.0003423123	9.021272E-05	0.000134976
21.56551	0.9136096	0.0003564673	8.420143E-05	0.0001304088
21.61946	0.9136139	0.0003707986	7.819071E-05	0.0001258779
21.67341	0.9136178	0.0003854995	7.218084E-05	0.000121385
21.72736	0.9136212	0.0004006483	6.617205E-05	0.0001169322
21.78131	0.9136235	0.0004166428	6.016452E-05	0.0001125216
21.83526	0.9136249	0.0004351003	5.415841E-05	0.0001081553
21.88921	0.913626	0.0004539336	4.815381E-05	0.0001038358
21.94316	0.9136275	0.0004722273	4.215075E-05	9.956559E-05
