T[°C]	330nm [counts / mm]	S.D.
20.00091	3662.292	
20.00174	3662.68	
20.00688	3645.099	
20.00957	3660.288	
20.01884	3648.725	
20.02543	3642.05	
20.04555	3659.09	
20.054	3646.038	
20.07984	3655.602	
20.09172	3659.297	
20.12255	3651.021	
20.13649	3655.528	
20.17256	3650.487	
20.18805	3649.305	
20.23072	3648.49	
20.24871	3639.724	
20.29791	3635.878	
20.3179	3644.523	
20.3712	3634.062	
20.39339	3635.453	
20.44898	3631.786	
20.47405	3638.059	
20.53391	3628.852	
20.55979	3626.93	
20.62442	3633.822	
20.65126	3623.995	
20.71962	3639.814	
20.74874	3626.821	
20.82078	3623.77	
20.84977	3617.344	
20.9256	3607.598	
20.95557	3610.717	
21.02931	3600.317	
21.05992	3593.944	
21.13766	3602.605	
21.16838	3600.788	
21.24796	3585.025	
21.27927	3590.177	
21.35685	3582.348	
21.3893	3569.293	
21.46722	3575.705	
21.49933	3576.642	
21.57769	3579.19	
21.61016	3570.982	
21.68739	3572.144	
21.71803	3558.544	
21.79454	3574.819	
21.82684	3567.571	
21.90386	3565.745	
21.93608	3558.398	
22.01506	3551.793	
22.04647	3552.886	
22.12391	3546.745	
22.15517	3543.532	
22.23356	3540.728	
22.26507	3527.377	
22.34451	3530.318	
22.37655	3534.85	
22.45459	3532.469	
22.48624	3534.432	
22.56253	3518.703	
22.59417	3516.583	
22.67176	3509.894	
22.70292	3518.042	
22.7805	3509.111	
22.81307	3513.551	
22.89048	3515.736	
22.92257	3515.278	
23.00163	3516.564	
23.03293	3500.368	
23.11147	3482.413	
23.14311	3489.035	
23.21992	3491.916	
23.25258	3493.387	
23.32825	3495.613	
23.35963	3480.641	
23.43883	3484.525	
23.47106	3475.493	
23.54822	3468.778	
23.57928	3472.603	
23.65633	3468.509	
23.68776	3470.647	
23.76771	3482.056	
23.79933	3467.01	
23.8761	3462.705	
23.90743	3462.174	
23.98577	3449.017	
24.01855	3452.752	
24.09673	3447.873	
24.12852	3449.691	
24.20509	3446.809	
24.23712	3443.286	
24.3153	3432.149	
24.34581	3440.449	
24.42373	3429.329	
24.45674	3434.99	
24.53282	3423.186	
24.56525	3418.208	
24.6441	3426.333	
24.6755	3418.859	
24.75378	3410.832	
24.7854	3413.288	
24.86345	3403.47	
24.89457	3415.486	
24.97353	3401.628	
25.00483	3402.401	
25.08104	3398.961	
25.11287	3395.136	
25.19019	3383.92	
25.2221	3387.716	
25.30104	3387.243	
25.33251	3387.869	
25.41122	3383.801	
25.44259	3374.447	
25.52045	3373.572	
25.55189	3377.058	
25.62982	3360.242	
25.66145	3368.579	
25.73926	3356.145	
25.77032	3362.063	
