T[°C]	Ratio 350nm / 330nm	S.D.
20.00091	0.9135799	
20.00174	0.9118104	
20.00688	0.9150335	
20.00957	0.9138478	
20.01884	0.9144163	
20.02543	0.9140407	
20.04555	0.9130371	
20.054	0.9140888	
20.07984	0.9139181	
20.09172	0.911643	
20.12255	0.9135169	
20.13649	0.9128268	
20.17256	0.9121372	
20.18805	0.9104534	
20.23072	0.9130781	
20.24871	0.9129831	
20.29791	0.9140802	
20.3179	0.9151563	
20.3712	0.9149501	
20.39339	0.9136242	
20.44898	0.9114164	
20.47405	0.911536	
20.53391	0.9135515	
20.55979	0.9130859	
20.62442	0.913974	
20.65126	0.9135871	
20.71962	0.9094456	
20.74874	0.9156126	
20.82078	0.9131787	
20.84977	0.9152687	
20.9256	0.9169362	
20.95557	0.9128638	
21.02931	0.9135535	
21.05992	0.9157683	
21.13766	0.9133927	
21.16838	0.9112155	
21.24796	0.9151052	
21.27927	0.9129106	
21.35685	0.9136337	
21.3893	0.9132837	
21.46722	0.9137437	
21.49933	0.9137251	
21.57769	0.9115229	
21.61016	0.9127755	
21.68739	0.9120927	
21.71803	0.9128687	
21.79454	0.9112095	
21.82684	0.9152697	
21.90386	0.9113926	
21.93608	0.913062	
22.01506	0.9129364	
22.04647	0.9140108	
22.12391	0.9135201	
22.15517	0.9133168	
22.23356	0.9143019	
22.26507	0.9168425	
22.34451	0.9117297	
22.37655	0.9121985	
22.45459	0.9110663	
22.48624	0.9111928	
22.56253	0.9158329	
22.59417	0.914407	
22.67176	0.9135247	
22.70292	0.908623	
22.7805	0.9140995	
22.81307	0.9106585	
22.89048	0.9139872	
22.92257	0.9096941	
23.00163	0.9110999	
23.03293	0.9157278	
23.11147	0.9166824	
23.14311	0.9137369	
23.21992	0.9118051	
23.25258	0.9120848	
23.32825	0.9127142	
23.35963	0.9139661	
23.43883	0.9128413	
23.47106	0.9159874	
23.54822	0.9140108	
23.57928	0.915168	
23.65633	0.9148411	
23.68776	0.9118477	
23.76771	0.9096661	
23.79933	0.9136506	
23.8761	0.9114459	
23.90743	0.9118311	
23.98577	0.9154791	
24.01855	0.9158197	
24.09673	0.9119745	
24.12852	0.9118968	
24.20509	0.9133335	
24.23712	0.9129599	
24.3153	0.913884	
24.34581	0.9111829	
24.42373	0.9128934	
24.45674	0.9122908	
24.53282	0.9155483	
24.56525	0.9131135	
24.6441	0.9109137	
24.6755	0.9140872	
24.75378	0.9133466	
24.7854	0.9142264	
24.86345	0.9152443	
24.89457	0.9112932	
24.97353	0.9143559	
25.00483	0.9129055	
25.08104	0.9138544	
25.11287	0.913569	
25.19019	0.9149028	
25.2221	0.9129435	
25.30104	0.9153173	
25.33251	0.9124107	
25.41122	0.9138544	
25.44259	0.9163486	
25.52045	0.9120875	
25.55189	0.9132854	
25.62982	0.9174013	
25.66145	0.9123933	
25.73926	0.9138298	
25.77032	0.9099278	
25.84689	0.9123921	
25.87866	0.9116783	
25.95909	0.9107997	
25.9909	0.9132583	
26.06725	0.9150077	
26.09839	0.9117585	
26.17517	0.9133952	
26.2075	0.9123654	
26.28692	0.9114535	
26.31925	0.9107885	
26.39521	0.9115304	
26.42606	0.9139733	
26.50439	0.9123887	
26.5375	0.9102224	
26.61357	0.912777	
26.64528	0.9113531	
26.72497	0.911345	
26.75646	0.9118615	
26.83206	0.9129925	
26.8634	0.9115326	
26.9423	0.9106764	
26.97513	0.9143876	
27.05292	0.91395	
27.085	0.911278	
27.16081	0.9137233	
27.19173	0.9131456	
27.27256	0.9153027	
27.30491	0.9091336	
27.38113	0.9107043	
27.41434	0.91306	
27.49064	0.91267	
27.52255	0.9128897	
27.59981	0.912431	
27.63186	0.9113345	
27.7099	0.9099095	
27.7422	0.9146946	
27.81845	0.9100949	
27.84919	0.9129536	
27.92849	0.9121742	
27.95964	0.9131725	
28.03698	0.9148619	
28.06918	0.9128974	
28.14666	0.9121453	
28.17912	0.9105032	
28.25749	0.9110878	
28.28851	0.9119541	
28.36397	0.9125202	
28.39579	0.9121681	
28.47558	0.9117393	
28.50733	0.9111313	
28.5845	0.9112167	
28.61604	0.9108357	
