T[°C]	330nm [counts / mm]	S.D.
20.00061	4990.367	9.783671
20.05472	4993.237	9.533613
20.10883	4987.24	17.92163
20.16294	4977.196	8.391043
20.21704	4971.864	10.38816
20.27115	4975.005	9.195559
20.32526	4963.864	9.129539
20.37937	4965.188	11.69221
20.43348	4966.767	17.07559
20.48759	4952.258	11.85562
20.54169	4951.213	10.30508
20.5958	4948.225	12.47124
20.64991	4940.839	14.83647
20.70402	4933.832	11.98797
20.75813	4937.688	9.893292
20.81223	4937.4	15.9282
20.86634	4924.28	12.68487
20.92045	4924.502	7.668417
20.97456	4922.694	12.60795
21.02867	4922.205	13.29201
21.08278	4916.836	10.68748
21.13688	4908.082	8.260432
21.19099	4910.04	6.280704
21.2451	4905.772	12.64827
21.29921	4902.123	14.53203
21.35332	4897.389	18.35324
21.40742	4889.396	13.28653
21.46153	4893.384	10.60579
21.51564	4884.602	8.153008
21.56975	4883.98	14.16158
21.62386	4878.989	16.00451
21.67797	4874.067	17.02179
21.73207	4869.259	15.49278
21.78618	4871.783	16.88146
21.84029	4864.597	18.11155
21.8944	4865.387	20.22553
21.94851	4858.09	20.33337
22.00262	4851.471	16.75649
22.05672	4852.157	15.47852
22.11083	4844.178	9.149506
22.16494	4835.818	15.70293
22.21905	4836.941	19.22282
22.27316	4832.695	17.99851
22.32726	4827.449	18.0348
22.38137	4826.101	8.638786
22.43548	4821.167	14.64326
22.48959	4815.979	8.727319
22.5437	4812.479	9.054987
22.59781	4816.487	10.87314
22.65191	4815.107	12.47411
22.70602	4804.313	5.310087
22.76013	4802.777	13.5565
22.81424	4802.238	15.37762
22.86835	4798.281	12.93706
22.92245	4790.188	13.29707
22.97656	4785.133	12.4319
23.03067	4787.333	10.14505
23.08478	4781.277	13.57275
23.13889	4780.792	17.21527
23.193	4777.554	18.51565
23.2471	4769.313	13.9356
23.30121	4764.636	15.18132
23.35532	4760.527	12.30423
23.40943	4759.02	12.49192
23.46354	4749.074	8.592096
23.51765	4750.242	11.81046
23.57175	4751.79	5.786933
23.62586	4746.076	11.94079
23.67997	4741.286	9.573478
23.73408	4736.616	10.7972
23.78819	4738	11.96626
23.84229	4731.954	12.80633
23.8964	4719.798	11.64772
23.95051	4721.533	8.032722
24.00462	4713.349	15.32152
24.05873	4712.925	16.74571
24.11284	4710.752	9.834297
24.16694	4706.974	12.57628
24.22105	4703.646	19.67561
24.27516	4703.316	20.92633
24.32927	4696.13	15.41776
24.38338	4692.827	12.47403
24.43748	4687.627	10.65247
24.49159	4686.192	10.44249
24.5457	4685.973	12.54271
24.59981	4678.281	12.55594
24.65392	4672.896	10.13268
24.70803	4668.268	6.530789
24.76213	4665.104	6.939038
24.81624	4666.584	16.15357
24.87035	4654.353	20.72713
24.92446	4656.378	13.06278
24.97857	4652.143	16.84181
25.03268	4651.808	13.72972
25.08678	4649.8	13.75977
25.14089	4643.053	8.535839
25.195	4635.871	8.070683
25.24911	4636.892	13.32835
25.30322	4635.713	16.90356
25.35732	4626.654	18.51875
25.41143	4626.01	15.66434
25.46554	4619.276	20.21657
25.51965	4615.098	21.24227
25.57376	4613.438	12.53102
25.62787	4613.33	13.6346
25.68197	4610.568	13.67848
25.73608	4604.384	15.7355
25.79019	4602.103	14.22862
25.8443	4595.388	18.14188
25.89841	4595.201	15.68883
25.95251	4591.436	16.29251
26.00662	4584.189	15.85312
26.06073	4582.296	13.03437
26.11484	4577.684	13.16416
26.16895	4575.947	3.180676
26.22306	4572.681	12.84976
26.27716	4571.559	6.856137
26.33127	4563.93	6.994788
26.38538	4562.096	9.887912
26.43949	4563.464	8.084026
26.4936	4556.872	12.83996
26.5477	4548.525	7.540632
26.60181	4550.901	14.40928
26.65592	4549.265	14.7822
26.71003	4544.054	15.5816
26.76414	4537.613	10.48327
26.81825	4534.605	13.92705
26.87235	4525.708	18.96581
26.92646	4522.966	18.70084
26.98057	4517.898	16.02097
27.03468	4513.962	13.41153
27.08879	4513.842	17.78196
27.1429	4509.38	13.88141
27.197	4506.774	9.310517
27.25111	4502.588	12.65275
27.30522	4508.456	13.05295
27.35933	4503.875	11.11786
27.41344	4491.445	13.81298
27.46754	4492.489	9.750298
27.52165	4488.92	13.17434
27.57576	4483.571	9.675903
27.62987	4484.702	19.47676
27.68398	4482.174	18.89653
27.73809	4478.556	15.4211
27.79219	4475.552	18.60431
27.8463	4467.931	7.587699
27.90041	4466.61	13.31813
27.95452	4459.707	14.55437
28.00863	4457.167	12.22376
28.06273	4456.424	14.4222
28.11684	4449.446	14.59641
28.17095	4445.438	16.15831
28.22506	4442.456	10.50879
28.27917	4439.559	11.06386
28.33328	4435.434	7.531579
28.38738	4427.149	15.5202
28.44149	4427.104	11.59756
28.4956	4428.031	11.57025
28.54971	4426.788	17.99086
28.60382	4421.151	16.4551
28.65793	4417.47	14.60217
28.71203	4416.522	12.70956
28.76614	4413.849	12.45058
28.82025	4409.5	12.49614
28.87436	4400.151	13.97587
28.92847	4399.151	17.82828
28.98257	4394.685	18.23028
29.03668	4392.444	17.89468
29.09079	4391.236	19.05675
29.1449	4391.486	14.34892
29.19901	4385.563	15.38308
29.25312	4379.018	14.55314
29.30722	4373.727	4.405615
29.36133	4364.17	6.800152
29.41544	4368.195	12.90717
29.46955	4364.9	12.44965
29.52366	4363.404	13.19239
29.57776	4360.131	11.41338
29.63187	4355.491	8.80514
29.68598	4353.905	13.46712
29.74009	4347.929	14.42189
29.7942	4343.889	19.47727
29.84831	4344.085	10.14855
29.90241	4341.508	10.10585
29.95652	4336.172	15.41039
30.01063	4335.964	9.802692
30.06474	4328.285	12.55638
30.11885	4327.188	12.93505
30.17296	4325.714	7.469057
30.22706	4320.85	12.23314
30.28117	4316.531	18.21438
30.33528	4311.364	17.59596
30.38939	4307.573	10.81094
30.4435	4303.848	13.41259
30.4976	4299.549	10.24821
30.55171	4297.186	14.75686
30.60582	4292.729	10.0303
30.65993	4287.703	9.519589
30.71404	4285.479	8.27314
30.76815	4285.004	11.16216
30.82225	4284.044	12.97679
30.87636	4281.384	17.36478
30.93047	4276.608	8.518187
30.98458	4276.753	12.5944
31.03869	4272.957	13.15234
31.09279	4267.745	11.94103
31.1469	4258.38	17.06185
31.20101	4257.19	17.39863
31.25512	4258.62	13.20641
31.30923	4254.866	9.664317
31.36334	4242.38	11.2077
31.41744	4243.125	13.00953
31.47155	4235.804	12.76491
31.52566	4233.691	14.6575
31.57977	4231.65	11.6567
31.63388	4230.342	17.54135
31.68799	4224.248	16.48617
31.74209	4224.163	13.12837
31.7962	4226.972	18.85614
31.85031	4222.572	9.831828
31.90442	4211.658	17.07508
31.95853	4209.798	18.39831
32.01263	4205.409	10.93196
32.06674	4207.064	13.35236
32.12085	4203.236	18.61796
32.17496	4199.737	17.68487
32.22907	4195.176	15.64505
32.28318	4191.79	10.38356
32.33728	4189.378	10.07848
32.39139	4188.221	16.83816
32.4455	4180.827	14.54203
32.49961	4177.215	17.15907
32.55372	4179.813	19.41557
32.60783	4171.377	16.46606
32.66193	4165.736	19.9012
32.71604	4166.558	13.72606
32.77015	4159.744	14.05101
32.82426	4158.347	12.91608
32.87836	4158.955	12.45499
32.93248	4155.977	7.531916
32.98658	4149.66	8.143288
33.04069	4146.178	17.1871
33.0948	4146.557	21.2337
33.14891	4137.934	9.263069
33.20301	4138.557	13.99022
33.25712	4133.43	13.19763
33.31123	4129.601	10.31055
33.36534	4124.429	13.11405
33.41945	4124.701	8.245084
33.47356	4121.163	10.6632
33.52766	4120.558	10.69137
33.58177	4116.814	5.269057
33.63588	4115.072	10.18137
33.68999	4102.045	10.56468
33.7441	4100.246	13.87616
33.79821	4102.381	16.49754
33.85231	4100.145	19.62243
33.90642	4088.213	7.594183
33.96053	4088.652	5.889622
34.01464	4085.957	6.518868
34.06875	4083.008	4.781675
34.12286	4078.393	10.91127
34.17696	4075.299	6.631841
34.23107	4077.264	12.53228
34.28518	4072.523	12.0903
34.33929	4065.954	17.81054
34.39339	4067.691	15.29574
34.44751	4057.275	8.912694
34.50161	4056.643	9.429208
34.55572	4057.455	15.19571
34.60983	4050.401	11.46698
34.66394	4045.637	8.848646
34.71804	4047.741	14.67817
34.77215	4041.472	10.94926
34.82626	4039.886	8.235526
34.88037	4030.399	18.60085
34.93448	4027.308	15.03628
34.98859	4029.832	11.37957
35.04269	4026.57	14.65212
35.0968	4027.115	18.97055
35.15091	4021.578	14.94656
35.20502	4022.199	8.265079
35.25913	4018.727	6.796253
35.31324	4015.081	15.79884
35.36734	4011.941	13.31436
35.42145	3999.676	17.62422
35.47556	4000.061	16.23531
35.52967	3997.662	11.91025
35.58378	3995.787	15.22141
35.63789	3984.652	8.372195
35.69199	3988.981	13.39509
35.7461	3984.454	11.68525
35.80021	3982.274	12.49514
35.85432	3976.057	18.36368
35.90842	3969.957	16.02334
35.96254	3969.773	8.399674
36.01664	3969.7	11.63003
36.07075	3964.309	12.47829
36.12486	3961.031	11.06116
36.17897	3959.655	14.98834
36.23307	3957.973	14.38535
36.28718	3952.305	10.42176
36.34129	3949.448	9.019856
36.3954	3947.042	8.425462
36.44951	3943.67	11.46847
36.50362	3940.214	14.56543
36.55772	3936.373	12.42389
36.61183	3933.339	11.09415
36.66594	3932.057	14.026
36.72005	3931.025	9.287077
36.77416	3928.06	12.31761
36.82827	3924.223	14.84474
36.88237	3922.32	9.922651
36.93648	3919.451	16.14727
36.99059	3914.119	10.0857
37.0447	3912.048	15.06533
37.09881	3906.971	5.223098
37.15292	3906.972	12.00946
37.20702	3900.186	5.896936
37.26113	3898.295	10.93615
37.31524	3891.292	13.88579
37.36935	3890.856	13.80177
37.42345	3886.982	12.11072
37.47757	3882.876	13.27463
37.53167	3878.619	10.92993
37.58578	3874.908	11.73845
37.63989	3878.391	12.18445
37.694	3876.859	14.47879
37.7481	3873.921	8.344244
37.80221	3873.834	11.06168
37.85632	3862.701	18.16142
37.91043	3860.137	15.97942
37.96454	3856.559	12.52862
38.01865	3852.48	11.41274
38.07275	3848.728	6.97091
38.12686	3850.946	12.18111
38.18097	3845.351	7.338949
38.23508	3845.892	9.897005
38.28919	3835.609	17.9511
38.3433	3835.68	16.45663
38.3974	3833.108	12.53684
38.45151	3831.292	13.33128
38.50562	3824.271	12.41209
38.55973	3821.863	13.22955
38.61384	3823.701	14.98749
38.66795	3821.55	8.946149
38.72205	3808.821	27.33969
38.77616	3808.86	20.99696
38.83027	3804.576	15.04984
38.88438	3804.8	11.31057
38.93848	3799.085	15.55126
38.9926	3799.484	8.735741
39.0467	3793.598	10.74988
39.10081	3790.01	10.58778
39.15492	3785.585	12.61872
