T[°C]	Ratio 350nm / 330nm	S.D.	First derivative	S.D. of first derivative
20.00061	0.8718597	0.0003934502	-0.0006302057	0.0002502725
20.05472	0.871826	0.0003908433	-0.0006279119	0.0002482511
20.10883	0.8717923	0.0003883968	-0.0006256174	0.0002462219
20.16294	0.8717585	0.00038616	-0.0006233223	0.0002441847
20.21704	0.8717247	0.0003841014	-0.0006210268	0.0002421397
20.27115	0.8716909	0.0003823373	-0.0006187313	0.0002400867
20.32526	0.8716571	0.0003808035	-0.0006164358	0.0002380257
20.37937	0.8716232	0.0003796444	-0.0006141409	0.000235957
20.43348	0.8715894	0.0003787639	-0.0006118465	0.0002338805
20.48759	0.8715554	0.0003782695	-0.0006095532	0.0002317964
20.54169	0.8715216	0.000378157	-0.0006072614	0.0002297047
20.5958	0.8714877	0.0003784637	-0.0006049713	0.0002276058
20.64991	0.8714539	0.0003791764	-0.0006026833	0.0002254998
20.70402	0.87142	0.0003803193	-0.0006003979	0.0002233868
20.75813	0.8713862	0.0003818945	-0.0005981155	0.0002212673
20.81223	0.8713524	0.0003839154	-0.0005958366	0.0002191413
20.86634	0.8713186	0.0003863873	-0.0005935616	0.0002170092
20.92045	0.8712848	0.0003892686	-0.000591291	0.0002148714
20.97456	0.871251	0.0003925526	-0.0005890253	0.0002127281
21.02867	0.8712173	0.0003962564	-0.0005867651	0.0002105798
21.08278	0.8711835	0.0004002942	-0.0005845107	0.0002084267
21.13688	0.8711497	0.0004046983	-0.0005822629	0.0002062694
21.19099	0.8711159	0.0004093852	-0.0005800221	0.0002041082
21.2451	0.8710821	0.0004143701	-0.0005777889	0.0002019436
21.29921	0.8710483	0.000419565	-0.0005755639	0.0001997761
21.35332	0.8710145	0.0004250018	-0.0005733476	0.0001976062
21.40742	0.8709806	0.0004306303	-0.0005711406	0.0001954343
21.46153	0.8709468	0.0004364221	-0.0005689436	0.000193261
21.51564	0.8709128	0.0004423972	-0.0005667571	0.0001910868
21.56975	0.8708789	0.0004485309	-0.0005645817	0.0001889124
21.62386	0.8708449	0.0004548693	-0.000562418	0.0001867383
21.67797	0.8708108	0.0004613804	-0.0005602666	0.0001845651
21.73207	0.8707766	0.0004681305	-0.0005581282	0.0001823933
21.78618	0.8707422	0.0004751808	-0.0005560032	0.0001802238
21.84029	0.8707076	0.0004826105	-0.0005538924	0.0001780571
21.8944	0.8706728	0.0004905596	-0.0005517963	0.0001758939
21.94851	0.8706375	0.0004992199	-0.0005497154	0.0001737349
22.00262	0.8706018	0.0005089127	-0.0005476503	0.0001715807
22.05672	0.8705653	0.00052019	-0.0005456016	0.0001694322
22.11083	0.870528	0.0005335149	-0.0005435698	0.0001672899
22.16494	0.8704912	0.0005475753	-0.0005415553	0.0001651547
22.21905	0.8704554	0.0005622839	-0.0005395586	0.0001630273
22.27316	0.8704211	0.0005798634	-0.0005375802	0.0001609084
22.32726	0.8703873	0.000597587	-0.0005356204	0.0001587989
22.38137	0.8703542	0.0006153028	-0.0005336797	0.0001566993
22.43548	0.8703218	0.0006328581	-0.0005317581	0.0001546105
22.48959	0.87029	0.0006500094	-0.0005298558	0.0001525333
22.5437	0.8702589	0.0006666547	-0.0005279731	0.0001504681
22.59781	0.8702284	0.0006826583	-0.0005261097	0.0001484158
22.65191	0.8701984	0.0006978897	-0.0005242655	0.0001463768
22.70602	0.8701691	0.0007123368	-0.0005224402	0.0001443517
22.76013	0.8701403	0.0007259366	-0.0005206334	0.0001423408
22.81424	0.8701121	0.0007386672	-0.0005188442	0.0001403443
22.86835	0.8700843	0.0007503597	-0.0005170718	0.0001383625
22.92245	0.870057	0.0007610001	-0.0005153151	0.0001363952
22.97656	0.8700301	0.0007704746	-0.0005135727	0.0001344421
23.03067	0.8700038	0.0007787831	-0.0005118428	0.0001325027
23.08478	0.869978	0.0007859373	-0.0005101234	0.0001305759
23.13889	0.8699526	0.0007919463	-0.0005084122	0.0001286604
23.193	0.8699277	0.0007968872	-0.0005067064	0.0001267542
23.2471	0.8699031	0.0008007991	-0.0005050028	0.0001248547
23.30121	0.869879	0.0008037583	-0.0005032979	0.0001229586
23.35532	0.8698552	0.000805923	-0.0005015878	0.0001210615
23.40943	0.8698319	0.0008074806	-0.0004998685	0.000119158
23.46354	0.8698089	0.0008085221	-0.0004981362	0.0001172412
23.51765	0.8697862	0.0008091069	-0.0004963874	0.0001153035
23.57175	0.8697636	0.0008094443	-0.0004946199	0.000113336
23.62586	0.8697413	0.0008096219	-0.000492833	0.00011133
23.67997	0.8697191	0.0008097572	-0.0004910291	0.0001092787
23.73408	0.869697	0.000809849	-0.0004909014	0.0001076221
23.78819	0.8696751	0.000809982	-0.0004908959	0.0001059717
23.84229	0.8696534	0.0008100646	-0.0004910126	0.000104325
23.8964	0.8696318	0.0008101526	-0.0004912517	0.0001026792
23.95051	0.8696104	0.0008102735	-0.0004916132	0.0001010319
24.00462	0.8695892	0.0008103647	-0.0004920969	9.938086E-05
24.05873	0.8695682	0.000810425	-0.0004927025	9.772403E-05
24.11284	0.8695475	0.0008103646	-0.0004934299	9.605964E-05
24.16694	0.8695272	0.0008100949	-0.0004942783	9.438626E-05
24.22105	0.8695073	0.0008096464	-0.0004952473	9.270268E-05
24.27516	0.8694878	0.0008089897	-0.0004963363	9.100839E-05
24.32927	0.8694686	0.0008080362	-0.0004975445	8.930306E-05
24.38338	0.8694498	0.0008069046	-0.0004988714	8.758705E-05
24.43748	0.8694312	0.0008055349	-0.0005003161	8.586126E-05
24.49159	0.8694128	0.0008039282	-0.0005018779	8.412715E-05
24.5457	0.8693945	0.0008020827	-0.0005035559	8.23873E-05
24.59981	0.8693764	0.0007999992	-0.000505349	8.064447E-05
24.65392	0.8693582	0.000797827	-0.0005072566	7.890227E-05
24.70803	0.8693401	0.000795627	-0.0005092776	7.716488E-05
24.76213	0.8693219	0.0007934904	-0.0005114115	7.543682E-05
24.81624	0.8693038	0.0007914502	-0.0005136576	7.372285E-05
24.87035	0.8692858	0.000789543	-0.0005160158	7.202798E-05
24.92446	0.8692677	0.0007879261	-0.0005184856	7.035696E-05
24.97857	0.8692496	0.0007865538	-0.0005210668	6.871444E-05
25.03268	0.8692312	0.0007854711	-0.0005237589	6.710496E-05
25.08678	0.8692127	0.000784607	-0.0005265612	6.553265E-05
25.14089	0.8691939	0.0007839738	-0.0005294729	6.400137E-05
25.195	0.8691745	0.0007835223	-0.0005324932	6.25145E-05
25.24911	0.8691546	0.0007832074	-0.0005356208	6.107485E-05
25.30322	0.8691339	0.000783036	-0.0005388541	5.968461E-05
25.35732	0.8691125	0.0007830113	-0.0005421911	5.834537E-05
25.41143	0.8690903	0.0007830831	-0.0005456299	5.705807E-05
25.46554	0.8690673	0.0007833416	-0.0005491677	5.58229E-05
25.51965	0.8690434	0.0007837692	-0.0005528019	5.463939E-05
25.57376	0.8690186	0.0007844393	-0.000556529	5.350646E-05
25.62787	0.8689926	0.000785372	-0.000560345	5.242227E-05
25.68197	0.8689656	0.0007867302	-0.0005642453	5.138421E-05
25.73608	0.8689373	0.0007885467	-0.0005682246	5.03891E-05
25.79019	0.8689077	0.0007909162	-0.000572277	4.943321E-05
25.8443	0.8688771	0.0007938014	-0.0005763964	4.851216E-05
25.89841	0.8688451	0.0007972708	-0.000580576	4.762106E-05
25.95251	0.868812	0.0008013737	-0.0005848092	4.675463E-05
26.00662	0.8687776	0.0008060782	-0.0005890889	4.590709E-05
26.06073	0.868742	0.000811308	-0.0005934077	4.507243E-05
26.11484	0.8687053	0.0008170814	-0.0005977585	4.424453E-05
26.16895	0.8686675	0.0008232603	-0.000602134	4.341749E-05
26.22306	0.8686287	0.0008296997	-0.0006065273	4.258593E-05
26.27716	0.868589	0.0008361546	-0.0006109317	4.174504E-05
26.33127	0.8685485	0.0008424984	-0.0006153411	4.08906E-05
26.38538	0.8685072	0.0008484576	-0.0006197502	4.001929E-05
26.43949	0.8684653	0.0008538353	-0.0006241542	3.912875E-05
26.4936	0.8684229	0.0008585412	-0.000628549	3.821727E-05
26.5477	0.8683801	0.0008624313	-0.0006329318	3.728365E-05
26.60181	0.8683372	0.0008653588	-0.0006372998	3.632735E-05
26.65592	0.8682942	0.0008673104	-0.0006416511	3.534829E-05
26.71003	0.8682514	0.0008683292	-0.0006459842	3.434695E-05
26.76414	0.8682088	0.0008684693	-0.0006502977	3.332425E-05
26.81825	0.8681666	0.0008679006	-0.0006545908	3.228152E-05
26.87235	0.8681248	0.0008667507	-0.0006588628	3.122052E-05
26.92646	0.8680835	0.0008650697	-0.0006631132	3.014319E-05
26.98057	0.8680425	0.0008629266	-0.0006673413	2.905154E-05
27.03468	0.868002	0.0008602777	-0.0006715467	2.794777E-05
27.08879	0.8679616	0.0008571901	-0.0006757285	2.683412E-05
27.1429	0.8679212	0.0008538093	-0.0006798854	2.571322E-05
27.197	0.8678808	0.0008501892	-0.0006840162	2.458821E-05
