T[°C]	Ratio 350nm / 330nm	S.D.
20.00061	0.8722534	0.0004977849
20.05472	0.8717242	0.002030847
20.10883	0.8708627	0.001314501
20.16294	0.8713717	0.001199432
20.21704	0.8722747	0.0001730103
20.27115	0.8711379	0.0008981216
20.32526	0.8718616	0.000526692
20.37937	0.8710114	0.001251894
20.43348	0.8706908	0.0007063121
20.48759	0.8722411	0.0005644194
20.54169	0.8728189	0.001302144
20.5958	0.8717337	9.555773E-05
20.64991	0.8728262	0.0001147525
20.70402	0.8723441	0.0008072404
20.75813	0.870451	0.00104636
20.81223	0.8704271	0.001023018
20.86634	0.871728	0.0008362555
20.92045	0.871347	0.001970679
20.97456	0.8716993	0.0009898787
21.02867	0.8716069	0.0008866373
21.08278	0.8704017	0.0007267677
21.13688	0.8704411	0.001929291
21.19099	0.8708919	0.001108762
21.2451	0.8706479	0.0002307994
21.29921	0.8710812	0.0007236365
21.35332	0.8715637	0.001597553
21.40742	0.871407	0.0002998509
21.46153	0.8709891	0.0004625389
21.51564	0.8715971	0.001005006
21.56975	0.8699176	0.0006936986
21.62386	0.8705744	0.0005036646
21.67797	0.8709308	0.001396935
21.73207	0.8709428	0.0004493182
21.78618	0.870169	0.00199608
21.84029	0.8707986	0.0009216898
21.8944	0.8703457	0.0007030308
21.94851	0.8697284	0.002377945
22.00262	0.870579	0.001535959
22.05672	0.8703505	0.0008786782
22.11083	0.8694452	0.0007888416
22.16494	0.8719101	0.0004476288
22.21905	0.8716517	0.001010401
22.27316	0.8703228	0.001202262
22.32726	0.8710734	0.001658983
22.38137	0.8703752	0.001300891
22.43548	0.8708423	0.001145499
22.48959	0.8702211	0.001938401
22.5437	0.8712559	0.001320871
22.59781	0.8698463	0.002050704
22.65191	0.8696581	0.001152551
22.70602	0.8701414	0.001950345
22.76013	0.8701425	0.0007423072
22.81424	0.869398	0.0009769355
22.86835	0.8696559	0.0007616597
22.92245	0.8702576	0.002503076
22.97656	0.8706861	0.001994443
23.03067	0.8692797	0.000340671
23.08478	0.8700551	0.0006790716
23.13889	0.8696402	0.0009812849
23.193	0.8692812	0.00101822
23.2471	0.8693637	0.002582451
23.30121	0.8699907	0.001207675
23.35532	0.8693216	0.000982816
23.40943	0.869531	0.001373366
23.46354	0.8704173	0.0004384454
23.51765	0.869931	0.0004716721
23.57175	0.8692672	0.0008424854
23.62586	0.8687736	0.001801277
23.67997	0.8698007	0.001452347
23.73408	0.8704175	0.001380777
23.78819	0.8693743	0.001938638
23.84229	0.8693697	0.001023394
23.8964	0.8699639	0.002620918
23.95051	0.8692763	0.001386004
24.00462	0.8696689	0.001878646
24.05873	0.8693122	0.001343737
24.11284	0.8710867	0.0009615042
24.16694	0.8701771	0.0006935459
24.22105	0.8693684	0.001550759
24.27516	0.8690773	0.001520702
24.32927	0.8693467	0.0008556006
24.38338	0.869368	0.001068044
24.43748	0.8687186	0.0008316418
24.49159	0.8684164	0.0002309672
24.5457	0.8688483	0.0004791523
24.59981	0.8692632	0.001358728
24.65392	0.8692117	0.001744441
24.70803	0.8695943	0.0009579918
24.76213	0.869905	0.001055834
24.81624	0.869532	0.00160115
24.87035	0.870684	0.0009884097
24.92446	0.8690171	0.001074321
24.97857	0.869276	0.00106228
25.03268	0.8698105	0.0008329991
25.08678	0.869817	0.0003504006
25.14089	0.8688828	0.001088535
25.195	0.8695467	0.001990091
25.24911	0.8691369	0.0002602548
25.30322	0.8689726	0.0003298865
25.35732	0.8690562	0.001475864
25.41143	0.8692371	0.001965159
25.46554	0.8692125	0.0003848058
25.51965	0.8696357	0.001107116
25.57376	0.8687346	0.001119643
25.62787	0.867976	0.0009043106
25.68197	0.8688239	0.000922932
25.73608	0.8689318	0.001893702
25.79019	0.8689076	0.001497068
25.8443	0.8696395	0.002049093
25.89841	0.8682106	0.0008170125
