T[°C]	350nm [counts / mm]	S.D.	First derivative	S.D. of first derivative
20.00061	4342.449		-67.10589	
20.05472	4338.672		-66.9635	
20.10883	4334.905		-66.82168	
20.16294	4331.148		-66.68047	
20.21705	4327.401		-66.53987	
20.27115	4323.664		-66.39996	
20.32526	4319.936		-66.26075	
20.37937	4316.218		-66.12227	
20.43348	4312.51		-65.98458	
20.48759	4308.812		-65.8477	
20.5417	4305.125		-65.71169	
20.5958	4301.451		-65.57655	
20.64991	4297.787		-65.44234	
20.70402	4294.135		-65.30909	
20.75813	4290.493		-65.17683	
20.81224	4286.861		-65.04558	
20.86635	4283.241		-64.91537	
20.92046	4279.651		-64.78624	
20.97456	4276.162		-64.65819	
21.02867	4272.654		-64.53123	
21.08278	4269.123		-64.4054	
21.13689	4265.58		-64.28066	
21.191	4262.037		-64.15705	
21.24511	4258.509		-64.03455	
21.29921	4255.007		-63.91315	
21.35332	4251.547		-63.79285	
21.40743	4248.131		-63.67362	
21.46154	4244.752		-63.55544	
21.51565	4241.399		-63.43829	
21.56976	4238.055		-63.32212	
21.62387	4234.7		-63.20688	
21.67797	4231.319		-63.09253	
21.73208	4227.91		-62.97899	
21.78619	4224.481		-62.8662	
21.8403	4221.038		-62.75406	
21.89441	4217.588		-62.64248	
21.94851	4214.145		-62.53133	
22.00262	4210.719		-62.4205	
22.05673	4207.331		-62.3098	
22.11084	4204.003		-62.19907	
22.16495	4200.749		-62.0881	
22.21906	4197.569		-61.97668	
22.27316	4194.456		-61.86459	
22.32727	4191.394		-61.75165	
22.38138	4188.365		-61.63775	
22.43549	4185.353		-61.52297	
22.4896	4182.333		-61.40771	
22.54371	4179.286		-61.2928	
22.59782	4176.207		-61.17944	
22.65192	4173.096		-61.11291	
22.70603	4169.962		-61.04879	
22.76014	4166.813		-60.9871	
22.81425	4163.665		-60.92785	
22.86836	4160.522		-60.87102	
22.92247	4157.384		-60.81657	
22.97658	4154.246		-60.76444	
23.03068	4151.089		-60.71451	
23.08479	4147.898		-60.66663	
23.1389	4144.663		-60.62061	
23.19301	4141.377		-60.5762	
23.24712	4138.043		-60.53315	
23.30123	4134.675		-60.49115	
23.35533	4131.282		-60.44989	
23.40944	4127.873		-60.40904	
23.46355	4124.456		-60.36829	
23.51766	4121.04		-60.32737	
23.57177	4117.625		-60.28603	
23.62588	4114.209		-60.24407	
23.67999	4110.798		-60.20135	
23.73409	4107.4		-60.15781	
23.7882	4104.019		-60.11337	
23.84231	4100.654		-60.06804	
23.89642	4097.311		-60.02187	
23.95053	4093.98		-59.97492	
24.00463	4090.652		-59.9273	
24.05874	4087.319		-59.87914	
24.11285	4083.978		-59.83058	
24.16696	4080.635		-59.78179	
24.22107	4077.298		-59.73294	
24.27518	4073.975		-59.68422	
24.32928	4070.674		-59.6358	
24.38339	4067.404		-59.58785	
24.4375	4064.168		-59.54049	
24.49161	4060.957		-59.49384	
24.54572	4057.759		-59.44799	
24.59983	4054.558		-59.40304	
24.65394	4051.338		-59.3591	
24.70804	4048.086		-59.31628	
24.76215	4044.799		-59.27467	
24.81626	4041.487		-59.23437	
24.87037	4038.169		-59.19545	
24.92448	4034.868		-59.15802	
24.97859	4031.602		-59.12219	
25.03269	4028.371		-59.08807	
25.0868	4025.17		-59.05576	
25.14091	4021.983		-59.02528	
25.19502	4018.799		-58.99668	
25.24913	4015.617		-58.96995	
25.30324	4012.443		-58.94504	
25.35735	4009.281		-58.92186	
25.41145	4006.139		-58.90025	
25.46556	4003.028		-58.88002	
25.51967	3999.958		-58.86091	
25.57378	3996.934		-58.84267	
25.62789	3993.959		-58.82505	
25.682	3991.033		-58.80785	
25.7361	3988.147		-58.79093	
25.79021	3985.288		-58.77425	
25.84432	3982.448		-58.75785	
25.89843	3979.624		-58.74189	
25.95254	3976.808		-58.72649	
26.00665	3973.986		-58.71187	
26.06075	3971.141		-58.69819	
26.11486	3968.251		-58.68563	
26.16897	3965.303		-58.67434	
26.22308	3962.286		-58.66447	
26.27719	3959.196		-58.65617	
26.3313	3956.033		-58.64962	
26.3854	3952.801		-58.64496	
26.43951	3949.512		-58.64234	
26.49362	3946.185		-58.64191	
26.54773	3942.837		-58.6438	
26.60184	3939.483		-58.64811	
26.65595	3936.135		-58.65493	
26.71006	3932.79		-58.6643	
26.76416	3929.442		-58.67617	
26.81827	3926.078		-58.69047	
26.87238	3922.688		-58.70704	
26.92649	3919.275		-58.72564	
26.9806	3915.847		-58.74604	
27.03471	3912.414		-58.76788	
27.08881	3908.99		-58.79076	
27.14292	3905.588		-58.81424	
27.19703	3902.21		-58.83783	
27.25114	3898.864		-58.861	
27.30525	3895.555		-58.88321	
27.35936	3892.288		-58.9039	
27.41347	3889.063		-58.92247	
27.46757	3885.868		-58.93833	
27.52168	3882.693		-58.95081	
27.57579	3879.531		-58.95926	
27.6299	3876.385		-58.96296	
27.68401	3873.251		-58.9613	
27.73812	3870.124		-58.95372	
27.79222	3866.993		-58.9398	
27.84633	3863.854		-58.91925	
27.90044	3860.706		-58.8919	
27.95455	3857.548		-58.85775	
28.00866	3854.393		-58.81691	
28.06277	3851.245		-58.76963	
28.11687	3848.104		-58.71631	
28.17098	3844.969		-58.65743	
28.22509	3841.838		-58.59358	
28.2792	3838.713		-58.52547	
28.33331	3835.585		-58.45383	
28.38742	3832.441		-58.37949	
28.44152	3829.28		-58.3033	
28.49563	3826.1		-58.2261	
28.54974	3822.901		-58.14878	
28.60385	3819.684		-58.07215	
28.65796	3816.462		-57.99702	
28.71207	3813.249		-57.92414	
28.76617	3810.054		-57.85417	
28.82028	3806.884		-57.78769	
28.87439	3803.737		-57.72519	
28.9285	3800.604		-57.66703	
28.98261	3797.473		-57.61351	
29.03672	3794.329		-57.56483	
29.09083	3791.168		-57.52113	
29.14493	3787.986		-57.48245	
29.19904	3784.784		-57.44879	
29.25315	3781.573		-57.42008	
29.30726	3778.375		-57.39621	
29.36137	3775.214		-57.37701	
29.41548	3772.103		-57.36227	
29.46959	3769.048		-57.35167	
29.52369	3766.042		-57.34485	
29.5778	3763.08		-57.34137	
29.63191	3760.159		-57.34072	
29.68602	3757.276		-57.34238	
29.74013	3754.421		-57.34582	
29.79424	3751.582		-57.35049	
29.84834	3748.74		-57.35586	
29.90245	3745.876		-57.36145	
29.95656	3742.981		-57.36679	
30.01067	3740.053		-57.37144	
30.06478	3737.094		-57.37501	
30.11889	3734.113		-57.37716	
30.17299	3731.119		-57.37761	
30.2271	3728.118		-57.37618	
30.28121	3725.11		-57.37275	
30.33532	3722.092		-57.36729	
30.38943	3719.058		-57.35981	
30.44354	3716.003		-57.35041	
30.49764	3712.922		-57.33925	
30.55175	3709.81		-57.32652	
30.60586	3706.666		-57.31242	
30.65997	3703.489		-57.29714	
30.71408	3700.277		-57.28085	
30.76819	3697.031		-57.26369	
30.82229	3693.76		-57.2458	
30.8764	3690.477		-57.22728	
30.93051	3687.199		-57.20823	
30.98462	3683.944		-57.18876	
31.03873	3680.713		-57.16901	
31.09284	3677.5		-57.14911	
31.14695	3674.292		-57.12918	
31.20105	3671.081		-57.10933	
31.25516	3667.863		-57.08963	
31.30927	3664.64		-57.07012	
31.36338	3661.419		-57.05077	
