T[°C]	Ratio 350nm / 330nm	S.D.	First derivative	S.D. of first derivative
20.00059	0.8722196		-0.0004965743	
20.0547	0.8721898		-0.0004953642	
20.10881	0.8721601		-0.000494165	
20.16292	0.8721306		-0.0004929772	
20.21702	0.8721011		-0.0004918011	
20.27113	0.8720717		-0.0004906372	
20.32524	0.8720425		-0.0004894859	
20.37935	0.8720134		-0.0004883477	
20.43346	0.8719844		-0.0004872229	
20.48757	0.8719555		-0.000486112	
20.54167	0.8719267		-0.0004850156	
20.59578	0.8718981		-0.000483934	
20.64989	0.8718696		-0.0004828677	
20.704	0.8718411		-0.0004818171	
20.75811	0.8718128		-0.0004807828	
20.81221	0.8717846		-0.0004797651	
20.86632	0.8717565		-0.0004787646	
20.92043	0.8717284		-0.0004777816	
20.97454	0.8717004		-0.0004768167	
21.02865	0.8716725		-0.0004758702	
21.08276	0.8716445		-0.0004749426	
21.13686	0.8716165		-0.0004740344	
21.19097	0.8715886		-0.0004731459	
21.24508	0.8715606		-0.0004722776	
21.29919	0.8715325		-0.0004714299	
21.3533	0.8715044		-0.0004706031	
21.4074	0.8714762		-0.0004697976	
21.46151	0.8714479		-0.0004690138	
21.51562	0.8714195		-0.0004682521	
21.56973	0.871391		-0.0004675127	
21.62384	0.8713624		-0.0004667959	
21.67795	0.8713338		-0.000466102	
21.73205	0.871305		-0.0004654314	
21.78616	0.8712761		-0.0004647841	
21.84027	0.8712472		-0.0004641604	
21.89438	0.8712181		-0.0004635605	
21.94849	0.8711891		-0.0004629844	
22.0026	0.8711599		-0.0004624322	
22.0567	0.8711309		-0.000461904	
22.11081	0.8711022		-0.0004613997	
22.16492	0.8710739		-0.0004609192	
22.21903	0.8710464		-0.0004604623	
22.27314	0.8710241		-0.0004600288	
22.32724	0.8710023		-0.0004596184	
22.38135	0.870981		-0.0004592305	
22.43546	0.8709602		-0.0004588648	
22.48957	0.8709397		-0.0004585203	
22.54368	0.8709196		-0.0004581964	
22.59779	0.8709		-0.000457892	
22.65189	0.8708806		-0.000457606	
22.706	0.8708617		-0.0004573372	
22.76011	0.8708432		-0.0004570839	
22.81422	0.870825		-0.0004568446	
22.86833	0.870807		-0.0004566173	
22.92243	0.8707892		-0.0004564	
22.97654	0.8707713		-0.0004561904	
23.03065	0.8707536		-0.000455986	
23.08476	0.8707357		-0.0004557842	
23.13887	0.8707176		-0.0004555821	
23.19298	0.8706993		-0.0004553773	
23.24708	0.8706808		-0.0004551672	
23.30119	0.8706619		-0.0004549499	
23.3553	0.8706427		-0.0004547244	
23.40941	0.8706232		-0.0004544913	
23.46352	0.8706036		-0.0004542531	
23.51762	0.8705838		-0.000454016	
23.57173	0.8705637		-0.0004537896	
23.62584	0.8705437		-0.0004535877	
23.67995	0.8705235		-0.000453427	
23.73406	0.8705032		-0.0004552502	
23.78817	0.870483		-0.0004572052	
23.84227	0.8704626		-0.0004592916	
23.89638	0.8704421		-0.0004615092	
23.95049	0.8704215		-0.0004638572	
24.0046	0.8704008		-0.0004663344	
24.05871	0.8703801		-0.0004689394	
24.11282	0.8703592		-0.0004716705	
24.16692	0.8703384		-0.0004745248	
24.22103	0.8703176		-0.0004774996	
24.27514	0.870297		-0.0004805919	
24.32925	0.8702764		-0.0004837983	
24.38336	0.8702559		-0.000487115	
24.43746	0.8702354		-0.0004905384	
24.49157	0.870215		-0.0004940651	
24.54568	0.8701946		-0.0004976909	
24.59979	0.8701739		-0.0005014115	
24.6539	0.8701532		-0.0005052229	
24.70801	0.8701324		-0.0005091208	
24.76211	0.8701115		-0.0005131008	
24.81622	0.8700904		-0.0005171595	
24.87033	0.870069		-0.0005212941	
24.92444	0.8700474		-0.0005255012	
24.97855	0.8700253		-0.000529778	
25.03265	0.8700027		-0.0005341212	
25.08676	0.8699796		-0.0005385276	
25.14087	0.8699559		-0.0005429934	
25.19498	0.8699315		-0.0005475151	
25.24909	0.8699061		-0.0005520894	
25.3032	0.8698798		-0.0005567119	
25.3573	0.8698527		-0.0005613784	
25.41141	0.8698245		-0.0005660849	
25.46552	0.8697954		-0.0005708267	
25.51963	0.8697654		-0.0005755985	
25.57374	0.8697343		-0.000580395	
25.62785	0.8697021		-0.00058521	
25.68195	0.8696687		-0.0005900361	
25.73606	0.8696342		-0.0005948661	
25.79017	0.8695986		-0.0005996919	
25.84428	0.869562		-0.0006045054	
25.89839	0.8695245		-0.0006092977	
25.95249	0.869486		-0.0006140603	
26.0066	0.8694467		-0.0006187848	
26.06071	0.8694065		-0.0006234625	
26.11482	0.8693655		-0.0006280856	
26.16893	0.8693239		-0.0006326461	
26.22304	0.8692818		-0.0006371372	
26.27714	0.8692393		-0.0006415523	
26.33125	0.8691965		-0.0006458863	
26.38536	0.8691534		-0.000650135	
26.43947	0.8691101		-0.0006542955	
26.49358	0.8690667		-0.0006583658	
26.54768	0.8690231		-0.000662345	
26.60179	0.8689796		-0.0006662329	
26.6559	0.8689361		-0.0006700296	
26.71001	0.8688927		-0.0006737363	
26.76412	0.8688495		-0.0006773545	
26.81823	0.8688065		-0.0006808854	
26.87233	0.8687639		-0.0006843309	
26.92644	0.8687214		-0.0006876927	
26.98055	0.868679		-0.0006909717	
27.03466	0.8686365		-0.0006941687	
27.08877	0.8685939		-0.0006972839	
27.14288	0.8685511		-0.000700317	
27.19698	0.8685082		-0.0007032666	
27.25109	0.8684652		-0.0007061312	
27.3052	0.8684223		-0.0007089094	
27.35931	0.8683794		-0.0007115992	
27.41342	0.8683364		-0.000714199	
27.46752	0.8682932		-0.0007167069	
27.52163	0.8682497		-0.000719121	
27.57574	0.8682058		-0.0007214395	
27.62985	0.8681616		-0.000723661	
27.68396	0.868117		-0.0007257845	
27.73807	0.8680722		-0.0007278093	
27.79217	0.8680273		-0.0007297353	
27.84628	0.8679824		-0.0007315629	
27.90039	0.8679377		-0.0007332927	
27.9545	0.8678935		-0.0007349256	
28.00861	0.8678498		-0.0007364625	
28.06271	0.8678067		-0.0007379046	
28.11682	0.8677643		-0.0007392535	
28.17093	0.8677226		-0.0007405106	
28.22504	0.8676818		-0.0007416785	
28.27915	0.867642		-0.0007427597	
28.33326	0.8676032		-0.0007437581	
28.38736	0.8675653		-0.0007446783	
28.44147	0.8675283		-0.0007455256	
28.49558	0.8674919		-0.000746306	
28.54969	0.8674558		-0.0007470252	
28.6038	0.86742		-0.0007476892	
28.6579	0.8673843		-0.0007483034	
28.71201	0.8673487		-0.0007488729	
28.76612	0.8673133		-0.0007494028	
28.82023	0.8672779		-0.0007498976	
28.87434	0.8672425		-0.0007503612	
28.92845	0.867207		-0.0007507975	
28.98255	0.8671711		-0.0007512098	
29.03666	0.8671349		-0.0007516015	
29.09077	0.867098		-0.0007519753	
29.14488	0.8670604		-0.0007523339	
29.19899	0.8670218		-0.0007526794	
29.2531	0.8669823		-0.0007530143	
29.3072	0.8669421		-0.0007533415	
29.36131	0.8669012		-0.0007536653	
29.41542	0.8668598		-0.0007539913	
29.46953	0.866818		-0.0007543257	
29.52364	0.8667759		-0.0007546754	
29.57774	0.8667336		-0.0007550479	
29.63185	0.8666914		-0.0007554514	
29.68596	0.8666492		-0.0007558952	
29.74007	0.8666072		-0.0007563891	
29.79418	0.8665656		-0.0007569437	
29.84829	0.8665246		-0.0007575699	
29.90239	0.8664844		-0.0007582788	
29.9565	0.8664449		-0.0007590816	
30.01061	0.8664063		-0.0007599895	
30.06472	0.8663683		-0.0007610131	
30.11883	0.8663308		-0.0007621623	
30.17293	0.8662935		-0.0007634462	
30.22704	0.8662565		-0.000764873	
30.28115	0.8662194		-0.0007664492	
30.33526	0.8661823		-0.0007681805	
30.38937	0.8661448		-0.0007700715	
30.44348	0.8661069		-0.0007721256	
30.49758	0.8660683		-0.0007743458	
30.55169	0.8660288		-0.0007767342	
30.6058	0.8659882		-0.000779292	
30.65991	0.8659465		-0.0007820192	
30.71402	0.8659037		-0.0007849155	
30.76813	0.8658599		-0.0007879806	
30.82223	0.8658152		-0.0007912135	
30.87634	0.8657699		-0.0007946137	
30.93045	0.8657241		-0.0007981804	
30.98456	0.8656781		-0.0008019127	
31.03867	0.8656318		-0.0008058089	
31.09277	0.8655856		-0.000809867	
31.14688	0.8655394		-0.0008140847	
31.20099	0.8654937		-0.0008184587	
31.2551	0.8654484		-0.0008229857	
31.30921	0.8654035		-0.0008276621	
31.36332	0.8653592		-0.0008324843	
31.41742	0.8653153		-0.0008374482	
31.47153	0.8652719		-0.0008425499	
31.52564	0.865229		-0.0008477856	
31.57975	0.8651865		-0.0008531504	
31.63386	0.8651446		-0.0008586399	
31.68796	0.8651029		-0.0008642491	
31.74207	0.8650618		-0.000869973	
31.79618	0.865021		-0.0008758049	
31.85029	0.8649807		-0.0008817386	
31.9044	0.864941		-0.0008877676	
31.95851	0.8649018		-0.0008938839	
32.01262	0.8648631		-0.0009000796	
32.06672	0.8648248		-0.000906345	
32.12083	0.8647865		-0.0009126709	
32.17494	0.8647482		-0.0009190469	
32.22905	0.8647094		-0.0009254629	
32.28315	0.8646703		-0.0009319098	
32.33726	0.8646306		-0.0009383783	
32.39137	0.8645902		-0.0009448606	
32.44548	0.8645491		-0.0009513472	
32.49959	0.8645072		-0.0009578303	
32.5537	0.8644644		-0.0009643016	
32.6078	0.8644207		-0.0009707536	
32.66191	0.8643759		-0.0009771786	
32.71602	0.8643301		-0.0009835701	
32.77013	0.8642833		-0.0009899224	
32.82424	0.8642355		-0.0009962295	
32.87835	0.8641868		-0.001002487	
32.93245	0.8641371		-0.001008693	
32.98656	0.8640866		-0.001014843	
33.04067	0.8640348		-0.001020935	
33.09478	0.8639818		-0.001026968	
33.14889	0.8639272		-0.001032941	
33.203	0.8638713		-0.001038851	
33.2571	0.8638141		-0.001044696	
33.31121	0.8637557		-0.001050476	
33.36532	0.863696		-0.001056187	
33.41943	0.8636349		-0.001061825	
33.47353	0.8635728		-0.00106739	
33.52765	0.8635097		-0.001072875	
33.58175	0.8634457		-0.001078277	
33.63586	0.8633809		-0.00108359	
33.68997	0.8633153		-0.001088809	
33.74408	0.8632489		-0.001093927	
33.79818	0.8631817		-0.001098937	
33.85229	0.8631136		-0.001103833	
33.9064	0.8630446		-0.001108607	
33.96051	0.8629749		-0.001113254	
34.01462	0.8629044		-0.001117768	
34.06873	0.8628332		-0.001122145	
34.12283	0.8627611		-0.00112638	
34.17694	0.8626883		-0.001130468	
34.23105	0.8626146		-0.001134408	
34.28516	0.8625401		-0.001138197	
34.33927	0.8624649		-0.001141832	
34.39338	0.8623892		-0.001145312	
34.44748	0.8623131		-0.001148636	
34.50159	0.8622367		-0.001151805	
34.5557	0.8621602		-0.001154818	
34.60981	0.8620837		-0.001157675	
34.66392	0.8620071		-0.001160377	
34.71803	0.8619304		-0.001162926	
34.77213	0.8618538		-0.001165323	
34.82624	0.8617774		-0.001167568	
34.88035	0.8617011		-0.001169665	
34.93446	0.8616252		-0.001171613	
34.98856	0.8615497		-0.001173414	
35.04268	0.8614747		-0.001175068	
35.09678	0.8614002		-0.001176578	
35.15089	0.8613262		-0.001177942	
35.205	0.8612527		-0.001179164	
35.25911	0.8611798		-0.001180243	
35.31321	0.8611073		-0.001181182	
35.36732	0.8610355		-0.001181982	
35.42143	0.8609641		-0.001182645	
35.47554	0.8608934		-0.001183173	
35.52965	0.8608235		-0.001183569	
35.58376	0.8607544		-0.001183837	
35.63786	0.8606862		-0.001183979	
35.69197	0.8606191		-0.001183999	
35.74608	0.8605532		-0.001183902	
35.80019	0.8604886		-0.001183691	
35.8543	0.8604252		-0.001183374	
35.90841	0.8603631		-0.001182955	
35.96251	0.860302		-0.001182442	
36.01662	0.8602418		-0.001181844	
36.07073	0.8601823		-0.001181168	
36.12484	0.8601237		-0.001180424	
36.17894	0.8600659		-0.001179622	
36.23306	0.8600088		-0.001178773	
36.28716	0.8599524		-0.001177887	
36.34127	0.8598968		-0.001176976	
36.39538	0.8598418		-0.001176051	
36.44949	0.8597873		-0.00117512	
36.50359	0.8597331		-0.001174194	
36.5577	0.8596792		-0.001173283	
36.61181	0.8596255		-0.001172393	
36.66592	0.8595719		-0.001171534	
36.72003	0.8595182		-0.001170711	
36.77414	0.859464		-0.001169932	
36.82824	0.8594094		-0.001169202	
36.88235	0.8593543		-0.001168528	
36.93646	0.8592985		-0.001167916	
36.99057	0.8592423		-0.001167372	
37.04468	0.8591855		-0.001166901	
37.09879	0.8591282		-0.001166507	
37.15289	0.8590702		-0.001166194	
37.207	0.8590118		-0.001165964	
37.26111	0.8589529		-0.001165823	
37.31522	0.8588938		-0.001165773	
37.36933	0.8588344		-0.001165817	
37.42344	0.8587749		-0.00116596	
37.47754	0.8587155		-0.001166204	
37.53165	0.858656		-0.001166555	
37.58576	0.8585968		-0.001167017	
37.63987	0.8585377		-0.001167594	
37.69397	0.8584786		-0.001168294	
37.74809	0.8584195		-0.00116912	
37.80219	0.8583603		-0.001170076	
37.8563	0.8583009		-0.001171166	
37.91041	0.8582413		-0.001172393	
37.96452	0.8581814		-0.00117376	
38.01862	0.858121		-0.001175267	
38.07273	0.8580603		-0.001176917	
38.12684	0.8579991		-0.001178709	
38.18095	0.8579373		-0.001180641	
38.23506	0.8578748		-0.001182712	
38.28917	0.8578116		-0.001184919	
38.34327	0.8577476		-0.001187258	
38.39738	0.8576825		-0.001189723	
38.45149	0.8576164		-0.001192311	
38.5056	0.8575495		-0.001195016	
38.55971	0.8574821		-0.001197832	
38.61382	0.8574142		-0.001200752	
38.66792	0.8573461		-0.001203772	
38.72203	0.8572779		-0.001206885	
38.77614	0.8572097		-0.001210083	
38.83025	0.8571416		-0.001213358	
38.88436	0.857074		-0.001216704	
38.93847	0.8570068		-0.001220112	
38.99257	0.8569403		-0.001223574	
39.04668	0.8568746		-0.001227084	
39.10079	0.8568096		-0.001230636	
39.1549	0.8567453		-0.001234225	
39.209	0.8566816		-0.001237846	
39.26311	0.8566184		-0.001241496	
39.31722	0.8565557		-0.00124517	
39.37133	0.8564932		-0.001248866	
39.42544	0.856431		-0.001252581	
39.47955	0.856369		-0.001256311	
39.53365	0.856307		-0.001260052	
39.58776	0.8562451		-0.0012638	
39.64187	0.8561831		-0.001267549	
39.69598	0.8561209		-0.001271295	
39.75009	0.8560584		-0.001275031	
39.8042	0.8559952		-0.001278754	
39.8583	0.8559313		-0.001282458	
39.91241	0.8558663		-0.001286138	
39.96652	0.8558		-0.001289791	
40.02063	0.8557323		-0.001293414	
40.07474	0.8556633		-0.001297002	
40.12885	0.8555928		-0.001300555	
40.18295	0.855521		-0.00130407	
40.23706	0.8554477		-0.001307545	
40.29117	0.8553731		-0.00131098	
40.34528	0.8552971		-0.001314375	
40.39939	0.8552198		-0.001317728	
40.4535	0.8551414		-0.001321039	
40.5076	0.8550619		-0.001324309	
40.56171	0.8549815		-0.001327538	
40.61582	0.8549003		-0.001330727	
40.66993	0.8548185		-0.00133388	
40.72403	0.8547362		-0.001337	
40.77814	0.8546538		-0.001340091	
40.83225	0.8545716		-0.001343158	
40.88636	0.8544897		-0.001346205	
40.94047	0.8544084		-0.00134924	
40.99458	0.8543275		-0.001352268	
41.04868	0.8542472		-0.001355296	
41.10279	0.8541673		-0.00135833	
41.1569	0.8540882		-0.001361376	
41.21101	0.8540096		-0.001364439	
41.26512	0.8539314		-0.001367526	
41.31923	0.8538535		-0.001370641	
41.37333	0.8537758		-0.001373788	
41.42744	0.8536982		-0.00137697	
41.48155	0.8536208		-0.001380191	
41.53566	0.8535436		-0.001383452	
41.58977	0.8534666		-0.001386754	
41.64388	0.8533899		-0.0013901	
41.69798	0.8533132		-0.001393488	
41.75209	0.8532367		-0.00139692	
41.8062	0.8531604		-0.001400394	
41.86031	0.8530842		-0.001403912	
41.91442	0.853008		-0.001407473	
41.96852	0.8529317		-0.001411077	
42.02263	0.8528554		-0.001414727	
42.07674	0.852779		-0.001418423	
42.13085	0.8527026		-0.001422166	
42.18496	0.8526261		-0.001425961	
42.23906	0.8525496		-0.001429808	
42.29317	0.852473		-0.001433712	
42.34728	0.8523962		-0.001437674	
42.40139	0.8523194		-0.001441695	
42.4555	0.8522428		-0.001445778	
42.50961	0.8521668		-0.001449923	
42.56371	0.8520916		-0.001454132	
42.61782	0.8520172		-0.001458405	
42.67193	0.8519438		-0.001462743	
42.72604	0.8518713		-0.001467144	
42.78015	0.8517997		-0.001471604	
42.83426	0.8517289		-0.001476122	
42.88836	0.851659		-0.001480693	
42.94247	0.8515897		-0.001485314	
42.99658	0.8515208		-0.001489978	
43.05069	0.8514521		-0.001494681	
43.1048	0.8513833		-0.001499418	
43.15891	0.8513141		-0.001504182	
43.21301	0.8512446		-0.001508968	
43.26712	0.8511748		-0.001513769	
43.32123	0.8511047		-0.001518576	
43.37534	0.851034		-0.001523382	
43.42945	0.8509628		-0.001528179	
43.48355	0.8508908		-0.001532956	
43.53766	0.850818		-0.001537705	
43.59177	0.8507441		-0.001542418	
43.64588	0.850669		-0.001547089	
43.69999	0.8505925		-0.001551709	
43.75409	0.8505144		-0.001556272	
