T[°C]	330nm [counts / mm]	S.D.
20.00057	4981.897	
20.00066	4988.938	
20.00475	4994.532	
20.00624	5005.647	
20.01946	4992.479	
20.02247	4994.108	
20.04691	4997.213	
20.05103	4994.973	
20.08028	5003.12	
20.08589	4988.717	
20.12447	4983.151	
20.13084	4981.232	
20.17434	4970.715	
20.18198	4978.35	
20.23377	4968.696	
20.24229	4980.21	
20.30046	4971.896	
20.30994	4969.769	
20.3733	4972.836	
20.3838	4971.702	
20.45214	4956.904	
20.46319	4957.123	
20.54023	4946.855	
20.55232	4950.05	
20.63006	4939.363	
20.64294	4938.184	
20.72522	4939.9	
20.73822	4941.663	
20.82705	4943.015	
20.84109	4921.088	
20.93107	4925.576	
20.94498	4934.235	
21.03546	4923.885	
21.04946	4932.748	
21.14449	4899.713	
21.15926	4918.11	
21.25387	4894.839	
21.26856	4908.838	
21.36184	4883.844	
21.37667	4883.266	
21.47428	4897.062	
21.48942	4884.377	
21.58207	4890.147	
21.59678	4884.345	
21.69102	4883.664	
21.70835	4875.481	
21.80186	4879.592	
21.81666	4862.615	
21.90839	4876.251	
21.92292	4878.643	
22.02059	4853.5	
22.03564	4866.849	
22.1309	4848.533	
22.14518	4846.255	
22.24038	4843.585	
22.25529	4838.278	
22.34889	4840.627	
22.36371	4831.607	
22.45964	4828.313	
22.47537	4808.904	
22.56601	4812.114	
22.5806	4828.977	
22.67677	4819.691	
22.69123	4807.398	
22.78599	4803.164	
22.80069	4808.159	
22.89558	4803.113	
22.9101	4802.943	
23.00654	4792.776	
23.02159	4793.172	
23.11484	4793.888	
23.12897	4787.248	
23.22469	4791.327	
23.24023	4782.81	
23.33611	4772.257	
23.35047	4770.149	
23.443	4765.979	
23.45797	4748.302	
23.55358	4751.738	
23.56818	4755.223	
23.66172	4754.819	
23.6764	4749.643	
23.77352	4737.5	
23.78863	4747.852	
23.8817	4733.679	
23.89687	4732.736	
23.99064	4724.551	
24.00701	4726.365	
24.10154	4730.065	
24.11594	4718.287	
24.2077	4718.529	
24.22246	4715.656	
24.31853	4717.609	
24.33321	4707.236	
24.42902	4701.259	
24.4437	4694.321	
24.53843	4695.186	
24.553	4701.824	
24.64654	4683.513	
24.6618	4685.358	
24.75835	4659.285	
24.77313	4687.408	
24.86785	4665.801	
24.88309	4667.778	
24.97571	4671.016	
24.99113	4664.727	
25.08442	4660.27	
25.10103	4651.625	
25.19446	4643.455	
25.21218	4644.474	
25.3035	4643.366	
25.31848	4639.817	
25.41309	4635.858	
25.43024	4630.537	
25.52366	4626.107	
25.53858	4610.217	
25.63277	4617.751	
25.64876	4608.887	
25.74184	4614.707	
25.75779	4615.328	
25.85279	4604.841	
25.86712	4602.459	
25.96154	4601.641	
25.9762	4596.136	
26.07038	4588.632	
26.08506	4598.123	
26.17969	4577.24	
26.19604	4584.41	
26.29053	4575.383	
26.30643	4569.144	
26.40061	4573.286	
26.41559	4574.177	
26.50719	4566.553	
26.52164	4542.324	
26.62119	4569.886	
26.63883	4561.674	
26.73721	4554.093	
26.75222	4540.664	
26.84378	4543.45	
26.85889	4537.494	
26.95405	4527.496	
26.9688	4530.212	
27.06451	4508.068	
27.07932	4525.168	
27.17278	4522.377	
27.18711	4511.377	
27.28149	4512.227	
27.29665	4517.841	
27.39179	4499.902	
27.40673	4500.053	
27.50141	4499.681	
27.51584	4497.981	
27.61175	4486.336	
27.62689	4493.813	
27.72264	4500.012	
27.73809	4484.45	
27.82896	4486.773	
27.84418	4474.651	
27.93875	4481.56	
27.95357	4472.96	
28.04993	4464.532	
28.06659	4473.595	
28.15872	4460.017	
28.17352	4463.729	
28.26733	4447.084	
28.28195	4447.448	
28.37449	4428.474	
28.39038	4442.439	
28.48821	4429.553	
28.50372	4445.123	
28.59657	4440.932	
28.61089	4418.823	
28.70594	4425.322	
28.7205	4428.165	
28.81635	4418.742	
28.83257	4410.322	
28.92505	4406.531	
28.93955	4410.532	
29.03353	4394.715	
29.04855	4406.635	
29.14464	4403.888	
29.16026	4387.383	
29.2532	4387.677	
29.26745	4378.727	
29.36119	4369.252	
29.37623	4380.624	
29.47252	4370.82	
29.48749	4371.425	
29.58364	4364.087	
29.59868	4359.225	
29.69153	4363.729	
29.70591	4354.604	
29.7995	4358.266	
29.81508	4356.738	
29.91004	4347.18	
29.92487	4348.111	
30.0181	4345.229	
30.03262	4339.263	
30.12871	4338.877	
30.14377	4329.884	
30.23705	4328.462	
30.25152	4337.201	
30.34566	4328.125	
30.36046	4319.802	
30.45478	4314.169	
30.47101	4302.406	
30.56515	4301.186	
30.57992	4291.223	
30.6763	4292.139	
30.69191	4288.159	
30.78543	4298.422	
30.80058	4294.483	
30.89386	4292.946	
30.9101	4276.392	
31.00367	4276.24	
31.01857	4286.556	
31.11335	4270.449	
31.13126	4271.528	
31.22689	4276.182	
31.24405	4267.218	
31.336	4264.498	
31.3535	4249.299	
31.44831	4255.631	
31.46295	4250.383	
31.55663	4247.326	
31.57131	4238.471	
31.66994	4253.852	
31.68487	4239.333	
31.77765	4231.681	
31.79362	4248.49	
31.88636	4223.584	
31.90135	4227.753	
31.99755	4231.114	
32.01243	4213.311	
32.10976	4224.43	
32.12574	4213.694	
32.22112	4210.36	
32.23531	4203.116	
32.32722	4188.7	
32.34346	4205.298	
32.43876	4208.873	
32.45367	4181.054	
32.54683	4199.749	
32.56342	4186.925	
32.65709	4181.528	
32.6721	4174.995	
32.76812	4176.147	
32.78555	4165.943	
32.88072	4171.078	
32.89631	4164.978	
32.98734	4155.359	
33.00334	4158.253	
33.09619	4162.882	
33.11099	4138.019	
33.20888	4146.695	
33.22569	4150	
33.31948	4139.591	
33.33436	4137.235	
33.42646	4133.971	
33.44391	4127.513	
33.53851	4132.704	
33.55399	4120.493	
33.65056	4127.907	
33.66726	4113.041	
33.75829	4116.829	
33.77239	4111.867	
33.86911	4110.173	
33.8848	4088.641	
33.97841	4096.075	
33.99289	4092.517	
34.08942	4085.287	
34.1042	4092.269	
34.19667	4074.417	
34.211	4090.707	
34.30666	4075.631	
34.32296	4085.275	
34.41583	4080.783	
34.43011	4067.157	
34.52458	4064.599	
34.54158	4075.869	
34.63148	4058.778	
34.64619	4052.529	
34.74338	4066.459	
34.75809	4051.376	
34.85347	4047.062	
34.86788	4051.742	
34.96253	4040.764	
34.97709	4039.639	
35.07061	4040.471	
35.08496	4043.488	
35.18041	4021.823	
35.19535	4031.745	
35.29445	4019.595	
35.30956	4027.224	
35.40292	4025.622	
35.41741	4015.986	
35.51307	4015.799	
35.52885	4007.446	
35.62288	4013.893	
35.63766	3990.501	
35.73361	4007.913	
35.74953	3989.996	
35.84196	3992.09	
35.85753	3991.135	
35.95028	3972.832	
35.96487	3971.921	
36.05994	3982.725	
36.07553	3970.626	
36.16848	3973.957	
36.18262	3967.326	
36.27637	3960.951	
36.2907	3961.068	
36.38564	3953.227	
36.40511	3954.964	
36.49964	3951.5	
36.51423	3954.537	
36.60892	3941.188	
36.62402	3950.186	
36.71634	3939.656	
36.73136	3945.042	
36.82756	3938.447	
36.84258	3929.12	
36.93537	3938.641	
36.9502	3923.724	
37.04562	3925.457	
37.06212	3907.359	
37.15587	3915.827	
37.17068	3907.678	
37.26461	3903.242	
37.27948	3905.482	
37.37491	3903.475	
37.39312	3897.016	
37.48552	3894.814	
37.4998	3887.75	
37.60167	3888.077	
37.61689	3891.034	
37.70986	3893.42	
37.72566	3881.006	
37.81676	3885.734	
37.83224	3885.403	
37.93247	3869.799	
37.94735	3871.623	
38.04218	3857.457	
38.0572	3851.176	
38.14997	3867.918	
38.16462	3851.958	
38.26115	3859.164	
38.27605	3856.755	
38.36903	3852.526	
38.38545	3847.938	
38.48008	3844.845	
38.49471	3833.741	
38.58751	3834.582	
38.60205	3837.884	
38.6986	3826.662	
38.71351	3839.752	
38.8068	3827.356	
38.82196	3820.941	
38.91834	3814.433	
38.93279	3812.476	
39.02586	3802.497	
39.04063	3804.214	
39.13543	3797.55	
