T[°C]	Ratio 350nm / 330nm	S.D.
20.00057	0.8725442	
20.00066	0.8728567	
20.00475	0.8739985	
20.00624	0.8698844	
20.01946	0.8705419	
20.02247	0.8730824	
20.04691	0.8710292	
20.05103	0.8694399	
20.08028	0.8689663	
20.08589	0.8694102	
20.12447	0.8694017	
20.13084	0.8718334	
20.17434	0.8715913	
20.18198	0.871612	
20.23377	0.8728402	
20.24229	0.8699079	
20.30046	0.8705802	
20.30994	0.8714729	
20.3733	0.8709761	
20.3838	0.8694175	
20.45214	0.8708013	
20.46319	0.8706239	
20.54023	0.8742237	
20.55232	0.8701367	
20.63006	0.8729824	
20.64294	0.8729755	
20.72522	0.8708889	
20.73822	0.8706028	
20.82705	0.8696374	
20.84109	0.8725592	
20.93107	0.872903	
20.94498	0.8715204	
21.03546	0.8725832	
21.04946	0.8702459	
21.14449	0.8723379	
21.15926	0.8726398	
21.25387	0.8705286	
21.26856	0.8707747	
21.36184	0.8734717	
21.37667	0.8718539	
21.47428	0.8712751	
21.48942	0.8716148	
21.58207	0.8687948	
21.59678	0.8703312	
21.69102	0.869155	
21.70835	0.8714608	
21.80186	0.8691952	
21.81666	0.8726754	
21.90839	0.8689964	
21.92292	0.866116	
22.02059	0.8694252	
22.03564	0.870079	
22.1309	0.8686075	
22.14518	0.8718221	
22.24038	0.8709028	
22.25529	0.8688083	
22.34889	0.8696159	
22.36371	0.8692054	
22.45964	0.8698289	
22.47537	0.8721189	
22.56601	0.8715194	
22.5806	0.8675195	
22.67677	0.8686187	
22.69123	0.8714014	
22.78599	0.8705922	
22.80069	0.8681529	
22.89558	0.8690308	
22.9101	0.8671247	
23.00654	0.8690201	
23.02159	0.869109	
23.11484	0.8693589	
23.12897	0.8693329	
23.22469	0.8682466	
23.24023	0.866132	
23.33611	0.8701112	
23.35047	0.8683124	
23.443	0.8688704	
23.45797	0.8699561	
23.55358	0.8691876	
23.56818	0.8687629	
23.66172	0.8654406	
23.6764	0.8681136	
23.77352	0.8702856	
23.78863	0.8678771	
23.8817	0.8688534	
23.89687	0.8705436	
23.99064	0.8700345	
24.00701	0.867078	
24.10154	0.8683496	
24.11594	0.8709188	
24.2077	0.8687484	
24.22246	0.8693483	
24.31853	0.8681892	
24.33321	0.8684241	
24.42902	0.8688601	
24.4437	0.8675631	
24.53843	0.8695843	
24.553	0.867316	
24.64654	0.8693921	
24.6618	0.8688987	
24.75835	0.8693296	
24.77313	0.8668227	
24.86785	0.8697403	
24.88309	0.8687004	
24.97571	0.8683701	
24.99113	0.8679862	
25.08442	0.8699363	
25.10103	0.8686936	
25.19446	0.8682802	
25.21218	0.8699694	
25.3035	0.8686526	
25.31848	0.8672874	
25.41309	0.8674546	
25.43024	0.8691691	
25.52366	0.8684722	
25.53858	0.870226	
25.63277	0.8669959	
25.64876	0.8686725	
25.74184	0.8667262	
25.75779	0.8671176	
25.85279	0.8679629	
25.86712	0.8681346	
25.96154	0.8667988	
25.9762	0.86783	
26.07038	0.8679193	
26.08506	0.8674864	
26.17969	0.8685174	
26.19604	0.8677467	
26.29053	0.8680742	
26.30643	0.8692877	
26.40061	0.8673415	
26.41559	0.8665683	
26.50719	0.8694124	
26.52164	0.8704246	
26.62119	0.8648956	
26.63883	0.8673667	
26.73721	0.8677668	
26.75222	0.8679438	
26.84378	0.867955	
26.85889	0.8665361	
26.95405	0.8662822	
26.9688	0.8675649	
27.06451	0.8666973	
27.07932	0.8678755	
27.17278	0.8671349	
27.18711	0.8680356	
27.28149	0.8663766	
27.29665	0.8658566	
27.39179	0.8688123	
27.40673	0.8670185	
27.50141	0.8659778	
27.51584	0.8651475	
27.61175	0.8659374	
27.62689	0.8657473	
27.72264	0.8642397	
27.73809	0.8650637	
27.82896	0.8654238	
27.84418	0.8656606	
27.93875	0.8667696	
27.95357	0.8636962	
28.04993	0.8676014	
28.06659	0.8662425	
28.15872	0.8665277	
28.17352	0.8663082	
28.26733	0.8673617	
28.28195	0.8681019	
28.37449	0.8669065	
28.39038	0.8669953	
28.48821	0.8677851	
28.50372	0.8643405	
28.59657	0.8668283	
28.61089	0.8680896	
28.70594	0.8668962	
28.7205	0.8636413	
28.81635	0.864515	
28.83257	0.8665656	
28.92505	0.866299	
28.93955	0.8648981	
29.03353	0.8666694	
29.04855	0.8659181	
29.14464	0.8639524	
29.16026	0.865265	
29.2532	0.8652801	
29.26745	0.8654758	
29.36119	0.8685657	
29.37623	0.8653039	
29.47252	0.86693	
29.48749	0.8640087	
29.58364	0.8653941	
29.59868	0.8669008	
29.69153	0.8633497	
29.70591	0.8657848	
29.7995	0.8639613	
29.81508	0.8638744	
29.91004	0.8657599	
29.92487	0.8657429	
30.0181	0.86318	
30.03262	0.8649786	
30.12871	0.8646416	
30.14377	0.8651126	
30.23705	0.8644037	
30.25152	0.8648846	
30.34566	0.863071	
30.36046	0.8642469	
30.45478	0.8617591	
30.47101	0.8666341	
