T[°C]	Scattering [mAU]	S.D.	First derivative	S.D. of first derivative
20.00057	88.52825		0.3359396	
20.05468	88.52447		0.3261898	
20.10879	88.52128		0.3164349	
20.1629	88.51865		0.3066758	
20.217	88.51656		0.2969147	
20.27111	88.51487		0.2871528	
20.32522	88.51347		0.2773922	
20.37933	88.51221		0.267635	
20.43344	88.51096		0.2578837	
20.48755	88.50967		0.2481403	
20.54165	88.50828		0.2384084	
20.59576	88.50683		0.2286904	
20.64987	88.5054		0.2189894	
20.70398	88.5041		0.2093085	
20.75809	88.50318		0.1996505	
20.81219	88.50323		0.1900195	
20.8663	88.5057		0.1804184	
20.92041	88.51402		0.1708506	
20.97452	88.53585		0.1613195	
21.02862	88.56103		0.1518286	
21.08273	88.58743		0.1423809	
21.13684	88.6131		0.1329802	
21.19095	88.6365		0.1236293	
21.24506	88.6566		0.114331	
21.29916	88.67295		0.1050876	
21.35327	88.68548		0.09590138	
21.40738	88.69434		0.08677377	
21.46149	88.69986		0.07770713	
21.5156	88.70245		0.06870271	
21.5697	88.70305		0.05976194	
21.62381	88.7029		0.05088608	
21.67792	88.703		0.04207581	
21.73203	88.70404		0.03333237	
21.78614	88.70614		0.02465555	
21.84024	88.70886		0.01604478	
21.89435	88.71133		0.00749863	
21.94846	88.71264		-0.0009854309	
22.00257	88.71214		-0.009411652	
22.05668	88.70954		-0.0177852	
22.11078	88.70502		-0.02611444	
22.16489	88.69912		-0.03441028	
22.219	88.69244		-0.04268706	
22.27311	88.68587		-0.05096333	
22.32722	88.68017		-0.05926087	
22.38132	88.67574		-0.06760567	
22.43543	88.67236		-0.07602438	
22.48954	88.66921		-0.08453924	
22.54365	88.66531		-0.09315932	
22.59776	88.65984		-0.1018707	
22.65187	88.65234		-0.1057702	
22.70597	88.64276		-0.1091847	
22.76008	88.63133		-0.1121094	
22.81419	88.61837		-0.1145441	
22.8683	88.60396		-0.1164946	
22.92241	88.58763		-0.1179717	
22.97651	88.56866		-0.1189904	
23.03062	88.54676		-0.1195682	
23.08473	88.52217		-0.1197245	
23.13884	88.49569		-0.1194795	
23.19295	88.4684		-0.1188539	
23.24705	88.4412		-0.1178677	
23.30116	88.41469		-0.1165394	
23.35527	88.38902		-0.1148856	
23.40938	88.36391		-0.1129211	
23.46348	88.33881		-0.11066	
23.51759	88.31312		-0.1081158	
23.5717	88.28676		-0.1053024	
23.62581	88.26057		-0.1022333	
23.67992	88.23615		-0.09892322	
23.73402	88.21521		-0.09538762	
23.78813	88.19892		-0.09164239	
23.84224	88.18763		-0.08770476	
23.89635	88.18108		-0.08359264	
23.95046	88.17873		-0.07932577	
24.00456	88.18013		-0.07492646	
24.05867	88.18484		-0.07042054	
24.11278	88.19206		-0.06583766	
24.16689	88.20079		-0.06121206	
24.221	88.2104		-0.05658074	
24.2751	88.22042		-0.05198332	
24.32921	88.23073		-0.04746172	
24.38332	88.24117		-0.04305956	
24.43743	88.25134		-0.03882146	
24.49154	88.26084		-0.03479206	
24.54564	88.26942		-0.03101324	
24.59975	88.27714		-0.02752327	
24.65386	88.28455		-0.02435586	
24.70797	88.29253		-0.02154043	
24.76208	88.30222		-0.01910262	
24.81618	88.31429		-0.01706444	
24.87029	88.32848		-0.01544456	
24.9244	88.34395		-0.01425715	
24.97851	88.35921		-0.01351103	
25.03262	88.37287		-0.01320962	
25.08673	88.38383		-0.01335173	
25.14083	88.39151		-0.01393266	
25.19494	88.39622		-0.01494478	
25.24905	88.3989		-0.01637765	
25.30316	88.4007		-0.01821769	
25.35727	88.40247		-0.02044713	
25.41137	88.40431		-0.02304352	
