T[°C]	Scattering [mAU]	S.D.
20.00057	88.4886	
20.00066	88.90263	
20.00475	88.91418	
20.00624	88.68652	
20.01946	89.08033	
20.02247	89.05009	
20.04691	88.96851	
20.05103	89.1197	
20.08028	88.69781	
20.08589	88.64878	
20.12447	88.61685	
20.13084	88.53882	
20.17434	88.90055	
20.18198	88.50001	
20.23377	88.83567	
20.24229	88.59184	
20.30046	88.26231	
20.30994	88.43887	
20.3733	87.81681	
20.3838	87.99219	
20.45214	88.10255	
20.46319	88.00427	
20.54023	88.6046	
20.55232	88.59019	
20.63006	88.62047	
20.64294	88.13016	
20.72522	88.94753	
20.73822	88.25729	
20.82705	88.87994	
20.84109	88.60416	
20.93107	88.70905	
20.94498	88.90118	
21.03546	88.29305	
21.04946	88.56123	
21.14449	88.2571	
21.15926	88.11435	
21.25387	88.84709	
21.26856	88.24655	
21.36184	88.54074	
21.37667	88.466	
21.47428	88.73059	
21.48942	89.028	
21.58207	89.11942	
21.59678	88.97618	
21.69102	89.17324	
21.70835	88.95582	
21.80186	88.94445	
21.81666	88.89896	
21.90839	88.48085	
21.92292	88.85824	
22.02059	88.85996	
22.03564	88.44736	
22.1309	88.45657	
22.14518	88.23431	
22.24038	88.30309	
22.25529	88.40192	
22.34889	88.44257	
22.36371	88.6202	
22.45964	88.81609	
22.47537	88.91362	
22.56601	88.91554	
22.5806	88.94607	
22.67677	88.78305	
22.69123	88.6235	
22.78599	88.75578	
22.80069	88.49973	
22.89558	88.87215	
22.9101	88.84486	
23.00654	89.13064	
23.02159	88.78984	
23.11484	88.71104	
23.12897	88.37547	
23.22469	88.51967	
23.24023	88.00143	
23.33611	87.96867	
23.35047	87.99924	
23.443	87.99509	
23.45797	88.33077	
23.55358	88.46874	
23.56818	88.43941	
23.66172	88.56456	
23.6764	88.28076	
23.77352	88.17163	
23.78863	87.89174	
23.8817	88.16236	
23.89687	88.33595	
23.99064	88.34641	
24.00701	88.59151	
24.10154	87.99554	
24.11594	88.28757	
24.2077	88.02586	
24.22246	87.77612	
24.31853	87.81735	
24.33321	87.35967	
24.42902	88.22614	
24.4437	88.1806	
24.53843	88.83992	
24.553	88.3067	
24.64654	88.32404	
24.6618	88.23666	
24.75835	88.64179	
24.77313	88.47043	
24.86785	88.99225	
24.88309	88.55434	
24.97571	88.10761	
24.99113	88.59577	
25.08442	88.13135	
25.10103	88.56818	
25.19446	88.29578	
25.21218	87.93269	
25.3035	88.21059	
25.31848	87.89188	
25.41309	88.3576	
25.43024	88.40215	
25.52366	88.42688	
25.53858	88.46474	
25.63277	88.70652	
25.64876	88.28571	
25.74184	88.64059	
25.75779	88.41239	
25.85279	88.49632	
25.86712	88.47945	
25.96154	88.42877	
25.9762	88.55566	
26.07038	88.67751	
26.08506	88.3847	
26.17969	88.59373	
26.19604	87.84176	
26.29053	88.60558	
26.30643	88.15002	
26.40061	88.3363	
26.41559	88.48262	
26.50719	88.6938	
26.52164	88.67474	
26.62119	88.55063	
26.63883	88.49583	
26.73721	88.61861	
26.75222	88.13593	
26.84378	88.40884	
26.85889	88.15849	
26.95405	88.15211	
26.9688	88.31957	
27.06451	88.49971	
27.07932	88.13581	
27.17278	88.46111	
27.18711	87.85423	
27.28149	87.87989	
27.29665	87.55993	
27.39179	87.67689	
27.40673	87.65105	
27.50141	88.07033	
27.51584	87.99438	
27.61175	88.15717	
27.62689	88.08948	
27.72264	88.08167	
27.73809	87.80177	
27.82896	87.75931	
27.84418	87.69825	
27.93875	88.29075	
27.95357	88.34378	
28.04993	88.60049	
28.06659	88.04176	
28.15872	87.92104	
28.17352	87.57542	
28.26733	87.54073	
28.28195	87.70515	
28.37449	88.34738	
28.39038	87.98692	
28.48821	88.81305	
28.50372	87.97866	
28.59657	88.23022	
28.61089	88.61945	
28.70594	88.17972	
28.7205	88.63487	
28.81635	88.27045	
28.83257	88.16808	
28.92505	88.36388	
28.93955	88.09231	
29.03353	88.26157	
29.04855	88.30014	
29.14464	88.30759	
29.16026	88.2921	
29.2532	88.3299	
29.26745	87.86567	
29.36119	88.14054	
29.37623	87.88287	
29.47252	87.96389	
29.48749	88.16605	
29.58364	88.26228	
29.59868	88.30378	
29.69153	88.48253	
29.70591	88.65475	
29.7995	88.49352	
29.81508	88.64716	
29.91004	88.34318	
29.92487	88.08296	
30.0181	88.44169	
30.03262	88.40852	
30.12871	88.19464	
30.14377	88.38195	
30.23705	88.19637	
30.25152	87.82237	
30.34566	88.14657	
30.36046	87.46937	
30.45478	88.02497	
30.47101	87.83743	
30.56515	87.94238	
30.57992	87.8267	
30.6763	88.02776	
30.69191	88.01482	
