T[°C]	350nm [counts / mm]	S.D.
20.00049	4375.566	
20.00066	4373.822	
20.00393	4361.772	
20.00711	4362.333	
20.018	4368.956	
20.02441	4359.025	
20.04451	4368.564	
20.05334	4373.329	
20.07739	4368.174	
20.08927	4373.345	
20.12101	4369.145	
20.13425	4357.509	
20.17005	4364.297	
20.1864	4372.062	
20.22899	4363.241	
20.24706	4362.684	
20.29489	4354.214	
20.3152	4362.028	
20.36734	4356.726	
20.38981	4342.747	
20.44622	4356.016	
20.46983	4337.204	
20.53317	4340.743	
20.55885	4340.598	
20.62278	4331.893	
20.65009	4342.577	
20.71779	4320.999	
20.74589	4326.423	
20.81898	4317.496	
20.84905	4320.328	
20.92307	4318.862	
20.95287	4323.68	
21.0278	4313.065	
21.05799	4310.815	
21.13617	4299.039	
21.16779	4307.332	
21.24558	4302.222	
21.27673	4284.251	
21.35343	4287.524	
21.3852	4285.578	
21.46551	4273.4	
21.49789	4273.719	
21.57413	4263.613	
21.6053	4267.486	
21.68278	4272.017	
21.71636	4261.304	
21.79325	4254.987	
21.82496	4260.217	
21.90043	4248.721	
21.93182	4244.381	
22.01213	4239.948	
22.04432	4249.138	
22.12264	4243.801	
22.15325	4232.382	
22.23158	4234.551	
22.26352	4229.591	
22.34044	4221.875	
22.37217	4222.317	
22.451	4206.129	
22.48338	4229.965	
22.55791	4206.188	
22.58917	4197.773	
22.66824	4205.129	
22.6992	4204.431	
22.77797	4194.579	
22.8097	4191.696	
22.88771	4190.629	
22.9185	4177.03	
22.99779	4168.813	
23.03003	4181.363	
23.1067	4168.562	
23.13723	4172.013	
23.216	4172.366	
23.24864	4164.691	
23.32754	4163.274	
23.35859	4169.731	
23.43468	4157.028	
23.46642	4159.953	
23.54503	4156.446	
23.57661	4146.423	
23.65357	4142.547	
23.68497	4142.79	
23.76483	4133.184	
23.79658	4127.733	
23.87312	4138.258	
23.90528	4130.947	
23.98239	4126.667	
24.01509	4122.365	
24.09283	4129.422	
24.124	4124.292	
24.1995	4118.379	
24.23126	4102.231	
24.31053	4104.324	
24.3419	4104.512	
24.42068	4101.25	
24.45211	4088.141	
24.53	4086.808	
24.56092	4084.59	
24.63789	4082.562	
24.67057	4088.424	
24.7499	4070.883	
24.78127	4066.263	
24.85916	4072.612	
24.89147	4072.388	
24.96768	4069.706	
24.99916	4061.757	
25.07598	4052.831	
25.1096	4059.601	
25.18643	4049.329	
25.22021	4049.18	
25.2953	4054.513	
25.32706	4048.716	
25.40486	4041.594	
25.43842	4032.392	
25.51521	4020.866	
25.54686	4027.736	
25.62446	4016.762	
25.65675	4019.007	
25.73326	4026.588	
25.76552	4030.832	
25.84464	4013.071	
25.87528	4007.622	
25.95329	4001.193	
25.98466	4015.705	
26.06215	3998.069	
26.09355	4002.906	
26.17178	3989.919	
26.20428	3984.26	
26.282	3980.432	
26.31478	3976.143	
26.39217	3969.779	
26.42422	3974.283	
26.49959	3962.025	
26.53017	3970.263	
26.61251	3959.666	
26.64731	3959.234	
26.7285	3954.314	
26.76001	3962.647	
26.8353	3953.983	
26.86735	3953.081	
26.9456	3944.938	
26.97718	3944.121	
27.05617	3931.31	
27.08784	3939.213	
27.16486	3936.516	
27.19552	3926.971	
27.27312	3929.647	
27.30494	3918.919	
27.38367	3917.122	
27.41517	3916.118	
27.49307	3916.549	
27.52426	3906.472	
27.60318	3907.324	
27.63529	3893.766	
27.71425	3897.466	
27.74581	3894.51	
27.82054	3895.585	
27.85252	3892.828	
27.93028	3885.873	
27.96199	3887.656	
28.04129	3877.862	
28.07469	3896.32	
28.15051	3873.566	
28.18186	3874.994	
28.259	3866.301	
28.2903	3871.651	
28.3664	3853.465	
28.3986	3864.864	
28.47929	3845.646	
28.51223	3846.119	
28.58862	3849.756	
28.61926	3833.725	
28.69742	3849.863	
28.72891	3836.666	
28.80816	3830.407	
28.84069	3829.583	
28.91674	3825.846	
28.94781	3828.19	
29.02508	3819.253	
29.05723	3827.996	
29.13624	3815.578	
29.16842	3816.48	
29.24504	3814.965	
29.27581	3811.838	
29.35289	3805.236	
29.38475	3799.78	
29.46393	3792.464	
29.49597	3795.178	
29.57548	3782.79	
29.60669	3792.854	
29.68304	3779.474	
29.71415	3775.677	
29.79116	3786.412	
29.82326	3778.493	
29.90135	3777.206	
29.93314	3776.105	
30.00984	3764.657	
30.04123	3757.806	
30.12019	3751.445	
30.15213	3753.119	
30.22917	3757.736	
30.26007	3757.168	
30.33747	3748.164	
30.36912	3745.483	
30.44678	3745.608	
30.47967	3736.533	
30.55708	3726.31	
30.58867	3728.514	
30.66811	3717.041	
30.69993	3713.88	
30.77679	3721.379	
30.80893	3717.824	
30.88573	3719.051	
30.91823	3711.124	
30.99519	3711.645	
31.02711	3697.287	
31.10505	3703.664	
31.13984	3706.021	
31.21856	3700.613	
31.25174	3705.131	
31.32732	3670.958	
31.36205	3700.641	
31.44	3681.341	
31.47166	3675.286	
31.54868	3678.286	
31.58008	3674.483	
31.66128	3666.462	
31.69292	3669.301	
31.76936	3664.754	
31.80168	3657.517	
31.87828	3655.219	
31.9103	3652.19	
31.98939	3660.881	
32.02065	3645.54	
32.10119	3642.028	
32.13415	3641.987	
32.21258	3641.996	
32.24328	3637.265	
32.31886	3640.492	
32.35201	3634.86	
32.43032	3628.132	
32.46195	3612.413	
32.53856	3621.847	
32.57156	3618.35	
32.6486	3604.766	
32.68043	3615.007	
32.75979	3606.521	
32.79409	3601.186	
32.87234	3604.806	
32.90411	3597.15	
32.97893	3598.74	
33.01165	3590.546	
33.08799	3591.962	
33.11968	3591.826	
33.20061	3587.776	
33.23373	3582.579	
33.31083	3569.848	
33.3424	3569.302	
33.41809	3563.287	
33.45221	3558.054	
33.52999	3556.699	
33.5625	3551.765	
33.64191	3558.782	
33.67545	3555.882	
33.75059	3551.781	
