T[°C]	Scattering [mAU]	S.D.
20.00047	90.75441	
20.00066	91.16644	
20.00373	91.2851	
20.00733	90.79573	
20.01763	90.92514	
20.0249	91.24187	
20.04391	90.61739	
20.05392	90.938	
20.07667	90.92661	
20.09012	90.84676	
20.12015	91.58775	
20.13511	91.22402	
20.16898	91.50967	
20.18751	91.96271	
20.22779	91.01501	
20.24825	91.66213	
20.2935	91.3152	
20.31652	91.13579	
20.36585	91.50328	
20.39132	91.07602	
20.44474	91.59167	
20.47149	91.53688	
20.53141	91.3176	
20.56049	91.42991	
20.62096	91.42728	
20.65188	90.99435	
20.71593	91.33188	
20.74781	90.8583	
20.81696	90.91311	
20.85104	91.2218	
20.92107	91.1774	
20.95485	91.2956	
21.02588	91.33966	
21.06012	91.21725	
21.13409	91.32417	
21.16992	91.15388	
21.2435	91.40665	
21.27878	91.17111	
21.35133	91.54335	
21.38733	91.27421	
21.46331	91.53074	
21.50001	91.06722	
21.57214	91.12603	
21.60743	90.80967	
21.68072	90.90523	
21.71836	91.02773	
21.7911	90.62073	
21.82704	90.82915	
21.89844	90.86778	
21.93405	90.94702	
22.01001	91.28974	
22.04649	90.67156	
22.12058	90.89874	
22.15527	90.97605	
22.22937	90.63137	
22.26558	90.89745	
22.33832	90.75959	
22.37429	91.33214	
22.44884	90.9728	
22.48539	90.52007	
22.55589	90.49943	
22.59131	90.05118	
22.66611	90.50965	
22.7012	90.56111	
22.77596	90.91213	
22.81195	90.48397	
22.88574	91.31911	
22.9206	91.20167	
22.9956	91.27916	
23.03214	91.38118	
23.10467	90.83576	
23.1393	91.28252	
23.21382	90.94173	
23.25075	91.3782	
23.32539	91.32649	
23.36062	90.9214	
23.43259	91.13356	
23.46853	90.52389	
23.54289	90.67568	
23.57872	90.87957	
23.65153	90.59655	
23.68711	91.05571	
23.76266	90.93607	
23.79856	90.91933	
23.87096	91.40771	
23.90739	91.31303	
23.98033	91.1104	
24.01711	91.61302	
24.09065	91.11103	
24.12602	91.24802	
24.19745	91.0848	
24.23347	91.31142	
24.30853	91.00571	
24.34408	90.62726	
24.41859	91.1391	
24.45422	90.71069	
