T[°C]	Ratio 350nm / 330nm	S.D.	First derivative	S.D. of first derivative
20.00045	0.8733164		-0.0007289008	
20.05456	0.8732839		-0.0007251459	
20.10866	0.8732514		-0.00072139	
20.16277	0.873219		-0.0007176332	
20.21688	0.8731866		-0.000713876	
20.27098	0.8731543		-0.0007101184	
20.32509	0.8731219		-0.0007063611	
20.3792	0.8730896		-0.000702604	
20.4333	0.8730573		-0.0006988479	
20.48741	0.8730251		-0.0006950929	
20.54152	0.8729928		-0.0006913397	
20.59562	0.8729606		-0.0006875885	
20.64973	0.8729285		-0.0006838401	
20.70384	0.8728964		-0.0006800949	
20.75795	0.8728643		-0.0006763534	
20.81205	0.8728322		-0.0006726163	
20.86616	0.8728002		-0.000668884	
20.92027	0.8727682		-0.0006651573	
20.97437	0.8727363		-0.0006614367	
21.02848	0.8727043		-0.0006577229	
21.08259	0.8726724		-0.0006540164	
21.13669	0.8726404		-0.000650318	
21.1908	0.8726084		-0.0006466283	
21.24491	0.8725764		-0.0006429479	
21.29901	0.8725443		-0.0006392776	
21.35312	0.8725121		-0.0006356179	
21.40723	0.8724799		-0.0006319697	
21.46133	0.8724475		-0.0006283334	
21.51544	0.872415		-0.0006247099	
21.56955	0.8723823		-0.0006210995	
21.62365	0.8723495		-0.0006175033	
21.67776	0.8723165		-0.0006139215	
21.73187	0.8722833		-0.0006103549	
21.78597	0.8722498		-0.0006068041	
21.84008	0.8722161		-0.0006032694	
21.89419	0.8721821		-0.0005997518	
21.9483	0.8721477		-0.0005962513	
22.0024	0.872113		-0.0005927687	
22.05651	0.872078		-0.0005893041	
22.11061	0.8720426		-0.0005858582	
22.16472	0.8720068		-0.0005824309	
22.21883	0.8719708		-0.0005790227	
22.27294	0.8719343		-0.0005756336	
22.32704	0.8718975		-0.0005722637	
22.38115	0.8718604		-0.000568913	
22.43526	0.871821		-0.0005655811	
22.48936	0.8717819		-0.0005622681	
22.54347	0.8717432		-0.000558973	
22.59758	0.8717051		-0.0005556956	
22.65168	0.8716679		-0.0005524347	
22.70579	0.8716319		-0.0005491898	
22.7599	0.8715971		-0.0005459593	
22.814	0.8715637		-0.000542742	
22.86811	0.8715317		-0.0005395361	
22.92222	0.8715012		-0.0005363396	
22.97632	0.871472		-0.0005331501	
23.03043	0.871444		-0.0005299646	
23.08454	0.8714173		-0.0005267798	
23.13865	0.8713918		-0.0005235916	
23.19275	0.8713673		-0.0005203956	
23.24686	0.8713438		-0.0005171864	
23.30096	0.8713213		-0.0005139583	
23.35507	0.8712995		-0.0005107044	
23.40918	0.8712786		-0.0005074179	
23.46329	0.8712583		-0.0005040913	
23.51739	0.8712388		-0.0005007177	
23.5715	0.8712198		-0.000497291	
23.62561	0.8712014		-0.0004938071	
23.67971	0.8711834		-0.0004902654	
23.73382	0.8711658		-0.0004883188	
23.78793	0.8711482		-0.0004865112	
23.84203	0.8711306		-0.0004848491	
23.89614	0.8711129		-0.0004833386	
23.95025	0.8710949		-0.0004819858	
24.00435	0.8710766		-0.0004807961	
24.05846	0.8710579		-0.000479775	
24.11257	0.8710387		-0.0004789272	
24.16667	0.871019		-0.0004782573	
