T[°C]	Ratio 350nm / 330nm	S.D.
20.00045	0.8737608	
20.00066	0.8716779	
20.00352	0.8733816	
20.00755	0.8728574	
20.01727	0.8720986	
20.02538	0.8725113	
20.04331	0.8717388	
20.0545	0.8738383	
20.07594	0.873539	
20.09096	0.8740395	
20.11928	0.8727126	
20.13596	0.8711488	
20.16791	0.870788	
20.18862	0.8724059	
20.2266	0.8752617	
20.24944	0.873073	
20.2921	0.8725974	
20.31784	0.872529	
20.36436	0.8734898	
20.39282	0.8726153	
20.44325	0.8715935	
20.47316	0.8752228	
20.52964	0.8745657	
20.56213	0.873592	
20.61914	0.8719357	
20.65368	0.8711218	
20.71407	0.8739746	
20.74973	0.8738044	
20.81493	0.8724939	
20.85303	0.8726063	
20.91907	0.8740631	
20.95682	0.8748029	
21.02396	0.8738313	
21.06225	0.8730561	
21.13201	0.8711082	
21.17205	0.870822	
21.24142	0.8732805	
21.28082	0.8715395	
21.34922	0.8736809	
21.38946	0.8726772	
21.46111	0.8712153	
21.50214	0.8722571	
21.57015	0.8723022	
21.60956	0.8720653	
21.67866	0.8715128	
21.72037	0.8710755	
21.78895	0.8738518	
21.82911	0.8700362	
21.89644	0.8703356	
21.93628	0.8690938	
22.00789	0.8720481	
22.04867	0.8715054	
22.11851	0.8733209	
22.15729	0.8725161	
22.22717	0.8731954	
22.26764	0.8698092	
22.3362	0.8748268	
22.37641	0.8710717	
22.44668	0.8730601	
22.48739	0.8724989	
22.55386	0.8720243	
22.59346	0.873552	
22.66397	0.8719059	
22.7032	0.8719239	
22.77395	0.8733795	
22.81421	0.8718787	
22.88377	0.873339	
22.9227	0.8716133	
22.99341	0.8741112	
23.03425	0.8720208	
23.10263	0.871949	
23.14137	0.8707787	
23.21163	0.8712471	
23.25286	0.870059	
23.32324	0.8698066	
23.36265	0.8712752	
23.43051	0.8685529	
23.47064	0.871253	
23.54075	0.8714918	
23.58083	0.8711172	
23.64949	0.8704416	
23.68926	0.8704689	
23.76048	0.8707851	
23.80055	0.871033	
23.86881	0.8682061	
23.9095	0.8738384	
23.97826	0.8688677	
24.01914	0.8707201	
24.08847	0.8713369	
24.12804	0.8682156	
24.1954	0.8691251	
24.23568	0.8715692	
24.30652	0.8715119	
24.34626	0.8705907	
24.41651	0.8708145	
24.45632	0.8711146	
24.52579	0.8702512	
24.56489	0.8719631	
24.63356	0.868656	
24.67495	0.8691929	
24.74567	0.8707704	
