T[°C]	330nm [counts / mm]	S.D.	First derivative	S.D. of first derivative
20.00055	4698.969	55.58567	-61.56414	2.401245
20.05466	4695.392	55.7103	-61.5939	2.390313
20.10877	4691.82	55.82473	-61.62358	2.379207
20.16287	4688.254	55.92858	-61.65317	2.36792
20.21698	4684.692	56.02193	-61.68267	2.356449
20.27109	4681.136	56.10546	-61.71207	2.344793
20.3252	4677.584	56.18121	-61.74137	2.332956
20.3793	4674.036	56.25075	-61.77055	2.320932
20.43341	4670.493	56.31637	-61.79961	2.308727
20.48752	4666.954	56.38064	-61.82854	2.296341
20.54163	4663.419	56.44479	-61.85735	2.283779
20.59574	4659.888	56.51088	-61.886	2.271045
20.64984	4656.361	56.57975	-61.91451	2.258146
20.70395	4652.838	56.6526	-61.94286	2.245086
20.75806	4649.316	56.73007	-61.97105	2.231875
20.81217	4645.796	56.81059	-61.99908	2.21852
20.86627	4642.28	56.88631	-62.02692	2.205031
20.92038	4638.777	56.92666	-62.05459	2.19142
20.97449	4635.434	56.9125	-62.08207	2.177694
21.02859	4632.136	56.87438	-62.10937	2.163873
21.0827	4628.875	56.80534	-62.13647	2.149966
21.13681	4625.633	56.71166	-62.16338	2.135989
21.19092	4622.401	56.60636	-62.19009	2.12196
21.24503	4619.172	56.50491	-62.21661	2.107887
21.29913	4615.938	56.42245	-62.24294	2.093793
21.35324	4612.69	56.36875	-62.26909	2.079682
21.40735	4609.421	56.34832	-62.29507	2.065567
21.46146	4606.128	56.36081	-62.3209	2.051451
21.51556	4602.81	56.40175	-62.34658	2.037338
21.56967	4599.463	56.46623	-62.37214	2.023216
21.62378	4596.086	56.55636	-62.39759	2.009068
21.67789	4592.68	56.67237	-62.42296	1.994873
21.73199	4589.25	56.80601	-62.44828	1.980602
21.7861	4585.799	56.94169	-62.47356	1.966213
21.84021	4582.334	57.06276	-62.49885	1.951662
21.89432	4578.86	57.15603	-62.52417	1.936893
21.94843	4575.386	57.21511	-62.54956	1.921856
22.00253	4571.917	57.23914	-62.57507	1.906476
22.05664	4568.448	57.23108	-62.60075	1.890684
22.11075	4564.974	57.1992	-62.62665	1.874399
22.16486	4561.481	57.14727	-62.65284	1.857513
22.21896	4557.957	57.07588	-62.67941	1.839917
22.27307	4554.404	56.98561	-62.70641	1.821457
22.32718	4550.836	56.88159	-62.73392	1.801937
22.38129	4547.274	56.77771	-62.76202	1.781085
22.43539	4543.734	56.68977	-62.79074	1.75853
22.4895	4540.226	56.63265	-62.82007	1.733765
22.54361	4536.755	56.61166	-62.84993	1.706178
22.59772	4533.331	56.62395	-62.8801	1.67515
22.65182	4529.958	56.65622	-62.89684	1.627886
22.70593	4526.642	56.69193	-62.91108	1.579895
22.76004	4523.377	56.7186	-62.92264	1.531558
22.81415	4520.149	56.72933	-62.93138	1.48325
22.86825	4516.938	56.72812	-62.9372	1.435344
22.92236	4513.728	56.72542	-62.94006	1.388209
22.97647	4510.5	56.73128	-62.93991	1.342205
23.03058	4507.244	56.75862	-62.93677	1.297686
23.08468	4503.951	56.81512	-62.93067	1.254977
23.13879	4500.618	56.89875	-62.9217	1.21438
23.1929	4497.25	57.00095	-62.90996	1.176131
23.24701	4493.854	57.11455	-62.89562	1.140419
