T[°C]	Ratio 350nm / 330nm	S.D.
20.00055	0.8738395	0.0009955331
20.05466	0.8736597	0.002089392
20.10877	0.8726057	0.0019768
20.16287	0.8730158	0.001407305
20.21698	0.8732725	0.001849708
20.27109	0.873777	0.00091394
20.3252	0.8734842	0.001521015
20.3793	0.8729186	0.001764918
20.43341	0.872827	0.001617963
20.48752	0.8732383	0.002694053
20.54163	0.8718391	0.002975947
20.59574	0.8727206	0.001329447
20.64984	0.8731821	0.001675557
20.70395	0.8734628	0.002024876
20.75806	0.8728078	0.002469822
20.81217	0.8724795	0.002354605
20.86627	0.8730251	0.001435067
20.92038	0.8728909	0.001463417
20.97449	0.8727618	0.001503052
21.02859	0.8723958	0.001843249
21.0827	0.8724425	0.0004373438
21.13681	0.871916	0.001851514
21.19092	0.8726117	0.0008407694
21.24503	0.8725446	0.001346458
21.29913	0.8726083	0.002269204
21.35324	0.8733867	0.001050699
21.40735	0.8715888	0.0007369822
21.46146	0.8718162	0.001412525
21.51556	0.8722127	0.002876669
21.56967	0.8725926	0.002029543
21.62378	0.8736333	0.002616056
21.67789	0.8727931	0.001444187
21.73199	0.8715429	0.001162443
21.7861	0.8716687	0.00191512
21.84021	0.8709865	0.001662672
21.89432	0.871865	0.0009779059
21.94843	0.8724582	0.001382653
22.00253	0.8714322	0.002276134
22.05664	0.8709854	0.002500609
22.11075	0.8712939	0.001688686
22.16486	0.8725259	0.003068232
22.21896	0.8713464	0.001980654
22.27307	0.8722158	0.002072809
22.32718	0.8717015	0.002530508
22.38129	0.8712953	0.001510986
22.43539	0.8718916	0.001168052
22.4895	0.8729995	0.001204397
22.54361	0.8722928	0.002254843
22.59772	0.8716706	0.001202508
22.65182	0.8717706	0.00182595
22.70593	0.8724173	0.001770385
22.76004	0.8714934	0.001175498
22.81415	0.8707266	0.003352065
22.86825	0.8708268	0.002165821
22.92236	0.8716071	0.001483282
22.97647	0.8714676	0.002092847
23.03058	0.8733746	0.001748336
23.08468	0.8728688	0.001356022
23.13879	0.8726256	0.002145216
23.1929	0.8709715	0.002821408
23.24701	0.870409	0.001748622
23.30112	0.8707219	0.001394567
23.35522	0.8711959	0.001846734
23.40933	0.8715819	0.002090454
23.46344	0.870638	0.002928423
23.51755	0.8717391	0.001459589
23.57165	0.8705823	0.002972049
23.62576	0.8707151	0.002962463
23.67987	0.8712654	0.002676805
23.73398	0.8710276	0.001206759
