T[°C]	Scattering [mAU]	S.D.
20.00055	89.70354	0.3628155
20.05466	89.55389	0.3651282
20.10877	89.44301	0.04576782
20.16287	89.41521	0.2121127
20.21698	89.43598	0.4107048
20.27109	89.39014	0.3924181
20.3252	89.31087	0.2092141
20.3793	89.59265	0.2416707
20.43341	89.5559	0.1866314
20.48752	89.37627	0.596239
20.54163	89.2856	0.1491922
20.59574	89.38946	0.2380938
20.64984	89.30597	0.230327
20.70395	89.29935	0.1487722
20.75806	89.30659	0.1443842
20.81217	89.29971	0.1268601
20.86627	89.18144	0.1046115
20.92038	89.2976	0.2573562
20.97449	89.28751	0.1887751
21.02859	89.32651	0.2030456
21.0827	89.33029	0.2097073
21.13681	89.39259	0.4939469
21.19092	89.28403	0.1539998
21.24503	89.52087	0.1800829
21.29913	89.33183	0.05907315
21.35324	89.50652	0.2524916
21.40735	89.5779	0.4719326
21.46146	89.43141	0.09868647
21.51556	89.39834	0.1662057
21.56967	89.4194	0.2685605
21.62378	89.29435	0.5275543
21.67789	89.37237	0.58164
21.73199	89.55927	0.3964331
21.7861	89.52018	0.6081595
21.84021	89.52429	0.5263321
21.89432	89.43855	0.4479996
21.94843	89.48275	0.4754774
22.00253	89.40863	0.3989152
22.05664	89.23106	0.4327501
22.11075	89.50939	0.4670395
22.16486	89.32066	0.4815384
22.21896	89.58457	0.4671954
22.27307	89.67262	0.1156123
22.32718	89.46207	0.06561902
22.38129	89.42395	0.113306
22.43539	89.3539	0.1522073
22.4895	89.29566	0.2865152
22.54361	89.42108	0.2660562
22.59772	89.33298	0.3888979
22.65182	89.39534	0.2051766
22.70593	89.07545	0.568731
22.76004	89.27135	0.2996821
22.81415	89.282	0.4645233
22.86825	89.24011	0.431189
22.92236	89.35606	0.1552628
22.97647	89.21245	0.3433927
23.03058	89.64776	0.1990749
23.08468	89.476	0.2291284
23.13879	89.47196	0.3614346
23.1929	89.41506	0.1182592
23.24701	89.10465	0.1258471
23.30112	89.40586	0.2193953
23.35522	89.44566	0.2861273
23.40933	89.52094	0.2513188
23.46344	89.71218	0.3318233
23.51755	89.58933	0.1658583
23.57165	89.39496	0.3522538
