T[°C]	330nm [counts / mm]	S.D.
20.00055	4712.549	
20.00066	4717.782	
20.00455	4717.229	
20.00646	4723.98	
20.0191	4719.509	
20.02295	4722.547	
20.04631	4708.711	
20.05161	4709.499	
20.07956	4702.145	
20.08674	4713.53	
20.1236	4717.072	
20.1317	4706.394	
20.17327	4706.721	
20.18309	4706.008	
20.23257	4702.342	
20.24348	4700.376	
20.29906	4689.057	
20.31126	4701.343	
20.37181	4680.894	
20.3853	4704.821	
20.45066	4679.363	
20.46486	4690.583	
20.53846	4681.781	
20.55396	4668.155	
20.62824	4657.368	
20.64473	4667.514	
20.72336	4654.286	
20.74014	4658.192	
20.82503	4657.523	
20.84308	4660.1	
20.92907	4642.923	
20.94695	4651.844	
21.03354	4645.368	
21.0516	4635.648	
21.14241	4636.061	
21.1614	4644.25	
21.25179	4627.692	
21.27061	4637.167	
21.35973	4620.154	
21.37881	4623.471	
21.47209	4626.493	
21.49154	4634.651	
21.58008	4621.945	
21.59892	4623.605	
21.68896	4613.09	
21.71036	4599.576	
21.79971	4616.199	
21.81874	4611.532	
21.90639	4597.191	
21.92514	4598.288	
22.01848	4586.729	
22.03781	4590.027	
22.12883	4585.383	
22.1472	4578.082	
22.23817	4572.16	
22.25735	4569.514	
22.34678	4568.315	
22.36583	4564.826	
22.45748	4552.313	
22.47737	4550.647	
22.56398	4548.706	
22.58275	4551.325	
22.67464	4537.254	
22.69322	4541.455	
22.78398	4544.399	
22.80295	4544.458	
22.89361	4536.673	
22.9122	4524.206	
23.00435	4521.581	
23.0237	4520.654	
23.1128	4515.007	
23.13104	4522.895	
23.22252	4530.756	
23.24233	4520.988	
23.33396	4508.49	
23.3525	4510.735	
23.44092	4510.849	
23.46008	4512.403	
23.55144	4489.889	
23.57029	4506.413	
23.65968	4488.026	
23.67854	4486.044	
23.77135	4469.515	
23.79062	4486.781	
23.87955	4454.111	
23.89897	4480.625	
23.98858	4466.844	
24.00903	4471.722	
24.09936	4465.274	
24.11796	4454.685	
24.20565	4452.699	
24.22466	4441.045	
24.31653	4443.328	
24.33538	4439.969	
24.42693	4442.816	
24.44581	4434.782	
24.53632	4430.935	
24.55498	4422.33	
24.64438	4423.288	
24.664	4418.056	
24.75623	4421.275	
24.77517	4413.956	
24.86568	4415.256	
24.88519	4421.755	
24.97371	4407.614	
24.99314	4397.292	
25.08231	4392.154	
25.10318	4393.839	
25.19245	4396.284	
25.21419	4390.604	
25.30144	4387.917	
25.32062	4390.209	
25.41103	4379.061	
25.43229	4382.316	
25.52155	4378.99	
25.54065	4372.696	
25.63069	4358.436	
25.65076	4359.768	
25.73969	4353.831	
25.75972	4347.637	
25.85075	4354.947	
25.86916	4346.931	
25.95947	4330.402	
25.97832	4341.483	
26.06833	4327.02	
26.08718	4329.221	
26.17771	4328.884	
26.1981	4333.467	
26.2884	4326.236	
26.30852	4325.721	
26.39849	4323.377	
26.41775	4317.079	
26.50529	4315.183	
26.52377	4310.768	
26.61902	4301.944	
26.64095	4295.179	
26.73503	4292.607	
26.75417	4303.107	
26.84166	4295.111	
26.86101	4293.565	
26.95193	4296.131	
26.9709	4285.961	
27.06242	4279.724	
27.08145	4278.281	
27.1708	4280.021	
27.18921	4277.063	
27.27939	4269.221	
27.29872	4270.856	
27.38976	4258.482	
27.40884	4256.468	
27.49932	4253.253	
27.51794	4243.536	
27.6096	4243.812	
27.62899	4237.104	
27.72054	4241.269	
27.74002	4219.599	
27.82685	4225.417	
27.84627	4223.85	
27.93664	4215.276	
27.95567	4220.478	
28.04777	4216.703	
28.06861	4206.932	
28.15666	4207.772	
28.1756	4204.643	
28.26525	4204.907	
28.28404	4212.422	
28.37247	4202.864	
28.39244	4197.429	
28.48597	4194.539	
28.50585	4187.174	
28.59458	4190.315	
28.61298	4184.303	
28.70381	4175.87	
28.7226	4177.518	
28.8143	4169.417	
28.83461	4175.702	
28.92297	4180.741	
28.94162	4159.674	
29.03141	4156.692	
29.05072	4146.975	
29.14253	4150.776	
29.1623	4151.065	
29.25116	4168.862	
29.26954	4149.446	
29.35911	4148.997	
29.37836	4132.922	
29.47037	4125.667	
29.48961	4126.624	
29.5816	4115.229	
29.60068	4123.741	
29.68941	4117.987	
29.70797	4115.983	
29.79741	4104.864	
29.81713	4111.717	
29.90787	4109.26	
29.92694	4109.107	
30.01603	4103.342	
30.03478	4101.292	
30.12658	4096.751	
30.14586	4093.752	
30.23508	4088.791	
30.25366	4075.667	
30.34361	4082.115	
30.36262	4088.642	
30.45278	4079.935	
30.47318	4068.77	
30.56314	4079.451	
30.58211	4061.361	
30.67425	4067.023	
30.69392	4063.211	
30.78327	4065.486	
30.80267	4066.253	
30.89183	4034.439	
30.91213	4060.454	
31.00155	4050.597	
31.02071	4055.096	
31.11127	4030.668	
31.13341	4035.596	
31.2248	4030.318	
31.24597	4031.334	
31.33383	4019.394	
31.35564	4019.069	
31.44623	4019.004	
31.46513	4019.941	
31.55464	4015.359	
31.5735	4002.188	
31.66777	4014.526	
31.68688	4016.67	
31.77558	3991.308	
31.79564	3998.813	
31.88434	3992.99	
31.90359	3989.264	
31.99551	3983.968	
32.01449	3989.124	
32.10762	3977.207	
32.12785	3980.56	
32.21899	3973.834	
32.2373	3970.965	
32.32513	3970.113	
32.3456	3961.053	
32.43665	3968.823	
32.45575	3962.949	
32.54476	3967.05	
32.56546	3959.981	
32.65496	3956.859	
32.67419	3943.316	
32.76603	3951.171	
32.78769	3935.306	
32.87863	3940.592	
32.89826	3928.778	
32.98523	3925.746	
33.00542	3919.52	
33.09414	3924.402	
33.11316	3918.103	
33.20681	3915.061	
33.2277	3917.904	
33.31731	3902.004	
33.33637	3904.726	
33.42437	3908.969	
33.44599	3897.591	
33.53638	3904.48	
33.55612	3893.343	
33.6484	3891.132	
33.66931	3896.148	
