T[°C]	Ratio 350nm / 330nm	S.D.	First derivative	S.D. of first derivative
20.00055	0.8722659		-0.0005689953	
20.05466	0.8722215		-0.0005691881	
20.10877	0.872177		-0.0005693871	
20.16287	0.8721325		-0.0005695925	
20.21698	0.872088		-0.0005698043	
20.27109	0.8720434		-0.0005700228	
20.3252	0.8719987		-0.0005702481	
20.37931	0.8719541		-0.0005704805	
20.43341	0.8719094		-0.0005707199	
20.48752	0.8718648		-0.0005709666	
20.54163	0.8718201		-0.0005712207	
20.59574	0.8717755		-0.0005714823	
20.64985	0.8717309		-0.0005717517	
20.70395	0.8716863		-0.0005720289	
20.75806	0.8716418		-0.000572314	
20.81217	0.8715974		-0.0005726071	
20.86628	0.871553		-0.0005729084	
20.92038	0.8715088		-0.0005732179	
20.97449	0.8714646		-0.0005735358	
21.0286	0.8714205		-0.0005738621	
21.08271	0.8713765		-0.000574197	
21.13682	0.8713326		-0.0005745405	
21.19092	0.8712888		-0.0005748927	
21.24503	0.8712451		-0.0005752536	
21.29914	0.8712016		-0.0005756234	
21.35325	0.8711581		-0.0005760019	
21.40735	0.8711147		-0.0005763894	
21.46146	0.8710714		-0.0005767858	
21.51557	0.8710282		-0.0005771912	
21.56968	0.870985		-0.0005776055	
21.62379	0.8709418		-0.0005780288	
21.67789	0.8708987		-0.000578461	
21.732	0.8708556		-0.0005789021	
21.78611	0.8708125		-0.0005793522	
21.84022	0.8707693		-0.0005798111	
21.89433	0.870726		-0.0005802788	
21.94843	0.8706827		-0.0005807552	
22.00254	0.8706391		-0.0005812402	
22.05665	0.8705953		-0.0005817336	
22.11076	0.870551		-0.0005822355	
22.16486	0.8705063		-0.0005827456	
22.21897	0.8704609		-0.0005832637	
22.27308	0.8704147		-0.0005837895	
22.32719	0.8703675		-0.000584323	
22.38129	0.8703191		-0.0005848638	
22.4354	0.8702797		-0.0005854116	
22.48951	0.8702417		-0.000585966	
22.54362	0.8702054		-0.0005865266	
22.59773	0.8701707		-0.0005870931	
22.65183	0.8701378		-0.000587665	
22.70594	0.8701063		-0.0005882416	
22.76005	0.8700766		-0.0005888224	
22.81416	0.8700485		-0.0005894068	
22.86827	0.8700222		-0.000589994	
22.92237	0.8699974		-0.0005905835	
22.97648	0.869974		-0.0005911746	
23.03059	0.8699519		-0.0005917663	
23.0847	0.8699308		-0.0005923579	
23.1388	0.8699105		-0.0005929486	
23.19291	0.8698909		-0.0005935378	
23.24702	0.8698715		-0.000594125	
23.30113	0.8698521		-0.0005947098	
23.35524	0.8698325		-0.0005952926	
23.40934	0.8698125		-0.0005958743	
23.46345	0.8697922		-0.0005964568	
23.51756	0.8697711		-0.0005970435	
23.57167	0.8697494		-0.0005976393	
23.62577	0.8697268		-0.0005982501	
23.67988	0.8697034		-0.0005988827	
23.73399	0.8696792		-0.0005998673	
23.7881	0.8696542		-0.0006008492	
23.84221	0.8696285		-0.0006018265	
23.89631	0.8696024		-0.0006027971	
23.95042	0.8695757		-0.0006037589	
24.00453	0.8695486		-0.0006047099	
24.05864	0.869521		-0.0006056484	
24.11275	0.8694929		-0.0006065732	
24.16685	0.8694642		-0.0006074836	
24.22096	0.8694349		-0.000608379	
24.27507	0.8694051		-0.0006092597	
24.32918	0.8693748		-0.0006101261	
24.38328	0.8693441		-0.0006109791	
24.43739	0.8693131		-0.0006118201	
24.4915	0.8692819		-0.0006126502	
24.54561	0.8692504		-0.0006134708	
24.59971	0.8692186		-0.000614283	
24.65382	0.8691863		-0.0006150875	
24.70793	0.8691537		-0.0006158849	
24.76204	0.8691205		-0.0006166754	
24.81615	0.8690868		-0.0006174592	
24.87025	0.8690524		-0.0006182365	
24.92436	0.8690172		-0.0006190075	
24.97847	0.8689811		-0.0006197729	
25.03258	0.868944		-0.0006205335	
25.08669	0.868906		-0.0006212906	
25.14079	0.868867		-0.0006220458	
25.1949	0.868827		-0.000622801	
25.24901	0.8687859		-0.0006235585	
25.30312	0.8687434		-0.0006243208	
25.35722	0.8686997		-0.0006250904	
25.41133	0.8686547		-0.0006258698	
25.46544	0.8686082		-0.0006266613	
25.51955	0.8685605		-0.0006274674	
25.57366	0.8685119		-0.0006282898	
25.62776	0.8684624		-0.0006291309	
25.68187	0.8684126		-0.0006299928	
25.73598	0.8683625		-0.0006308777	
25.79009	0.8683123		-0.0006317872	
25.84419	0.8682624		-0.0006327229	
25.8983	0.8682131		-0.0006336859	
25.95241	0.8681647		-0.0006346772	
26.00652	0.8681175		-0.0006356979	
26.06063	0.8680719		-0.000636749	
26.11473	0.8680279		-0.000637832	
26.16884	0.8679856		-0.0006389478	
26.22295	0.8679451		-0.0006400979	
26.27706	0.8679065		-0.0006412837	
26.33117	0.8678696		-0.0006425065	
26.38527	0.8678345		-0.0006437682	
26.43938	0.8678013		-0.0006450706	
26.49349	0.8677698		-0.0006464161	
26.5476	0.86774		-0.0006478064	
26.6017	0.8677118		-0.0006492431	
26.65581	0.8676847		-0.0006507272	
26.70992	0.8676586		-0.0006522599	
26.76403	0.8676333		-0.000653842	
26.81813	0.8676087		-0.000655475	
26.87224	0.8675847		-0.0006571607	
26.92635	0.867561		-0.0006589011	
26.98046	0.8675374		-0.0006606982	
27.03457	0.8675137		-0.0006625544	
27.08867	0.8674893		-0.0006644721	
27.14278	0.8674644		-0.0006664536	
27.19689	0.8674388		-0.0006685013	
27.251	0.8674125		-0.000670618	
27.30511	0.8673855		-0.0006728063	
27.35921	0.8673578		-0.0006750685	
27.41332	0.8673294		-0.0006774064	
27.46743	0.8673002		-0.000679822	
27.52154	0.8672704		-0.0006823163	
27.57564	0.86724		-0.0006848898	
27.62975	0.8672094		-0.0006875424	
27.68386	0.8671786		-0.0006902737	
27.73797	0.8671478		-0.0006930825	
27.79208	0.867117		-0.0006959678	
27.84618	0.8670863		-0.0006989286	
27.90029	0.8670555		-0.000701964	
27.9544	0.8670247		-0.0007050728	
28.00851	0.8669938		-0.0007082539	
28.06261	0.8669628		-0.0007115059	
28.11672	0.8669316		-0.0007148275	
28.17083	0.8669001		-0.0007182173	
28.22494	0.8668685		-0.0007216738	
28.27905	0.8668365		-0.0007251955	
28.33315	0.8668044		-0.0007287812	
28.38726	0.8667719		-0.0007324303	
28.44137	0.8667393		-0.0007361419	
28.49548	0.8667063		-0.0007399156	
28.54959	0.8666729		-0.0007437513	
28.60369	0.866639		-0.0007476487	
28.6578	0.8666044		-0.0007516078	
28.71191	0.8665688		-0.0007556285	
28.76602	0.866532		-0.0007597109	
28.82012	0.8664938		-0.0007638553	
28.87423	0.8664541		-0.0007680618	
28.92834	0.8664128		-0.0007723308	
28.98245	0.8663695		-0.0007766624	
29.03655	0.8663243		-0.0007810569	
29.09066	0.8662773		-0.0007855141	
29.14477	0.8662285		-0.0007900341	
29.19888	0.866178		-0.0007946166	
29.25299	0.8661261		-0.0007992616	
29.30709	0.8660727		-0.0008039683	
29.3612	0.8660182		-0.0008087353	
29.41531	0.8659627		-0.0008135604	
29.46942	0.8659065		-0.0008184405	
29.52353	0.86585		-0.0008233717	
29.57763	0.8657934		-0.0008283497	
29.63174	0.8657371		-0.0008333693	
29.68585	0.8656815		-0.0008384248	
29.73996	0.8656267		-0.00084351	
29.79406	0.8655728		-0.0008486186	
29.84817	0.8655199		-0.0008537444	
29.90228	0.8654683		-0.0008588809	
29.95639	0.8654178		-0.0008640225	
30.0105	0.8653686		-0.0008691635	
30.0646	0.8653205		-0.0008742979	
30.11871	0.8652734		-0.00087942	
30.17282	0.8652271		-0.0008845237	
30.22693	0.8651816		-0.0008896025	
30.28103	0.8651366		-0.0008946499	
30.33514	0.8650921		-0.0008996592	
30.38925	0.8650481		-0.0009046238	
30.44336	0.8650042		-0.0009095372	
30.49747	0.8649606		-0.0009143933	
30.55157	0.8649166		-0.0009191859	
30.60568	0.8648722		-0.0009239081	
30.65979	0.8648272		-0.0009285525	
30.7139	0.8647814		-0.0009331114	
30.76801	0.8647348		-0.0009375776	
30.82211	0.8646873		-0.0009419443	
30.87622	0.8646386		-0.0009462049	
30.93033	0.8645888		-0.0009503539	
30.98444	0.8645378		-0.0009543858	
31.03854	0.8644855		-0.0009582958	
31.09265	0.8644321		-0.0009620802	
31.14676	0.8643777		-0.0009657359	
31.20087	0.8643224		-0.0009692611	
31.25497	0.8642665		-0.0009726546	
31.30908	0.8642101		-0.0009759162	
31.36319	0.8641534		-0.0009790461	
31.4173	0.8640965		-0.0009820452	
31.47141	0.8640395		-0.0009849143	
31.52551	0.8639824		-0.0009876549	
31.57962	0.8639255		-0.0009902691	
31.63373	0.8638686		-0.0009927605	
31.68784	0.863812		-0.0009951334	
31.74195	0.8637556		-0.0009973933	
31.79605	0.8636996		-0.0009995467	
31.85016	0.8636438		-0.001001601	
31.90427	0.8635882		-0.001003564	
31.95838	0.8635327		-0.001005444	
