T[°C]	Ratio 350nm / 330nm	S.D.
20.00053	0.8751445	
20.00066	0.8734338	
20.00434	0.8740299	
20.00668	0.87206	
20.01873	0.8730365	
20.02344	0.8738853	
20.04571	0.8721725	
20.05219	0.8724218	
20.07883	0.8728585	
20.08758	0.8753226	
20.12274	0.8731012	
20.13255	0.8727801	
20.1722	0.8749595	
20.18419	0.8731493	
20.23138	0.8754326	
20.24467	0.8744738	
20.29767	0.8737267	
20.31257	0.8745542	
20.37032	0.8727223	
20.38681	0.8730119	
20.44918	0.8722746	
20.46652	0.8724398	
20.5367	0.8692494	
20.55559	0.8704574	
20.62642	0.8723755	
20.64652	0.8734469	
20.72151	0.8712617	
20.74206	0.8728204	
20.82301	0.8695817	
20.84507	0.8728583	
20.92707	0.8714114	
20.94893	0.8732306	
21.03163	0.8711197	
21.05372	0.8723249	
21.14033	0.8713481	
21.16353	0.8732436	
21.24972	0.8709248	
21.27265	0.8718556	
21.35763	0.8734567	
21.38094	0.8718233	
21.46989	0.8715531	
21.49365	0.8730137	
21.5781	0.8727408	
21.60104	0.8738148	
21.6869	0.8716486	
21.71236	0.8698665	
21.79756	0.8713928	
21.82082	0.8730897	
21.90441	0.8722743	
21.92737	0.8727005	
22.01636	0.8708572	
22.03998	0.8733147	
22.12676	0.8690509	
22.14922	0.8720329	
22.23598	0.8696221	
22.2594	0.8708434	
22.34467	0.8715751	
22.36794	0.8711928	
22.45531	0.8712845	
22.47938	0.8733867	
22.56196	0.8717703	
22.58488	0.8716636	
22.67251	0.871897	
22.69522	0.8726824	
22.78197	0.8717257	
22.80519	0.8702077	
22.89165	0.8704943	
22.9143	0.8714772	
23.00216	0.8694568	
23.0258	0.8734776	
23.11077	0.8710766	
23.1331	0.8740009	
23.22034	0.8709612	
23.24444	0.8697278	
23.33182	0.8697649	
23.35453	0.8699942	
23.43883	0.8728822	
23.4622	0.872385	
23.5493	0.8726405	
23.5724	0.8715509	
23.65765	0.8718473	
23.68069	0.8717555	
23.76917	0.8698565	
23.79261	0.8703699	
23.87741	0.8719557	
23.90108	0.8689358	
23.98651	0.8701866	
24.01105	0.8704079	
24.09719	0.871667	
24.11998	0.8706073	
24.2036	0.8685957	
