T[°C]	Scattering [mAU]	S.D.	First derivative	S.D. of first derivative
20.00053	89.70286		-0.4348473	
20.05464	89.68353		-0.4270844	
20.10875	89.66445		-0.419342	
20.16286	89.64563		-0.4116218	
20.21696	89.6271		-0.4039257	
20.27107	89.6089		-0.3962557	
20.32518	89.59112		-0.3886141	
20.37929	89.57378		-0.3810033	
20.43339	89.55695		-0.3734256	
20.4875	89.54063		-0.3658836	
20.54161	89.52484		-0.3583798	
20.59572	89.50949		-0.350917	
20.64982	89.49446		-0.3434977	
20.70393	89.47957		-0.3361247	
20.75804	89.4646		-0.3288006	
20.81215	89.44931		-0.321528	
20.86625	89.43346		-0.3143096	
20.92036	89.41602		-0.3071481	
20.97447	89.39587		-0.3000454	
21.02858	89.37371		-0.2930041	
21.08268	89.35075		-0.2860265	
21.13679	89.32817		-0.2791145	
21.1909	89.30678		-0.2722701	
21.24501	89.28677		-0.2654948	
21.29911	89.26807		-0.2587897	
21.35322	89.25008		-0.2521559	
21.40733	89.23228		-0.2455936	
21.46144	89.21455		-0.2391027	
21.51554	89.19711		-0.2326829	
21.56965	89.18014		-0.2263331	
21.62376	89.16392		-0.2200525	
21.67787	89.14855		-0.2138394	
21.73198	89.13427		-0.2076918	
21.78608	89.12141		-0.2016072	
21.84019	89.11035		-0.1955821	
21.8943	89.10106		-0.1896124	
21.94841	89.09335		-0.1836925	
22.00251	89.08695		-0.1778153	
22.05662	89.08163		-0.1719719	
22.11073	89.07736		-0.1661513	
22.16484	89.07446		-0.16034	
22.21894	89.07354		-0.154522	
22.27305	89.07524		-0.1486794	
22.32716	89.07986		-0.1427934	
22.38127	89.08697		-0.136847	
22.43538	89.09571		-0.1308291	
22.48948	89.10522		-0.1247416	
22.54359	89.11479		-0.1186069	
22.5977	89.12409		-0.1124706	
22.6518	89.13293		-0.1100816	
22.70591	89.14101		-0.107943	
22.76002	89.14805		-0.1060553	
22.81413	89.15378		-0.1044177	
22.86823	89.15778		-0.1030274	
22.92234	89.15977		-0.1018779	
22.97645	89.15969		-0.100959	
23.03056	89.15791		-0.1002567	
23.08467	89.15513		-0.09975269	
23.13877	89.15218		-0.09942545	
23.19288	89.14967		-0.09925037	
23.24699	89.1479		-0.09920058	
23.3011	89.14688		-0.09924804	
23.3552	89.14645		-0.09936462	
23.40931	89.14615		-0.09952309	
23.46342	89.14542		-0.09969815	
23.51753	89.14345		-0.09986704	
23.57163	89.13969		-0.1000096	
23.62574	89.13395		-0.1001076	
23.67985	89.1267		-0.1001443	
23.73396	89.11849		-0.1001033	
23.78806	89.10985		-0.09996925	
23.84217	89.10103		-0.09972781	
23.89628	89.09188		-0.09936646	
23.95039	89.08213		-0.09887411	
24.0045	89.07116		-0.09824189	
24.0586	89.0586		-0.09746303	
24.11271	89.04443		-0.09653194	
24.16682	89.0289		-0.09544308	
24.22093	89.01274		-0.0941906	
24.27503	88.99676		-0.09276865	
24.32914	88.98169		-0.09117217	
24.38325	88.96783		-0.08939733	
24.43736	88.95479		-0.08744167	
24.49146	88.94179		-0.08530515	
24.54557	88.92806		-0.08299088	
24.59968	88.91313		-0.08050582	
24.65379	88.89729		-0.07786098	
24.70789	88.88107		-0.07507085	
24.762	88.86499		-0.07215266	
24.81611	88.84952		-0.06912596	
24.87022	88.83466		-0.06601138	
24.92432	88.82036		-0.06282961	
24.97843	88.8065		-0.05960051	
25.03254	88.79324		-0.05634264	
25.08665	88.78103		-0.05307286	
25.14075	88.77042		-0.04980602	
25.19486	88.76192		-0.04655492	
25.24897	88.75591		-0.04333051	
25.30308	88.75262		-0.04014231	
25.35719	88.7521		-0.03699895	
25.41129	88.75432		-0.03390861	
25.4654	88.75905		-0.03087954	
25.51951	88.76556		-0.02792124	
25.57362	88.77313		-0.02504424	
25.62772	88.78134		-0.02226019	
25.68183	88.78995		-0.01958207	
25.73594	88.79906		-0.01702455	
25.79005	88.80911		-0.01460475	
25.84415	88.8205		-0.01234292	
25.89826	88.83343		-0.01026241	
25.95237	88.84768		-0.00838885	
26.00648	88.86259		-0.00674856	
26.06059	88.87716		-0.005367238	
26.11469	88.89058		-0.004269126	
26.1688	88.90257		-0.003476552	
26.22291	88.91358		-0.003009233	
26.27701	88.92458		-0.002883689	
26.33112	88.93634		-0.003113006	
26.38523	88.94907		-0.003706623	
26.43934	88.96237		-0.004670251	
26.49344	88.97563		-0.006006032	
26.54755	88.98827		-0.00771258	
26.60166	88.99977		-0.009785317	
26.65577	89.00975		-0.01221669	
26.70988	89.0179		-0.0149958	
26.76398	89.02375		-0.01810859	
26.81809	89.0266		-0.02153761	
26.8722	89.02593		-0.02526162	
26.92631	89.02183		-0.02925533	
26.98041	89.01487		-0.03348882	
27.03452	89.00565		-0.03792738	
27.08863	88.99487		-0.04253191	
27.14274	88.98315		-0.04725901	
27.19684	88.97098		-0.05206133	
27.25095	88.95921		-0.05688763	
27.30506	88.94901		-0.06168287	
27.35917	88.94125		-0.06638941	
27.41327	88.93627		-0.07094861	
27.46738	88.93385		-0.07530278	
27.52149	88.93315		-0.07939751	
27.5756	88.93296		-0.08318332	
27.62971	88.93181		-0.08661707	
27.68381	88.92843		-0.08966246	
27.73792	88.92217		-0.09229056	
27.79203	88.91306		-0.09448048	
27.84614	88.90183		-0.09621951	
27.90024	88.88947		-0.09750278	
27.95435	88.87678		-0.09833264	
28.00846	88.8641		-0.09871722	
28.06256	88.85101		-0.09866904	
28.11667	88.83709		-0.09820367	
28.17078	88.8222		-0.09733947	
28.22489	88.80653		-0.09609645	
28.279	88.79044		-0.09449548	
28.3331	88.77408		-0.09255806	
28.38721	88.75716		-0.09030566	
28.44132	88.73897		-0.08776046	
28.49543	88.71861		-0.08494614	
28.54953	88.69595		-0.08188867	
28.60364	88.67163		-0.07861734	
28.65775	88.64684		-0.07516519	
28.71186	88.62286		-0.07156916	
28.76596	88.60098		-0.06786948	
28.82007	88.58208		-0.06410841	
28.87418	88.56647		-0.06032892	
28.92829	88.55426		-0.05657338	
28.9824	88.54536		-0.05288243	
29.0365	88.53954		-0.04929432	
29.09061	88.53658		-0.04584353	
29.14472	88.53587		-0.0425591	
29.19883	88.53692		-0.03946323	
29.25293	88.53944		-0.03657091	
29.30704	88.5431		-0.03389055	
29.36115	88.54792		-0.03142462	
29.41526	88.55421		-0.02917038	
29.46936	88.56251		-0.02712086	
29.52347	88.57343		-0.02526577	
29.57758	88.58723		-0.02359263	
29.63169	88.60352		-0.02208844	
29.68579	88.62158		-0.02074159	
29.7399	88.64051		-0.01954363	
29.79401	88.65994		-0.01849049	
29.84812	88.67973		-0.01758336	
29.90222	88.69968		-0.01682843	
29.95633	88.71935		-0.01623562	
30.01044	88.738		-0.01581773	
30.06455	88.75488		-0.01558834	
30.11865	88.76951		-0.01556036	
30.17276	88.78184		-0.01574462	
30.22687	88.7924		-0.01614851	
30.28098	88.80194		-0.01677543	
30.33508	88.81077		-0.01762456	
30.38919	88.81882		-0.01869074	
30.4433	88.82574		-0.01996474	
30.49741	88.83101		-0.02143316	
30.55152	88.83437		-0.02307921	
30.60562	88.83595		-0.02488411	
30.65973	88.83604		-0.0268288	
30.71384	88.83477		-0.02889611	
30.76795	88.83251		-0.03107199	
30.82205	88.82942		-0.03334612	
30.87616	88.82547		-0.03571172	
30.93027	88.82087		-0.03816477	
30.98438	88.81537		-0.04070289	
31.03848	88.80858		-0.04332422	
31.09259	88.80009		-0.04602673	
31.1467	88.78965		-0.04880787	
31.20081	88.77732		-0.05166348	
31.25492	88.7634		-0.05458587	
31.30902	88.74822		-0.05756206	
31.36313	88.73233		-0.06057271	
31.41724	88.71619		-0.06359142	
31.47134	88.70011		-0.06658578	
31.52545	88.68429		-0.06951934	
31.57956	88.66849		-0.07235319	
31.63367	88.65257		-0.07504753	
31.68777	88.63642		-0.07756372	
31.74188	88.62002		-0.07986578	
31.79599	88.60339		-0.08192232	
31.8501	88.58627		-0.08370829	
31.90421	88.56843		-0.08520586	
31.95831	88.54998		-0.08640497	
32.01242	88.53142		-0.08730354	
32.06653	88.51356		-0.08790708	
32.12064	88.49716		-0.0882278	
32.17474	88.48277		-0.08828248	
32.22885	88.47073		-0.08809023	
32.28296	88.4614		-0.08767147	
32.33707	88.45495		-0.08704637	
32.39117	88.45137		-0.08623514	
32.44528	88.45029		-0.08525728	
32.49939	88.45113		-0.08413097	
32.5535	88.45291		-0.08287301	
32.6076	88.4549		-0.08149944	
32.66171	88.45647		-0.08002691	
32.71582	88.45722		-0.07847391	
32.76993	88.45746		-0.07686167	
32.82404	88.45792		-0.07521443	
32.87814	88.4595		-0.07355943	
32.93225	88.4629		-0.07192697	
32.98636	88.46839		-0.0703507	
33.04047	88.47593		-0.06886728	
33.09457	88.48515		-0.06751579	
33.14868	88.49532		-0.06633618	
33.20279	88.50574		-0.06536708	
33.2569	88.51568		-0.06464312	
33.311	88.52442		-0.06419293	
33.36511	88.53143		-0.06403794	
33.41922	88.5362		-0.06419094	
33.47333	88.53838		-0.06465475	
33.52744	88.53802		-0.06542142	
33.58154	88.53561		-0.06647114	
33.63565	88.53208		-0.0677729	
33.68976	88.52837		-0.06928653	
33.74387	88.52506		-0.07096528	
33.79797	88.52246		-0.07275874	
33.85208	88.52082		-0.07461591	
33.90619	88.52021		-0.07648796	
33.96029	88.52054		-0.07833029	
34.0144	88.52132		-0.08010337	
34.06851	88.52177		-0.08177225	
34.12262	88.52142		-0.08330774	
34.17672	88.52019		-0.08468646	
34.23083	88.5183		-0.08589185	
34.28494	88.51607		-0.08691399	
34.33905	88.51375		-0.08774792	
34.39315	88.51112		-0.08839196	
34.44726	88.50796		-0.08884596	
34.50137	88.50415		-0.08911097	
34.55548	88.49973		-0.08918976	
34.60958	88.4948		-0.08908657	
34.66369	88.48947		-0.0888067	
34.7178	88.48399		-0.08835557	
34.77191	88.47838		-0.08773845	
34.82602	88.47222		-0.0869614	
34.88012	88.46474		-0.08603258	
34.93423	88.45499		-0.08496258	
34.98834	88.44218		-0.08376675	
35.04245	88.42614		-0.08246358	
35.09655	88.40712		-0.08107466	
35.15066	88.38545		-0.07962361	
35.20477	88.36131		-0.07813543	
35.25888	88.33471		-0.07663544	
35.31298	88.30593		-0.07514786	
35.36709	88.27576		-0.07369494	
35.4212	88.24534		-0.07229506	
35.47531	88.21595		-0.07096141	
35.52942	88.18881		-0.06970103	
35.58352	88.16485		-0.06851392	
35.63763	88.14441		-0.06739246	
35.69174	88.12758		-0.06632153	
35.74585	88.11443		-0.06527938	
35.79995	88.10534		-0.06423949	
35.85406	88.10082		-0.06317276	
35.90817	88.10107		-0.0620493	
35.96228	88.10551		-0.06084089	
36.01638	88.11324		-0.05952202	
36.07049	88.12324		-0.05807146	
36.1246	88.13492		-0.05647392	
36.17871	88.14854		-0.05472079	
36.23281	88.16455		-0.05281159	
36.28692	88.18334		-0.05075393	
36.34103	88.20504		-0.04856295	
36.39514	88.22908		-0.04626042	
36.44925	88.25421		-0.04387286	
36.50335	88.27856		-0.04142952	
36.55746	88.30038		-0.0389613	
36.61157	88.31883		-0.03649919	
36.66568	88.33367		-0.03407553	
36.71978	88.34544		-0.03172302	
36.77389	88.3546		-0.02947449	
36.828	88.36115		-0.02736157	
36.88211	88.36506		-0.02541239	
36.93621	88.36646		-0.02365122	
36.99032	88.36573		-0.02209803	
37.04443	88.36352		-0.02076968	
37.09854	88.36014		-0.01968132	
37.15265	88.35573		-0.01884674	
37.20675	88.3502		-0.01827931	
37.26086	88.34344		-0.01799225	
37.31497	88.33555		-0.01799859	
37.36908	88.32649		-0.01831033	
37.42318	88.31651		-0.01893614	
37.47729	88.30567		-0.01987957	
37.53139	88.29402		-0.02113765	
37.5855	88.28207		-0.02269993	
37.63961	88.27036		-0.02454874	
37.69372	88.25976		-0.02665909	
37.74783	88.25129		-0.02899838	
37.80193	88.24558		-0.03152709	
37.85604	88.24301		-0.0341997	
37.91015	88.24325		-0.0369668	
37.96426	88.24554		-0.03977713	
38.01836	88.24893		-0.04257974	
38.07247	88.2523		-0.04532678	
38.12658	88.255		-0.04797521	
38.18069	88.25676		-0.05048787	
38.23479	88.25747		-0.0528341	
38.2889	88.25715		-0.05499014	
38.34301	88.25571		-0.05693945	
38.39712	88.25293		-0.05867237	
38.45123	88.24883		-0.06018698	
38.50533	88.24305		-0.06148746	
38.55944	88.23559		-0.0625828	
38.61355	88.22659		-0.06348588	
38.66766	88.21623		-0.06421206	
38.72176	88.20478		-0.06477744	
38.77587	88.19214		-0.06519772	
38.82998	88.17844		-0.0654868	
38.88409	88.1642		-0.06565686	
38.93819	88.1502		-0.06571911	
38.9923	88.13732		-0.0656836	
39.04641	88.12594		-0.06555963	
39.10052	88.11581		-0.06535609	
39.15462	88.10654		-0.06508217	
39.20873	88.09778		-0.06474806	
39.26284	88.08967		-0.06436514	
39.31695	88.08239		-0.06394705	
39.37106	88.07607		-0.06350915	
39.42516	88.0712		-0.06306794	
39.47927	88.06793		-0.06264047	
39.53338	88.06631		-0.06224319	
39.58749	88.06638		-0.06189095	
39.64159	88.06802		-0.06159598	
