T[°C]	350nm [counts / mm]	S.D.	First derivative	S.D. of first derivative
20.00051	4055.651		-58.64989	
20.05462	4052.419		-58.61732	
20.10873	4049.194		-58.58486	
20.16283	4045.975		-58.55252	
20.21694	4042.762		-58.52032	
20.27105	4039.553		-58.48824	
20.32516	4036.346		-58.4563	
20.37926	4033.141		-58.42451	
20.43337	4029.935		-58.39287	
20.48748	4026.729		-58.36139	
20.54159	4023.522		-58.33006	
20.59569	4020.315		-58.2989	
20.6498	4017.108		-58.26791	
20.70391	4013.904		-58.2371	
20.75801	4010.705		-58.20646	
20.81212	4007.516		-58.17601	
20.86623	4004.35		-58.14573	
20.92034	4001.234		-58.11563	
20.97445	3998.186		-58.08572	
21.02855	3995.14		-58.05598	
21.08266	3992.085		-58.02641	
21.13677	3989.012		-57.99701	
21.19087	3985.911		-57.96777	
21.24498	3982.778		-57.93869	
21.29909	3979.615		-57.90976	
21.3532	3976.427		-57.88098	
21.4073	3973.222		-57.85235	
21.46141	3970.01		-57.82385	
21.51552	3966.796		-57.79548	
21.56963	3963.586		-57.76722	
21.62373	3960.384		-57.73906	
21.67784	3957.188		-57.71096	
21.73195	3953.998		-57.68292	
21.78606	3950.815		-57.65488	
21.84016	3947.646		-57.6268	
21.89427	3944.498		-57.59864	
21.94838	3941.376		-57.57034	
22.00249	3938.284		-57.54185	
22.05659	3935.218		-57.51309	
22.1107	3932.174		-57.484	
22.16481	3929.147		-57.45451	
22.21891	3926.139		-57.42454	
22.27302	3923.153		-57.39399	
22.32713	3920.19		-57.36281	
22.38124	3917.248		-57.33091	
22.43534	3914.317		-57.29824	
22.48945	3911.385		-57.26477	
22.54356	3908.438		-57.2305	
22.59767	3905.463		-57.19547	
22.65177	3902.457		-57.14204	
22.70588	3899.429		-57.08508	
22.75999	3896.39		-57.02473	
22.8141	3893.347		-56.96122	
22.8682	3890.3		-56.89485	
22.92231	3887.245		-56.82597	
22.97642	3884.178		-56.75498	
23.03053	3881.096		-56.68233	
23.08463	3877.997		-56.60848	
23.13874	3874.877		-56.53395	
23.19285	3871.727		-56.45924	
23.24696	3868.538		-56.38488	
23.30106	3865.308		-56.31136	
23.35517	3862.038		-56.23913	
23.40928	3858.736		-56.16862	
23.46338	3855.413		-56.10017	
23.51749	3852.085		-56.03411	
23.5716	3848.771		-55.97071	
23.62571	3845.48		-55.91019	
23.67982	3842.22		-55.85273	
23.73392	3838.997		-55.79842	
23.78803	3835.815		-55.74732	
23.84214	3832.678		-55.69941	
23.89624	3829.591		-55.65461	
23.95035	3826.554		-55.61277	
24.00446	3823.566		-55.57366	
24.05857	3820.616		-55.53702	
24.11267	3817.697		-55.50252	
24.16678	3814.796		-55.46985	
24.22089	3811.906		-55.43874	
24.275	3809.021		-55.40896	
24.3291	3806.14		-55.38037	
24.38321	3803.266		-55.35289	
24.43732	3800.395		-55.32651	
24.49143	3797.537		-55.30125	
24.54553	3794.701		-55.27716	
24.59964	3791.894		-55.25429	
24.65375	3789.121		-55.23269	
24.70786	3786.379		-55.21243	
24.76196	3783.663		-55.19356	
24.81607	3780.952		-55.17618	
24.87018	3778.225		-55.16032	
24.92429	3775.47		-55.14604	
24.97839	3772.678		-55.13334	
25.0325	3769.847		-55.12223	
25.08661	3766.979		-55.11274	
25.14071	3764.077		-55.10487	
25.19482	3761.151		-55.09871	
25.24893	3758.208		-55.09435	
25.30304	3755.251		-55.09188	
25.35715	3752.284		-55.09141	
25.41125	3749.308		-55.09297	
25.46536	3746.322		-55.09657	
25.51947	3743.327		-55.10218	
25.57357	3740.325		-55.1097	
25.62768	3737.32		-55.11897	
25.68179	3734.315		-55.12978	
25.7359	3731.31		-55.14182	
25.79	3728.301		-55.15473	
25.84411	3725.286		-55.16811	
25.89822	3722.265		-55.18153	
25.95233	3719.239		-55.1945	
26.00643	3716.203		-55.20654	
26.06054	3713.155		-55.21716	
26.11465	3710.097		-55.22585	
26.16876	3707.035		-55.23217	
26.22286	3703.976		-55.23571	
26.27697	3700.926		-55.23613	
26.33108	3697.892		-55.2332	
26.38519	3694.868		-55.22679	
26.43929	3691.839		-55.21684	
