T[°C]	Scattering [mAU]	S.D.
20.00051	89.85757	
20.00066	89.6238	
20.00414	89.36364	
20.0069	89.76565	
20.01836	89.68893	
20.02393	89.92896	
20.04511	89.92783	
20.05277	89.94722	
20.07811	89.50112	
20.08843	89.42949	
20.12187	89.43641	
20.13341	89.31731	
20.17112	89.22344	
20.1853	89.60033	
20.23018	89.59498	
20.24587	89.21349	
20.29628	89.74254	
20.31389	89.05786	
20.36883	89.52151	
20.38831	89.61272	
20.4477	89.29874	
20.46818	89.64161	
20.53493	89.3066	
20.55723	89.27084	
20.6246	89.68327	
20.64831	89.55609	
20.71965	89.31067	
20.74398	89.13754	
20.82099	89.34777	
20.84706	88.90066	
20.92507	89.60072	
20.9509	89.05016	
21.02971	89.14418	
21.05586	89.22458	
21.13825	88.81519	
21.16566	89.01418	
21.24764	89.32278	
21.27469	89.16489	
21.35553	89.77615	
21.38307	90.24728	
21.4677	89.48507	
21.49578	89.49651	
21.57611	89.54955	
21.60317	89.29893	
21.68484	89.87344	
21.71436	89.82917	
21.7954	89.95761	
21.8229	89.63424	
21.90241	89.34689	
21.9296	89.4927	
22.01424	89.20644	
22.04216	89.33056	
22.1247	89.53966	
22.15124	89.25822	
22.23377	89.54321	
22.26146	89.68089	
22.34254	89.42849	
22.37006	89.36584	
22.45315	89.56412	
22.48139	89.55873	
22.55993	89.77087	
22.58703	89.79184	
22.67037	89.57986	
22.69721	89.75704	
22.77996	89.45376	
22.80745	89.79874	
22.88968	89.31994	
22.9164	89.44789	
22.99998	88.88128	
23.02792	89.47979	
23.10873	89.33775	
23.13517	89.16256	
23.21816	89.33435	
23.24655	89.03587	
23.32968	89.4143	
23.35656	89.71948	
23.43675	89.57201	
23.46431	90.05283	
23.54716	89.50412	
23.57451	89.83521	
23.65561	89.43798	
23.68283	89.65556	
23.767	89.45373	
23.7946	89.30766	
23.87525	88.95124	
23.90318	89.07536	
23.98445	88.8753	
24.01307	89.12448	
24.09501	89.35389	
24.122	88.72062	
24.20155	89.27496	
24.22907	88.68423	
24.31252	89.25697	
24.33974	89.22538	
24.42276	88.96977	
24.45002	89.29794	
24.5321	89.08477	
24.55895	89.35165	
24.64005	89.04544	
24.66838	89.31406	
24.75201	89.02792	
24.77924	88.95554	
24.86133	89.56277	
24.88938	88.74875	
24.96968	89.43369	
24.99716	88.92745	
25.07808	89.11555	
25.10746	89.05582	
25.18843	89.24344	
25.2182	88.93108	
25.29734	89.59786	
25.32492	89.31799	
25.40692	89.30065	
25.43638	89.41113	
25.51731	89.22045	
25.54479	89.51491	
25.62653	89.6687	
25.65475	89.63297	
25.73539	89.52686	
25.76359	89.48157	
25.84668	89.30011	
25.87325	89.32319	
25.95535	88.96499	
25.98255	89.11332	
26.0642	88.76933	
26.09143	89.21254	
26.17375	88.61501	
26.20223	89.07928	
26.28412	89.08916	
26.3127	88.98993	
26.39428	89.28051	
26.42207	89.22844	
26.50148	89.20682	
26.52804	89.53754	
26.61468	89.48087	
26.6452	89.49457	
26.73067	89.38721	
26.75807	89.46991	
26.83741	89.26965	
26.86525	89.43781	
26.94771	88.80477	
26.97509	89.11832	
27.05824	88.80348	
27.08572	89.09613	
27.16683	88.6882	
27.19342	88.78091	
27.2752	88.77419	
27.30288	88.95374	
27.3857	89.28067	
27.41306	89.17886	
27.49515	88.89172	
27.52216	88.91879	
27.60532	88.98651	
27.6332	88.97243	
27.71635	89.0695	
27.74388	88.52155	
27.82264	88.96385	
27.85044	89.06052	
27.93239	88.65412	
27.95989	88.17348	
28.04345	88.56573	
28.07267	88.31744	
28.15255	88.38464	
28.17978	88.78748	
28.26108	88.62255	
28.28822	89.3489	
28.36842	88.86286	
28.39655	88.68227	
28.48151	89.19832	
28.51011	88.80843	
28.5906	89.21403	
28.61717	89.23628	
28.69955	89.1622	
28.72681	89.30271	
28.8102	89.06601	
28.83867	88.69967	
28.91881	89.2525	
28.94575	88.66183	
29.02719	88.63334	
29.05506	89.27178	
29.13833	88.46798	
29.16639	89.07	
29.24708	89.05737	
29.27373	88.77906	
29.35496	89.57214	
29.38263	88.88419	
29.46607	89.43256	
29.49386	89.69296	
29.57751	89.05427	
29.60469	89.52396	
29.68516	89.1395	
29.7121	89.34682	
29.79324	89.35242	
29.82122	89.25111	
29.90352	89.24297	
29.93108	89.16142	
30.0119	88.75513	
30.03909	88.87216	
30.12232	88.96463	
30.15005	89.12552	
30.23113	88.96827	
30.25793	88.59394	
30.33951	88.76434	
30.36696	88.87053	
30.44877	88.75741	
30.47751	89.21755	
30.55909	88.897	
30.58649	89.17898	
30.67015	89.01601	
30.69793	88.59427	
30.77895	89.22229	
30.80685	88.77815	
30.88776	89.3643	
30.9162	89.12364	
30.9973	88.77472	
31.02498	88.8839	
31.10712	88.72884	
31.1377	88.43418	
31.22064	88.49374	
31.24983	88.4592	
31.32949	87.90171	
31.35992	88.49841	
31.44207	88.12309	
31.46949	88.35726	
31.55066	88.59644	
31.57789	88.33601	
31.66344	88.73569	
31.69091	88.36207	
31.77143	88.77563	
31.79967	88.96293	
31.8803	88.68377	
31.90807	88.1852	
31.99142	89.14959	
32.0186	88.82617	
32.10333	88.84971	
32.13205	88.88708	
32.21471	88.60301	
32.24129	88.28352	
32.32095	88.63615	
32.34988	88.89899	
32.43243	88.44524	
32.45989	88.72441	
32.54062	88.52899	
32.56953	88.76414	
32.65072	88.76751	
32.67835	88.76369	
32.76187	89.35161	
32.79196	89.33962	
32.87443	89.13519	
32.90216	89.38588	
32.98102	88.81528	
33.00957	89.03439	
33.09004	88.87151	
33.11751	89.27673	
33.20267	89.19091	
33.23173	88.98964	
33.31299	88.7159	
33.3404	88.51636	
33.42018	88.70031	
33.45014	88.98853	
33.53211	88.34623	
33.56038	88.83395	
33.64407	88.40821	
33.6734	88.56125	
33.75251	88.63181	
33.77865	88.80698	
33.86247	88.90353	
33.89087	89.27824	
33.97225	88.89978	
33.99929	89.38318	
34.08298	88.68658	
34.11044	89.09595	
34.19075	88.71972	
34.21728	88.61313	
34.30018	88.9256	
34.32902	88.69705	
34.40981	88.76689	
34.43647	88.36644	
34.51833	88.32475	
34.54768	87.9445	
34.62577	88.19579	
34.65303	88.58472	
34.73724	88.26473	
34.76453	88.49719	
34.84748	88.32923	
34.87414	88.53361	
34.95621	88.55121	
34.98345	88.18396	
35.06471	88.60101	
35.0913	88.5768	
35.17398	88.44458	
35.2017	88.7872	
35.2879	88.59367	
35.31598	88.00014	
35.39687	88.75334	
35.42398	88.04406	
35.50688	88.40205	
35.53478	88.49603	
35.61628	88.28926	
35.64374	88.37397	
35.72697	88.80422	
35.75541	88.21309	
35.83553	89.0154	
35.86374	88.85683	
35.94426	88.33091	
35.9713	89.16131	
36.05364	88.7203	
36.08191	88.43256	
36.16253	88.95341	
36.18885	88.87453	
36.27038	88.76028	
36.29713	89.06291	
36.37951	88.72523	
36.4113	88.62084	
36.49325	88.4322	
36.52033	88.20507	
36.60246	88.11965	
36.63024	88.46791	
36.71024	88.00332	
36.73787	88.49026	
36.82124	88.36513	
36.8489	88.44541	
36.92935	88.79124	
36.95685	88.53376	
37.03953	88.89041	
37.06833	88.98203	
37.14959	88.57264	
37.17686	88.7267	
37.25841	88.45048	
37.28595	89.01936	
37.36861	88.56138	
37.39951	88.70434	
37.47958	88.52549	
37.50631	87.99329	
37.5949	88.46519	
37.62295	88.13352	
37.70352	88.58698	
37.73153	88.17029	
37.81049	88.23359	
37.83895	88.1116	
37.92628	88.41601	
37.95389	88.09877	
38.03617	88.55331	
38.06331	88.46136	
38.14375	88.3877	
38.17093	88.63559	
38.25484	88.00277	
38.28242	88.43396	
38.36303	88.39339	
38.39167	88.42012	
38.47368	88.47952	
38.50088	88.34897	
38.58133	88.22006	
38.60831	88.07895	
38.6923	87.89828	
38.7197	87.82385	
38.80054	88.00815	
38.82844	87.62503	
38.91201	88.33419	
38.93879	88.20985	
39.0197	88.1216	
39.04707	88.4279	
39.12918	88.46445	
39.15631	88.41278	
39.23774	88.70122	
39.26655	88.61924	
39.34716	88.65025	
39.37411	88.77543	
39.458	88.53438	
39.48484	88.63697	
39.5668	88.72215	
39.59468	87.98505	
39.67778	88.55872	
39.70489	88.12189	
39.78619	87.88525	
39.81371	88.4567	
39.89685	88.10314	
39.92335	88.25072	
40.0042	88.61948	
40.03509	88.17719	
40.11937	88.61964	
40.14612	88.54386	
40.22987	88.65912	
40.25719	88.71906	
40.34021	88.27309	
40.37115	88.9894	
40.45374	88.28225	
40.48093	88.36829	
40.56677	88.12602	
40.59459	87.88945	
40.67704	88.12406	
40.70687	88.55376	
40.78947	88.10944	
40.81706	87.97812	
40.89822	88.25403	
40.92542	87.89761	
41.00846	88.47181	
41.03857	87.80111	
41.12244	88.4366	
41.14944	88.47261	
41.22908	88.45364	
41.25637	88.56081	
41.33957	87.96569	
41.36743	88.4342	
41.44951	88.07384	
41.47667	87.89159	
41.55903	87.89577	
41.58923	87.47163	
41.67167	87.5695	
41.70078	87.57565	
41.78111	87.73817	
41.80875	87.82568	
41.89002	88.03867	
41.91648	87.75118	
42.00096	87.99432	
42.02864	87.65925	
42.11	87.83904	
42.13813	88.21857	
42.2197	88.18159	
42.24834	87.71122	
42.32848	88.43432	
42.35538	88.36959	
42.43608	88.161	
42.46345	88.19623	
42.54615	88.42135	
42.57424	87.76755	
42.65786	88.36234	
42.68478	87.61514	
42.7663	88.00034	
42.79419	88.12094	
42.87566	87.56797	
42.90308	88.19604	
42.98404	87.70768	
43.01194	88.00259	
43.09296	88.28077	
43.12117	87.89907	
43.2014	88.27428	
43.2305	88.09798	
43.31342	88.09018	
43.3415	88.49352	
43.42406	88.12959	
43.45018	88.58119	
43.53014	88.15511	
43.55808	88.00142	
43.64135	87.96581	
43.66889	87.5936	
43.75231	87.99383	
43.77929	88.2626	
43.85963	87.62381	
43.88801	88.08512	
43.96929	87.8194	
43.99888	87.7246	
44.0788	88.22335	
44.10561	87.96911	
44.18865	88.1982	
44.21561	88.3204	
44.29775	88.03188	
44.32631	88.35806	
44.40765	88.18801	
44.43524	88.31712	
44.5173	88.24497	
44.54414	88.00841	
44.62611	88.16855	
44.65366	87.83836	
44.73431	87.53149	
44.76182	87.51081	
44.84352	87.49454	
44.87243	87.7729	
44.9539	87.62553	
44.98114	87.6991	
45.06321	87.66244	
45.09002	87.45704	
45.17289	87.70886	
45.19969	87.51424	
45.28342	87.56796	
45.31242	87.64892	
45.39312	87.92104	
45.42144	87.86485	
45.50138	87.71838	
45.52917	87.51266	
45.61103	87.62222	
45.63808	87.66372	
45.72013	87.76627	
45.74786	87.16112	
45.83034	87.99567	
45.85777	87.09862	
45.93972	87.97422	
45.96682	87.62659	
46.04874	87.87434	
46.07614	87.55844	
46.15814	87.59013	
46.18522	87.79021	
46.26735	88.13325	
46.29386	87.39156	
46.37542	88.19446	
46.40289	87.86059	
46.48476	87.80731	
46.51204	88.60928	
46.59404	87.80368	
46.62197	88.21863	
46.70654	88.04364	
46.73362	87.53751	
46.81413	87.78954	
46.84221	87.47165	
46.92389	87.54523	
46.95173	88.01594	
47.03397	87.25224	
47.06094	87.98386	
47.14301	87.90097	
47.17098	87.56043	
47.25101	87.78336	
47.27986	87.78506	
47.3614	87.73998	
47.38937	87.99525	
47.47061	87.87273	
47.49835	88.04478	
47.57948	87.72354	
47.60745	88.10529	
47.69127	87.8814	
47.71856	87.95618	
47.79895	88.13819	
47.82814	87.80336	
47.90907	87.84715	
47.93751	87.56098	
48.01794	87.55111	
48.04557	87.61054	
48.12732	87.34914	
48.15534	87.74106	
48.23756	87.51284	
48.26489	87.99071	
48.34645	87.84574	
48.37421	87.48424	
48.45488	87.81293	
48.48214	87.60787	
48.5648	87.83983	
48.59309	87.86426	
48.67482	87.71677	
48.70236	87.71303	
48.78238	87.61528	
48.80986	87.18552	
48.8931	87.48693	
48.92045	87.64493	
49.00328	87.01093	
49.03062	87.03268	
49.11247	86.79295	
49.1403	87.04855	
49.22264	87.14622	
49.25005	87.22823	
49.33243	87.44778	
49.3603	87.07481	
49.44073	87.37315	
49.46844	87.43472	
49.55006	87.62368	
49.57713	87.41265	
49.65924	87.97746	
49.68855	87.71877	
49.77002	87.51313	
49.79772	87.60191	
49.88032	87.44079	
49.90718	87.11189	
49.98912	87.59959	
50.01659	87.30507	
50.09985	87.32981	
50.12685	87.60101	
50.20719	87.51493	
50.23488	87.25349	
50.3186	87.73431	
50.34595	87.77866	
50.42679	87.951	
50.45401	88.07868	
50.53626	87.90086	
50.56346	87.7817	
50.64669	87.48659	
50.67495	87.68061	
50.75539	87.78199	
50.78274	88.17686	
50.86673	87.78439	
50.89434	87.62839	
50.9758	87.52364	
51.00278	87.07323	
51.08358	87.47475	
51.11231	87.1785	
51.19514	87.30183	
51.22234	87.48561	
51.30536	87.37254	
51.33237	87.60304	
51.4141	87.51193	
51.44168	87.69096	
51.5218	87.55968	
51.54827	87.41729	
51.63249	87.61301	
51.66028	87.69663	
51.74276	87.54942	
51.77007	87.67896	
51.85271	87.7421	
51.88087	87.42337	
51.96226	87.70009	
51.98828	87.07001	
52.06983	87.14471	
52.09757	87.1678	
52.1791	87.01702	
52.20658	87.34865	
52.29417	87.08112	
52.32155	86.91678	
52.40561	87.53736	
52.43275	87.13046	
52.51347	87.45604	
52.54444	87.68996	
52.63021	87.182	
52.65735	87.5745	
52.7384	87.06107	
52.76794	87.64468	
52.85014	87.37518	
52.87778	87.19717	
52.96046	87.07954	
52.98745	86.7757	
53.0706	86.7736	
53.09795	86.95772	
53.18299	86.9287	
53.21011	86.56709	
53.29615	87.64218	
53.32447	87.09012	
53.40537	87.29755	
53.43285	87.25483	
53.51549	87.3761	
53.54354	87.07719	
53.62551	87.76995	
53.6521	87.83083	
53.73799	87.50223	
53.76591	87.78615	
53.85269	87.42525	
53.88132	87.78109	
53.96052	87.56663	
53.98722	87.49015	
54.07149	87.68747	
54.10308	87.24065	
54.18524	87.3741	
54.21555	87.29855	
54.29823	87.31307	
54.32758	87.40128	
54.40743	87.14931	
54.43904	87.16168	
54.52077	87.55011	
54.54849	87.29046	
54.63015	87.49854	
54.65791	87.46929	
54.73991	87.41249	
54.76846	87.85943	
54.84945	87.26585	
54.87666	87.79092	
54.95954	87.42234	
54.98633	87.13222	
55.06752	87.10741	
55.09644	87.0319	
55.17776	87.0134	
55.20663	87.31382	
55.28877	87.10988	
55.31693	87.43808	
55.39542	87.2308	
55.42263	87.19595	
55.50626	87.33769	
55.53426	87.01453	
55.61617	87.48126	
55.64368	87.02783	
55.72579	87.27026	
55.75659	87.30471	
55.8386	87.19461	
