T[°C]	330nm [counts / mm]	S.D.	First derivative	S.D. of first derivative
20.00037	4976.763	66.15591	-69.3997	1.999579
20.05447	4973.015	66.24842	-69.37621	1.917697
20.10858	4969.268	66.33635	-69.35236	1.836631
20.16269	4965.522	66.42007	-69.32816	1.75642
20.21679	4961.778	66.50014	-69.3036	1.677126
20.2709	4958.036	66.57678	-69.27867	1.598803
20.325	4954.295	66.64921	-69.25339	1.521526
20.37911	4950.557	66.71719	-69.22774	1.445359
20.43321	4946.822	66.77898	-69.20172	1.370384
20.48732	4943.09	66.83533	-69.17535	1.296687
20.54143	4939.361	66.88569	-69.14864	1.224369
20.59553	4935.636	66.93063	-69.12157	1.153539
20.64964	4931.913	66.97053	-69.09416	1.084321
20.70374	4928.192	67.00594	-69.06643	1.016867
20.75785	4924.472	67.03829	-69.03838	0.9513448
20.81195	4920.749	67.06699	-69.01003	0.8879637
20.86606	4917.019	67.091	-68.9814	0.8269663
20.92017	4913.277	67.10464	-68.95249	0.7686514
20.97427	4909.544	67.09367	-68.92335	0.7133779
21.02838	4905.809	67.10408	-68.89395	0.6615887
21.08248	4902.069	67.13731	-68.86436	0.6138164
21.13659	4898.323	67.18485	-68.83459	0.570684
21.19069	4894.57	67.23262	-68.80464	0.5329285
21.2448	4890.811	67.26738	-68.77455	0.5013378
21.29891	4887.047	67.2836	-68.74435	0.4766953
21.35301	4883.283	67.27776	-68.71405	0.4596904
21.40712	4879.521	67.24725	-68.68368	0.4507436
21.46123	4875.762	67.19534	-68.65324	0.4499186
21.51533	4872.001	67.12928	-68.62277	0.4568622
21.56944	4868.242	67.05638	-68.59227	0.4708796
21.62354	4864.48	66.98548	-68.56178	0.491042
21.67765	4860.712	66.92726	-68.53127	0.5163398
21.73175	4856.937	66.87986	-68.50079	0.5458315
21.78586	4853.151	66.84164	-68.47035	0.5786788
21.83997	4849.361	66.80672	-68.43995	0.6141958
21.89407	4845.57	66.76534	-68.40959	0.6518351
21.94818	4841.783	66.70969	-68.37931	0.691196
22.00228	4838.005	66.63219	-68.3491	0.7319747
22.05639	4834.24	66.52864	-68.31895	0.7739842
22.11049	4830.486	66.39949	-68.28886	0.8170947
22.1646	4826.741	66.24623	-68.2588	0.8612553
22.21871	4823.002	66.06849	-68.22871	0.9064596
22.27281	4819.271	65.86449	-68.19846	0.9527133
22.32692	4815.555	65.63835	-68.16791	1.000003
22.38102	4811.861	65.39668	-68.13676	1.048213
22.43513	4808.195	65.14663	-68.10461	1.09703
22.48923	4804.556	64.89857	-68.07088	1.145797
22.54334	4800.944	64.66705	-68.03483	1.193438
22.59745	4797.355	64.46144	-67.9957	1.238497
22.65155	4793.786	64.28329	-67.94608	1.224891
22.70566	4790.23	64.13159	-67.89536	1.207528
22.75976	4786.674	64.00143	-67.84377	1.186649
22.81387	4783.108	63.88372	-67.79153	1.162516
22.86798	4779.523	63.77063	-67.73892	1.135401
22.92208	4775.91	63.657	-67.68621	1.105606
22.97619	4772.269	63.54153	-67.63368	1.073453
23.03029	4768.6	63.42737	-67.58159	1.039308
23.0844	4764.913	63.31966	-67.53019	1.003564
23.1385	4761.216	63.22323	-67.47972	0.966688
23.19261	4757.521	63.1476	-67.43038	0.929185
23.24672	4753.834	63.1045	-67.38237	0.8915964
23.30082	4750.159	63.09983	-67.33585	0.8544623
23.35493	4746.499	63.13155	-67.29099	0.818344
23.40903	4742.851	63.19418	-67.24787	0.7837713
23.46314	4739.213	63.28231	-67.20661	0.7512639
23.51724	4735.582	63.38142	-67.16726	0.7213346
23.57135	4731.951	63.47193	-67.1298	0.6944605
23.62546	4728.314	63.54163	-67.0942	0.6710932
23.67956	4724.667	63.5829	-67.06033	0.6515914
23.73367	4721.004	63.59509	-67.02802	0.6362583
23.78777	4717.327	63.58818	-66.99704	0.6252763
23.84188	4713.642	63.577	-66.96716	0.6187302
23.89598	4709.958	63.57898	-66.93811	0.6166031
23.95009	4706.283	63.60535	-66.90963	0.6187282
24.0042	4702.63	63.65696	-66.88147	0.6248401
24.0583	4699.006	63.72875	-66.85336	0.6345609
24.11241	4695.418	63.81839	-66.82504	0.6474613
24.16652	4691.87	63.92188	-66.79632	0.6630788
24.22062	4688.357	64.03672	-66.76694	0.6809465
