T[°C]	350nm [counts / mm]	S.D.
20.00037	4352.571	55.62536
20.05447	4351.569	51.81334
20.10858	4343.294	54.66114
20.16269	4342.223	55.29579
20.21679	4340.393	63.61813
20.2709	4333.644	57.39896
20.325	4324.792	54.09156
20.37911	4326.004	54.71546
20.43321	4326.095	51.58919
20.48732	4319.584	54.25406
20.54143	4317.854	51.72314
20.59553	4310.991	58.11298
20.64964	4311.764	59.71464
20.70374	4306.964	59.41217
20.75785	4307.348	57.04537
20.81195	4300.982	53.92765
20.86606	4296.263	61.80444
20.92017	4292.746	55.4788
20.97427	4295.383	57.02069
21.02838	4285.514	59.92438
21.08248	4285.617	56.0621
21.13659	4279.708	57.27581
21.19069	4281.841	59.16119
21.2448	4275.568	53.67573
21.29891	4274.035	54.7413
21.35301	4273.066	55.7189
21.40712	4267.022	59.70689
21.46123	4264.457	55.35127
21.51533	4265.879	57.92186
21.56944	4254.463	58.7623
21.62354	4252.829	55.23179
21.67765	4242.764	60.86511
21.73175	4241.88	57.59673
21.78586	4242.955	56.31814
21.83997	4236.204	68.224
21.89407	4230.376	60.43754
21.94818	4229.849	56.45636
22.00228	4219.63	54.02841
22.05639	4222.862	57.50262
22.11049	4216.766	56.36905
22.1646	4219.169	49.55834
22.21871	4209.916	52.11765
22.27281	4211.547	53.67118
22.32692	4209.649	54.1412
22.38102	4208.626	63.61528
22.43513	4198.898	59.30815
22.48923	4197.87	54.27499
22.54334	4198.395	58.61005
22.59745	4193.473	58.17096
22.65155	4185.543	47.63316
22.70566	4184.577	52.75319
22.75976	4178.361	50.62228
22.81387	4171.289	52.30524
22.86798	4176.084	50.25031
22.92208	4171.102	53.67714
22.97619	4166.042	51.73003
23.03029	4166.34	58.82896
23.0844	4161.379	53.49685
23.1385	4159.549	51.93126
23.19261	4152.153	53.61863
23.24672	4150.41	46.48189
23.30082	4153.946	52.24295
23.35493	4149.767	57.73587
23.40903	4146.303	53.93092
23.46314	4139.83	54.76323
23.51724	4134.009	56.99519
23.57135	4129.571	52.3119
23.62546	4125.086	50.92281
23.67956	4125.038	50.93872
23.73367	4120.629	54.78387
23.78777	4115.753	57.00869
23.84188	4119.367	58.17781
23.89598	4114.129	57.65897
23.95009	4106.138	52.27609
24.0042	4106.152	55.15749
