T[°C]	Scattering [mAU]	S.D.	First derivative	S.D. of first derivative
20.00037	91.55453	0.255756	-0.04038601	0.3497359
20.05447	91.55304	0.2685413	-0.04117916	0.3411011
20.10858	91.55151	0.283462	-0.04197087	0.3324814
20.16269	91.54999	0.3000554	-0.0427609	0.3238777
20.21679	91.54846	0.3179001	-0.04354894	0.3152913
20.2709	91.54694	0.3366583	-0.0443347	0.3067239
20.325	91.54542	0.3560256	-0.04511783	0.298177
20.37911	91.54392	0.3757765	-0.04589795	0.2896526
20.43321	91.54243	0.3957474	-0.04667464	0.2811525
20.48732	91.54095	0.4158275	-0.04744747	0.2726792
20.54143	91.53944	0.435948	-0.04821599	0.2642349
20.59553	91.53786	0.4560704	-0.04897969	0.2558221
20.64964	91.53617	0.4762043	-0.04973809	0.2474435
20.70374	91.5343	0.496447	-0.05049066	0.2391019
20.75785	91.53216	0.5170164	-0.05123683	0.2308
20.81195	91.52959	0.5382503	-0.05197608	0.222541
20.86606	91.52663	0.5604021	-0.05270781	0.2143278
20.92017	91.52351	0.5767003	-0.05343144	0.2061636
20.97427	91.52058	0.5924112	-0.05414639	0.1980518
21.02838	91.51804	0.6072404	-0.05485209	0.1899953
21.08248	91.51602	0.6207299	-0.05554795	0.1819975
21.13659	91.51453	0.6324644	-0.05623349	0.1740613
21.19069	91.51354	0.6423029	-0.05690828	0.1661897
21.2448	91.51291	0.6503659	-0.05757197	0.1583855
21.29891	91.51238	0.6569644	-0.0582243	0.1506514
21.35301	91.5118	0.6622519	-0.05886512	0.1429901
21.40712	91.51096	0.6664237	-0.05949439	0.1354039
21.46123	91.50969	0.669728	-0.06011221	0.1278953
21.51533	91.50792	0.6724607	-0.06071882	0.1204662
21.56944	91.50564	0.6750612	-0.0613146	0.1131185
21.62354	91.50291	0.678042	-0.06190009	0.1058533
21.67765	91.49966	0.6817592	-0.06247595	0.09867132
21.73175	91.49585	0.6865383	-0.06304294	0.09157255
21.78586	91.49148	0.6922312	-0.06360195	0.0845561
21.83997	91.48675	0.6983435	-0.064154	0.07762015
21.89407	91.48189	0.7043605	-0.06470033	0.0707617
21.94818	91.47713	0.7098545	-0.06524241	0.06397621
22.00228	91.47277	0.7144362	-0.06578207	0.05725732
22.05639	91.46893	0.7177784	-0.06632157	0.05059635
22.11049	91.46558	0.7196294	-0.06686365	0.04398194
22.1646	91.4623	0.7200457	-0.06741162	0.03739971
22.21871	91.45848	0.7189798	-0.06796937	0.03083197
22.27281	91.45348	0.7164338	-0.06854148	0.02425819
22.32692	91.4469	0.7124036	-0.06913317	0.01765708
22.38102	91.43878	0.7065741	-0.06975032	0.01101716
22.43513	91.42967	0.6985349	-0.07039922	0.004439803
22.48923	91.42019	0.6879961	-0.07108591	0.003313911
22.54334	91.41094	0.6746701	-0.07181495	0.01005743
22.59745	91.40237	0.6585802	-0.07258854	0.01725298
22.65155	91.39468	0.6398805	-0.07313442	0.02081249
22.70566	91.38783	0.6190087	-0.07368153	0.02423538
22.75976	91.38161	0.5966784	-0.07422198	0.02745745
22.81387	91.37577	0.5736905	-0.07474783	0.03043932
22.86798	91.37013	0.5509728	-0.07525152	0.03315485
22.92208	91.3647	0.5293527	-0.07572605	0.03558579
22.97619	91.35967	0.5092899	-0.07616501	0.0377192
23.03029	91.35519	0.4911702	-0.07656267	0.03954531
23.0844	91.35145	0.4751447	-0.07691436	0.04105639
23.1385	91.34853	0.4612578	-0.07721686	0.04224594
23.19261	91.34624	0.4494828	-0.07746898	0.04310836
23.24672	91.34449	0.439657	-0.07767154	0.04363935
23.30082	91.34315	0.4318224	-0.07782728	0.04383619
23.35493	91.34203	0.4258962	-0.07794026	0.04369834
23.40903	91.34095	0.4217564	-0.07801541	0.04322802
23.46314	91.33975	0.4195234	-0.07805807	0.04243159
23.51724	91.33844	0.41924	-0.07807363	0.04132063
23.57135	91.33714	0.4208252	-0.07806753	0.03991354
23.62546	91.33597	0.4241237	-0.07804523	0.03823572
23.67956	91.33484	0.4292298	-0.07801224	0.03632039
23.73367	91.33345	0.4363865	-0.07797408	0.03420974
23.78777	91.3317	0.4457575	-0.0779364	0.0319566
23.84188	91.32964	0.4572639	-0.07790558	0.02962755
23.89598	91.32726	0.47069	-0.07788906	0.02730651
23.95009	91.32463	0.4856778	-0.077895	0.02509845
24.0042	91.32165	0.5018792	-0.07793214	0.02312987
24.0583	91.31803	0.5188602	-0.07800906	0.02154211
24.11241	91.31355	0.5360994	-0.0781335	0.02047195
24.16652	91.30817	0.5529966	-0.07831229	0.02001755
24.22062	91.3019	0.5690229	-0.07855102	0.0202036
24.27473	91.29488	0.5837716	-0.07885399	0.02097146
