T[°C]	350nm [counts / mm]	S.D.	First derivative	S.D. of first derivative
20.00037	4367.822		-58.63991	
20.05447	4364.494		-58.71319	
20.10858	4361.179		-58.78601	
20.16269	4357.875		-58.85833	
20.21679	4354.581		-58.93012	
20.2709	4351.297		-59.00137	
20.325	4348.021		-59.07205	
20.37911	4344.753		-59.14212	
20.43322	4341.49		-59.21157	
20.48732	4338.232		-59.28037	
20.54143	4334.978		-59.34849	
20.59553	4331.726		-59.4159	
20.64964	4328.477		-59.48259	
20.70375	4325.231		-59.54853	
20.75785	4321.992		-59.6137	
20.81196	4318.763		-59.67807	
20.86606	4315.56		-59.74163	
20.92017	4312.414		-59.80436	
20.97428	4309.396		-59.86625	
21.02838	4306.385		-59.92728	
21.08249	4303.363		-59.98745	
21.13659	4300.309		-60.04674	
21.1907	4297.205		-60.10516	
21.24481	4294.04		-60.16271	
21.29891	4290.814		-60.21938	
21.35302	4287.534		-60.27519	
21.40712	4284.196		-60.33015	
21.46123	4280.808		-60.38426	
21.51534	4277.394		-60.43755	
21.56944	4273.977		-60.49003	
21.62355	4270.571		-60.54172	
21.67765	4267.187		-60.59266	
21.73176	4263.829		-60.64287	
21.78587	4260.49		-60.69241	
21.83997	4257.159		-60.74133	
21.89408	4253.822		-60.78968	
21.94818	4250.461		-60.83757	
22.00229	4247.067		-60.88507	
22.0564	4243.638		-60.9323	
22.1105	4240.177		-60.97939	
22.16461	4236.697		-61.02645	
22.21871	4233.208		-61.07363	
22.27282	4229.721		-61.12105	
22.32693	4226.245		-61.16878	
22.38103	4222.793		-61.2168	
22.43514	4219.381		-61.2649	
22.48924	4216.016		-61.31258	
22.54335	4212.698		-61.35895	
22.59746	4209.425		-61.40284	
22.65156	4206.188		-61.3875	
22.70567	4202.97		-61.36715	
22.75977	4199.75		-61.3422	
22.81388	4196.507		-61.3131	
22.86799	4193.225		-61.28035	
22.92209	4189.894		-61.24452	
22.9762	4186.509		-61.20616	
23.0303	4183.076		-61.16581	
23.08441	4179.601		-61.12406	
23.13852	4176.09		-61.08145	
23.19262	4172.563		-61.03858	
23.24673	4169.037		-60.99602	
23.30083	4165.534		-60.95436	
23.35494	4162.064		-60.91414	
23.40905	4158.629		-60.87585	
23.46315	4155.236		-60.8399	
23.51726	4151.89		-60.80661	
23.57136	4148.582		-60.7762	
23.62547	4145.294		-60.74879	
23.67957	4142.018		-60.72439	
23.73368	4138.736		-60.70296	
23.78779	4135.438		-60.68437	
23.84189	4132.117		-60.66845	
23.896	4128.774		-60.655	
23.95011	4125.42		-60.64375	
24.00421	4122.076		-60.63441	
24.05832	4118.764		-60.62673	
24.11242	4115.505		-60.62045	
24.16653	4112.315		-60.6154	
24.22064	4109.209		-60.61144	
24.27474	4106.189		-60.6085	
24.32885	4103.24		-60.60653	
24.38295	4100.344		-60.60548	
24.43706	4097.475		-60.60528	
24.49117	4094.613		-60.60583	
24.54527	4091.74		-60.60699	
24.59938	4088.843		-60.60864	
24.65348	4085.909		-60.61069	
24.70759	4082.921		-60.61308	
24.7617	4079.87		-60.61583	
24.8158	4076.755		-60.61899	
24.86991	4073.582		-60.62267	
24.92401	4070.362		-60.62705	
24.97812	4067.113		-60.63236	
25.03223	4063.851		-60.6389	
25.08633	4060.583		-60.64696	
25.14044	4057.31		-60.65688	
25.19454	4054.022		-60.66895	
25.24865	4050.712		-60.6834	
25.30276	4047.363		-60.70034	
25.35686	4043.953		-60.71974	
25.41097	4040.469		-60.74148	
25.46507	4036.91		-60.76532	
25.51918	4033.294		-60.79092	
25.57329	4029.642		-60.81782	
25.62739	4025.985		-60.84552	
25.6815	4022.35		-60.87342	
25.7356	4018.758		-60.90092	
25.78971	4015.217		-60.92739	
25.84381	4011.727		-60.95217	
25.89792	4008.292		-60.97462	
25.95203	4004.906		-60.99411	
26.00613	4001.56		-61.01006	
26.06024	3998.247		-61.02201	
26.11435	3994.962		-61.02956	
26.16845	3991.699		-61.03242	
26.22256	3988.449		-61.03035	
26.27666	3985.2		-61.0232	
26.33077	3981.945		-61.01081	
26.38488	3978.683		-60.993	
