T[°C]	Scattering [mAU]	S.D.	First derivative	S.D. of first derivative
20.00037	91.58118		-0.02258574	
20.05447	91.55251		-0.02218696	
20.10858	91.52429		-0.02188168	
20.16269	91.49654		-0.02167196	
20.21679	91.46929		-0.02155958	
20.2709	91.44256		-0.02154593	
20.325	91.4164		-0.02163206	
20.37911	91.39084		-0.02181863	
20.43322	91.36594		-0.0221059	
20.48732	91.34172		-0.02249372	
20.54143	91.31821		-0.02298152	
20.59553	91.29544		-0.02356828	
20.64964	91.27339		-0.02425254	
20.70375	91.252		-0.02503237	
20.75785	91.23119		-0.02590528	
20.81196	91.2111		-0.02686835	
20.86606	91.19267		-0.02791809	
20.92017	91.18722		-0.02905047	
20.97428	91.18361		-0.03026089	
21.02838	91.18219		-0.03154432	
21.08249	91.18346		-0.03289533	
21.13659	91.18779		-0.03430823	
21.1907	91.1954		-0.03577688	
21.24481	91.206		-0.03729506	
21.29891	91.21915		-0.03885623	
21.35302	91.2345		-0.04045369	
21.40712	91.25141		-0.04208056	
21.46123	91.26926		-0.04372988	
21.51534	91.28734		-0.0453947	
21.56944	91.30524		-0.04706821	
21.62355	91.32259		-0.04874354	
21.67765	91.33895		-0.0504142	
21.73176	91.35371		-0.05207382	
21.78587	91.36624		-0.0537162	
21.83997	91.37626		-0.05533538	
21.89408	91.384		-0.0569258	
21.94818	91.3904		-0.05848254	
22.00229	91.39666		-0.06000178	
22.0564	91.40367		-0.06148113	
22.1105	91.41192		-0.0629208	
22.16461	91.42109		-0.06432474	
22.21871	91.43015		-0.06570294	
22.27282	91.43738		-0.06707504	
22.32693	91.44126		-0.06847605	
22.38103	91.44095		-0.06996473	
22.43514	91.43658		-0.07163458	
22.48924	91.42881		-0.07362416	
22.54335	91.41873		-0.07611847	
22.59746	91.40725		-0.07931917	
22.65156	91.39498		-0.08364342	
22.70567	91.38225		-0.08790316	
22.75977	91.36921		-0.09205709	
22.81388	91.35612		-0.09606592	
22.86799	91.34348		-0.09989358	
22.92209	91.33206		-0.1035065	
22.9762	91.32241		-0.1068741	
23.0303	91.31442		-0.1099669	
23.08441	91.30753		-0.112757	
23.13852	91.30047		-0.1152178	
23.19262	91.29191		-0.1173256	
23.24673	91.28108		-0.1190601	
23.30083	91.26787		-0.1204053	
23.35494	91.25268		-0.1213489	
23.40905	91.23644		-0.121883	
23.46315	91.22001		-0.122004	
23.51726	91.20395		-0.1217134	
23.57136	91.18841		-0.1210184	
23.62547	91.17314		-0.1199315	
23.67957	91.15771		-0.1184702	
23.73368	91.14164		-0.1166562	
23.78779	91.12495		-0.1145151	
23.84189	91.10796		-0.1120769	
23.896	91.09088		-0.1093765	
23.95011	91.07372		-0.1064536	
24.00421	91.05592		-0.1033514	
24.05832	91.03677		-0.1001151	
24.11242	91.01585		-0.0967897	
24.16653	90.99332		-0.09341795	
24.22064	90.96983		-0.09003852	
24.27474	90.94614		-0.086684	
24.32885	90.92312		-0.08338092	
24.38295	90.90174		-0.08015087	
24.43706	90.88309		-0.07701257	
24.49117	90.86813		-0.07398272	
24.54527	90.85773		-0.0710762	
24.59938	90.85241		-0.06830535	
24.65348	90.8519		-0.0656801	
24.70759	90.8553		-0.06320754	
24.7617	90.86136		-0.06089276	
24.8158	90.86902		-0.05873919	
24.86991	90.87781		-0.05674966	
24.92401	90.88789		-0.05492705	
24.97812	90.89975		-0.05327443	
25.03223	90.91409		-0.05179493	
25.08633	90.93129		-0.05049162	
25.14044	90.95158		-0.04936727	
25.19454	90.97487		-0.0484245	
25.24865	91.00063		-0.04766617	
25.30276	91.02817		-0.04709527	
25.35686	91.05668		-0.04671514	
25.41097	91.08494		-0.04652912	
25.46507	91.11104		-0.04653952	
25.51918	91.13337		-0.04674705	
25.57329	91.15096		-0.04714986	
25.62739	91.16366		-0.04774411	
25.6815	91.17183		-0.04852428	
25.7356	91.17605		-0.04948363	
25.78971	91.17652		-0.05061502	
25.84381	91.17339		-0.05191113	
25.89792	91.16698		-0.05336446	
25.95203	91.15811		-0.05496745	
26.00613	91.14783		-0.05671241	
26.06024	91.13721		-0.05859111	
26.11435	91.12713		-0.06059471	
26.16845	91.11784		-0.06271399	
26.22256	91.1088		-0.06494059	
26.27666	91.09923		-0.06726766	
26.33077	91.08875		-0.06969017	
26.38488	91.07747		-0.0722034	
26.43898	91.06578		-0.07480101	
26.49309	91.05425		-0.07747281	
26.54719	91.0433		-0.08020281	
26.6013	91.03329		-0.08296817	
26.65541	91.02422		-0.08574019	
26.70951	91.01565		-0.08848512	
26.76362	91.00696		-0.09116609	
26.81772	90.99757		-0.0937449	
26.87183	90.98746		-0.09618449	
26.92594	90.97696		-0.09845037	
26.98004	90.96573		-0.100512	
27.03415	90.95282		-0.1023436	
27.08825	90.93719		-0.103925	
27.14236	90.91819		-0.105241	
27.19647	90.8956		-0.1062805	
27.25057	90.86992		-0.107035	
27.30468	90.84207		-0.107499	
27.35878	90.81343		-0.1076691	
27.41289	90.78555		-0.1075446	
27.467	90.75998		-0.1071267	
27.5211	90.73806		-0.1064194	
27.57521	90.72063		-0.1054299	
27.62931	90.70776		-0.1041688	
27.68342	90.69901		-0.1026504	
27.73753	90.69343		-0.1008914	
27.79163	90.68958		-0.09890961	
27.84574	90.6863		-0.09672456	
27.89984	90.68281		-0.09435748	
27.95395	90.67883		-0.0918313	
28.00805	90.67491		-0.08917122	
28.06216	90.67204		-0.08640599	
28.11627	90.67141		-0.08356892	
28.17037	90.67398		-0.08069664	
28.22448	90.68026		-0.07782723	
28.27859	90.69003		-0.07499842	
28.33269	90.70262		-0.07224575	
28.3868	90.71693		-0.06960184	
28.4409	90.73154		-0.0670966	
28.49501	90.7449		-0.06475706	
28.54912	90.75563		-0.06260756	
28.60322	90.76302		-0.06066943	
28.65733	90.7673		-0.05896171	
28.71143	90.76952		-0.05750139	
28.76554	90.77099		-0.05630396	
28.81964	90.77279		-0.05538339	
28.87375	90.77539		-0.05475178	
28.92786	90.77875		-0.05441794	
28.98196	90.78259		-0.05438555	
29.03607	90.78651		-0.05465252	
29.09018	90.79		-0.05521163	
29.14428	90.79305		-0.0560523	
29.19839	90.79581		-0.05716131	
29.25249	90.79835		-0.0585233	
29.3066	90.80064		-0.0601218	
29.36071	90.80209		-0.06193998	
29.41481	90.80188		-0.06395956	
29.46892	90.79951		-0.06615958	
29.52302	90.7951		-0.06851348	
29.57713	90.78934		-0.07098804	
29.63124	90.783		-0.07354415	
29.68534	90.77671		-0.07613859	
29.73945	90.77103		-0.07872647	
29.79355	90.76647		-0.08126258	
29.84766	90.76316		-0.08370291	
29.90177	90.76077		-0.08600657	
29.95587	90.75867		-0.08813556	
30.00998	90.75648		-0.090055	
30.06408	90.75405		-0.09173407	
30.11819	90.75113		-0.09314588	
30.17229	90.74708		-0.09426961	
30.2264	90.74127		-0.09508982	
30.28051	90.73319		-0.09559772	
30.33461	90.72308		-0.09579047	
30.38872	90.71133		-0.09567047	
30.44283	90.69823		-0.09524459	
30.49693	90.68418		-0.09452342	
30.55104	90.66976		-0.09352142	
30.60514	90.65546		-0.09225449	
30.65925	90.64141		-0.09074079	
30.71336	90.62712		-0.08899778	
30.76746	90.6121		-0.08704217	
30.82157	90.59566		-0.08488898	
30.87567	90.57731		-0.08255193	
30.92978	90.55672		-0.08004456	
30.98388	90.53388		-0.07738012	
31.03799	90.50948		-0.07457435	
31.0921	90.48484		-0.07164548	
31.1462	90.4615		-0.06861702	
31.20031	90.44086		-0.06551604	
31.25442	90.42373		-0.06237213	
31.30852	90.41037		-0.05921477	
31.36263	90.40031		-0.05607117	
31.41673	90.39267		-0.05296633	
31.47084	90.38662		-0.04992307	
31.52495	90.38189		-0.04696349	
31.57905	90.37901		-0.04410962	
31.63316	90.37869		-0.04138311	
31.68726	90.38108		-0.03880576	
31.74137	90.38607		-0.03639798	
31.79548	90.39368		-0.0341776	
31.84958	90.40397		-0.03215997	
31.90369	90.41648		-0.03035606	
31.95779	90.43043		-0.02877304	
32.0119	90.44477		-0.02741446	
32.06601	90.45873		-0.02628101	
32.12011	90.4721		-0.02537248	
32.17422	90.48508		-0.02468859	
32.22832	90.49789		-0.02423096	
32.28243	90.51073		-0.02400373	
32.33654	90.5237		-0.02401486	
32.39064	90.537		-0.02427255	
32.44475	90.55039		-0.02478526	
32.49885	90.56338		-0.02555767	
32.55296	90.57588		-0.02659051	
32.60707	90.58788		-0.02787874	
32.66117	90.59916		-0.02941003	
32.71528	90.60915		-0.03116736	
32.76938	90.61716		-0.03312756	
32.82349	90.62254		-0.0352664	
32.87759	90.62492		-0.03755743	
32.9317	90.6244		-0.03997448	
32.98581	90.62175		-0.04248987	
33.03991	90.61808		-0.04507587	
33.09402	90.61429		-0.04770392	
33.14812	90.61136		-0.05034489	
33.20223	90.60979		-0.05297137	
33.25634	90.60979		-0.05555667	
33.31044	90.61112		-0.05807824	
