T[°C]	Ratio 350nm / 330nm	S.D.	First derivative	S.D. of first derivative
19.99899	0.8675603	0.0007354733	-7.393916E-05	0.0004303363
20.05298	0.8675536	0.0007213691	-7.823599E-05	0.0004239953
20.10697	0.8675468	0.0007076792	-8.254225E-05	0.0004176526
20.16097	0.8675398	0.0006943946	-8.685802E-05	0.0004113084
20.21496	0.8675328	0.0006815867	-9.118334E-05	0.0004049631
20.26895	0.8675258	0.000669238	-9.551826E-05	0.0003986172
20.32294	0.8675186	0.0006573064	-9.986274E-05	0.000392271
20.37693	0.8675115	0.0006457861	-0.0001042167	0.0003859251
20.43093	0.8675042	0.0006347685	-0.0001085802	0.0003795802
20.48492	0.867497	0.0006240983	-0.000112953	0.0003732366
20.53891	0.8674897	0.0006138927	-0.0001173349	0.0003668952
20.5929	0.8674824	0.0006041328	-0.000121726	0.0003605566
20.64689	0.867475	0.0005947318	-0.0001261259	0.0003542215
20.70088	0.8674675	0.000585792	-0.0001305345	0.0003478907
20.75488	0.8674601	0.0005772939	-0.0001349515	0.0003415649
20.80887	0.8674526	0.0005692	-0.0001393768	0.000335245
20.86286	0.8674451	0.000561558	-0.0001438101	0.0003289318
20.91685	0.8674374	0.0005543111	-0.000148251	0.0003226262
20.97084	0.8674297	0.0005475558	-0.0001526994	0.0003163289
21.02483	0.8674219	0.0005412331	-0.000157155	0.000310041
21.07882	0.8674139	0.0005353601	-0.0001616174	0.0003037631
21.13282	0.8674058	0.0005299593	-0.0001660864	0.0002974964
21.18681	0.8673976	0.0005250711	-0.0001705616	0.0002912417
21.2408	0.8673891	0.0005206638	-0.0001750428	0.0002849998
21.29479	0.8673804	0.0005168762	-0.0001795297	0.0002787716
21.34878	0.8673713	0.000513927	-0.0001840218	0.0002725581
21.40278	0.8673617	0.000512212	-0.000188519	0.0002663601
21.45677	0.8673514	0.0005124441	-0.000193021	0.0002601784
21.51076	0.86734	0.0005157778	-0.0001975273	0.000254014
21.56475	0.8673288	0.0005235802	-0.0002020378	0.0002478675
21.61874	0.867318	0.0005323305	-0.0002065523	0.0002417398
21.67274	0.8673077	0.0005419108	-0.0002110703	0.0002356316
21.72673	0.8672978	0.0005523618	-0.0002155918	0.0002295436
21.78072	0.8672879	0.0005637886	-0.0002201164	0.0002234764
21.83471	0.8672782	0.0005764844	-0.0002246439	0.0002174306
21.8887	0.8672686	0.0005904473	-0.0002291739	0.0002114067
21.94269	0.867259	0.00060568	-0.0002337063	0.000205405
21.99669	0.8672493	0.0006221027	-0.0002382408	0.0001994257
22.05068	0.8672392	0.0006393952	-0.000242777	0.0001934693
22.10467	0.867229	0.0006573403	-0.0002473147	0.0001875357
22.15866	0.8672189	0.0006755715	-0.0002518537	0.000181625
22.21265	0.8672085	0.0006938798	-0.0002563937	0.0001757371
22.26664	0.8671977	0.0007118296	-0.0002609347	0.0001698719
22.32063	0.8671862	0.0007291037	-0.0002654765	0.000164029
22.37463	0.867174	0.0007453377	-0.0002700189	0.0001582079
22.42862	0.8671608	0.0007602029	-0.0002745618	0.0001524079
22.48261	0.8671468	0.0007735264	-0.0002791051	0.0001466283
22.5366	0.8671322	0.0007848413	-0.0002836486	0.000140868
22.59059	0.8671172	0.0007938961	-0.0002881923	0.0001351257
22.64459	0.8671019	0.0008003192	-0.0002927362	0.0001294
22.69858	0.8670863	0.000804302	-0.0002972803	0.0001236893
22.75257	0.8670704	0.0008061097	-0.0003018247	0.0001179915
22.80656	0.8670545	0.0008060822	-0.0003063695	0.0001123044
22.86055	0.8670385	0.0008040558	-0.0003109149	0.0001066256
22.91455	0.8670228	0.0007999205	-0.0003154614	0.0001009521
22.96854	0.8670076	0.0007937959	-0.0003200094	9.528074E-05
23.02253	0.8669931	0.0007857209	-0.0003245597	8.960796E-05
23.07652	0.8669795	0.0007758929	-0.0003291133	8.392966E-05
23.13051	0.8669665	0.0007644579	-0.0003336717	7.82413E-05
23.1845	0.8669538	0.000751812	-0.0003382369	7.253792E-05
23.23849	0.8669407	0.0007385185	-0.0003428114	6.681406E-05
23.29249	0.866927	0.0007249985	-0.0003473987	6.106393E-05
23.34648	0.8669124	0.0007116221	-0.0003520033	5.52819E-05
23.40047	0.8668967	0.000698676	-0.0003566309	4.9463E-05
23.45446	0.8668797	0.0006862885	-0.000361289	4.360472E-05
23.50845	0.8668614	0.0006745521	-0.0003659867	3.770978E-05
23.56244	0.8668417	0.0006635642	-0.0003707349	3.179266E-05
23.61644	0.8668208	0.0006535145	-0.0003755456	2.58937E-05
23.67043	0.8667986	0.0006444397	-0.0003804301	2.011631E-05
23.72442	0.8667754	0.0006361954	-0.0003853966	1.474051E-05
23.77841	0.8667513	0.0006286679	-0.0003905454	1.126677E-05
23.8324	0.8667263	0.0006218923	-0.0003957209	9.464062E-06
23.8864	0.8667008	0.0006157157	-0.0004009223	1.01526E-05
23.94039	0.8666747	0.0006098991	-0.0004061489	1.284261E-05
23.99438	0.8666481	0.0006043676	-0.0004114003	1.649784E-05
24.04837	0.8666216	0.0005989136	-0.0004166761	2.052875E-05
24.10236	0.866595	0.0005933289	-0.0004219761	2.467621E-05
24.15635	0.8665688	0.0005875642	-0.0004273006	2.88186E-05
24.21035	0.8665431	0.0005814005	-0.0004326493	3.289086E-05
24.26434	0.8665181	0.0005750826	-0.0004380222	3.685336E-05
24.31833	0.8664935	0.0005688685	-0.0004434189	4.067942E-05
24.37232	0.8664691	0.0005630528	-0.0004488392	4.434954E-05
24.42631	0.8664446	0.0005577849	-0.0004542827	4.784817E-05
24.4803	0.86642	0.0005532667	-0.0004597486	5.116241E-05
24.5343	0.8663947	0.0005496145	-0.0004652357	5.42812E-05
24.58829	0.8663688	0.0005468458	-0.0004707428	5.719499E-05
24.64228	0.8663419	0.0005451188	-0.0004762685	5.98955E-05
24.69627	0.8663143	0.0005444117	-0.0004818109	6.237582E-05
24.75026	0.8662862	0.0005446521	-0.0004873681	6.463019E-05
24.80425	0.8662577	0.0005452501	-0.000492938	6.665424E-05
24.85825	0.8662291	0.0005459863	-0.0004985185	6.844527E-05
24.91224	0.8662002	0.0005468825	-0.0005041073	7.000161E-05
24.96623	0.8661711	0.0005481415	-0.000509702	7.132315E-05
25.02022	0.866142	0.0005499574	-0.0005153004	7.241069E-05
25.07421	0.8661129	0.0005522583	-0.0005209007	7.326626E-05
25.12821	0.8660836	0.0005549957	-0.0005265013	7.38931E-05
25.1822	0.8660541	0.0005579495	-0.0005321016	7.429523E-05
25.23619	0.8660246	0.0005607033	-0.0005377008	7.447787E-05
25.29018	0.865995	0.0005629481	-0.000543298	7.44475E-05
25.34417	0.8659659	0.0005646194	-0.0005488924	7.421221E-05
25.39816	0.8659372	0.0005657365	-0.0005544829	7.378168E-05
25.45216	0.865909	0.0005665905	-0.0005600687	7.316731E-05
25.50615	0.8658813	0.0005673992	-0.0005656492	7.238174E-05
25.56014	0.8658539	0.0005682003	-0.0005712241	7.143823E-05
25.61413	0.8658265	0.000568821	-0.0005767936	7.035046E-05
25.66812	0.8657989	0.000569027	-0.0005823578	6.913213E-05
25.72211	0.8657708	0.0005686114	-0.0005879165	6.779753E-05
25.77611	0.8657423	0.0005672165	-0.0005934698	6.636122E-05
25.8301	0.8657131	0.000564903	-0.0005990175	6.483802E-05
25.88409	0.8656834	0.0005616142	-0.0006045588	6.324299E-05
25.93808	0.8656529	0.0005575964	-0.0006100927	6.159132E-05
25.99207	0.8656214	0.0005530146	-0.0006156178	5.989804E-05
26.04606	0.8655885	0.0005481007	-0.0006211325	5.817793E-05
26.10006	0.8655542	0.0005432383	-0.0006266347	5.644558E-05
26.15405	0.8655184	0.0005387305	-0.0006321223	5.471506E-05
26.20804	0.8654816	0.0005346267	-0.0006375928	5.299955E-05
26.26203	0.8654442	0.0005309539	-0.0006430441	5.131126E-05
26.31602	0.8654065	0.0005277848	-0.0006484736	4.966153E-05
26.37002	0.8653687	0.0005250695	-0.0006538789	4.806108E-05
26.42401	0.8653309	0.0005228978	-0.0006592576	4.651992E-05
26.478	0.8652931	0.0005212816	-0.0006646079	4.504665E-05
26.53199	0.8652557	0.0005201362	-0.0006699279	4.364854E-05
26.58598	0.8652186	0.0005192422	-0.0006752161	4.233124E-05
26.63997	0.8651822	0.0005182615	-0.0006804708	4.109936E-05
26.69397	0.8651464	0.0005170575	-0.0006856902	3.995602E-05
26.74796	0.865111	0.0005156657	-0.0006908725	3.89028E-05
26.80195	0.8650761	0.000513991	-0.0006960156	3.793976E-05
26.85594	0.8650413	0.0005121785	-0.0007011174	3.706533E-05
26.90993	0.8650067	0.0005102219	-0.000706176	3.627635E-05
26.96392	0.8649717	0.0005083245	-0.0007111894	3.556793E-05
27.01792	0.8649359	0.0005064535	-0.0007161567	3.493348E-05
27.07191	0.8648991	0.0005047209	-0.0007210773	3.436493E-05
27.1259	0.864861	0.0005029913	-0.0007259508	3.38533E-05
27.17989	0.8648217	0.000501093	-0.0007307779	3.338885E-05
27.23388	0.8647811	0.0004989219	-0.0007355593	3.296143E-05
27.28787	0.8647393	0.0004961036	-0.000740297	3.25605E-05
27.34187	0.8646967	0.0004926206	-0.000744993	3.217534E-05
27.39586	0.8646534	0.000488473	-0.0007496501	3.179507E-05
27.44985	0.8646095	0.0004838943	-0.0007542714	3.140889E-05
27.50384	0.8645651	0.0004792211	-0.0007588603	3.100613E-05
27.55783	0.8645205	0.0004747564	-0.0007634207	3.057618E-05
27.61183	0.864476	0.0004707463	-0.0007679561	3.010818E-05
27.66582	0.8644316	0.0004673293	-0.0007724706	2.959145E-05
27.71981	0.8643875	0.0004646188	-0.0007769674	2.901586E-05
27.7738	0.8643436	0.0004627947	-0.0007814501	2.837217E-05
27.82779	0.8643001	0.0004619071	-0.0007859209	2.765204E-05
27.88178	0.864257	0.0004620907	-0.0007903813	2.684844E-05
27.93578	0.8642141	0.0004631221	-0.000794832	2.595592E-05
27.98977	0.8641713	0.0004645218	-0.0007992727	2.497086E-05
28.04376	0.8641284	0.0004659702	-0.0008037029	2.389203E-05
28.09775	0.8640851	0.0004672465	-0.0008081213	2.272017E-05
28.15174	0.8640416	0.0004684397	-0.0008125274	2.145885E-05
28.20573	0.8639978	0.0004696868	-0.0008169204	2.0115E-05
28.25973	0.8639536	0.0004712935	-0.0008213005	1.87E-05
28.31372	0.8639089	0.0004735098	-0.0008256685	1.723115E-05
28.36771	0.8638636	0.0004764648	-0.0008300254	1.573455E-05
28.4217	0.8638179	0.0004800123	-0.0008343722	1.424976E-05
28.47569	0.8637715	0.0004840151	-0.00083871	1.283667E-05
28.52968	0.8637243	0.0004879831	-0.0008430398	1.158486E-05
28.58368	0.8636764	0.0004915947	-0.0008473623	1.06206E-05
28.63767	0.8636277	0.0004949157	-0.0008516785	1.009749E-05
28.69166	0.8635785	0.0004980687	-0.0008559892	1.014987E-05
28.74565	0.8635285	0.0005011451	-0.000860295	1.082549E-05
28.79964	0.8634778	0.0005040515	-0.0008645963	1.206393E-05
28.85364	0.8634259	0.0005067972	-0.0008688928	1.374596E-05
28.90763	0.863373	0.0005092814	-0.0008731832	1.575114E-05
28.96162	0.8633193	0.0005113501	-0.0008774659	1.798355E-05
29.01561	0.8632652	0.0005128392	-0.0008817384	2.037206E-05
29.0696	0.8632111	0.0005136085	-0.0008859975	2.286453E-05
29.12359	0.8631571	0.0005135173	-0.000890239	2.542124E-05
29.17759	0.8631034	0.0005128435	-0.0008944583	2.801012E-05
29.23158	0.8630503	0.000511815	-0.00089865	3.060445E-05
29.28557	0.862998	0.0005108502	-0.000902808	3.31814E-05
29.33956	0.8629465	0.000509996	-0.0009069262	3.572142E-05
29.39355	0.8628958	0.0005092905	-0.0009109979	3.820768E-05
29.44754	0.8628461	0.0005088476	-0.0009150166	4.062578E-05
29.50154	0.8627971	0.0005087172	-0.0009189763	4.296341E-05
29.55553	0.8627486	0.0005091019	-0.0009228709	4.521001E-05
29.60952	0.8627003	0.0005102278	-0.0009266948	4.735672E-05
29.66351	0.8626518	0.0005122666	-0.0009304426	4.93956E-05
29.7175	0.8626032	0.0005151702	-0.0009341089	5.131965E-05
29.77149	0.8625543	0.00051877	-0.0009376886	5.312285E-05
29.82549	0.8625054	0.000522762	-0.0009411769	5.479992E-05
29.87948	0.8624567	0.0005266339	-0.0009445695	5.634661E-05
29.93347	0.8624081	0.000529966	-0.0009478622	5.776013E-05
29.98746	0.8623598	0.0005322886	-0.0009510517	5.903917E-05
30.04145	0.8623118	0.0005331569	-0.0009541348	6.018427E-05
30.09545	0.862264	0.0005325353	-0.0009571093	6.11978E-05
30.14944	0.8622162	0.0005306253	-0.0009599737	6.20836E-05
30.20343	0.8621683	0.0005279116	-0.0009627279	6.284671E-05
30.25742	0.8621203	0.0005247818	-0.0009653725	6.349287E-05
30.31141	0.8620723	0.0005216885	-0.0009679095	6.402845E-05
30.3654	0.8620244	0.0005186832	-0.0009703418	6.446012E-05
30.4194	0.8619766	0.0005157494	-0.000972674	6.479488E-05
30.47339	0.8619288	0.0005128432	-0.0009749111	6.503972E-05
30.52738	0.8618811	0.0005100546	-0.0009770602	6.52022E-05
30.58137	0.8618336	0.0005073816	-0.0009791289	6.528997E-05
30.63536	0.861786	0.0005045497	-0.0009811262	6.531107E-05
30.68935	0.8617381	0.00050138	-0.0009830625	6.527411E-05
30.74335	0.8616899	0.000497658	-0.0009849489	6.518793E-05
30.79734	0.861641	0.0004932836	-0.0009867976	6.506193E-05
30.85133	0.8615913	0.0004882198	-0.0009886208	6.490549E-05
30.90532	0.8615403	0.0004827786	-0.0009904307	6.472797E-05
30.95931	0.8614878	0.0004774784	-0.0009922388	6.453879E-05
31.0133	0.8614337	0.0004727592	-0.0009940556	6.434711E-05
31.0673	0.8613778	0.0004689551	-0.0009958906	6.416198E-05
31.12129	0.8613203	0.0004660779	-0.0009977517	6.399173E-05
31.17528	0.8612611	0.0004639731	-0.000999646	6.384408E-05
31.22927	0.8612002	0.0004623714	-0.001001579	6.372555E-05
31.28326	0.8611377	0.0004610349	-0.001003557	6.364144E-05
31.33726	0.8610739	0.000459764	-0.001005583	6.359498E-05
31.39125	0.8610091	0.0004584733	-0.001007663	6.358797E-05
31.44524	0.8609436	0.0004573136	-0.001009799	6.361979E-05
31.49923	0.8608779	0.0004565955	-0.001011997	6.368847E-05
31.55322	0.8608127	0.0004564816	-0.00101426	6.378929E-05
31.60721	0.8607482	0.0004574464	-0.001016591	6.391594E-05
31.66121	0.8606847	0.0004597255	-0.001018995	6.405998E-05
31.7152	0.8606224	0.0004633637	-0.001021473	6.421089E-05
31.76919	0.8605614	0.0004683154	-0.001024029	6.435645E-05
31.82318	0.8605014	0.0004744347	-0.001026663	6.448321E-05
31.87717	0.8604422	0.000481644	-0.001029378	6.457733E-05
31.93116	0.860383	0.0004898852	-0.001032176	6.462447E-05
31.98516	0.8603235	0.0004991069	-0.001035058	6.461002E-05
32.03915	0.8602635	0.0005094209	-0.001038023	6.451955E-05
32.09314	0.8602027	0.0005207114	-0.001041071	6.433854E-05
32.14713	0.8601416	0.0005330162	-0.0010442	6.405275E-05
32.20112	0.8600802	0.0005462655	-0.001047407	6.364885E-05
32.25512	0.8600187	0.0005602423	-0.001050687	6.311362E-05
32.3091	0.859957	0.0005747856	-0.001054034	6.243442E-05
32.3631	0.8598949	0.0005897408	-0.001057442	6.159964E-05
32.41709	0.8598328	0.0006048449	-0.001060903	6.059837E-05
32.47108	0.8597705	0.0006196655	-0.001064406	5.942193E-05
32.52507	0.8597085	0.0006335996	-0.001067942	5.806278E-05
32.57906	0.859647	0.000646095	-0.001071502	5.651544E-05
32.63306	0.8595866	0.0006567939	-0.001075075	5.477692E-05
32.68705	0.8595278	0.0006655991	-0.00107865	5.284621E-05
32.74104	0.8594709	0.0006723525	-0.001082219	5.072499E-05
32.79503	0.8594162	0.0006768311	-0.00108577	4.84171E-05
32.84902	0.8593638	0.0006789801	-0.001089293	4.592917E-05
32.90302	0.8593138	0.0006787529	-0.001092779	4.327169E-05
32.95701	0.8592663	0.0006763391	-0.001096219	4.045909E-05
33.011	0.859221	0.0006720658	-0.001099605	3.751169E-05
33.06499	0.8591776	0.0006665303	-0.001102929	3.445807E-05
33.11898	0.8591357	0.0006601563	-0.001106186	3.133886E-05
33.17297	0.8590946	0.0006533489	-0.00110937	2.82131E-05
33.22697	0.8590537	0.0006462111	-0.001112477	2.516807E-05
33.28096	0.8590125	0.0006387031	-0.001115503	2.233496E-05
33.33495	0.8589705	0.0006306838	-0.001118447	1.990887E-05
33.38894	0.858927	0.0006218876	-0.001121307	1.815953E-05
33.44293	0.858882	0.0006120689	-0.001124083	1.739189E-05
33.49693	0.8588353	0.0006009829	-0.001126777	1.781695E-05
33.55091	0.8587868	0.0005882583	-0.001129393	1.941899E-05
33.60491	0.8587364	0.0005737575	-0.001131935	2.198403E-05
33.6589	0.8586838	0.0005574884	-0.001134407	2.524335E-05
33.71289	0.8586289	0.0005397015	-0.001136818	2.8972E-05
33.76688	0.8585717	0.0005207233	-0.001139174	3.300672E-05
33.82087	0.8585123	0.0005006388	-0.001141486	3.723347E-05
33.87487	0.8584508	0.0004796174	-0.001143763	4.157006E-05
33.92886	0.8583876	0.0004577261	-0.001146017	4.595495E-05
33.98285	0.8583233	0.0004349074	-0.001148261	5.033909E-05
34.03684	0.858258	0.0004112397	-0.001150506	5.468167E-05
