T[°C]	Scattering [mAU]	S.D.
19.99899	89.81375	2.873665
20.05298	89.79442	3.104678
20.10697	89.60146	2.975297
20.16097	89.64405	3.027365
20.21496	89.58846	2.796177
20.26895	89.62541	2.561127
20.32294	89.61694	2.619272
20.37693	89.43294	2.602125
20.43093	89.33419	2.775218
20.48492	89.55801	2.762973
20.53891	89.80801	2.817604
20.5929	89.67819	3.056701
20.64689	89.55618	2.991493
20.70088	89.094	2.877845
20.75488	89.25239	3.12113
20.80887	89.31053	3.149181
20.86286	89.41675	3.178053
20.91685	89.66845	2.948072
20.97084	89.63752	2.837982
21.02483	89.52591	2.767983
21.07882	89.53568	2.907545
21.13282	89.29855	2.754228
21.18681	89.45992	2.881159
21.2408	89.24242	2.762395
21.29479	89.55848	2.779998
21.34878	89.54468	2.72963
21.40278	89.57498	2.660149
21.45677	89.73276	2.794572
21.51076	89.54639	2.994138
21.56475	89.48985	3.090586
21.61874	89.60352	3.15135
21.67274	89.44543	3.277472
21.72673	89.60696	3.211088
21.78072	89.57211	3.285412
21.83471	89.44745	3.226526
21.8887	89.4336	3.354011
21.94269	89.41447	3.280916
21.99669	89.28572	3.309352
22.05068	89.41941	3.278353
22.10467	89.29636	3.288368
22.15866	89.51297	3.365825
22.21265	89.44681	3.161994
22.26664	89.51968	3.152776
22.32063	89.4967	3.018078
22.37463	89.50247	2.944037
22.42862	89.42345	3.160062
22.48261	89.47842	3.013734
22.5366	89.45374	3.264211
22.59059	89.56854	3.189443
22.64459	89.46486	3.522198
22.69858	89.48969	3.3155
22.75257	89.3978	3.455243
22.80656	89.45908	3.305026
22.86055	89.23855	3.318074
22.91455	89.39285	3.117027
22.96854	89.47201	3.059631
23.02253	89.52519	3.01329
23.07652	89.59157	2.822902
23.13051	89.66364	2.922156
23.1845	89.59458	2.653684
23.23849	89.68826	2.730222
23.29249	89.58868	2.724924
23.34648	89.71223	2.664931
23.40047	89.50993	2.70357
23.45446	89.65796	2.620859
23.50845	89.70329	2.63046
23.56244	89.66583	2.797419
23.61644	89.7303	2.907611
23.67043	89.66985	2.928616
23.72442	89.59352	3.030563
23.77841	89.48025	3.077592
23.8324	89.31936	2.968731
23.8864	89.34045	2.798064
23.94039	89.34616	2.657214
23.99438	89.29388	2.637927
24.04837	89.47054	2.719269
24.10236	89.36062	2.653821
24.15635	89.50729	2.696849
24.21035	89.42335	2.656706
24.26434	89.4453	2.505761
24.31833	89.31744	2.658949
24.37232	89.31367	2.493633
24.42631	89.24869	2.6127
24.4803	89.43964	2.721752
24.5343	89.30381	2.787221
24.58829	89.54691	2.953716
24.64228	89.48565	2.910428
24.69627	89.38589	3.054758
24.75026	89.35227	3.004968
24.80425	89.51764	3.074943
24.85825	89.31776	3.078947
24.91224	89.45583	3.171148
24.96623	89.28494	3.076231
25.02022	89.36112	2.920708
25.07421	89.3904	2.860318
25.12821	89.30828	2.649708
25.1822	89.37741	2.676395
25.23619	89.3412	2.727263
25.29018	89.33849	2.82561
25.34417	89.45601	2.786703
25.39816	89.36252	2.915757
25.45216	89.64394	2.860908
25.50615	89.41855	2.752588
25.56014	89.61187	2.83253
25.61413	89.58906	3.023631
25.66812	89.54281	3.051285
25.72211	89.51682	3.343753
25.77611	89.46235	3.259593
25.8301	89.18089	3.505675
25.88409	89.31785	3.49674
25.93808	89.15282	3.519939
25.99207	89.37156	3.587034
26.04606	89.27312	3.466855
26.10006	89.34533	3.309925
26.15405	89.38757	3.261207
26.20804	89.32561	3.19541
26.26203	89.23707	3.324545
26.31602	89.25295	3.198239
26.37002	89.22798	3.428409
26.42401	89.30428	3.140327
26.478	89.37877	3.06855
26.53199	89.39299	3.106184
26.58598	89.31987	2.991685
26.63997	89.49837	2.92989
26.69397	89.32573	3.263932
26.74796	89.36534	3.255291
26.80195	89.34953	3.408004
26.85594	89.41815	3.400877
26.90993	89.41602	3.239202
26.96392	89.47572	3.187378
27.01792	89.20186	3.239235
27.07191	89.2797	2.966497
27.1259	89.12476	3.133608
27.17989	89.10389	3.019076
27.23388	89.28246	2.700068
27.28787	89.32405	2.853272
27.34187	89.27899	2.782981
27.39586	89.36082	2.873643
27.44985	89.19488	2.884773
27.50384	89.25088	2.777336
27.55783	89.14582	2.747351
27.61183	89.1601	2.687704
27.66582	89.27863	2.672055
27.71981	89.1954	2.859672
27.7738	89.34592	2.96535
27.82779	89.36121	3.125908
27.88178	89.26064	3.033694
27.93578	89.10252	3.296606
27.98977	89.28707	3.392231
28.04376	89.0047	3.153639
28.09775	89.25165	3.208699
28.15174	89.12305	3.253464
28.20573	89.20085	3.06612
28.25973	89.13567	3.110051
28.31372	89.13739	2.866964
28.36771	89.03647	2.855953
28.4217	89.13358	2.936409
28.47569	89.06162	2.846373
28.52968	89.26198	3.100686
28.58368	89.17036	3.008128
28.63767	89.42442	3.130619
28.69166	89.30853	2.756052
28.74565	89.49161	2.726393
28.79964	89.41222	2.948566
28.85364	89.37766	2.933604
28.90763	89.18874	3.400902
28.96162	89.26254	3.214956
29.01561	89.02982	3.637629
29.0696	89.14269	3.541627
29.12359	89.04568	3.300013
29.17759	89.11248	3.381881
