T[°C]	Ratio 350nm / 330nm	S.D.	First derivative	S.D. of first derivative
19.99889	0.8667334		2.903075E-05	
20.05289	0.8667406		2.334355E-05	
20.10688	0.8667473		1.765285E-05	
20.16087	0.8667535		1.195903E-05	
20.21486	0.8667591		6.261885E-06	
20.26885	0.8667641		5.612376E-07	
20.32285	0.8667688		-5.142467E-06	
20.37684	0.8667731		-1.084937E-05	
20.43083	0.8667769		-1.655961E-05	
20.48482	0.8667805		-2.22727E-05	
20.53881	0.8667837		-2.798894E-05	
20.59281	0.8667865		-3.370785E-05	
20.6468	0.8667892		-3.942953E-05	
20.70079	0.8667915		-4.515409E-05	
20.75478	0.8667936		-5.088103E-05	
20.80877	0.8667954		-5.661047E-05	
20.86277	0.8667969		-6.234254E-05	
20.91676	0.8667982		-6.807677E-05	
20.97075	0.8667992		-7.38133E-05	
21.02474	0.8668		-7.955233E-05	
21.07873	0.8668004		-8.529342E-05	
21.13272	0.8668006		-9.10368E-05	
21.18672	0.8668004		-9.67827E-05	
21.24071	0.8667999		-0.0001025308	
21.2947	0.8667989		-0.0001082814	
21.34869	0.8667971		-0.0001140348	
21.40269	0.866794		-0.0001197909	
21.45668	0.8667889		-0.0001255502	
21.51067	0.8667802		-0.0001313126	
21.56466	0.8667685		-0.0001370787	
21.61865	0.8667573		-0.000142849	
21.67265	0.8667467		-0.0001486236	
21.72664	0.8667364		-0.0001544032	
21.78063	0.8667259		-0.0001601885	
21.83462	0.866715		-0.0001659796	
21.88861	0.8667033		-0.0001717769	
21.94261	0.8666906		-0.0001775813	
21.9966	0.8666764		-0.0001833926	
22.05059	0.8666609		-0.0001892112	
22.10458	0.866644		-0.0001950376	
22.15857	0.866626		-0.0002008715	
22.21256	0.866607		-0.0002067134	
22.26656	0.8665869		-0.0002125635	
22.32055	0.8665658		-0.0002184216	
22.37454	0.866544		-0.0002242877	
22.42853	0.866522		-0.000230162	
22.48252	0.8665004		-0.000236044	
22.53652	0.8664801		-0.0002419339	
22.59051	0.8664616		-0.0002478312	
22.6445	0.8664454		-0.0002537357	
22.69849	0.8664313		-0.0002596476	
22.75249	0.8664192		-0.0002655661	
22.80648	0.8664087		-0.0002714912	
22.86047	0.8663998		-0.0002774227	
22.91446	0.8663926		-0.0002833597	
22.96845	0.8663871		-0.000289302	
23.02245	0.8663835		-0.0002952495	
23.07644	0.8663814		-0.0003012013	
23.13043	0.8663805		-0.0003071574	
23.18442	0.8663798		-0.0003131179	
23.23841	0.8663784		-0.0003190822	
23.2924	0.8663754		-0.0003250508	
23.3464	0.8663704		-0.000331024	
23.40039	0.8663626		-0.0003370019	
23.45438	0.8663518		-0.0003429853	
23.50837	0.866338		-0.0003489744	
23.56236	0.8663212		-0.0003549696	
23.61636	0.8663015		-0.0003609704	
23.67035	0.8662794		-0.0003669735	
23.72434	0.8662552		-0.0003729726	
23.77833	0.8662295		-0.0003788949	
23.83232	0.866203		-0.0003847843	
23.88632	0.8661758		-0.0003906395	
23.94031	0.8661487		-0.0003964595	
23.9943	0.8661216		-0.0004022428	
24.04829	0.8660954		-0.0004079894	
24.10229	0.8660702		-0.0004136997	
24.15628	0.8660463		-0.0004193741	
24.21027	0.8660239		-0.0004250141	
24.26426	0.8660026		-0.0004306211	
24.31825	0.8659819		-0.0004361959	
24.37225	0.8659612		-0.00044174	
24.42624	0.8659401		-0.0004472544	
24.48023	0.8659182		-0.0004527407	
24.53422	0.865895		-0.0004582008	
24.58821	0.8658703		-0.0004636363	
24.6422	0.8658437		-0.0004690502	
24.6962	0.8658152		-0.0004744454	
24.75019	0.8657851		-0.000479825	
24.80418	0.865754		-0.0004851927	
24.85817	0.8657223		-0.0004905526	
24.91216	0.86569		-0.0004959085	
24.96616	0.865657		-0.0005012653	
25.02015	0.8656234		-0.0005066278	
25.07414	0.8655893		-0.0005120012	
25.12813	0.8655549		-0.0005173907	
25.18213	0.8655202		-0.0005228023	
25.23612	0.8654857		-0.00052824	
25.29011	0.865452		-0.000533708	
25.3441	0.8654191		-0.0005392085	
25.39809	0.8653873		-0.0005447425	
25.45209	0.865356		-0.0005503104	
25.50608	0.865325		-0.0005559113	
25.56007	0.8652943		-0.0005615446	
25.61406	0.8652637		-0.0005672101	
25.66805	0.8652332		-0.0005729063	
25.72204	0.865203		-0.000578632	
25.77604	0.8651733		-0.0005843856	
25.83003	0.865144		-0.000590165	
25.88402	0.865115		-0.0005959678	
25.93801	0.8650859		-0.0006017917	
25.992	0.8650561		-0.0006076336	
26.046	0.865025		-0.0006134901	
26.09999	0.8649921		-0.0006193582	
26.15398	0.8649572		-0.0006252331	
26.20797	0.8649207		-0.0006311108	
26.26196	0.8648829		-0.0006369866	
26.31596	0.8648443		-0.0006428544	
26.36995	0.8648051		-0.0006487086	
26.42394	0.8647655		-0.0006545425	
26.47793	0.8647255		-0.0006603507	
26.53193	0.8646856		-0.0006661286	
26.58592	0.8646461		-0.0006718721	
26.63991	0.8646075		-0.0006775775	
26.6939	0.86457		-0.0006832413	
26.74789	0.8645334		-0.0006888593	
26.80188	0.8644978		-0.0006944276	
26.85588	0.8644628		-0.0006999419	
26.90987	0.8644283		-0.000705398	
26.96386	0.8643937		-0.0007107918	
27.01785	0.8643587		-0.0007161201	
27.07184	0.8643227		-0.000721379	
27.12584	0.8642859		-0.0007265656	
27.17983	0.8642483		-0.0007316774	
27.23382	0.8642101		-0.0007367117	
27.28781	0.8641718		-0.0007416673	
27.3418	0.8641338		-0.0007465429	
27.3958	0.8640962		-0.0007513383	
27.44979	0.8640588		-0.0007560537	
27.50378	0.8640214		-0.0007606885	
27.55777	0.8639839		-0.0007652426	
27.61176	0.8639463		-0.0007697159	
27.66576	0.8639085		-0.0007741075	
27.71975	0.8638706		-0.0007784176	
27.77374	0.8638323		-0.0007826466	
27.82773	0.8637936		-0.0007867947	
27.88172	0.8637543		-0.0007908623	
27.93572	0.8637145		-0.0007948499	
27.98971	0.8636744		-0.0007987581	
28.0437	0.8636342		-0.0008025887	
28.09769	0.863594		-0.0008063445	
28.15168	0.8635538		-0.0008100296	
28.20568	0.8635134		-0.00081365	
28.25967	0.8634726		-0.0008172123	
28.31366	0.8634311		-0.0008207239	
28.36765	0.8633886		-0.0008241924	
28.42164	0.8633451		-0.0008276248	
28.47564	0.8633006		-0.0008310277	
28.52963	0.8632551		-0.0008344078	
28.58362	0.8632086		-0.0008377703	
28.63761	0.8631608		-0.0008411214	
28.6916	0.8631114		-0.0008444671	
28.7456	0.8630601		-0.0008478124	
28.79959	0.8630068		-0.0008511622	
28.85358	0.8629513		-0.0008545202	
28.90757	0.862894		-0.0008578894	
28.96156	0.8628353		-0.0008612715	
29.01556	0.8627759		-0.0008646682	
29.06955	0.8627161		-0.0008680795	
29.12354	0.8626562		-0.0008715049	
29.17753	0.8625963		-0.0008749439	
29.23152	0.8625363		-0.000878395	
29.28552	0.8624765		-0.0008818562	
29.33951	0.8624171		-0.0008853244	
29.3935	0.8623585		-0.0008887956	
29.44749	0.8623009		-0.000892265	
29.50148	0.8622444		-0.0008957267	
29.55548	0.8621888		-0.0008991742	
29.60947	0.8621334		-0.0009026004	
29.66346	0.8620778		-0.0009059979	
29.71745	0.8620219		-0.0009093593	
29.77144	0.8619658		-0.0009126764	
29.82544	0.86191		-0.0009159411	
29.87943	0.861855		-0.000919145	
29.93342	0.8618013		-0.0009222794	
29.98741	0.8617495		-0.0009253349	
30.0414	0.8616999		-0.0009283025	
30.0954	0.8616526		-0.0009311729	
30.14939	0.8616068		-0.0009339367	
30.20338	0.861562		-0.0009365855	
30.25737	0.8615177		-0.0009391109	
30.31136	0.8614733		-0.0009415059	
30.36536	0.861429		-0.0009437649	
30.41935	0.8613848		-0.0009458832	
30.47334	0.8613407		-0.0009478578	
30.52733	0.8612967		-0.0009496877	
30.58132	0.8612528		-0.0009513727	
30.63531	0.8612093		-0.0009529139	
30.68931	0.8611662		-0.0009543145	
30.7433	0.8611239		-0.0009555785	
30.79729	0.8610823		-0.0009567122	
30.85128	0.8610413		-0.0009577232	
30.90528	0.8610003		-0.0009586202	
30.95927	0.8609586		-0.0009594129	
31.01326	0.8609156		-0.0009601117	
31.06725	0.860871		-0.0009607275	
31.12124	0.8608246		-0.0009612718	
31.17524	0.8607767		-0.0009617574	
31.22923	0.8607274		-0.0009621984	
31.28322	0.8606769		-0.0009626095	
31.33721	0.8606256		-0.0009630069	
31.3912	0.8605737		-0.0009634077	
31.4452	0.8605212		-0.0009638305	
31.49919	0.860468		-0.0009642946	
31.55318	0.8604145		-0.0009648202	
31.60717	0.8603606		-0.0009654281	
31.66116	0.8603061		-0.0009661394	
31.71515	0.8602512		-0.0009669756	
31.76915	0.860196		-0.0009679578	
31.82314	0.8601403		-0.0009691066	
31.87713	0.8600837		-0.0009704411	
31.93112	0.8600257		-0.0009719798	
31.98512	0.8599659		-0.0009737389	
32.03911	0.8599042		-0.0009757337	
32.0931	0.8598411		-0.0009779771	
32.14709	0.8597769		-0.0009804809	
32.20108	0.8597121		-0.0009832539	
32.25507	0.8596468		-0.0009863029	
32.30907	0.8595809		-0.0009896327	
32.36306	0.8595142		-0.0009932452	
32.41705	0.8594472		-0.0009971402	
32.47104	0.8593802		-0.001001316	
32.52504	0.8593138		-0.001005767	
32.57903	0.8592486		-0.001010487	
32.63302	0.8591856		-0.00101547	
32.68701	0.8591248		-0.001020705	
32.741	0.8590668		-0.00102618	
32.79499	0.8590115		-0.001031883	
32.84899	0.8589585		-0.001037799	
32.90298	0.858908		-0.001043913	
32.95697	0.8588597		-0.001050207	
33.01096	0.8588134		-0.001056665	
33.06496	0.8587685		-0.001063269	
33.11895	0.8587245		-0.001070001	
33.17294	0.8586809		-0.001076843	
33.22693	0.8586375		-0.001083777	
33.28092	0.8585939		-0.001090783	
33.33492	0.8585499		-0.001097844	
33.38891	0.8585055		-0.001104943	
33.4429	0.8584607		-0.001112062	
33.49689	0.8584158		-0.001119189	
33.55088	0.8583711		-0.001126309	
33.60487	0.8583267		-0.001133407	
33.65887	0.8582823		-0.001140471	
33.71286	0.8582379		-0.001147489	
33.76685	0.8581932		-0.001154446	
33.82084	0.858148		-0.001161332	
33.87484	0.8581023		-0.001168133	
33.92883	0.8580562		-0.001174839	
33.98282	0.8580099		-0.00118144	
34.03681	0.8579633		-0.001187924	
34.0908	0.8579164		-0.001194281	
34.14479	0.857869		-0.001200501	
34.19879	0.8578205		-0.001206572	
34.25278	0.8577706		-0.001212486	
34.30677	0.8577191		-0.001218233	
34.36076	0.8576654		-0.001223808	
34.41475	0.8576092		-0.001229204	
34.46875	0.8575504		-0.001234419	
34.52274	0.8574892		-0.001239451	
34.57673	0.8574254		-0.001244301	
34.63072	0.8573589		-0.001248971	
34.68472	0.8572898		-0.001253465	
34.73871	0.8572184		-0.001257789	
34.7927	0.8571445		-0.001261952	
34.84669	0.857068		-0.001265964	
34.90068	0.8569892		-0.001269836	
34.95467	0.8569083		-0.001273578	
35.00867	0.8568255		-0.001277203	
35.06266	0.8567408		-0.001280724	
35.11665	0.8566538		-0.001284153	
35.17064	0.8565647		-0.001287503	
35.22464	0.8564739		-0.001290785	
35.27863	0.8563817		-0.001294012	
35.33262	0.8562886		-0.001297193	
35.38661	0.8561946		-0.001300337	
35.4406	0.8560998		-0.001303449	
35.49459	0.8560045		-0.001306536	
35.54859	0.855909		-0.001309599	
35.60258	0.8558133		-0.00131264	
35.65657	0.8557177		-0.00131566	
35.71056	0.8556221		-0.001318658	
35.76455	0.8555265		-0.001321631	
35.81855	0.8554313		-0.001324576	
35.87254	0.8553365		-0.001327489	
35.92653	0.8552424		-0.001330362	
35.98052	0.8551491		-0.001333188	
36.03452	0.8550562		-0.001335961	
36.0885	0.8549643		-0.001338672	
36.1425	0.8548736		-0.001341313	
36.19649	0.854785		-0.001343877	
36.25048	0.8546988		-0.001346357	
36.30447	0.8546157		-0.001348746	
36.35847	0.8545359		-0.001351037	
36.41246	0.8544589		-0.001353223	
36.46645	0.8543842		-0.001355297	
36.52044	0.8543109		-0.001357251	
36.57444	0.8542385		-0.00135908	
36.62843	0.8541665		-0.001360779	
36.68242	0.8540947		-0.001362343	
36.73641	0.8540228		-0.001363767	
36.7904	0.8539505		-0.00136505	
36.84439	0.8538778		-0.001366189	
36.89839	0.8538048		-0.001367181	
36.95238	0.8537318		-0.001368028	
37.00637	0.853659		-0.001368729	
37.06036	0.8535867		-0.001369287	
37.11435	0.8535149		-0.001369706	
37.16835	0.8534433		-0.001369988	
37.22234	0.8533722		-0.00137014	
37.27633	0.8533019		-0.001370165	
37.33032	0.8532329		-0.001370068	
37.38432	0.8531654		-0.001369854	
37.4383	0.8530994		-0.001369528	
37.4923	0.8530349		-0.001369097	
37.54629	0.8529717		-0.001368569	
37.60028	0.8529099		-0.00136795	
37.65427	0.8528496		-0.001367251	
37.70827	0.8527914		-0.001366481	
37.76226	0.8527356		-0.001365653	
37.81625	0.8526825		-0.00136478	
37.87024	0.8526319		-0.001363875	
37.92423	0.8525832		-0.001362955	
37.97823	0.8525352		-0.001362037	
38.03222	0.8524868		-0.001361138	
38.08621	0.8524372		-0.001360275	
38.1402	0.8523856		-0.001359467	
38.19419	0.8523316		-0.001358729	
38.24818	0.8522745		-0.001358079	
38.30218	0.8522141		-0.001357535	
38.35617	0.8521506		-0.00135711	
38.41016	0.8520843		-0.001356821	
38.46415	0.8520153		-0.001356682	
38.51815	0.8519441		-0.001356703	
38.57214	0.8518709		-0.001356897	
38.62613	0.8517964		-0.001357272	
38.68012	0.8517214		-0.001357837	
38.73412	0.851646		-0.001358598	
38.78811	0.8515702		-0.001359558	
38.8421	0.8514942		-0.001360721	
38.89609	0.8514181		-0.001362087	
38.95008	0.8513421		-0.001363656	
39.00407	0.8512668		-0.001365426	
39.05807	0.8511926		-0.001367394	
39.11206	0.8511195		-0.001369556	
39.16605	0.8510473		-0.001371908	
39.22004	0.8509756		-0.001374444	
39.27403	0.8509036		-0.00137716	
39.32803	0.8508307		-0.00138005	
39.38202	0.8507559		-0.00138311	
39.43601	0.8506786		-0.001386333	
39.49	0.8505986		-0.001389715	
39.54399	0.8505161		-0.001393248	
39.59798	0.8504311		-0.001396926	
39.65198	0.8503435		-0.00140074	
39.70597	0.8502538		-0.001404681	
39.75996	0.8501623		-0.001408737	
39.81395	0.8500693		-0.0014129	
39.86795	0.8499756		-0.001417157	
39.92194	0.8498815		-0.001421494	
39.97593	0.8497875		-0.001425899	
40.02992	0.8496946		-0.001430359	
40.08391	0.8496035		-0.001434859	
40.13791	0.8495152		-0.001439388	
40.1919	0.8494306		-0.001443932	
40.24589	0.8493499		-0.001448478	
40.29988	0.8492732		-0.001453015	
40.35387	0.8492005		-0.001457531	
40.40787	0.8491316		-0.001462015	
40.46186	0.8490661		-0.001466456	
40.51585	0.8490034		-0.001470845	
40.56984	0.8489424		-0.001475172	
40.62383	0.8488819		-0.001479428	
40.67783	0.8488208		-0.001483606	
40.73182	0.8487579		-0.0014877	
40.78581	0.8486923		-0.001491704	
40.8398	0.8486231		-0.001495616	
40.8938	0.8485499		-0.001499434	
40.94778	0.8484727		-0.001503159	
41.00178	0.848392		-0.001506794	
41.05577	0.8483086		-0.001510342	
41.10976	0.8482233		-0.001513811	
41.16375	0.8481364		-0.001517207	
41.21775	0.8480483		-0.001520537	
41.27174	0.8479596		-0.00152381	
41.32573	0.8478701		-0.001527034	
41.37972	0.8477799		-0.001530219	
41.43371	0.8476889		-0.001533372	
41.48771	0.8475972		-0.001536502	
41.5417	0.8475052		-0.001539614	
41.59569	0.8474125		-0.001542713	
41.64968	0.8473194		-0.001545802	
41.70367	0.8472264		-0.001548884	
41.75766	0.8471342		-0.001551958	
41.81166	0.8470435		-0.001555026	
41.86565	0.8469543		-0.001558088	
41.91964	0.8468668		-0.001561142	
41.97363	0.8467802		-0.001564185	
42.02763	0.8466942		-0.001567214	
42.08162	0.8466081		-0.001570224	
42.13561	0.8465214		-0.00157321	
42.1896	0.8464338		-0.001576163	
42.2436	0.8463452		-0.001579077	
42.29758	0.8462556		-0.001581943	
42.35158	0.8461651		-0.001584755	
42.40557	0.8460744		-0.001587504	
42.45956	0.8459845		-0.001590181	
42.51355	0.8458958		-0.00159278	
42.56755	0.845809		-0.001595294	
42.62154	0.8457243		-0.001597719	
42.67553	0.845642		-0.00160005	
42.72952	0.8455619		-0.001602283	
42.78351	0.845484		-0.001604418	
42.83751	0.8454078		-0.001606455	
42.8915	0.845333		-0.001608395	
42.94549	0.8452591		-0.001610242	
42.99948	0.8451854		-0.001612002	
43.05347	0.8451112		-0.00161368	
43.10746	0.8450359		-0.001615283	
43.16146	0.8449591		-0.001616819	
43.21545	0.8448806		-0.001618295	
43.26944	0.8448002		-0.001619717	
43.32343	0.8447177		-0.001621094	
43.37743	0.8446328		-0.001622432	
43.43142	0.8445457		-0.001623737	
43.48541	0.8444567		-0.001625017	
43.5394	0.8443662		-0.001626278	
43.59339	0.8442747		-0.001627525	
43.64738	0.8441824		-0.001628764	
43.70138	0.8440894		-0.001630001	
43.75537	0.8439959		-0.001631244	
