T[°C]	Ratio 350nm / 330nm	S.D.
19.99889	0.86643	
19.99917	0.8657925	
19.99919	0.8673347	
20.00917	0.8654867	
20.01013	0.8678654	
20.03246	0.8666371	
20.03405	0.8676545	
20.06318	0.865556	
20.06536	0.8673064	
20.1023	0.8668312	
20.10483	0.865928	
20.15073	0.8661061	
20.15388	0.8647611	
20.20432	0.8652865	
20.20795	0.866724	
20.26798	0.8666792	
20.27221	0.8683357	
20.33896	0.8664099	
20.34323	0.8667573	
20.41655	0.8672536	
20.42159	0.8677629	
20.50135	0.8679852	
20.50595	0.8668901	
20.58644	0.8670002	
20.59206	0.8663782	
20.68355	0.8666371	
20.6891	0.8679332	
20.78178	0.8651765	
20.7877	0.8686273	
20.88116	0.8667918	
20.88741	0.8651712	
20.9891	0.8671622	
20.99545	0.8663717	
21.09539	0.8671411	
21.10164	0.8668849	
21.2037	0.8678042	
21.21104	0.8675767	
21.31222	0.8668291	
21.31853	0.8661851	
21.4234	0.8663481	
21.43066	0.867425	
21.53486	0.866592	
21.54143	0.8670734	
21.64217	0.867839	
21.64842	0.8669655	
21.75265	0.867789	
21.75868	0.8686301	
21.86103	0.8662026	
21.86817	0.8656657	
21.97032	0.8653624	
21.97671	0.8662285	
22.08182	0.866808	
22.08899	0.8660022	
22.18866	0.8660188	
22.1946	0.8656647	
22.29911	0.8658618	
22.30612	0.8664545	
22.40869	0.8674099	
22.41489	0.8667716	
22.51914	0.865292	
22.5262	0.8665338	
22.62642	0.8659253	
22.63246	0.8668609	
22.7356	0.8669578	
22.74226	0.8674231	
22.84692	0.8672954	
22.85309	0.8675486	
22.95518	0.8675268	
22.96164	0.8663112	
23.06517	0.8664412	
23.0717	0.8665226	
23.17442	0.8649977	
23.18063	0.8632499	
23.28272	0.8656032	
23.29066	0.8675671	
23.3933	0.8667836	
23.39989	0.8661525	
23.50416	0.8646054	
23.51057	0.8684654	
23.61248	0.8668038	
23.61864	0.8658713	
23.7218	0.8635226	
23.72849	0.8671578	
23.83121	0.8661536	
23.83717	0.8680588	
23.93921	0.8673884	
23.94524	0.8671975	
24.05109	0.8669594	
24.05799	0.8673308	
24.16031	0.8643315	
24.16677	0.864978	
24.26922	0.8659014	
24.27562	0.8666669	
24.37861	0.867149	
24.385	0.8656637	
24.48911	0.8673528	
24.49589	0.8682132	
