T[°C]	330nm [counts / mm]	S.D.	First derivative	S.D. of first derivative
19.99894	7865.449		-105.9558	
20.05293	7859.039		-105.9665	
20.10692	7852.633		-105.978	
20.16092	7846.229		-105.9904	
20.21491	7839.83		-106.0036	
20.2689	7833.433		-106.0178	
20.32289	7827.04		-106.0327	
20.37688	7820.652		-106.0486	
20.43088	7814.271		-106.0653	
20.48487	7807.9		-106.0828	
20.53886	7801.54		-106.1012	
20.59285	7795.194		-106.1204	
20.64684	7788.865		-106.1404	
20.70083	7782.555		-106.1612	
20.75483	7776.265		-106.1826	
20.80882	7769.999		-106.2048	
20.86281	7763.757		-106.2276	
20.9168	7757.543		-106.2509	
20.97079	7751.351		-106.2748	
21.02478	7745.405		-106.2991	
21.07878	7739.543		-106.3239	
21.13277	7733.77		-106.3489	
21.18676	7728.082		-106.3742	
21.24075	7722.474		-106.3996	
21.29474	7716.94		-106.4251	
21.34873	7711.475		-106.4506	
21.40273	7706.075		-106.476	
21.45672	7700.734		-106.5011	
21.51071	7695.432		-106.526	
21.5647	7690.143		-106.5504	
21.61869	7684.849		-106.5744	
21.67269	7679.535		-106.5977	
21.72668	7674.185		-106.6204	
21.78067	7668.786		-106.6423	
21.83466	7663.331		-106.6634	
21.88865	7657.81		-106.6835	
21.94264	7652.23		-106.7027	
21.99664	7646.607		-106.7209	
22.05063	7640.952		-106.738	
22.10462	7635.275		-106.7542	
22.15861	7629.578		-106.7695	
22.2126	7623.852		-106.784	
22.26659	7618.075		-106.798	
22.32059	7612.228		-106.8119	
22.37458	7606.308		-106.8264	
22.42857	7600.325		-106.8424	
22.48256	7594.292		-106.8614	
22.53655	7588.228		-106.8849	
22.59055	7582.158		-106.9151	
22.64454	7576.102		-106.9326	
22.69853	7570.074		-106.9478	
22.75252	7564.082		-106.9603	
22.80651	7558.122		-106.9698	
22.8605	7552.178		-106.9761	
22.9145	7546.244		-106.9788	
22.96849	7540.327		-106.9778	
23.02248	7534.443		-106.9729	
23.07647	7528.601		-106.964	
23.13046	7522.791		-106.9509	
23.18445	7517.003		-106.9336	
23.23845	7511.224		-106.9121	
23.29244	7505.441		-106.8863	
23.34643	7499.643		-106.8563	
23.40042	7493.825		-106.8222	
23.45441	7487.986		-106.7843	
23.5084	7482.126		-106.7427	
23.5624	7476.255		-106.6975	
23.61639	7470.38		-106.6491	
23.67038	7464.515		-106.5974	
23.72437	7458.666		-106.5428	
23.77836	7452.836		-106.4854	
23.83236	7447.025		-106.4254	
23.88635	7441.214		-106.3628	
23.94034	7435.382		-106.298	
23.99433	7429.521		-106.2313	
24.04832	7423.632		-106.163	
24.10231	7417.726		-106.0933	
24.15631	7411.817		-106.0226	
24.2103	7405.917		-105.9512	
24.26429	7400.042		-105.8795	
24.31828	7394.202		-105.8078	
24.37227	7388.398		-105.7362	
24.42626	7382.629		-105.665	
24.48026	7376.893		-105.5944	
24.53425	7371.184		-105.5244	
24.58824	7365.497		-105.4551	
24.64223	7359.839		-105.3866	
24.69622	7354.223		-105.3187	
24.75021	7348.656		-105.2514	
24.8042	7343.134		-105.1845	
24.8582	7337.653		-105.118	
24.91219	7332.219		-105.0516	
24.96618	7326.835		-104.9855	
25.02017	7321.508		-104.9195	
25.07417	7316.246		-104.8536	
25.12816	7311.043		-104.7876	
25.18215	7305.879		-104.7215	
25.23614	7300.726		-104.6549	
25.29013	7295.55		-104.5878	
25.34412	7290.328		-104.52	
25.39812	7285.034		-104.4513	
25.45211	7279.647		-104.3819	
25.5061	7274.151		-104.3115	
25.56009	7268.545		-104.2403	
25.61408	7262.843		-104.1683	
25.66807	7257.064		-104.0953	
25.72206	7251.235		-104.0213	
25.77606	7245.388		-103.9461	
25.83005	7239.545		-103.8696	
25.88404	7233.709		-103.7916	
25.93803	7227.871		-103.7122	
25.99202	7222.03		-103.6312	
26.04602	7216.182		-103.5485	
26.10001	7210.325		-103.4642	
26.154	7204.456		-103.3779	
26.20799	7198.575		-103.2897	
26.26198	7192.695		-103.1992	
26.31598	7186.83		-103.1063	
26.36997	7180.987		-103.0107	
26.42396	7175.174		-102.9124	
26.47795	7169.39		-102.811	
26.53194	7163.637		-102.7066	
26.58593	7157.927		-102.5992	
26.63993	7152.278		-102.4889	
26.69392	7146.699		-102.3757	
26.74791	7141.188		-102.2599	
26.8019	7135.741		-102.1417	
26.85589	7130.351		-102.0213	
26.90988	7124.998		-101.8991	
26.96387	7119.648		-101.7752	
27.01787	7114.278		-101.6503	
27.07186	7108.88		-101.5248	
27.12585	7103.444		-101.3992	
27.17984	7097.964		-101.2741	
27.23383	7092.434		-101.1501	
27.28783	7086.856		-101.0278	
27.34182	7081.241		-100.9079	
27.39581	7075.605		-100.7908	
27.4498	7069.958		-100.6773	
27.50379	7064.299		-100.5679	
27.55779	7058.628		-100.463	
27.61178	7052.952		-100.3629	
27.66577	7047.299		-100.2678	
27.71976	7041.7		-100.1778	
27.77375	7036.179		-100.0928	
27.82774	7030.754		-100.0125	
27.88173	7025.431		-99.93665	
27.93573	7020.196		-99.8649	
27.98972	7015.028		-99.79681	
28.04371	7009.917		-99.73188	
28.0977	7004.852		-99.66963	
28.15169	6999.825		-99.60957	
28.20568	6994.829		-99.55126	
28.25968	6989.864		-99.49434	
28.31367	6984.935		-99.43848	
28.36766	6980.041		-99.38338	
28.42165	6975.171		-99.32883	
28.47564	6970.312		-99.27459	
28.52964	6965.447		-99.22055	
28.58363	6960.57		-99.16673	
28.63762	6955.668		-99.11322	
28.69161	6950.725		-99.06018	
28.7456	6945.728		-99.00782	
28.79959	6940.668		-98.95635	
28.85359	6935.538		-98.90597	
28.90758	6930.338		-98.85684	
28.96157	6925.071		-98.80909	
29.01556	6919.737		-98.76283	
29.06955	6914.336		-98.7182	
29.12354	6908.863		-98.67537	
29.17754	6903.311		-98.63456	
29.23153	6897.683		-98.59605	
29.28552	6891.999		-98.56016	
29.33951	6886.286		-98.52721	
29.3935	6880.57		-98.49754	
29.44749	6874.874		-98.47139	
29.50149	6869.197		-98.44892	
29.55548	6863.525		-98.43016	
29.60947	6857.848		-98.41502	
29.66346	6852.162		-98.4032	
29.71745	6846.469		-98.39423	
29.77145	6840.772		-98.38738	
29.82544	6835.087		-98.38179	
29.87943	6829.43		-98.3764	
29.93342	6823.806		-98.36998	
29.98741	6818.222		-98.36118	
30.0414	6812.683		-98.34856	
30.0954	6807.198		-98.33069	
30.14939	6801.767		-98.30617	
30.20338	6796.393		-98.27376	
30.25737	6791.079		-98.23238	
30.31136	6785.83		-98.18117	
30.36535	6780.645		-98.11942	
30.41935	6775.516		-98.04668	
30.47334	6770.427		-97.96268	
30.52733	6765.365		-97.86743	
30.58132	6760.322		-97.76124	
30.63531	6755.294		-97.64466	
30.6893	6750.28		-97.5185	
30.7433	6745.27		-97.38371	
30.79729	6740.246		-97.24142	
30.85128	6735.193		-97.09288	
30.90527	6730.11		-96.93934	
30.95926	6724.999		-96.78211	
31.01326	6719.87		-96.62251	
31.06725	6714.729		-96.46186	
31.12124	6709.567		-96.30151	
31.17523	6704.372		-96.14281	
31.22922	6699.133		-95.98714	
31.28321	6693.85		-95.83588	
31.33721	6688.521		-95.69038	
31.3912	6683.162		-95.55193	
31.44519	6677.787		-95.42174	
31.49918	6672.412		-95.30084	
31.55317	6667.049		-95.19012	
31.60716	6661.713		-95.09023	
31.66116	6656.412		-95.00156	
31.71515	6651.144		-94.9243	
31.76914	6645.905		-94.8584	
31.82313	6640.69		-94.8036	
31.87712	6635.492		-94.7594	
31.93111	6630.313		-94.72509	
31.98511	6625.159		-94.69976	
32.0391	6620.05		-94.6823	
32.09309	6614.998		-94.67144	
32.14708	6610.015		-94.66586	
32.20107	6605.104		-94.66415	
32.25507	6600.263		-94.66492	
32.30906	6595.49		-94.66682	
32.36305	6590.775		-94.66857	
32.41704	6586.104		-94.66906	
32.47103	6581.461		-94.6673	
32.52502	6576.826		-94.66251	
32.57901	6572.18		-94.65408	
32.63301	6567.515		-94.64161	
32.687	6562.823		-94.62489	
32.74099	6558.09		-94.60393	
32.79498	6553.305		-94.5789	
32.84898	6548.453		-94.55011	
32.90297	6543.521		-94.51801	
32.95696	6538.509		-94.48311	
33.01095	6533.434		-94.44593	
33.06494	6528.309		-94.40704	
33.11893	6523.145		-94.367	
33.17292	6517.947		-94.32636	
33.22692	6512.718		-94.28564	
33.28091	6507.463		-94.24527	
33.3349	6502.182		-94.20567	
33.38889	6496.868		-94.16721	
33.44288	6491.514		-94.13024	
33.49688	6486.112		-94.09506	
33.55087	6480.671		-94.0619	
33.60486	6475.2		-94.03092	
33.65885	6469.712		-94.00219	
33.71284	6464.217		-93.9757	
33.76683	6458.718		-93.95143	
33.82083	6453.216		-93.92929	
33.87482	6447.715		-93.90916	
33.92881	6442.218		-93.8909	
33.9828	6436.738		-93.87428	
34.03679	6431.294		-93.859	
34.09079	6425.908		-93.84464	
34.14478	6420.605		-93.83069	
34.19877	6415.41		-93.81651	
34.25276	6410.331		-93.80138	
34.30675	6405.367		-93.78447	
34.36074	6400.504		-93.7649	
34.41473	6395.719		-93.74178	
34.46873	6390.984		-93.71429	
34.52272	6386.265		-93.68165	
34.57671	6381.532		-93.64321	
34.6307	6376.764		-93.59848	
34.68469	6371.95		-93.54713	
34.73869	6367.095		-93.48905	
34.79268	6362.212		-93.42432	
34.84667	6357.309		-93.35323	
34.90066	6352.392		-93.27621	
34.95465	6347.47		-93.19382	
35.00864	6342.538		-93.10672	
35.06264	6337.6		-93.01563	
35.11663	6332.667		-92.9213	
35.17062	6327.738		-92.82445	
35.22461	6322.813		-92.72576	
35.2786	6317.884		-92.62579	
35.3326	6312.94		-92.52501	
35.38659	6307.967		-92.42383	
35.44058	6302.957		-92.32254	
35.49457	6297.906		-92.22144	
35.54856	6292.821		-92.12077	
35.60255	6287.721		-92.02077	
35.65654	6282.63		-91.92173	
35.71054	6277.57		-91.82392	
35.76453	6272.563		-91.72769	
35.81852	6267.624		-91.63342	
35.87251	6262.753		-91.54151	
35.9265	6257.94		-91.45238	
35.9805	6253.164		-91.36639	
36.03449	6248.404		-91.28394	
36.08848	6243.634		-91.20532	
36.14247	6238.834		-91.13077	
36.19646	6233.991		-91.06042	
36.25045	6229.093		-90.99431	
36.30445	6224.144		-90.93233	
36.35844	6219.156		-90.87422	
36.41243	6214.136		-90.81959	
36.46642	6209.092		-90.76791	
36.52041	6204.025		-90.71856	
36.57441	6198.942		-90.67088	
36.6284	6193.853		-90.62419	
36.68239	6188.764		-90.57784	
36.73638	6183.684		-90.53118	
36.79037	6178.617		-90.48369	
36.84436	6173.574		-90.43487	
36.89835	6168.57		-90.38435	
36.95235	6163.612		-90.33178	
37.00634	6158.691		-90.27692	
37.06033	6153.8		-90.21958	
37.11432	6148.932		-90.15962	
37.16831	6144.081		-90.09694	
37.22231	6139.24		-90.03145	
37.2763	6134.395		-89.96304	
37.33029	6129.536		-89.89165	
37.38428	6124.671		-89.81712	
37.43827	6119.815		-89.73933	
37.49226	6114.981		-89.65814	
37.54626	6110.183		-89.57349	
37.60025	6105.428		-89.48534	
37.65424	6100.715		-89.39377	
37.70823	6096.044		-89.29889	
37.76222	6091.418		-89.20091	
37.81622	6086.836		-89.10017	
37.8702	6082.288		-88.9971	
37.9242	6077.752		-88.89223	
37.97819	6073.211		-88.78628	
38.03218	6068.645		-88.68001	
38.08617	6064.027		-88.57432	
38.14016	6059.34		-88.47015	
38.19416	6054.574		-88.36843	
38.24815	6049.724		-88.27016	
38.30214	6044.798		-88.17623	
38.35613	6039.812		-88.08752	
38.41012	6034.793		-88.00475	
38.46412	6029.775		-87.9285	
38.51811	6024.784		-87.85922	
38.5721	6019.843		-87.79719	
38.62609	6014.961		-87.74251	
38.68008	6010.144		-87.69514	
38.73407	6005.375		-87.65491	
38.78807	6000.618		-87.62157	
38.84206	5995.841		-87.59473	
38.89605	5991.029		-87.57399	
38.95004	5986.177		-87.55888	
39.00403	5981.299		-87.54887	
39.05803	5976.423		-87.54352	
39.11201	5971.577		-87.54231	
39.16601	5966.786		-87.54482	
39.22	5962.071		-87.55062	
39.27399	5957.44		-87.55931	
39.32798	5952.893		-87.57053	
39.38197	5948.412		-87.58393	
39.43597	5943.981		-87.59922	
39.48996	5939.585		-87.61612	
39.54395	5935.209		-87.63436	
39.59794	5930.841		-87.65369	
39.65193	5926.466		-87.67384	
39.70592	5922.07		-87.69447	
39.75992	5917.649		-87.71523	
39.81391	5913.201		-87.73569	
39.8679	5908.722		-87.75546	
39.92189	5904.207		-87.77419	
39.97588	5899.661		-87.79166	
40.02988	5895.082		-87.8078	
40.08387	5890.468		-87.82261	
40.13786	5885.821		-87.83627	
40.19185	5881.149		-87.84905	
40.24584	5876.451		-87.8613	
40.29984	5871.715		-87.87343	
40.35382	5866.934		-87.88583	
40.40782	5862.092		-87.89881	
40.46181	5857.181		-87.91261	
40.5158	5852.19		-87.92728	
40.56979	5847.117		-87.94273	
40.62378	5841.985		-87.9586	
40.67778	5836.837		-87.97438	
40.73177	5831.714		-87.98936	
40.78576	5826.64		-88.00265	
40.83975	5821.622		-88.01324	
40.89374	5816.66		-88.02004	
40.94773	5811.751		-88.02197	
41.00173	5806.888		-88.01791	
41.05572	5802.062		-88.00688	
41.10971	5797.262		-87.98794	
41.1637	5792.485		-87.96027	
41.21769	5787.74		-87.92323	
41.27169	5783.028		-87.87626	
41.32568	5778.334		-87.81903	
41.37967	5773.644		-87.75132	
41.43366	5768.947		-87.67318	
41.48765	5764.237		-87.5849	
41.54165	5759.507		-87.48692	
41.59563	5754.751		-87.37988	
41.64963	5749.971		-87.26448	
41.70362	5745.174		-87.14149	
41.75761	5740.375		-87.01171	
41.8116	5735.589		-86.87589	
41.86559	5730.826		-86.7348	
41.91959	5726.09		-86.58917	
41.97358	5721.378		-86.43974	
42.02757	5716.672		-86.28732	
42.08156	5711.942		-86.13271	
42.13555	5707.16		-85.97684	
42.18954	5702.302		-85.82066	
42.24354	5697.368		-85.6652	
42.29753	5692.38		-85.51156	
42.35152	5687.374		-85.36078	
42.40551	5682.392		-85.21394	
42.4595	5677.465		-85.07205	
42.5135	5672.612		-84.93604	
42.56749	5667.835		-84.8067	
42.62148	5663.129		-84.68465	
42.67547	5658.483		-84.57034	
42.72946	5653.886		-84.46399	
42.78345	5649.332		-84.36565	
42.83744	5644.817		-84.27515	
42.89144	5640.344		-84.19205	
42.94543	5635.918		-84.11581	
42.99942	5631.545		-84.04572	
43.05341	5627.223		-83.98097	
43.1074	5622.951		-83.92074	
43.1614	5618.743		-83.86422	
43.21539	5614.61		-83.81071	
43.26938	5610.553		-83.75961	
43.32337	5606.564		-83.71038	
43.37736	5602.639		-83.66271	
43.43135	5598.765		-83.61641	
43.48535	5594.917		-83.57156	
43.53934	5591.061		-83.52839	
43.59333	5587.159		-83.48726	
43.64732	5583.18		-83.44864	
43.70131	5579.101		-83.41302	
43.75531	5574.908		-83.381	
43.8093	5570.6		-83.35307	
43.86329	5566.19		-83.32967	
43.91728	5561.712		-83.31116	
43.97127	5557.193		-83.2978	
44.02526	5552.654		-83.28983	
44.07925	5548.107		-83.28741	
44.13325	5543.556		-83.29065	
44.18724	5538.998		-83.29961	
44.24123	5534.423		-83.31423	
44.29522	5529.816		-83.33444	
44.34921	5525.16		-83.36004	
44.40321	5520.441		-83.39075	
44.4572	5515.659		-83.42619	
44.51119	5510.831		-83.46591	
44.56518	5505.974		-83.50935	
44.61917	5501.104		-83.55587	
44.67316	5496.233		-83.60477	
44.72716	5491.376		-83.6553	
44.78115	5486.542		-83.70667	
44.83514	5481.742		-83.75808	
44.88913	5476.981		-83.80858	
44.94312	5472.268		-83.85718	
44.99712	5467.6		-83.90273	
45.05111	5462.972		-83.94408	
45.1051	5458.381		-83.98003	
45.15909	5453.819		-84.00937	
45.21308	5449.281		-84.03105	
45.26707	5444.758		-84.04412	
45.32106	5440.241		-84.04784	
45.37506	5435.724		-84.04164	
45.42905	5431.213		-84.02518	
45.48304	5426.717		-83.99838	
45.53703	5422.24		-83.96137	
45.59102	5417.784		-83.9145	
45.64502	5413.336		-83.85831	
45.69901	5408.881		-83.79348	
45.753	5404.403		-83.72089	
45.80699	5399.886		-83.64143	
45.86098	5395.325		-83.55604	
45.91497	5390.723		-83.46565	
45.96897	5386.081		-83.37117	
46.02296	5381.4		-83.27349	
46.07695	5376.688		-83.17345	
46.13094	5371.962		-83.07195	
46.18493	5367.246		-82.9698	
46.23893	5362.559		-82.86786	
46.29292	5357.915		-82.76689	
46.34691	5353.315		-82.66755	
46.4009	5348.76		-82.5704	
46.45489	5344.258		-82.47587	
46.50888	5339.805		-82.38422	
46.56287	5335.381		-82.29562	
46.61687	5330.961		-82.21011	
46.67086	5326.529		-82.12766	
46.72485	5322.078		-82.04824	
46.77884	5317.612		-81.97176	
46.83283	5313.149		-81.8981	
46.88683	5308.711		-81.82713	
46.94082	5304.321		-81.7587	
46.99481	5299.996		-81.69259	
47.0488	5295.747		-81.62859	
47.10279	5291.579		-81.56648	
47.15678	5287.489		-81.50598	
47.21078	5283.476		-81.44689	
47.26477	5279.523		-81.38907	
47.31876	5275.596		-81.33243	
47.37275	5271.666		-81.27696	
47.42674	5267.705		-81.22266	
47.48074	5263.692		-81.16961	
47.53473	5259.617		-81.1179	
47.58872	5255.47		-81.06772	
47.64271	5251.245		-81.0193	
47.6967	5246.947		-80.97295	
47.75069	5242.583		-80.92902	
47.80468	5238.157		-80.88783	
47.85868	5233.679		-80.84973	
47.91267	5229.164		-80.81498	
47.96666	5224.632		-80.78379	
48.02065	5220.096		-80.75629	
48.07464	5215.56		-80.73248	
48.12864	5211.028		-80.7123	
48.18263	5206.506		-80.69554	
48.23662	5201.994		-80.68195	
48.29061	5197.483		-80.67113	
48.3446	5192.967		-80.66262	
48.39859	5188.447		-80.65583	
48.45259	5183.937		-80.65008	
48.50658	5179.458		-80.64458	
48.56057	5175.021		-80.63853	
48.61456	5170.616		-80.63107	
48.66855	5166.226		-80.6214	
48.72255	5161.832		-80.60876	
48.77654	5157.42		-80.59241	
48.83053	5152.988		-80.57162	
48.88452	5148.549		-80.54575	
48.93851	5144.122		-80.51418	
48.9925	5139.725		-80.47639	
49.04649	5135.376		-80.43195	
49.10049	5131.083		-80.38052	
49.15448	5126.843		-80.32188	
49.20847	5122.639		-80.25596	
49.26246	5118.45		-80.18282	
49.31645	5114.258		-80.10273	
49.37045	5110.048		-80.01608	
49.42444	5105.811		-79.92334	
49.47843	5101.542		-79.82512	
49.53242	5097.238		-79.72205	
49.58641	5092.898		-79.61482	
49.6404	5088.527		-79.50422	
49.6944	5084.128		-79.39104	
49.74839	5079.704		-79.27612	
49.80238	5075.245		-79.16029	
49.85637	5070.744		-79.04433	
49.91036	5066.21		-78.92898	
49.96436	5061.666		-78.81487	
50.01834	5057.135		-78.70261	
50.07234	5052.634		-78.5927	
50.12633	5048.172		-78.48548	
50.18032	5043.754		-78.38123	
50.23431	5039.374		-78.28005	
50.2883	5035.024		-78.18203	
50.3423	5030.692		-78.08709	
50.39629	5026.369		-77.99513	
50.45028	5022.058		-77.90601	
50.50427	5017.772		-77.8195	
50.55826	5013.528		-77.73536	
50.61226	5009.338		-77.65328	
50.66625	5005.22		-77.57296	
50.72024	5001.177		-77.49406	
50.77423	4997.196		-77.41623	
50.82822	4993.262		-77.3391	
50.88221	4989.363		-77.26226	
50.93621	4985.49		-77.18539	
50.9902	4981.639		-77.10817	
51.04419	4977.817		-77.03036	
51.09818	4974.032		-76.95175	
51.15217	4970.283		-76.87218	
51.20617	4966.559		-76.7915	
51.26015	4962.842		-76.7097	
51.31415	4959.108		-76.62685	
