T[°C]	Scattering [mAU]	S.D.	First derivative	S.D. of first derivative
19.99894	90.95211		-0.3302894	
20.05293	90.92464		-0.3221796	
20.10692	90.89673		-0.3141422	
20.16092	90.86834		-0.3061795	
20.21491	90.83948		-0.2982948	
20.2689	90.81019		-0.2904902	
20.32289	90.78056		-0.2827685	
20.37688	90.75072		-0.2751316	
20.43088	90.72084		-0.2675824	
20.48487	90.69109		-0.2601227	
20.53886	90.6617		-0.2527544	
20.59285	90.63287		-0.2454791	
20.64684	90.60479		-0.238298	
20.70083	90.57746		-0.2312128	
20.75483	90.55048		-0.2242239	
20.80882	90.52218		-0.2173318	
20.86281	90.49766		-0.2105364	
20.9168	90.47443		-0.2038378	
20.97079	90.45225		-0.197235	
21.02478	90.43138		-0.1907267	
21.07878	90.41284		-0.1843111	
21.13277	90.39754		-0.177986	
21.18676	90.38602		-0.1717491	
21.24075	90.37841		-0.1655972	
21.29474	90.37397		-0.1595263	
21.34873	90.37132		-0.1535321	
21.40273	90.36919		-0.1476091	
21.45672	90.36721		-0.1417516	
21.51071	90.36594		-0.1359528	
21.5647	90.36666		-0.1302055	
21.61869	90.37014		-0.1245017	
21.67269	90.37671		-0.1188337	
21.72668	90.38614		-0.1131925	
21.78067	90.39763		-0.1075688	
21.83466	90.41029		-0.1019527	
21.88865	90.42342		-0.09633364	
21.94264	90.4367		-0.09070105	
21.99664	90.45042		-0.08504338	
22.05063	90.46493		-0.0793491	
22.10462	90.48071		-0.07360666	
22.15861	90.49747		-0.06780592	
22.2126	90.51408		-0.06193814	
22.26659	90.5291		-0.055999	
22.32059	90.54102		-0.04999249	
22.37458	90.54949		-0.04393755	
22.42857	90.55515		-0.03787917	
22.48256	90.55881		-0.03189982	
22.53655	90.5613		-0.02612938	
22.59055	90.56249		-0.02073312	
22.64454	90.56174		-0.01970912	
22.69853	90.55817		-0.01911976	
22.75252	90.55141		-0.01895625	
22.80651	90.5418		-0.01920391	
22.8605	90.53062		-0.01984277	
22.9145	90.51946		-0.02084828	
22.96849	90.50949		-0.02219216	
23.02248	90.50125		-0.02384187	
23.07647	90.4948		-0.02576033	
23.13046	90.48966		-0.02790511	
23.18445	90.48549		-0.03022736	
23.23845	90.48176		-0.03267312	
23.29244	90.4782		-0.03518433	
23.34643	90.47508		-0.03770072	
23.40042	90.47272		-0.04016125	
23.45441	90.47148		-0.04250635	
23.5084	90.47126		-0.04467949	
23.5624	90.47181		-0.04662883	
23.61639	90.47274		-0.04830805	
23.67038	90.47371		-0.0496767	
23.72437	90.47455		-0.05070138	
23.77836	90.4754		-0.05135699	
23.83236	90.47613		-0.05162808	
23.88635	90.47639		-0.05151046	
23.94034	90.47569		-0.05101193	
23.99433	90.47348		-0.05015204	
24.04832	90.46997		-0.04896092	
24.10231	90.46578		-0.04747686	
24.15631	90.46112		-0.04574387	
24.2103	90.45605		-0.04380937	
24.26429	90.45058		-0.04172283	
24.31828	90.44449		-0.03953447	
24.37227	90.4374		-0.03729391	
24.42626	90.42849		-0.03504854	
24.48026	90.41679		-0.03284212	
24.53425	90.40157		-0.03071314	
24.58824	90.38253		-0.02869395	
24.64223	90.3601		-0.02681009	
24.69622	90.33543		-0.02507919	
24.75021	90.31		-0.02351183	
24.8042	90.28534		-0.02211265	
24.8582	90.26317		-0.02088213	
24.91219	90.24455		-0.01981892	
24.96618	90.23021		-0.01892061	
25.02017	90.22042		-0.01818419	
25.07417	90.21523		-0.01760598	
