T[°C]	350nm [counts / mm]	S.D.
19.99899	6795.682	
19.99925	6810.563	
19.99961	6802.402	
20.00878	6797.185	
20.01102	6813.558	
20.03153	6801.146	
20.03522	6791.926	
20.06198	6796.391	
20.06689	6795.429	
20.10082	6790.653	
20.1067	6778.522	
20.14884	6772.078	
20.15585	6779.589	
20.20217	6774.906	
20.2104	6782.388	
20.26554	6764.915	
20.27474	6778.69	
20.33619	6765.875	
20.34611	6769.262	
20.41344	6755.391	
20.42466	6761.441	
20.49792	6735.073	
20.50898	6728.022	
20.58289	6732.978	
20.59572	6742.703	
20.67973	6742.024	
20.69269	6735.375	
20.77784	6728.141	
20.79135	6715.638	
20.87719	6717.534	
20.89145	6701.083	
20.98483	6706.928	
20.99936	6721.262	
21.09115	6696.013	
21.10575	6702.296	
21.19955	6676.756	
21.21515	6689.611	
21.30807	6677.657	
21.32279	6675.671	
21.41912	6654.657	
21.43493	6648.767	
21.53062	6647.011	
21.5456	6644.599	
21.63811	6627.258	
21.65263	6629.475	
21.74838	6630.042	
21.76281	6617.244	
21.8568	6632.504	
21.87237	6614.301	
21.96616	6617.426	
21.98104	6589.732	
22.07754	6593.828	
22.09288	6598.688	
22.18467	6590.453	
22.19887	6583.666	
22.29486	6576.816	
22.31011	6585.577	
22.40435	6576.407	
22.41917	6573.436	
22.51488	6555.268	
22.53029	6543.969	
22.62237	6543.617	
22.63676	6538.642	
22.73151	6535.655	
22.74666	6549.467	
22.84277	6525.284	
22.85718	6525.854	
22.95095	6509.643	
22.96602	6518.835	
23.0612	6495.347	
23.076	6516.505	
23.17034	6496.392	
23.1848	6498.008	
23.27856	6482.188	
23.29485	6483.896	
23.3891	6463.378	
23.40413	6454.707	
23.49989	6463.063	
23.51486	6439.427	
23.60846	6461.549	
23.62282	6452.371	
23.71756	6438.846	
23.73281	6441.395	
23.82711	6435.684	
23.84137	6439.979	
23.93507	6424.629	
23.94951	6423.963	
24.04672	6412.365	
24.06214	6412.677	
24.1561	6416.877	
24.17083	6397.498	
24.26492	6387.331	
24.27986	6369.522	
24.37442	6385.882	
24.38934	6384.762	
24.48492	6368.505	
24.50004	6348.348	
24.59222	6374.108	
24.60723	6358.488	
24.70343	6347.504	
24.71781	6357.781	
24.81377	6337.286	
24.82874	6349.622	
24.92179	6324.947	
24.93634	6338.684	
25.03099	6329.195	
25.04561	6323.58	
25.14207	6322.769	
25.15731	6313.328	
25.25137	6306.191	
25.26571	6290.141	
25.36015	6284.459	
25.37496	6287.124	
25.47034	6277.185	
25.48557	6277.751	
25.58032	6272.46	
25.59478	6254.998	
25.68724	6259.739	
25.70223	6258.637	
25.79776	6245.234	
25.81344	6244.531	
25.90934	6228.589	
25.92387	6237.784	
26.01703	6227.017	
26.03187	6219.619	
26.12702	6212.604	
26.14177	6223.357	
26.23679	6213.499	
26.25183	6189.628	
26.34824	6206.796	
26.36319	6201.291	
26.45438	6195.053	
26.47227	6186.699	
26.56561	6168.805	
26.58052	6169.952	
26.67496	6170.814	
26.68946	6163.532	
26.78226	6160.863	
26.79663	6156.653	
26.89351	6143.123	
26.90855	6145.512	
27.00182	6140.67	
27.01626	6123.529	
27.11239	6109.025	
27.12677	6110.426	
27.22129	6104.103	
27.23649	6118.228	
27.33176	6100.877	
27.34597	6097.63	
27.43961	6087.538	
27.45417	6085.433	
27.54992	6078.103	
27.56443	6091.613	
27.66036	6067.34	
27.67488	6062.73	
27.77071	6061.696	
27.78522	6048.754	
27.88044	6049.746	
27.89584	6065.699	
27.98965	6043.48	
28.004	6041.136	
28.09772	6039.724	
28.11424	6029.831	
28.21093	6033.128	
28.2256	6020.629	
28.31676	6019.437	
28.33128	6017.753	
28.42664	6007.053	
28.44159	6009.994	
28.53709	5987.236	
28.55169	6009.229	
28.64507	5971.451	
28.66006	5981.177	
28.75477	5976.294	
28.7696	5959.419	
28.86382	5967.441	
28.87842	5961.492	
28.97418	5947.155	
28.98872	5951.477	
29.0846	5940.748	
29.09953	5939.536	
29.19159	5936.49	
29.20616	5938.124	
29.30199	5919.789	
29.31686	5925.835	
29.41205	5913.777	
29.42668	5911.803	
29.52016	5905.235	
29.53494	5905.571	
29.63081	5907.669	
29.64596	5892.414	
29.73984	5886.909	
29.75411	5884.691	
29.8496	5870.493	
29.86438	5859.167	
29.95882	5859.809	
29.97392	5852.624	
30.06762	5856.63	
30.0827	5851.629	
30.17598	5848.354	
30.1909	5841.227	
30.28613	5838.661	
30.30119	5840.285	
30.39525	5828.955	
30.41018	5822.888	
30.50621	5818.835	
30.52099	5798.842	
30.61531	5802.645	
30.63012	5805.716	
30.72546	5796.217	
30.7404	5795.853	
30.8353	5762.137	
30.85046	5755.614	
30.94502	5768.348	
30.96042	5763.999	
31.05197	5766.524	
31.0671	5757.215	
31.16328	5753.213	
31.17826	5760.41	
31.2724	5749.787	
31.28712	5747.581	
31.38134	5735.639	
31.39609	5726.077	
31.49036	5728.781	
31.50547	5722.929	
31.59864	5713.898	
31.61386	5714.611	
31.71022	5706.475	
31.72491	5701.379	
31.82003	5693.436	
31.83479	5679.482	
31.9278	5708.828	
31.94421	5678.644	
32.03763	5690.519	
32.05349	5679.509	
32.14741	5668.556	
32.16254	5678.104	
32.25578	5648.544	
32.27228	5652.919	
32.36597	5647.333	
32.38073	5656.032	
32.47646	5632.807	
32.49122	5633.64	
32.58646	5631.628	
32.60105	5617.026	
32.69444	5623.291	
32.70936	5607.312	
32.8041	5613.062	
32.81942	5605.747	
32.91364	5608.848	
32.92835	5594.759	
33.02348	5602.215	
33.03793	5585.877	
33.1314	5586.006	
33.14623	5583.418	
33.24399	5566.659	
33.25864	5557.682	
33.35289	5546.828	
33.36737	5554.847	
33.4617	5550.405	
33.47763	5551.131	
33.57037	5548.129	
33.58524	5540.603	
33.6804	5550.86	
33.69765	5535.811	
33.78811	5518.912	
33.80257	5511.567	
33.89902	5521.33	
33.91407	5502.472	
34.00954	5508.666	
34.02417	5498.24	
34.11708	5494.256	
34.13172	5498.075	
34.22674	5493.382	
34.24159	5482.702	
34.33784	5480.427	
34.35307	5471.372	
34.44615	5464.745	
34.46173	5466.907	
34.55638	5449.881	
34.571	5447.128	
34.66648	5446.585	
34.68115	5438.507	
34.77478	5431.146	
34.78958	5421.845	
34.88295	5423.95	
34.89749	5424.449	
34.99313	5422.387	
35.00788	5417.254	
35.10072	5406.673	
35.11552	5393.614	
35.21242	5395.435	
35.22789	5397.397	
35.32075	5381.572	
35.33565	5386.271	
35.4319	5381.625	
35.44685	5370.355	
35.54149	5381.354	
35.55596	5366.249	
35.64962	5363.281	
35.6643	5351.429	
35.75947	5342.925	
35.77455	5358.713	
35.86846	5347.408	
35.88351	5348.367	
35.97972	5338.209	
35.99407	5327.713	
36.08724	5330.051	
36.10195	5332.971	
36.19696	5300.209	
36.2122	5306.531	
36.30781	5304.106	
36.32256	5294.86	
36.41581	5302.921	
36.4308	5281.547	
36.52516	5286.377	
36.5407	5280.297	
36.63587	5273.523	
36.6508	5272.843	
36.74427	5262.138	
36.75922	5265.335	
36.85405	5263.567	
36.86882	5258.611	
36.96344	5245.577	
36.97959	5245.741	
37.07182	5240.714	
37.08682	5233.393	
37.18443	5229.396	
37.19985	5217.79	
37.29391	5214.851	
37.30849	5211.13	
37.40181	5217.191	
37.41653	5190.996	
37.51093	5210.655	
37.5261	5192.932	
37.62053	5204.44	
37.63549	5179.161	
37.73023	5186.253	
37.74463	5185.827	
37.84034	5176.419	
37.85558	5165.362	
37.94761	5158.135	
37.96241	5152.767	
38.05769	5147.353	
38.07238	5157.394	
38.16702	5139.418	
38.1824	5148.612	
38.27819	5137.429	
38.29292	5147.574	
38.3868	5145.867	
38.40144	5133.423	
38.49611	5121.835	
38.51111	5093.504	
38.60598	5099.636	
38.62088	5109.238	
38.71575	5102.075	
38.73023	5087.951	
38.82209	5096.553	
38.83825	5090.522	
38.93325	5088.455	
38.9483	5076.729	
39.04217	5077.884	
39.0568	5062.563	
39.15345	5078.877	
39.16825	5074.015	
39.2612	5063.083	
39.27599	5056.438	
39.37152	5032.169	
39.38809	5052.498	
39.48076	5029.642	
39.49546	5030.962	
39.59272	5032.454	
39.60705	5017.419	
39.69944	5018.393	
39.71521	5026.195	
39.80963	5000.865	
39.82409	4999.084	
39.91962	5004.839	
39.93413	4997.074	
40.0289	4996.916	
40.04647	4989.181	
40.14248	4984.765	
40.15656	4982.012	
40.25054	4982.21	
40.26628	4967.169	
40.36049	4962.485	
